Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2022-2023,A.J. Greer,BOS,F,399.0,77.0,,,427.0,101.0,263.0,393.0,446.0,356.0,455.0,48.0,,427.0,Bottom 6,61,555.65,5,4,28,1996-12-14,CAN,CAN,75,208,2015,2,9,39,,
2022-2023,Adam Erne,DET,F,425.0,210.0,270.0,175.0,438.0,298.0,394.0,337.0,266.0,345.0,289.0,59.0,,336.0,Bottom 6,61,816.23333333333,8,6,30,1995-04-20,USA,USA,73,212,2013,2,3,33,,
2022-2023,Adam Henrique,ANA,F,146.0,362.0,74.0,184.0,227.0,394.0,189.0,86.0,198.0,208.0,271.0,401.0,41.0,111.0,First Line,62,1127.1666666667,22,9,35,1990-02-06,CAN,CAN,72,195,2008,3,21,82,,
2022-2023,Adam Lowry,WPG,F,323.0,132.0,174.0,75.0,231.0,177.0,345.0,304.0,413.0,300.0,141.0,69.0,50.0,257.0,Second Line,82,1283.0833333333,13,13,32,1993-03-29,USA,USA,78,208,2011,3,6,67,,
2022-2023,Adam Ruzicka,CGY,F,131.0,88.0,251.0,,147.0,30.0,208.0,193.0,169.0,121.0,328.0,230.0,141.0,314.0,Bottom 6,44,509.33333333333,6,7,26,1999-05-11,SVK,SVK,76,215,2017,4,16,109,,
2022-2023,Adrian Kempe,LAK,F,75.0,348.0,41.0,71.0,107.0,227.0,43.0,26.0,274.0,241.0,318.0,200.0,,76.0,First Line,82,1538.15,41,16,28,1996-09-13,SWE,SWE,74,200,2014,1,29,29,,
2022-2023,Aleksander Barkov,FLA,F,31.0,75.0,23.0,18.0,12.0,110.0,82.0,39.0,225.0,16.0,120.0,375.0,13.0,11.0,First Line,68,1443.25,23,31,29,1995-09-02,FIN,FIN,75,215,2013,1,2,2,,
2022-2023,Alex Belzile,MTL,F,247.0,416.0,,,432.0,414.0,334.0,174.0,381.0,325.0,149.0,229.0,161.0,283.0,Bottom 6,31,376.15,6,3,33,1991-08-31,CAN,CAN,72,196,-,-,-,-,,
2022-2023,Alex DeBrincat,OTT,F,132.0,297.0,39.0,,235.0,332.0,47.0,41.0,60.0,75.0,36.0,233.0,,31.0,First Line,82,1558.5166666667,27,29,27,1997-12-18,USA,USA,68,178,2016,2,9,39,,
2022-2023,Alex Iafallo,LAK,F,157.0,189.0,65.0,73.0,58.0,145.0,133.0,215.0,278.0,196.0,145.0,403.0,,146.0,Second Line,59,961.7,14,13,31,1993-12-21,USA,USA,72,200,-,-,-,-,,
2022-2023,Alex Killorn,TBL,F,140.0,401.0,130.0,55.0,100.0,294.0,281.0,106.0,281.0,148.0,378.0,274.0,,132.0,Second Line,82,1411.1333333333,27,18,35,1989-09-14,CAN,CAN,73,194,2007,3,16,77,,
2022-2023,Alex Newhook,COL,F,272.0,133.0,191.0,,267.0,156.0,282.0,246.0,344.0,263.0,280.0,326.0,150.0,272.0,Bottom 6,82,1144.15,14,9,24,2001-01-28,CAN,CAN,70,190,2019,1,16,16,,
2022-2023,Alex Ovechkin,WSH,F,32.0,439.0,40.0,,223.0,406.0,5.0,6.0,1.0,108.0,301.0,121.0,,7.0,First Line,73,1474.9,42,18,39,1985-09-17,RUS,RUS,75,238,2004,1,1,1,,
2022-2023,Alex Tuch,BUF,F,24.0,154.0,115.0,114.0,68.0,300.0,76.0,62.0,31.0,53.0,185.0,350.0,,41.0,First Line,74,1417.4,36,29,29,1996-05-10,USA,USA,76,219,2014,1,18,18,,
2022-2023,Alex Wennberg,SEA,F,361.0,23.0,156.0,138.0,193.0,43.0,448.0,340.0,180.0,228.0,220.0,395.0,111.0,231.0,First Line,82,1532.8666666667,13,17,30,1994-09-22,SWE,SWE,74,190,2013,1,14,14,,
2022-2023,Alexander Barabanov,SJS,F,226.0,420.0,217.0,,83.0,389.0,363.0,300.0,275.0,91.0,197.0,367.0,,203.0,First Line,68,1227.6166666667,15,21,31,1994-06-17,RUS,RUS,70,195,-,-,-,-,,
2022-2023,Alexander Kerfoot,TOR,F,251.0,58.0,,10.0,199.0,77.0,321.0,354.0,273.0,154.0,72.0,289.0,215.0,221.0,Bottom 6,82,1198.75,10,12,30,1994-08-11,CAN,CAN,71,186,2012,5,29,150,,
2022-2023,Alexey Toropchenko,STL,F,398.0,251.0,,101.0,446.0,253.0,362.0,294.0,387.0,402.0,241.0,105.0,,352.0,Bottom 6,69,833.26666666667,10,5,26,1999-06-25,RUS,RUS,78,222,2017,4,20,113,,
2022-2023,Alexis Lafreniere,NYR,F,238.0,246.0,171.0,,228.0,226.0,290.0,164.0,118.0,349.0,268.0,142.0,,253.0,Bottom 6,81,1232.7833333333,16,10,23,2001-10-11,CAN,CAN,73,195,2020,1,1,1,,
