Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2021-2022,Adam Brooks,"MTL, VGK, WPG",F,450.0,356.0,,,431.0,365.0,470.0,383.0,294.0,454.0,357.0,348.0,,466.0,Bottom 6,25,223.7,2,1,29,1996-05-06,CAN,CAN,72,179,2016,4,1,92,,
2021-2022,Adam Erne,DET,F,407.0,285.0,231.0,,433.0,326.0,313.0,336.0,370.0,356.0,353.0,71.0,,318.0,Bottom 6,79,1057.3666666667,6,9,30,1995-04-20,USA,USA,73,212,2013,2,3,33,,
2021-2022,Adam Gaudette,"CHI, OTT",F,318.0,381.0,234.0,,395.0,437.0,107.0,327.0,54.0,307.0,256.0,219.0,202.0,307.0,Bottom 6,58,656.53333333333,5,5,28,1996-10-03,USA,USA,73,194,2015,5,28,149,,
2021-2022,Adam Henrique,ANA,F,103.0,224.0,101.0,,170.0,323.0,158.0,80.0,252.0,153.0,234.0,357.0,25.0,114.0,Second Line,58,1010.3333333333,19,15,35,1990-02-06,CAN,CAN,72,195,2008,3,21,82,,
2021-2022,Adam Lowry,WPG,F,375.0,218.0,229.0,69.0,368.0,278.0,345.0,311.0,399.0,378.0,72.0,50.0,44.0,279.0,Bottom 6,79,1222.95,13,6,32,1993-03-29,USA,USA,78,208,2011,3,6,67,,
2021-2022,Adam Ruzicka,CGY,F,87.0,176.0,,,186.0,110.0,276.0,135.0,191.0,137.0,417.0,212.0,165.0,347.0,Bottom 6,28,286.26666666667,5,4,26,1999-05-11,SVK,SVK,76,215,2017,4,16,109,,
2021-2022,Adrian Kempe,LAK,F,168.0,388.0,36.0,84.0,107.0,312.0,58.0,77.0,255.0,224.0,275.0,240.0,223.0,106.0,First Line,78,1449.5333333333,35,8,28,1996-09-13,SWE,SWE,74,200,2014,1,29,29,,
2021-2022,Aleksander Barkov,FLA,F,15.0,53.0,34.0,59.0,11.0,91.0,63.0,12.0,160.0,22.0,129.0,408.0,10.0,6.0,First Line,67,1360.3166666667,39,26,29,1995-09-02,FIN,FIN,75,215,2013,1,2,2,,
2021-2022,Alex Chiasson,VAN,F,378.0,289.0,47.0,,390.0,237.0,220.0,136.0,217.0,318.0,346.0,194.0,,290.0,Bottom 6,67,778.88333333333,13,7,34,1990-10-01,CAN,CAN,76,208,2009,2,8,38,,
2021-2022,Alex DeBrincat,CHI,F,105.0,374.0,68.0,,316.0,367.0,56.0,18.0,60.0,117.0,31.0,286.0,,25.0,First Line,82,1710.2166666667,41,19,27,1997-12-18,USA,USA,68,178,2016,2,9,39,,
2021-2022,Alex Formenton,OTT,F,281.0,393.0,283.0,178.0,404.0,417.0,224.0,162.0,284.0,407.0,218.0,183.0,,262.0,Bottom 6,79,1220.6833333333,18,8,25,1999-09-13,CAN,CAN,75,195,2017,2,16,47,,
2021-2022,Alex Galchenyuk,ARI,F,259.0,463.0,298.0,,303.0,462.0,186.0,339.0,218.0,171.0,454.0,170.0,188.0,280.0,Bottom 6,60,789.21666666667,6,7,31,1994-02-12,USA,USA,73,194,2012,1,3,3,,
2021-2022,Alex Iafallo,LAK,F,202.0,131.0,109.0,83.0,91.0,128.0,170.0,261.0,303.0,281.0,117.0,418.0,,145.0,First Line,79,1461.6666666667,17,10,31,1993-12-21,USA,USA,72,200,-,-,-,-,,
2021-2022,Alex Killorn,TBL,F,162.0,341.0,103.0,20.0,135.0,230.0,248.0,112.0,202.0,169.0,370.0,267.0,,134.0,First Line,82,1532.2,25,19,35,1989-09-14,CAN,CAN,73,194,2007,3,16,77,,
2021-2022,Alex Newhook,COL,F,238.0,210.0,209.0,,269.0,303.0,254.0,244.0,405.0,206.0,210.0,372.0,173.0,247.0,Bottom 6,71,963.06666666667,13,11,24,2001-01-28,CAN,CAN,70,190,2019,1,16,16,,
2021-2022,Alex Ovechkin,WSH,F,23.0,400.0,32.0,,325.0,345.0,2.0,2.0,2.0,106.0,150.0,142.0,,5.0,First Line,77,1584.0333333333,50,23,39,1985-09-17,RUS,RUS,75,238,2004,1,1,1,,
2021-2022,Alex Tuch,BUF,F,72.0,34.0,130.0,150.0,149.0,160.0,62.0,154.0,62.0,99.0,112.0,302.0,,78.0,First Line,50,917.35,12,15,29,1996-05-10,USA,USA,76,219,2014,1,18,18,,
2021-2022,Alex Wennberg,SEA,F,353.0,54.0,197.0,189.0,209.0,81.0,459.0,271.0,235.0,290.0,239.0,413.0,140.0,237.0,Second Line,80,1427.5166666667,11,16,30,1994-09-22,SWE,SWE,74,190,2013,1,14,14,,
2021-2022,Alexander Barabanov,SJS,F,368.0,426.0,256.0,,148.0,444.0,412.0,345.0,336.0,201.0,236.0,386.0,,278.0,Second Line,70,1202.65,10,16,31,1994-06-17,RUS,RUS,70,195,-,-,-,-,,
2021-2022,Alexander Kerfoot,TOR,F,217.0,118.0,308.0,107.0,173.0,177.0,379.0,322.0,169.0,104.0,67.0,291.0,201.0,210.0,Bottom 6,82,1247.6,13,21,30,1994-08-11,CAN,CAN,71,186,2012,5,29,150,,
2021-2022,Alexander Radulov,DAL,F,347.0,130.0,187.0,,152.0,246.0,268.0,373.0,120.0,166.0,414.0,326.0,,222.0,Bottom 6,71,1000.2,4,13,39,1986-07-05,RUS,RUS,73,200,2004,1,15,15,,
2021-2022,Alexandre Texier,CBJ,F,230.0,329.0,295.0,117.0,300.0,350.0,272.0,177.0,421.0,207.0,225.0,344.0,217.0,242.0,Bottom 6,36,525.86666666667,11,7,25,1999-09-13,FRA,FRA,73,186,2017,2,14,45,,
2021-2022,Alexei Toropchenko,STL,F,443.0,161.0,,,462.0,364.0,157.0,443.0,424.0,474.0,289.0,39.0,,408.0,Bottom 6,28,300.21666666667,2,0,26,1999-06-25,RUS,RUS,78,222,2017,4,20,113,,
2021-2022,Alexis Lafreniere,NYR,F,244.0,380.0,201.0,,291.0,373.0,373.0,141.0,190.0,390.0,326.0,223.0,,308.0,Bottom 6,79,1105.7333333333,19,6,23,2001-10-11,CAN,CAN,73,195,2020,1,1,1,,
2021-2022,Aliaksei Protas,WSH,F,315.0,194.0,,,244.0,125.0,413.0,412.0,58.0,254.0,162.0,349.0,160.0,416.0,Bottom 6,33,390.5,3,4,24,2001-01-06,BLR,BLR,78,225,2019,3,29,91,,
2021-2022,Anders Bjork,BUF,F,425.0,160.0,,192.0,407.0,131.0,441.0,377.0,278.0,411.0,189.0,340.0,,428.0,Bottom 6,58,698.91666666667,5,3,28,1996-08-05,USA,USA,72,190,2014,5,26,146,,
2021-2022,Anders Lee,NYI,F,85.0,383.0,78.0,,112.0,400.0,98.0,35.0,31.0,223.0,267.0,202.0,212.0,90.0,Second Line,76,1264.0166666667,28,11,35,1990-07-03,USA,USA,75,235,2009,6,1,152,,
2021-2022,Andre Burakovsky,COL,F,18.0,205.0,85.0,,3.0,181.0,175.0,56.0,134.0,36.0,142.0,396.0,,104.0,Second Line,80,1301.25,22,24,30,1995-02-09,AUT,SWE,75,209,2013,1,23,23,,
2021-2022,Andreas Athanasiou,LAK,F,100.0,409.0,278.0,,211.0,427.0,78.0,63.0,178.0,240.0,4.0,429.0,,157.0,Bottom 6,28,426.55,11,3,30,1994-08-06,CAN,CAN,74,190,2012,4,19,110,,
2021-2022,Andreas Johnsson,NJD,F,178.0,299.0,176.0,,42.0,292.0,300.0,303.0,80.0,154.0,111.0,266.0,,275.0,Bottom 6,71,1019.7166666667,13,18,30,1994-11-21,SWE,SWE,70,195,2013,7,21,202,,
2021-2022,Andrei Svechnikov,CAR,F,43.0,364.0,24.0,,14.0,221.0,18.0,65.0,128.0,54.0,396.0,95.0,,50.0,Second Line,78,1346.2666666667,30,24,25,2000-03-26,RUS,RUS,74,195,2018,1,2,2,,
2021-2022,Andrew Cogliano,"COL, SJS",F,428.0,142.0,,53.0,347.0,111.0,359.0,454.0,389.0,349.0,247.0,135.0,,405.0,Bottom 6,74,937.56666666667,4,7,38,1987-06-14,CAN,CAN,70,179,2005,1,25,25,,
2021-2022,Andrew Copp,"NYR, WPG",F,177.0,326.0,63.0,39.0,93.0,309.0,204.0,188.0,253.0,122.0,187.0,331.0,52.0,100.0,First Line,72,1380.6833333333,21,18,31,1994-07-08,USA,USA,73,199,2013,4,13,104,,
2021-2022,Andrew Ladd,ARI,F,460.0,317.0,212.0,,421.0,404.0,435.0,366.0,416.0,461.0,473.0,169.0,,382.0,Bottom 6,51,720.13333333333,7,2,39,1985-12-12,CAN,CAN,75,205,2004,1,4,4,,
2021-2022,Andrew Mangiapane,CGY,F,33.0,37.0,219.0,105.0,33.0,29.0,176.0,26.0,240.0,179.0,133.0,269.0,,137.0,Second Line,82,1289.6166666667,35,13,29,1996-04-04,CAN,CAN,70,184,2015,6,15,166,,
2021-2022,Anthony Beauvillier,NYI,F,235.0,442.0,81.0,,277.0,402.0,167.0,196.0,259.0,193.0,109.0,345.0,,176.0,Second Line,75,1262.5,12,15,28,1997-06-08,CAN,CAN,71,180,2015,1,28,28,,
2021-2022,Anthony Cirelli,TBL,F,270.0,81.0,152.0,32.0,95.0,89.0,347.0,269.0,299.0,270.0,11.0,246.0,96.0,186.0,First Line,76,1389.9666666667,17,13,27,1997-07-15,CAN,CAN,72,189,2015,3,11,72,,
2021-2022,Anthony Duclair,FLA,F,22.0,382.0,82.0,210.0,17.0,299.0,67.0,34.0,59.0,51.0,32.0,343.0,,88.0,Bottom 6,74,1109.75,31,18,29,1995-08-26,CAN,CAN,71,197,2013,3,19,80,,
2021-2022,Anthony Mantha,WSH,F,89.0,77.0,162.0,,184.0,72.0,86.0,123.0,186.0,69.0,342.0,235.0,,116.0,Bottom 6,37,561.25,9,11,30,1994-09-16,CAN,CAN,77,234,2013,1,20,20,,
2021-2022,Antoine Roussel,ARI,F,394.0,444.0,309.0,118.0,292.0,447.0,388.0,431.0,384.0,376.0,457.0,89.0,,419.0,Bottom 6,53,643.21666666667,4,4,35,1989-11-21,FRA,FRA,71,200,-,-,-,-,,
2021-2022,Anton Blidh,BOS,F,430.0,174.0,,,474.0,321.0,440.0,446.0,459.0,190.0,361.0,32.0,,411.0,Bottom 6,32,343.21666666667,2,4,30,1995-03-14,SWE,SWE,73,197,2013,6,29,180,,
2021-2022,Anton Lundell,FLA,F,64.0,98.0,,102.0,34.0,267.0,225.0,134.0,408.0,123.0,274.0,436.0,172.0,142.0,Second Line,65,1022.9166666667,18,14,23,2001-10-03,FIN,FIN,73,185,2020,1,12,12,,
2021-2022,Anze Kopitar,LAK,F,154.0,198.0,43.0,91.0,43.0,184.0,242.0,266.0,314.0,38.0,81.0,364.0,8.0,63.0,First Line,81,1682.3166666667,19,29,37,1987-08-24,SVN,SVN,75,225,2005,1,11,11,,
