Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2016-2017,Adam Cracknell,DAL,F,263.0,187.0,,,262.0,307.0,219.0,253.0,286.0,357.0,53.0,72.0,124.0,346.0,Bottom 6,69,721.75,10,3,39,1985-07-15,CAN,CAN,74,209,2004,9,21,279,,
2016-2017,Adam Erne,TBL,F,349.0,64.0,,,343.0,61.0,179.0,314.0,256.0,433.0,181.0,27.0,,370.0,Bottom 6,26,306.98333333333,3,0,30,1995-04-20,USA,USA,73,212,2013,2,3,33,,
2016-2017,Adam Henrique,NJD,F,293.0,82.0,119.0,32.0,351.0,161.0,329.0,100.0,259.0,262.0,163.0,284.0,93.0,116.0,First Line,82,1490.1166666667,20,13,35,1990-02-06,CAN,CAN,72,195,2008,3,21,82,,
2016-2017,Adam Lowry,WPG,F,320.0,93.0,231.0,124.0,254.0,136.0,378.0,286.0,344.0,321.0,292.0,45.0,80.0,267.0,Second Line,82,1316.0333333333,15,7,32,1993-03-29,USA,USA,78,208,2011,3,6,67,,
2016-2017,Adrian Kempe,LAK,F,351.0,131.0,,,110.0,16.0,286.0,389.0,245.0,232.0,179.0,228.0,148.0,368.0,Bottom 6,25,305.76666666667,2,3,28,1996-09-13,SWE,SWE,74,200,2014,1,29,29,,
2016-2017,Alan Quine,NYI,F,341.0,431.0,201.0,,249.0,432.0,310.0,390.0,328.0,282.0,342.0,168.0,139.0,326.0,Bottom 6,61,763.76666666667,5,6,32,1993-02-25,CAN,CAN,72,203,2013,6,15,166,,
2016-2017,Aleksander Barkov,FLA,F,43.0,66.0,96.0,115.0,151.0,77.0,191.0,42.0,241.0,48.0,36.0,377.0,92.0,37.0,First Line,61,1184.1,21,21,29,1995-09-02,FIN,FIN,75,215,2013,1,2,2,,
2016-2017,Alex Chiasson,CGY,F,315.0,157.0,245.0,27.0,272.0,124.0,346.0,275.0,165.0,347.0,401.0,171.0,,335.0,Bottom 6,81,1084.4833333333,12,5,34,1990-10-01,CAN,CAN,76,208,2009,2,8,38,,
2016-2017,Alex Galchenyuk,MTL,F,75.0,378.0,70.0,,41.0,372.0,133.0,38.0,4.0,65.0,196.0,307.0,165.0,88.0,Second Line,61,971.71666666667,17,16,31,1994-02-12,USA,USA,73,194,2012,1,3,3,,
2016-2017,Alex Killorn,TBL,F,165.0,269.0,150.0,148.0,142.0,141.0,202.0,201.0,78.0,177.0,245.0,237.0,,167.0,First Line,81,1458.2333333333,19,11,35,1989-09-14,CAN,CAN,73,194,2007,3,16,77,,
2016-2017,Alex Ovechkin,WSH,F,11.0,362.0,1.0,,130.0,292.0,1.0,1.0,93.0,143.0,264.0,75.0,,1.0,First Line,82,1506.0166666667,33,20,39,1985-09-17,RUS,RUS,75,238,2004,1,1,1,,
2016-2017,Alexander Burmistrov,"ARI, WPG",F,419.0,410.0,257.0,187.0,388.0,386.0,402.0,378.0,266.0,253.0,187.0,167.0,126.0,344.0,Bottom 6,49,654.43333333333,5,8,33,1991-10-21,RUS,RUS,73,180,2010,1,8,8,,
2016-2017,Alexander Radulov,MTL,F,188.0,249.0,193.0,,91.0,217.0,277.0,210.0,40.0,31.0,386.0,270.0,,118.0,First Line,76,1390.0833333333,18,26,39,1986-07-05,RUS,RUS,73,200,2004,1,15,15,,
2016-2017,Alexander Steen,STL,F,209.0,111.0,54.0,57.0,198.0,149.0,248.0,192.0,157.0,51.0,200.0,369.0,84.0,57.0,First Line,76,1467.2333333333,16,20,41,1984-03-01,CAN,SWE,72,211,2002,1,24,24,,
2016-2017,Alexander Wennberg,CBJ,F,283.0,79.0,65.0,208.0,81.0,189.0,388.0,351.0,38.0,21.0,38.0,338.0,103.0,156.0,First Line,80,1470.2,13,27,30,1994-09-22,SWE,SWE,74,190,2013,1,14,14,,
2016-2017,Alexandre Burrows,"OTT, VAN",F,236.0,262.0,238.0,81.0,269.0,309.0,162.0,202.0,188.0,255.0,230.0,212.0,,207.0,Bottom 6,75,1098.0833333333,15,10,44,1981-04-11,CAN,CAN,73,197,-,-,-,-,,
2016-2017,Anders Lee,NYI,F,37.0,335.0,44.0,,55.0,355.0,52.0,18.0,111.0,181.0,396.0,78.0,,101.0,Second Line,81,1262.65,34,11,35,1990-07-03,USA,USA,75,235,2009,6,1,152,,
2016-2017,Andre Burakovsky,WSH,F,58.0,257.0,216.0,,43.0,268.0,130.0,107.0,73.0,164.0,218.0,346.0,204.0,190.0,Bottom 6,64,848.85,12,9,30,1995-02-09,AUT,SWE,75,209,2013,1,23,23,,
2016-2017,Andreas Athanasiou,DET,F,45.0,359.0,247.0,,330.0,342.0,67.0,11.0,13.0,322.0,1.0,321.0,194.0,219.0,Bottom 6,64,861.71666666667,18,5,30,1994-08-06,CAN,CAN,74,190,2012,4,19,110,,
2016-2017,Andreas Martinsen,"COL, MTL",F,413.0,142.0,,,424.0,262.0,301.0,401.0,332.0,350.0,381.0,13.0,,394.0,Bottom 6,64,637.0,3,3,35,1990-06-13,NOR,NOR,75,225,-,-,-,-,,
2016-2017,Andrew Cogliano,ANA,F,117.0,313.0,,61.0,28.0,219.0,138.0,234.0,291.0,194.0,174.0,182.0,,209.0,Bottom 6,82,1241.3166666667,16,10,38,1987-06-14,CAN,CAN,70,179,2005,1,25,25,,
2016-2017,Andrew Copp,WPG,F,295.0,105.0,,93.0,359.0,37.0,354.0,241.0,350.0,316.0,321.0,119.0,118.0,379.0,Bottom 6,64,789.95,9,6,31,1994-07-08,USA,USA,73,199,2013,4,13,104,,
2016-2017,Andrew Desjardins,CHI,F,389.0,250.0,,170.0,252.0,259.0,292.0,420.0,399.0,426.0,155.0,74.0,201.0,404.0,Bottom 6,46,432.46666666667,0,0,38,1986-07-27,CAN,CAN,73,195,-,-,-,-,,
2016-2017,Andrew Ladd,NYI,F,164.0,346.0,111.0,66.0,208.0,356.0,159.0,61.0,134.0,289.0,367.0,141.0,,109.0,Second Line,78,1261.7,23,7,39,1985-12-12,CAN,CAN,75,205,2004,1,4,4,,
2016-2017,Andrew Shaw,MTL,F,213.0,183.0,163.0,,125.0,171.0,139.0,204.0,257.0,285.0,278.0,81.0,52.0,194.0,Bottom 6,68,1033.7166666667,12,7,33,1991-07-20,CAN,CAN,71,182,2011,5,18,139,,
2016-2017,Andy Andreoff,LAK,F,331.0,348.0,,,157.0,274.0,316.0,365.0,82.0,394.0,423.0,42.0,192.0,426.0,Bottom 6,36,381.46666666667,0,2,34,1991-05-17,CAN,CAN,73,208,2011,3,19,80,,
2016-2017,Anthony Beauvillier,NYI,F,281.0,432.0,,,373.0,431.0,241.0,294.0,237.0,231.0,343.0,185.0,146.0,283.0,Bottom 6,66,859.38333333333,9,8,28,1997-06-08,CAN,CAN,71,180,2015,1,28,28,,
2016-2017,Anthony Duclair,ARI,F,258.0,327.0,181.0,,188.0,345.0,333.0,237.0,55.0,202.0,242.0,390.0,,269.0,Bottom 6,58,771.36666666667,5,6,29,1995-08-26,CAN,CAN,71,197,2013,3,19,80,,
2016-2017,Anthony Mantha,DET,F,146.0,113.0,207.0,,270.0,89.0,132.0,81.0,267.0,303.0,301.0,287.0,,137.0,Second Line,60,954.7,17,6,30,1994-09-16,CAN,CAN,77,234,2013,1,20,20,,
2016-2017,Antoine Roussel,DAL,F,86.0,261.0,248.0,34.0,6.0,296.0,315.0,193.0,310.0,182.0,351.0,124.0,,213.0,Second Line,60,931.1,12,11,35,1989-11-21,FRA,FRA,71,200,-,-,-,-,,
2016-2017,Antoine Vermette,ANA,F,352.0,283.0,91.0,90.0,147.0,324.0,383.0,270.0,239.0,209.0,405.0,278.0,2.0,203.0,Second Line,72,1145.05,9,10,42,1982-07-20,CAN,CAN,73,197,2000,2,25,55,,
2016-2017,Anton Lander,EDM,F,395.0,291.0,272.0,199.0,261.0,159.0,418.0,412.0,407.0,374.0,358.0,130.0,16.0,403.0,Bottom 6,22,215.03333333333,1,1,34,1991-04-24,SWE,SWE,72,184,2009,2,10,40,,
2016-2017,Anton Slepyshev,EDM,F,294.0,360.0,,,349.0,383.0,189.0,332.0,331.0,327.0,299.0,107.0,,361.0,Bottom 6,41,455.7,4,3,31,1994-05-13,RUS,RUS,74,221,2013,3,27,88,,
2016-2017,Anze Kopitar,LAK,F,161.0,44.0,34.0,69.0,7.0,36.0,295.0,250.0,185.0,41.0,35.0,292.0,20.0,56.0,First Line,76,1578.2333333333,12,22,37,1987-08-24,SVN,SVN,75,225,2005,1,11,11,,
2016-2017,Artem Anisimov,CHI,F,191.0,300.0,142.0,169.0,226.0,321.0,338.0,84.0,16.0,168.0,261.0,394.0,104.0,134.0,Second Line,64,1142.15,22,12,37,1988-05-24,RUS,RUS,76,199,2006,2,24,54,,
2016-2017,Artemi Panarin,CHI,F,82.0,385.0,170.0,,134.0,300.0,135.0,39.0,8.0,26.0,129.0,415.0,,38.0,First Line,82,1596.6333333333,31,27,33,1991-10-30,RUS,RUS,72,173,-,-,-,-,,
2016-2017,Artturi Lehkonen,MTL,F,104.0,246.0,206.0,,233.0,212.0,63.0,86.0,389.0,393.0,248.0,250.0,,210.0,Bottom 6,73,1011.7,18,3,30,1995-07-04,FIN,FIN,71,179,2013,2,25,55,,
2016-2017,Austin Czarnik,BOS,F,317.0,37.0,199.0,,207.0,32.0,303.0,359.0,146.0,298.0,82.0,392.0,,330.0,Bottom 6,49,637.78333333333,5,5,32,1992-12-12,USA,USA,69,170,-,-,-,-,,
2016-2017,Austin Watson,NSH,F,381.0,1.0,,161.0,417.0,10.0,341.0,407.0,431.0,276.0,400.0,80.0,,355.0,Bottom 6,77,956.8,5,9,33,1992-01-13,USA,USA,76,204,2010,1,18,18,,
2016-2017,Auston Matthews,TOR,F,13.0,306.0,184.0,,232.0,413.0,17.0,7.0,47.0,97.0,78.0,427.0,144.0,16.0,Second Line,82,1445.75,40,20,27,1997-09-17,USA,USA,75,208,2016,1,1,1,,
2016-2017,Beau Bennett,NJD,F,177.0,205.0,251.0,,163.0,92.0,148.0,238.0,218.0,302.0,356.0,115.0,,285.0,Bottom 6,65,881.26666666667,8,7,33,1991-11-27,USA,USA,74,195,2010,1,20,20,,
2016-2017,Ben Smith,"COL, TOR",F,393.0,53.0,,139.0,353.0,252.0,414.0,391.0,420.0,379.0,173.0,249.0,32.0,367.0,Bottom 6,40,458.65,2,1,36,1988-07-11,USA,USA,71,203,2008,6,18,169,,
2016-2017,Benoit Pouliot,EDM,F,202.0,319.0,229.0,134.0,162.0,326.0,289.0,174.0,71.0,210.0,291.0,293.0,,206.0,Bottom 6,67,941.61666666667,8,5,38,1986-09-29,CAN,CAN,75,200,2005,1,4,4,,
2016-2017,Blake Coleman,NJD,F,430.0,74.0,,,421.0,142.0,348.0,427.0,409.0,418.0,430.0,52.0,156.0,392.0,Bottom 6,23,295.46666666667,1,1,33,1991-11-28,USA,USA,71,199,2011,3,14,75,,
2016-2017,Blake Comeau,COL,F,301.0,199.0,264.0,125.0,257.0,140.0,266.0,305.0,308.0,290.0,283.0,94.0,163.0,240.0,Bottom 6,77,1153.8166666667,8,6,39,1986-02-18,CAN,CAN,73,200,2004,2,17,47,,
