Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2016-2017,Aaron Ekblad,FLA,D,44.0,163.0,46.0,11.0,158.0,58.0,8.0,24.0,135.0,26.0,154.0,112.0,,39.0,Second Pair,68,1459.2833333333,10,11,21,11.55,39.47,48.62,20,1996-02-07,CAN,CAN,76,215,2014,1,1,8477932.0
2016-2017,Adam Clendening,NYR,D,59.0,94.0,103.0,,43.0,30.0,42.0,127.0,103.0,1.0,140.0,162.0,,123.0,Third Pair,31,490.1,2,9,11,1.2,52.94,55.82,23,1992-10-26,USA,USA,72,194,2011,2,36,8476431.0
2016-2017,Adam Larsson,EDM,D,178.0,54.0,,55.0,130.0,86.0,186.0,145.0,190.0,221.0,204.0,26.0,,100.0,Second Pair,79,1591.85,4,15,19,3.33,56.35,51.09,23,1992-11-12,SWE,SWE,75,209,2011,1,4,8476457.0
2016-2017,Adam McQuaid,BOS,D,194.0,26.0,,7.0,78.0,51.0,204.0,185.0,213.0,59.0,157.0,31.0,,166.0,Second Pair,77,1405.0,2,8,10,2.13,45.88,53.30,29,1986-10-12,CAN,CAN,76,210,2005,2,55,8471717.0
2016-2017,Adam Pelech,NYI,D,214.0,171.0,,1.0,217.0,208.0,170.0,50.0,217.0,144.0,4.0,64.0,,137.0,Third Pair,44,740.7,3,7,10,1.39,44.83,40.95,22,1994-08-16,CAN,CAN,75,210,2012,3,65,8476917.0
2016-2017,Alec Martinez,LAK,D,49.0,45.0,10.0,9.0,12.0,79.0,113.0,60.0,102.0,68.0,104.0,74.0,,31.0,Second Pair,82,1774.5833333333,9,30,39,9.21,42.86,56.04,29,1987-07-26,USA,USA,73,210,2007,4,95,8474166.0
2016-2017,Alex Biega,VAN,D,190.0,190.0,,,191.0,184.0,58.0,216.0,205.0,77.0,205.0,8.0,,218.0,Third Pair,36,474.06666666667,0,3,3,1.42,44.00,44.13,28,1988-04-04,CAN,CAN,70,195,2006,5,147,8473415.0
2016-2017,Alex Goligoski,ARI,D,69.0,220.0,97.0,121.0,53.0,220.0,133.0,100.0,50.0,194.0,80.0,109.0,,56.0,First Pair,82,1913.0,6,30,36,4.75,46.15,42.43,31,1985-07-30,USA,USA,71,173,2004,2,61,8471274.0
2016-2017,Alex Petrovic,FLA,D,136.0,103.0,,73.0,133.0,109.0,159.0,179.0,47.0,218.0,198.0,22.0,,165.0,Second Pair,49,889.35,1,13,14,2.57,46.88,49.70,24,1992-03-03,CAN,CAN,76,220,2010,2,36,
2016-2017,Alex Pietrangelo,STL,D,29.0,22.0,71.0,48.0,88.0,105.0,39.0,43.0,23.0,179.0,39.0,212.0,,10.0,First Pair,80,2022.55,14,34,48,9.41,55.28,50.85,26,1990-01-18,CAN,CAN,75,215,2008,1,4,8474565.0
