Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2023-2024,Aaron Ekblad,FLA,D,14.0,119.0,14.0,89.0,9.0,36.0,22.0,56.0,44.0,126.0,230.0,135.0,,43.0,Second Pair,51,1064.0,4,14,18,6.12,68.00,58.49,27,1996-02-07,CAN,CAN,76,215,2014,1,1,8477932.0
2023-2024,Adam Boqvist,CBJ,D,118.0,248.0,33.0,,67.0,244.0,157.0,58.0,218.0,18.0,5.0,235.0,,110.0,Second Pair,35,639.91666666667,1,9,10,3.41,48.15,45.26,23,2000-08-15,SWE,SWE,72,182,2018,1,8,8480871.0
2023-2024,Adam Fox,NYR,D,36.0,19.0,13.0,11.0,51.0,44.0,106.0,13.0,29.0,56.0,19.0,234.0,,5.0,First Pair,72,1687.9333333333,17,56,73,11.01,59.57,52.18,25,1998-02-17,USA,USA,71,182,2016,3,66,8479323.0
2023-2024,Adam Larsson,SEA,D,95.0,34.0,,142.0,116.0,52.0,74.0,103.0,123.0,23.0,166.0,61.0,,71.0,First Pair,81,1858.55,4,14,18,6.5,53.77,48.46,30,1992-11-12,SWE,SWE,75,209,2011,1,4,8476457.0
2023-2024,Adam Pelech,NYI,D,88.0,137.0,,135.0,99.0,134.0,97.0,209.0,54.0,233.0,86.0,137.0,,87.0,Second Pair,58,1176.3333333333,1,15,16,3.72,48.19,49.3,29,1994-08-16,CAN,CAN,75,210,2012,3,65,8476917.0
2023-2024,Alec Martinez,VGK,D,137.0,21.0,,30.0,120.0,230.0,153.0,104.0,181.0,154.0,34.0,212.0,,53.0,Second Pair,55,1047.4333333333,4,13,17,2.5,48.31,44.98,36,1987-07-26,USA,USA,73,210,2007,4,95,
2023-2024,Alex Goligoski,MIN,D,157.0,100.0,39.0,,184.0,104.0,178.0,242.0,42.0,101.0,187.0,168.0,,175.0,Third Pair,36,533.1,0,10,10,2.01,41.86,47.09,38,1985-07-30,USA,USA,71,173,2004,2,61,
2023-2024,Alex Pietrangelo,VGK,D,37.0,66.0,51.0,108.0,42.0,220.0,28.0,74.0,64.0,63.0,21.0,207.0,,18.0,First Pair,64,1508.2,4,29,33,7.06,47.41,49.29,33,1990-01-18,CAN,CAN,75,215,2008,1,4,8474565.0
2023-2024,Alex Vlasic,CHI,D,246.0,38.0,,88.0,231.0,173.0,238.0,220.0,243.0,187.0,64.0,191.0,,128.0,Second Pair,76,1632.3833333333,2,14,16,3.91,49.50,46.69,22,2001-06-05,USA,USA,78,199,2019,2,43,8481568.0
2023-2024,Alexander Alexeyev,WSH,D,245.0,18.0,,,236.0,50.0,228.0,231.0,239.0,219.0,90.0,98.0,,237.0,Third Pair,39,534.15,1,2,3,0.48,40.54,49.7,23,1999-11-15,RUS,RUS,76,213,2018,1,31,8480823.0
