Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2012-2013,Aaron Rome,DAL,D,139.0,136.0,,156.0,165.0,161.0,167.0,132.0,32.0,178.0,177.0,33.0,,172.0,Third Pair,27,414.01666666667,0,5,5,0.55,46.67,42.39,28,1983-09-27,CAN,CAN,73,220,2002,4,104,8470310
2012-2013,Adam Larsson,NJD,D,181.0,25.0,,24.0,186.0,10.0,157.0,173.0,92.0,111.0,59.0,110.0,,164.0,Second Pair,37,669.75,0,6,6,0.86,51.16,50.35,19,1992-11-12,SWE,SWE,75,209,2011,1,4,8476457
2012-2013,Adam McQuaid,BOS,D,129.0,15.0,,,111.0,47.0,104.0,93.0,147.0,36.0,172.0,20.0,,170.0,Third Pair,32,457.35,1,3,4,1.27,48.28,53.28,25,1986-10-12,CAN,CAN,76,210,2005,2,55,8471717
2012-2013,Adrian Aucoin,CBJ,D,157.0,154.0,,107.0,172.0,76.0,119.0,170.0,112.0,74.0,160.0,95.0,,190.0,Third Pair,36,588.0,0,4,4,0.58,40.63,44.65,39,1973-07-03,CAN,CAN,74,215,1992,5,117,8459053
2012-2013,Alec Martinez,LAK,D,92.0,6.0,89.0,,46.0,4.0,48.0,100.0,180.0,6.0,80.0,90.0,,137.0,Third Pair,27,432.61666666667,1,4,5,1.5,38.89,61.54,25,1987-07-26,USA,USA,73,210,2007,4,95,8474166
2012-2013,Alex Goligoski,DAL,D,34.0,159.0,59.0,58.0,64.0,88.0,22.0,20.0,79.0,80.0,31.0,126.0,,31.0,First Pair,47,1052.1166666667,3,24,27,5.04,56.16,49.63,27,1985-07-30,USA,USA,71,173,2004,2,61,8471274
2012-2013,Alex Pietrangelo,STL,D,22.0,42.0,22.0,7.0,82.0,55.0,17.0,68.0,16.0,54.0,10.0,175.0,,8.0,First Pair,47,1180.3,5,19,24,5.55,51.43,50.57,22,1990-01-18,CAN,CAN,75,215,2008,1,4,8474565
2012-2013,Alexander Edler,VAN,D,27.0,98.0,20.0,31.0,72.0,128.0,14.0,38.0,47.0,5.0,50.0,70.0,,6.0,First Pair,45,1073.1666666667,8,14,22,5.29,47.37,49.41,26,1986-04-21,SWE,SWE,76,210,2004,3,91,8471303
2012-2013,Alexei Emelin,MTL,D,85.0,172.0,,125.0,84.0,97.0,158.0,80.0,38.0,106.0,17.0,9.0,,141.0,Second Pair,38,747.33333333333,3,9,12,1.75,50.98,53.44,26,1986-04-25,RUS,RUS,74,218,2004,3,84,8471296
2012-2013,Andre Benoit,OTT,D,19.0,18.0,29.0,,8.0,65.0,19.0,15.0,145.0,17.0,90.0,132.0,,64.0,Third Pair,33,541.78333333333,3,7,10,2.94,50.00,55.11,28,1984-01-06,CAN,CAN,71,190,-,-,-,8470378
2012-2013,Andrei Markov,MTL,D,118.0,173.0,18.0,152.0,48.0,91.0,133.0,86.0,166.0,69.0,37.0,189.0,,19.0,First Pair,48,1158.2166666667,10,20,30,5.45,45.90,52.0,33,1978-12-20,RUS,RUS,72,200,1998,6,162,8467496
2012-2013,Andrej Sekera,BUF,D,131.0,157.0,100.0,74.0,162.0,176.0,150.0,81.0,49.0,138.0,30.0,158.0,,101.0,Second Pair,37,784.7,2,10,12,2.06,46.00,41.6,26,1986-06-08,SVK,SVK,72,200,2004,3,71,8471284
2012-2013,Andrew Ference,BOS,D,60.0,161.0,,43.0,98.0,96.0,52.0,51.0,50.0,48.0,110.0,92.0,,106.0,Second Pair,48,935.5,4,9,13,2.98,51.72,52.12,33,1979-03-17,CAN,CAN,71,182,1997,8,208,8466333
2012-2013,Andrew MacDonald,NYI,D,156.0,56.0,87.0,135.0,57.0,175.0,179.0,126.0,181.0,107.0,47.0,183.0,,57.0,First Pair,48,1129.15,3,9,12,2.92,44.78,49.79,25,1986-09-07,CAN,CAN,73,204,2006,6,160,8473584
2012-2013,Andy Greene,NJD,D,167.0,1.0,82.0,11.0,171.0,5.0,143.0,144.0,130.0,93.0,18.0,152.0,,86.0,First Pair,48,1105.9666666667,4,12,16,3.18,59.18,57.23,29,1982-10-30,USA,USA,71,190,-,-,-,8472382
2012-2013,Anton Stralman,NYR,D,33.0,82.0,98.0,4.0,21.0,48.0,67.0,33.0,95.0,24.0,94.0,73.0,,136.0,Second Pair,48,866.3,4,3,7,3.36,59.09,56.26,26,1986-08-01,SWE,SWE,71,193,2005,7,216,8471873
2012-2013,Anton Volchenkov,NJD,D,102.0,10.0,,32.0,102.0,11.0,60.0,109.0,119.0,110.0,184.0,35.0,,155.0,Third Pair,37,593.95,1,4,5,1.44,38.71,55.54,30,1982-02-25,RUS,RUS,73,220,2000,1,21,8468501
2012-2013,Barret Jackman,STL,D,142.0,22.0,,15.0,153.0,62.0,137.0,92.0,121.0,144.0,66.0,94.0,,111.0,Second Pair,46,888.78333333333,3,9,12,0.8,53.45,47.62,31,1981-03-05,CAN,CAN,72,203,1999,1,17,8467890
2012-2013,Ben Lovejoy,ANA,D,36.0,28.0,,85.0,52.0,37.0,15.0,128.0,53.0,41.0,161.0,40.0,,113.0,Third Pair,35,623.91666666667,0,10,10,2.14,53.85,53.96,28,1984-02-20,USA,USA,73,205,-,-,-,8473933
2012-2013,Ben Lovejoy,PIT,D,36.0,28.0,,85.0,52.0,37.0,15.0,128.0,53.0,41.0,161.0,40.0,,113.0,Third Pair,35,623.91666666667,0,10,10,2.14,53.85,53.96,28,1984-02-20,USA,USA,73,205,-,-,-,8473933
2012-2013,Bobby Sanguinetti,CAR,D,3.0,140.0,,14.0,1.0,164.0,12.0,21.0,34.0,3.0,2.0,61.0,,152.0,Third Pair,37,545.85,2,4,6,2.1,42.50,55.66,24,1988-02-29,USA,USA,75,188,2006,1,21,8473610
2012-2013,Brad Stuart,SJS,D,122.0,103.0,,76.0,63.0,94.0,138.0,145.0,113.0,142.0,19.0,77.0,,128.0,Second Pair,48,981.96666666667,0,6,6,1.97,53.57,52.7,32,1979-11-06,CAN,CAN,74,215,1998,1,3,8467331
2012-2013,Braydon Coburn,PHI,D,97.0,167.0,,78.0,117.0,165.0,95.0,95.0,63.0,148.0,181.0,38.0,,110.0,First Pair,33,746.33333333333,1,4,5,2.12,40.43,44.34,27,1985-02-27,CAN,CAN,77,224,2003,1,8,8470601
2012-2013,Brendan Smith,DET,D,173.0,54.0,104.0,149.0,115.0,7.0,160.0,187.0,179.0,27.0,12.0,163.0,,160.0,Second Pair,34,625.63333333333,0,8,8,1.57,50.00,53.58,23,1989-02-08,CAN,CAN,74,200,2007,1,27,8474090
2012-2013,Brenden Dillon,DAL,D,50.0,153.0,,147.0,55.0,132.0,32.0,50.0,115.0,184.0,179.0,19.0,,107.0,Second Pair,48,1026.2333333333,3,5,8,3.26,49.25,48.96,21,1990-11-13,CAN,CAN,76,224,-,-,-,8475455
