Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2018-2019,Aaron Ekblad,FLA,D,78.0,225.0,17.0,95.0,104.0,197.0,56.0,28.0,157.0,164.0,112.0,148.0,,42.0,First Pair,82,1938.8166666667,13,24,37,9.49,49.07,48.43,22,1996-02-07,CAN,CAN,76,215,2014,1,1,8477932.0
2018-2019,Adam Larsson,EDM,D,152.0,139.0,,75.0,83.0,148.0,158.0,164.0,182.0,224.0,180.0,13.0,,106.0,Second Pair,82,1773.1,3,17,20,4.04,36.89,48.03,25,1992-11-12,SWE,SWE,75,209,2011,1,4,8476457.0
2018-2019,Adam McQuaid,CBJ,D,220.0,36.0,,19.0,183.0,107.0,218.0,111.0,231.0,88.0,224.0,15.0,,195.0,Third Pair,50,788.86666666667,3,4,7,1.62,49.06,47.79,31,1986-10-12,CAN,CAN,76,210,2005,2,55,8471717.0
2018-2019,Adam McQuaid,NYR,D,220.0,36.0,,19.0,183.0,107.0,218.0,111.0,231.0,88.0,224.0,15.0,,195.0,Third Pair,50,788.86666666667,3,4,7,1.62,49.06,47.79,31,1986-10-12,CAN,CAN,76,210,2005,2,55,8471717.0
2018-2019,Adam Pelech,NYI,D,117.0,35.0,,153.0,122.0,98.0,98.0,80.0,129.0,212.0,115.0,66.0,,119.0,Second Pair,78,1453.1,5,16,21,4.67,61.45,51.91,24,1994-08-16,CAN,CAN,75,210,2012,3,65,8476917.0
2018-2019,Alec Martinez,LAK,D,179.0,156.0,54.0,38.0,106.0,188.0,211.0,67.0,203.0,170.0,96.0,135.0,,55.0,Second Pair,60,1281.7833333333,4,14,18,4.25,50.00,47.64,31,1987-07-26,USA,USA,73,210,2007,4,95,8474166.0
2018-2019,Alex Biega,VAN,D,22.0,153.0,,,96.0,132.0,5.0,116.0,26.0,67.0,206.0,12.0,,98.0,Third Pair,41,724.51666666667,2,14,16,3.08,48.39,51.15,30,1988-04-04,CAN,CAN,70,195,2006,5,147,8473415.0
2018-2019,Alex Goligoski,ARI,D,130.0,162.0,81.0,23.0,86.0,194.0,165.0,151.0,103.0,183.0,50.0,144.0,,61.0,Second Pair,76,1581.8833333333,3,24,27,4.34,47.92,52.23,33,1985-07-30,USA,USA,71,173,2004,2,61,8471274.0
2018-2019,Alex Petrovic,EDM,D,197.0,141.0,,18.0,180.0,147.0,95.0,208.0,217.0,49.0,221.0,7.0,,193.0,Third Pair,35,578.41666666667,0,2,2,1.93,25.71,43.75,26,1992-03-03,CAN,CAN,76,220,2010,2,36,
2018-2019,Alex Pietrangelo,STL,D,37.0,24.0,57.0,39.0,45.0,97.0,53.0,33.0,88.0,126.0,13.0,201.0,,12.0,First Pair,71,1709.2833333333,13,28,41,10.18,53.51,53.1,28,1990-01-18,CAN,CAN,75,215,2008,1,4,8474565.0
2018-2019,Alexander Edler,VAN,D,159.0,25.0,8.0,28.0,213.0,166.0,64.0,94.0,164.0,210.0,223.0,51.0,,8.0,First Pair,56,1375.9166666667,10,24,34,4.9,46.05,46.54,32,1986-04-21,SWE,SWE,76,210,2004,3,91,8471303.0
2018-2019,Andrew MacDonald,PHI,D,190.0,71.0,,33.0,198.0,142.0,182.0,183.0,122.0,185.0,79.0,196.0,,122.0,Third Pair,47,770.53333333333,0,9,9,1.78,45.31,48.02,31,1986-09-07,CAN,CAN,73,204,2006,6,160,8473584.0
