Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2011-2012,Aaron Johnson,CBJ,D,78.0,115.0,72.0,30.0,139.0,147.0,112.0,80.0,27.0,152.0,20.0,48.0,,139.0,Third Pair,56,924.4,3,13,16,3.16,43.08,50.72,28,1983-04-30,CAN,CAN,73,204,2001,3,85,8469534
2011-2012,Aaron Rome,VAN,D,142.0,81.0,,,117.0,112.0,124.0,75.0,190.0,191.0,214.0,52.0,,179.0,Third Pair,43,654.73333333333,4,6,10,1.96,44.44,48.91,27,1983-09-27,CAN,CAN,73,220,2002,4,104,8470310
2011-2012,Adam Larsson,NJD,D,199.0,98.0,104.0,,212.0,14.0,181.0,163.0,143.0,125.0,95.0,114.0,,164.0,Second Pair,65,1340.3333333333,2,16,18,2.53,47.13,50.3,18,1992-11-12,SWE,SWE,75,209,2011,1,4,8476457
2011-2012,Adam McQuaid,BOS,D,153.0,17.0,,3.0,184.0,58.0,114.0,116.0,135.0,122.0,115.0,47.0,,177.0,Third Pair,72,1076.5666666667,2,8,10,1.72,59.15,48.47,24,1986-10-12,CAN,CAN,76,210,2005,2,55,8471717
2011-2012,Adam Pardy,DAL,D,175.0,27.0,,77.0,143.0,38.0,121.0,198.0,187.0,80.0,101.0,92.0,,190.0,Third Pair,36,592.9,0,3,3,1.02,40.91,48.61,27,1984-03-29,CAN,CAN,76,227,2004,6,173,8471385
2011-2012,Adrian Aucoin,PHX,D,98.0,159.0,,162.0,94.0,101.0,53.0,148.0,139.0,154.0,193.0,90.0,,162.0,Second Pair,64,1295.8666666667,2,7,9,3.12,57.53,49.74,38,1973-07-03,CAN,CAN,74,215,1992,5,117,8459053
2011-2012,Alec Martinez,LAK,D,36.0,4.0,12.0,,49.0,1.0,34.0,15.0,122.0,10.0,75.0,106.0,,124.0,Third Pair,51,750.71666666667,6,6,12,4.74,50.00,61.37,24,1987-07-26,USA,USA,73,210,2007,4,95,8474166
2011-2012,Alex Goligoski,DAL,D,33.0,100.0,76.0,53.0,70.0,42.0,30.0,12.0,97.0,76.0,32.0,189.0,,39.0,First Pair,71,1616.7666666667,9,21,30,7.78,51.02,54.24,26,1985-07-30,USA,USA,71,173,2004,2,61,8471274
2011-2012,Alex Pietrangelo,STL,D,10.0,37.0,9.0,14.0,41.0,33.0,10.0,31.0,25.0,100.0,24.0,179.0,,8.0,First Pair,81,2003.2333333333,12,39,51,13.22,56.63,55.51,21,1990-01-18,CAN,CAN,75,215,2008,1,4,8474565
2011-2012,Alexander Edler,VAN,D,18.0,95.0,6.0,87.0,77.0,133.0,14.0,48.0,29.0,6.0,110.0,89.0,,6.0,First Pair,82,1956.9,11,38,49,11.31,46.85,46.59,25,1986-04-21,SWE,SWE,76,210,2004,3,91,8471303
2011-2012,Alexander Sulzer,BUF,D,56.0,121.0,,,44.0,129.0,88.0,13.0,124.0,121.0,45.0,181.0,,120.0,Third Pair,27,481.23333333333,3,6,9,1.78,60.98,50.18,27,1984-05-30,DEU,DEU,73,198,2003,3,92,8470685
2011-2012,Alexander Sulzer,VAN,D,56.0,121.0,,,44.0,129.0,88.0,13.0,124.0,121.0,45.0,181.0,,120.0,Third Pair,27,481.23333333333,3,6,9,1.78,60.98,50.18,27,1984-05-30,DEU,DEU,73,198,2003,3,92,8470685
2011-2012,Alexei Emelin,MTL,D,184.0,226.0,,61.0,147.0,209.0,177.0,139.0,185.0,184.0,2.0,2.0,,195.0,Third Pair,67,1158.7666666667,3,4,7,2.91,37.50,47.18,25,1986-04-25,RUS,RUS,74,218,2004,3,84,8471296
