Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2021-2022,8478499,Adin Hill,SJS,G,55.1,56.5,53.6,68.1,33.3,76.8,72.5,71.0,14.5,69.6,69.6,52.2,10.1,32,31,33,23,47,17,20,21,59,22,22,34,63,69,Backup,25.0,1375.95,0.906,2.66,56.63,61.0,G,76.0,222.0,1996-05-11,CAN,2015.0,3.0,76.0,L,10,11,1,2,25,"[None, 37, 89, 58, 40]","[None, 37, 92, 49, 43]","[None, 63, 36, 76, 43]","[None, 'ARI', 'ARI', 'ARI', 'SJS']"
2021-2022,8477968,Alex Nedeljkovic,DET,G,95.7,94.2,79.7,27.5,73.9,95.7,30.4,15.9,66.7,89.9,88.4,66.7,79.7,4,5,15,51,19,4,49,59,23,8,9,24,15,69,Starter,59.0,3230.68,0.901,3.31,176.12,178.0,G,72.0,205.0,1996-01-07,USA,2014.0,2.0,37.0,L,20,24,9,4,25,"[None, None, None, 98, 53]","[None, None, None, 97, 53]","[None, None, None, 85, 49]","[None, None, None, 'CAR', 'DET']"
2021-2022,8480382,Alexandar Georgiev,NYR,G,40.6,43.5,63.8,79.7,47.8,46.4,79.7,72.5,36.2,36.2,42.0,30.4,36.2,42,40,26,15,37,38,15,20,44,45,41,49,45,69,Tandem (1B),33.0,1746.1,0.898,2.92,81.07,85.0,G,73.0,178.0,1996-02-10,BGR,,,,L,15,10,2,2,25,"[None, 75, 72, 46, 47]","[None, 59, 62, 40, 62]","[None, 100, 95, 87, 1]","[None, 'NYR', 'NYR', 'NYR', 'NYR']"
2021-2022,8476883,Andrei Vasilevskiy,TBL,G,89.9,89.9,27.5,47.8,84.1,79.7,73.9,55.1,76.8,85.5,85.5,79.7,98.6,8,8,51,37,12,15,19,32,16,11,11,15,2,69,Starter,63.0,3759.82,0.917,2.49,179.61,156.0,G,76.0,223.0,1994-07-25,RUS,2012.0,1.0,19.0,L,39,18,5,2,27,"[36, 72, 42, 91, 87]","[48, 62, 48, 92, 89]","[7, 93, 25, 53, 40]","['TBL', 'TBL', 'TBL', 'TBL', 'TBL']"
2021-2022,8476932,Anthony Stolarz,ANA,G,59.4,40.6,98.6,26.1,75.4,36.2,92.8,66.7,62.3,88.4,87.0,97.1,33.3,29,42,2,52,18,45,6,24,26,9,10,3,47,69,Backup,28.0,1506.42,0.917,2.67,72.72,67.0,G,78.0,248.0,1994-01-20,USA,2012.0,2.0,45.0,L,12,8,3,3,27,"[None, 45, None, None, 60]","[None, 40, None, None, 44]","[None, 59, None, None, 95]","[None, 'EDM', None, None, 'ANA']"
2021-2022,8476341,Anton Forsberg,OTT,G,87.0,72.5,100.0,58.0,17.4,88.4,46.4,17.4,71.0,53.6,53.6,92.8,89.9,10,20,1,30,58,9,38,58,20,33,33,6,8,69,Tandem (1A),46.0,2571.45,0.917,2.82,135.2,121.0,G,75.0,200.0,1992-11-27,SWE,2011.0,7.0,188.0,L,22,17,4,1,28,"[13, None, None, None, 82]","[13, None, None, None, 71]","[47, None, None, None, 97]","['CHI', None, None, None, 'OTT']"
2021-2022,8477293,Antti Raanta,CAR,G,85.5,82.6,95.7,34.8,92.8,52.2,23.2,30.4,31.9,87.0,89.9,65.2,21.7,11,13,4,46,6,34,54,49,47,10,8,25,55,69,Backup,28.0,1516.63,0.912,2.45,71.06,62.0,G,72.0,195.0,1989-05-12,FIN,,,,L,15,5,4,2,32,"[97, None, 62, 68, 91]","[95, None, 51, 62, 88]","[70, None, 87, 97, 78]","['ARI', None, 'ARI', 'ARI', 'CAR']"
2021-2022,8474651,Braden Holtby,DAL,G,17.4,15.9,21.7,62.3,46.4,4.3,33.3,8.7,29.0,42.0,40.6,21.7,42.0,58,59,55,27,38,67,47,64,49,41,42,55,41,69,Backup,24.0,1318.47,0.913,2.78,62.4,61.0,G,73.0,215.0,1989-09-16,CAN,2008.0,4.0,93.0,L,10,10,1,0,31,"[55, 78, 12, 18, 42]","[52, 81, 13, 13, 55]","[55, 10, 18, 81, 10]","['WSH', 'WSH', 'WSH', 'VAN', 'DAL']"
2021-2022,8470880,Brian Elliott,TBL,G,15.9,14.5,33.3,11.6,56.5,10.1,84.1,97.1,37.7,26.1,33.3,11.6,26.1,59,60,47,62,31,63,12,3,43,52,47,62,52,69,Backup,19.0,1064.07,0.912,2.42,45.33,43.0,G,74.0,221.0,1985-04-09,CAN,2003.0,9.0,291.0,L,11,4,3,1,36,"[67, 59, 24, 7, 59]","[82, 69, 27, 5, 60]","[4, 22, 42, 31, 56]","['PHI', 'PHI', 'PHI', 'PHI', 'TBL']"
2021-2022,8477361,Cal Petersen,LAK,G,72.5,78.3,39.1,49.3,20.3,84.1,8.7,21.7,43.5,76.8,76.8,68.1,65.2,20,16,43,36,56,12,64,55,39,17,17,23,25,69,Tandem (1B),37.0,2176.5,0.895,2.89,102.44,105.0,G,74.0,185.0,1994-10-19,USA,2013.0,5.0,129.0,R,20,14,2,3,26,"[None, None, None, 79, 39]","[None, None, None, 79, 46]","[None, None, None, 50, 37]","[None, None, None, 'LAK', 'LAK']"
