Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2024-2025,8478499,Adin Hill,VGK,G,55.9,50.0,73.5,89.7,61.8,23.5,69.1,57.4,44.1,57.4,55.9,75.0,54.4,31,35,19,8,27,53,22,30,39,30,31,18,32,68,Starter,50.0,2940.22,0.906,2.47,131.79,121.0,G,76.0,222.0,1996-05-11,CAN,2015.0,3.0,76.0,L,32,13,5,4,28,"[58, 40, 46, 54, 60]","[49, 43, 45, 38, 63]","[76, 43, 45, 97, 39]","['ARI', 'SJS', 'VGK', 'VGK', 'VGK']"
2024-2025,8482783,Aleksei Kolosov,PHI,G,5.9,7.4,23.5,4.4,77.9,1.5,36.8,73.5,1.5,1.5,1.5,5.9,7.4,65,64,53,66,16,68,44,19,67,68,68,65,64,68,Backup,17.0,901.88,0.867,3.59,43.41,54.0,G,73.0,185.0,2002-01-04,BLR,2021.0,3.0,78.0,L,5,9,1,0,22,"[None, None, None, None, 7]","[None, None, None, None, 7]","[None, None, None, None, 26]","[None, None, None, None, 'PHI']"
2024-2025,8479312,Alex Lyon,DET,G,47.1,42.6,70.6,39.7,58.8,44.1,54.4,30.9,76.5,86.8,86.8,17.6,36.8,37,40,21,42,29,39,32,48,17,10,10,57,44,68,Backup,30.0,1555.9,0.896,2.82,76.56,73.0,G,73.0,199.0,1992-12-09,USA,,,,L,14,9,1,1,31,"[None, None, 85, 38, 38]","[None, None, 81, 31, 45]","[None, None, 94, 62, 27]","[None, None, 'FLA', 'DET', 'DET']"
2024-2025,8477968,Alex Nedeljkovic,PIT,G,17.6,22.1,19.1,58.8,38.2,19.1,22.1,42.6,11.8,25.0,25.0,41.2,38.2,57,54,56,29,43,56,54,40,60,52,52,41,43,68,Tandem (1B),38.0,2150.85,0.894,3.12,106.24,112.0,G,72.0,205.0,1996-01-07,USA,2014.0,2.0,37.0,L,14,15,5,1,28,"[98, 53, 22, 35, 32]","[97, 53, 29, 39, 36]","[85, 49, 13, 39, 36]","['CAR', 'DET', 'DET', 'PIT', 'PIT']"
2024-2025,8480382,Alexandar Georgiev,SJS,G,19.1,25.0,14.7,11.8,32.4,45.6,38.2,54.4,32.4,32.4,32.4,42.6,89.7,56,52,59,61,47,38,43,32,47,47,47,40,8,68,Tandem (1A),49.0,2666.33,0.875,3.71,149.25,165.0,G,73.0,178.0,1996-02-10,BGR,,,,L,15,26,4,0,28,"[46, 47, 74, 25, 10]","[40, 62, 74, 25, 13]","[87, 1, 32, 45, 10]","['NYR', 'NYR', 'COL', 'COL', 'SJS']"
2024-2025,8476883,Andrei Vasilevskiy,TBL,G,77.9,73.5,86.8,32.4,52.9,79.4,47.1,50.0,77.9,72.1,72.1,72.1,95.6,16,19,10,47,33,15,37,35,16,20,20,20,4,68,Starter,63.0,3736.18,0.921,2.18,161.44,136.0,G,76.0,223.0,1994-07-25,RUS,2012.0,1.0,19.0,L,38,20,5,6,30,"[91, 87, 89, 14, 91]","[92, 89, 88, 12, 88]","[53, 40, 92, 67, 79]","['TBL', 'TBL', 'TBL', 'TBL', 'TBL']"
2024-2025,8476932,Anthony Stolarz,TOR,G,98.5,98.5,55.9,86.8,55.9,100.0,17.6,86.8,94.1,100.0,100.0,94.1,23.5,2,2,31,10,31,1,57,10,5,1,1,5,53,68,Tandem (1B),34.0,1983.37,0.926,2.15,95.71,71.0,G,78.0,248.0,1994-01-20,USA,2012.0,2.0,45.0,L,21,8,3,4,30,"[None, 60, 52, 100, 100]","[None, 44, 52, 100, 100]","[None, 95, 61, 53, 66]","[None, 'ANA', 'ANA', 'FLA', 'TOR']"
2024-2025,8476341,Anton Forsberg,OTT,G,25.0,27.9,25.0,47.1,25.0,42.6,48.5,83.8,85.3,26.5,26.5,13.2,25.0,52,50,52,37,52,40,36,12,11,51,51,60,52,68,Backup,30.0,1674.87,0.901,2.72,75.27,76.0,G,75.0,200.0,1992-11-27,SWE,2011.0,7.0,188.0,L,11,12,3,3,31,"[None, 82, 49, 8, 50]","[None, 71, 48, 11, 51]","[None, 97, 50, 25, 33]","[None, 'OTT', 'OTT', 'OTT', 'OTT']"
2024-2025,8482821,Arvid Soderblom,CHI,G,11.8,8.8,66.2,19.1,17.6,10.3,27.9,2.9,22.1,17.6,16.2,77.9,26.5,61,63,24,56,57,62,50,67,54,57,58,16,51,68,Tandem (1B),36.0,2091.5,0.898,3.18,115.26,111.0,G,75.0,180.0,1999-08-19,SWE,,,,L,10,18,7,0,25,"[None, None, 56, 2, 35]","[None, None, 61, 2, 14]","[None, None, 18, 15, 100]","[None, None, 'CHI', 'CHI', 'CHI']"
2024-2025,8475717,Calvin Pickard,EDM,G,33.8,51.5,4.4,20.6,63.2,54.4,83.8,94.1,4.4,7.4,8.8,83.8,27.9,46,34,66,55,26,32,12,5,65,64,63,12,50,68,Tandem (1B),36.0,1881.72,0.9,2.71,78.39,85.0,G,73.0,206.0,1992-04-15,CAN,2010.0,2.0,49.0,L,22,10,1,0,32,"[None, None, None, 67, 13]","[None, None, None, 81, 19]","[None, None, None, 8, 14]","[None, None, None, 'EDM', 'EDM']"
