Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2012-2013,8474765,Anders Lindback,TBL,G,28.1,21.1,86.0,31.6,66.7,15.8,91.2,78.9,26.3,22.8,19.3,45.6,21.1,42,46,9,40,20,49,6,13,43,44,46,32,46,57,Tandem (1A),24.0,1304.18,0.902,2.9,52.28,63.0,G,78.0,215.0,1988-05-03,SWE,2008.0,7.0,207.0,L,10,10,1,0,24,"[None, None, 56, 63, 14]","[None, None, 67, 60, 5]","[None, None, 17, 63, 100]","[None, None, 'NSH', 'NSH', 'TBL']"
2012-2013,8471418,Anton Khudobin,BOS,G,22.8,14.0,96.5,29.8,63.2,1.8,84.2,98.2,7.0,43.0,41.2,70.2,3.5,45,50,3,41,22,57,10,2,54,33,34,18,56,57,Backup,14.0,803.27,0.92,2.32,29.53,31.0,G,71.0,210.0,1986-05-07,KAZ,2004.0,7.0,206.0,L,9,4,1,1,26,"[None, None, None, None, 38]","[None, None, None, None, 24]","[None, None, None, None, 94]","[None, None, None, None, 'BOS']"
2012-2013,8474550,Antti Niemi,SJS,G,50.9,68.4,21.1,86.0,35.1,68.4,36.8,63.2,33.3,50.9,49.1,49.1,94.7,29,19,46,9,38,19,37,22,39,29,30,30,4,57,Starter,43.0,2580.77,0.924,2.16,97.29,93.0,G,74.0,209.0,1983-08-29,FIN,,,,L,24,12,6,4,29,"[None, 68, 54, 51, 63]","[None, 65, 54, 69, 64]","[None, 58, 32, 15, 59]","[None, 'CHI', 'SJS', 'SJS', 'SJS']"
2012-2013,8471750,Ben Bishop,TBL,G,75.4,75.4,42.1,100.0,1.8,93.0,21.1,15.8,84.2,66.7,66.7,31.6,22.8,15,15,34,1,57,5,46,49,10,20,20,40,45,57,Tandem (1B),22.0,1255.63,0.92,2.68,57.76,56.0,G,79.0,210.0,1986-11-21,USA,2005.0,3.0,85.0,L,11,9,1,2,25,"[None, None, None, None, 64]","[None, None, None, None, 66]","[None, None, None, None, 56]","[None, None, None, None, 'TBL']"
2012-2013,8475681,Ben Scrivens,TOR,G,17.5,17.5,28.1,43.9,45.6,24.6,8.8,52.6,24.6,43.0,41.2,22.8,19.3,48,48,42,33,32,44,53,28,44,33,34,45,47,57,Tandem (1B),20.0,1024.85,0.915,2.69,41.91,46.0,G,74.0,181.0,1986-09-11,CAN,,,,L,7,9,0,2,25,"[None, None, None, None, 33]","[None, None, None, None, 36]","[None, None, None, None, 38]","[None, None, None, None, 'TOR']"
2012-2013,8474651,Braden Holtby,WSH,G,82.5,71.9,78.9,33.3,22.8,89.5,56.1,66.7,100.0,57.9,57.9,50.9,33.3,11,17,13,39,45,7,26,20,1,25,25,29,39,57,Starter,36.0,2089.23,0.92,2.58,90.5,90.0,G,73.0,215.0,1989-09-16,CAN,2008.0,4.0,93.0,L,23,12,1,4,22,"[None, None, 62, None, 66]","[None, None, 53, None, 68]","[None, None, 80, None, 52]","[None, None, 'WSH', None, 'WSH']"
2012-2013,8470880,Brian Elliott,STL,G,42.1,38.6,52.6,15.8,91.2,33.3,93.0,94.7,57.9,73.7,73.7,54.4,52.6,34,36,28,49,6,39,5,4,25,16,16,27,28,57,Tandem (1A),24.0,1251.93,0.907,2.35,42.23,49.0,G,74.0,221.0,1985-04-09,CAN,2003.0,9.0,291.0,L,14,8,1,3,27,"[None, 13, 1, 94, 54]","[None, 6, 1, 94, 54]","[None, 81, 25, 91, 26]","[None, 'OTT', 'COL', 'STL', 'STL']"
2012-2013,8470320,Cam Ward,CAR,G,91.2,89.5,68.4,22.8,82.5,77.2,5.3,10.5,64.9,47.4,43.9,82.5,78.9,6,7,19,45,11,14,55,52,21,31,33,11,13,57,Backup,17.0,929.87,0.908,2.84,41.99,44.0,G,73.0,194.0,1984-02-29,CAN,2002.0,1.0,25.0,L,9,6,1,0,28,"[None, 98, 95, 86, 52]","[None, 96, 93, 86, 52]","[None, 61, 93, 69, 21]","[None, 'CAR', 'CAR', 'CAR', 'CAR']"
2012-2013,8471679,Carey Price,MTL,G,45.6,45.6,57.9,35.1,38.6,63.2,52.6,50.9,86.0,49.1,45.6,26.3,98.2,32,32,25,38,36,22,28,29,9,30,32,43,2,57,Starter,39.0,2228.55,0.905,2.61,84.3,97.0,G,75.0,217.0,1987-08-16,CAN,2005.0,1.0,5.0,L,21,13,4,3,25,"[None, 40, 80, 46, 28]","[None, 38, 75, 37, 42]","[None, 51, 88, 72, 5]","[None, 'MTL', 'MTL', 'MTL', 'MTL']"
2012-2013,8462152,Chris Mason,NSH,G,5.3,3.5,24.6,21.1,12.3,3.5,100.0,89.5,22.8,12.3,10.5,8.8,17.5,55,56,44,46,51,56,1,7,45,50,51,53,48,57,Backup,11.0,466.1,0.873,3.73,19.79,29.0,G,72.0,198.0,1976-04-20,CAN,1995.0,5.0,122.0,L,1,7,1,0,36,"[None, 81, 4, 29, 3]","[None, 66, 6, 24, 3]","[None, 98, 22, 56, 33]","[None, 'STL', 'ATL', 'WPG', 'NSH']"
