Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2025-2026,8478499,Adin Hill,VGK,G,16.9,15.5,49.3,47.9,46.5,8.5,100.0,90.1,32.4,16.9,16.9,28.2,53.5,60,61,37,38,39,66,1,8,49,60,60,52,34,71,Backup,27.0,1497.33,0.871,3.05,64.61,76.0,G,76.0,222.0,1996-05-11,CAN,2015.0,3.0,76.0,L,10,9,6,1,29,"[40, 46, 54, 60, 4]","[43, 45, 38, 63, 2]","[43, 45, 97, 39, 26]","['SJS', 'VGK', 'VGK', 'VGK', 'VGK']"
2025-2026,8481033,Akira Schmid,VGK,G,35.2,46.5,7.0,36.6,66.2,35.2,49.3,91.5,4.2,43.7,43.7,76.1,23.9,47,39,67,46,25,47,37,7,69,41,41,18,55,71,Tandem (1B),34.0,1965.78,0.893,2.59,87.47,85.0,G,77.0,190.0,2000-05-12,CHE,2018.0,5.0,136.0,L,16,10,6,2,25,"[None, 76, 36, None, 53]","[None, 76, 43, None, 59]","[None, 26, 33, None, 22]","[None, 'NJD', 'NJD', None, 'VGK']"
2025-2026,8479312,Alex Lyon,BUF,G,53.5,47.9,57.7,59.2,57.7,36.6,52.1,56.3,87.3,70.4,70.4,25.4,45.1,34,38,31,30,31,46,35,32,10,22,22,54,40,71,Tandem (1B),36.0,1992.02,0.906,2.77,109.25,92.0,G,73.0,199.0,1992-12-09,USA,,,,L,20,10,4,3,32,"[None, 85, 38, 38, 85]","[None, 81, 31, 45, 83]","[None, 94, 62, 27, 90]","[None, 'FLA', 'DET', 'DET', 'BUF']"
2025-2026,8477968,Alex Nedeljkovic,SJS,G,26.8,28.2,26.8,49.3,35.2,23.9,45.1,52.1,28.2,42.3,42.3,33.8,56.3,53,52,53,37,47,55,40,35,52,42,42,48,32,71,Tandem (1B),40.0,2277.97,0.896,2.87,114.24,109.0,G,72.0,205.0,1996-01-07,USA,2014.0,2.0,37.0,L,18,14,4,0,29,"[53, 22, 35, 32, 46]","[53, 29, 39, 36, 43]","[49, 13, 39, 36, 36]","['DET', 'DET', 'PIT', 'PIT', 'SJS']"
2025-2026,8476883,Andrei Vasilevskiy,TBL,G,78.9,71.8,97.2,28.2,50.7,70.4,53.5,80.3,83.1,81.7,81.7,78.9,97.2,16,21,3,52,36,22,34,15,13,14,14,16,3,71,Starter,58.0,3430.25,0.911,2.31,166.1,132.0,G,76.0,223.0,1994-07-25,RUS,2012.0,1.0,19.0,L,39,15,4,2,31,"[87, 89, 14, 91, 76]","[89, 88, 12, 88, 67]","[40, 92, 67, 79, 98]","['TBL', 'TBL', 'TBL', 'TBL', 'TBL']"
2025-2026,8476932,Anthony Stolarz,TOR,G,88.7,88.7,70.4,87.3,74.6,84.5,42.3,87.3,88.7,93.0,93.0,59.2,26.8,9,9,22,10,19,12,42,10,9,6,6,30,53,71,Backup,26.0,1389.25,0.893,3.28,77.1,76.0,G,78.0,248.0,1994-01-20,USA,2012.0,2.0,45.0,L,10,10,3,0,31,"[60, 52, 100, 100, 11]","[44, 52, 100, 100, 7]","[95, 61, 53, 66, 88]","['ANA', 'ANA', 'FLA', 'TOR', 'TOR']"
2025-2026,8476341,Anton Forsberg,LAK,G,46.5,53.5,12.7,46.5,60.6,53.5,67.6,85.9,76.1,29.6,29.6,8.5,38.0,39,34,63,39,29,34,24,11,18,51,51,66,45,71,Tandem (1B),36.0,2031.68,0.909,2.57,101.97,87.0,G,75.0,200.0,1992-11-27,SWE,2011.0,7.0,188.0,L,16,12,5,3,32,"[82, 49, 8, 50, 84]","[71, 48, 11, 51, 90]","[97, 50, 25, 33, 18]","['OTT', 'OTT', 'OTT', 'OTT', 'LAK']"
2025-2026,8481668,Arturs Silovs,PIT,G,11.3,9.9,71.8,8.5,5.6,62.0,56.3,22.5,73.2,33.8,33.8,21.1,57.7,64,65,21,66,68,28,32,56,20,48,48,57,31,71,Tandem (1B),39.0,2246.13,0.887,3.07,113.75,115.0,G,76.0,208.0,2001-03-22,LVA,2019.0,6.0,156.0,L,19,12,8,2,24,"[None, None, None, None, 26]","[None, None, None, None, 21]","[None, None, None, None, 73]","[None, None, None, None, 'PIT']"
2025-2026,8482821,Arvid Soderblom,CHI,G,5.6,4.2,85.9,5.6,21.1,5.6,8.5,2.8,39.4,8.5,8.5,56.3,36.6,68,69,11,68,57,68,66,70,44,66,66,32,46,71,Backup,26.0,1469.12,0.88,3.8,90.94,93.0,G,75.0,180.0,1999-08-19,SWE,,,,L,8,13,3,1,26,"[None, 56, 2, 35, 12]","[None, 61, 2, 14, 9]","[None, 18, 15, 100, 66]","[None, 'CHI', 'CHI', 'CHI', 'CHI']"
2025-2026,8483548,Brandon Bussi,CAR,G,64.8,81.7,5.6,97.2,69.0,60.6,76.1,63.4,59.2,52.1,52.1,66.2,59.2,26,14,68,3,23,29,18,27,30,35,35,25,30,71,Tandem (1B),39.0,2360.82,0.894,2.47,106.85,97.0,G,76.0,218.0,1998-06-25,USA,,,,R,31,6,2,2,27,"[None, None, None, None, 57]","[None, None, None, None, 70]","[None, None, None, None, 25]","[None, None, None, None, 'CAR']"
2025-2026,8475717,Calvin Pickard,EDM,G,15.5,22.5,8.5,29.6,67.6,12.7,71.8,71.8,1.4,2.8,2.8,90.1,15.5,61,56,66,51,24,63,21,21,71,70,70,8,61,71,Backup,16.0,864.13,0.871,3.68,50.85,53.0,G,73.0,206.0,1992-04-15,CAN,2010.0,2.0,49.0,L,5,6,2,0,33,"[None, None, 67, 13, 19]","[None, None, 81, 19, 14]","[None, None, 8, 14, 49]","[None, None, 'EDM', 'EDM', 'EDM']"
