Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2018-2019,8477180,Aaron Dell,SJS,G,69.7,72.7,42.4,78.8,62.1,57.6,84.8,78.8,56.1,36.4,36.4,63.6,18.2,21,19,39,15,26,29,11,15,30,43,43,25,55,66,Backup,25.0,1323.28,0.886,3.17,59.06,70.0,G,72.0,213.0,1989-05-04,CAN,,,,L,10,8,4,2,29,"[None, None, 98, 47, 34]","[None, None, 100, 44, 39]","[None, None, 45, 82, 16]","[None, None, 'SJS', 'SJS', 'SJS']"
2018-2019,8478499,Adin Hill,ARI,G,33.3,27.3,69.7,65.2,34.8,7.6,7.6,63.6,48.5,100.0,100.0,68.2,1.5,45,49,21,24,44,62,62,25,35,1,1,22,66,66,Backup,13.0,676.35,0.901,2.84,30.84,32.0,G,76.0,222.0,1996-05-11,CAN,2015.0,3.0,76.0,L,7,5,0,1,22,"[None, None, None, None, 37]","[None, None, None, None, 37]","[None, None, None, None, 63]","[None, None, None, None, 'ARI']"
2018-2019,8471774,Alex Stalock,MIN,G,16.7,16.7,60.6,93.9,36.4,6.1,87.9,100.0,1.5,3.0,3.0,56.1,13.6,56,56,27,5,43,63,9,1,66,65,65,30,58,66,Backup,21.0,1065.1,0.899,2.99,43.88,53.0,G,71.0,170.0,1987-07-28,USA,2005.0,4.0,112.0,L,6,8,3,0,31,"[27, 5, None, 33, 30]","[35, 7, None, 16, 34]","[27, 52, None, 89, 13]","['SJS', 'SJS', None, 'MIN', 'MIN']"
2018-2019,8480382,Alexandar Georgiev,NYR,G,80.3,62.1,100.0,45.5,90.9,31.8,42.4,3.0,90.9,62.1,62.1,50.0,40.9,14,26,1,37,7,46,39,65,7,26,26,34,40,66,Tandem (1B),33.0,1874.17,0.914,2.91,99.46,91.0,G,73.0,178.0,1996-02-10,BGR,,,,L,14,13,4,2,22,"[None, None, None, None, 75]","[None, None, None, None, 59]","[None, None, None, None, 100]","[None, None, None, None, 'NYR']"
2018-2019,8475195,Anders Nilsson,OTT,G,42.4,53.0,16.7,53.0,43.9,60.6,34.8,9.1,80.3,21.2,19.7,16.7,28.8,39,32,56,32,38,27,44,61,14,53,54,55,48,66,Tandem (1B),36.0,2019.8,0.908,3.0,90.8,101.0,G,78.0,232.0,1990-03-19,SWE,2009.0,3.0,62.0,L,14,19,1,2,28,"[None, 23, 90, 32, 33]","[None, 27, 91, 38, 33]","[None, 30, 61, 14, 34]","[None, 'STL', 'BUF', 'VAN', 'OTT']"
2018-2019,8476883,Andrei Vasilevskiy,TBL,G,39.4,43.9,34.8,28.8,84.8,25.8,69.7,69.7,53.0,60.6,60.6,18.2,87.9,41,38,44,48,11,50,21,21,32,27,27,54,9,66,Starter,53.0,3203.17,0.925,2.4,133.85,128.0,G,76.0,223.0,1994-07-25,RUS,2012.0,1.0,19.0,L,39,10,4,6,24,"[64, 20, 24, 36, 72]","[64, 26, 24, 48, 62]","[50, 23, 37, 7, 93]","['TBL', 'TBL', 'TBL', 'TBL', 'TBL']"
2018-2019,8476932,Anthony Stolarz,EDM,G,36.4,34.8,59.1,92.4,16.7,40.9,51.5,66.7,4.5,7.6,7.6,20.5,4.5,43,44,28,6,56,40,33,23,64,62,62,53,64,66,Backup,18.0,868.42,0.901,3.45,42.01,50.0,G,78.0,248.0,1994-01-20,USA,2012.0,2.0,45.0,L,4,5,3,1,24,"[None, None, None, None, 45]","[None, None, None, None, 40]","[None, None, None, None, 59]","[None, None, None, None, 'EDM']"
2018-2019,8471418,Anton Khudobin,DAL,G,68.2,69.7,62.1,80.3,42.4,66.7,63.6,72.7,19.7,59.1,59.1,90.9,30.3,22,21,26,14,39,23,25,19,54,28,28,7,47,66,Tandem (1A),41.0,2219.95,0.923,2.57,100.86,95.0,G,71.0,210.0,1986-05-07,KAZ,2004.0,7.0,206.0,L,16,17,5,2,32,"[45, None, 37, 66, 77]","[40, None, 33, 61, 77]","[75, None, 83, 52, 47]","['CAR', None, 'BOS', 'BOS', 'DAL']"
2018-2019,8474550,Antti Niemi,MTL,G,6.1,9.1,1.5,10.6,15.2,19.7,54.5,80.3,39.4,9.1,9.1,3.0,15.2,63,61,66,60,57,54,31,14,41,61,61,63,57,66,Backup,17.0,968.63,0.887,3.78,41.85,61.0,G,74.0,209.0,1983-08-29,FIN,,,,L,8,6,2,0,35,"[22, 58, 17, 61, 1]","[33, 64, 14, 73, 1]","[9, 35, 50, 1, 9]","['SJS', 'DAL', 'DAL', 'MTL', 'MTL']"
2018-2019,8471750,Ben Bishop,DAL,G,75.8,74.2,86.4,72.7,30.3,84.8,75.8,84.8,87.9,71.2,71.2,92.4,66.7,17,18,10,19,47,11,17,11,9,20,20,6,23,66,Tandem (1A),46.0,2637.3,0.934,1.98,105.05,87.0,G,79.0,210.0,1986-11-21,USA,2005.0,3.0,85.0,L,27,15,2,7,31,"[40, 51, 58, 44, 92]","[29, 36, 58, 41, 89]","[87, 91, 67, 75, 90]","['TBL', 'TBL', 'LAK', 'DAL', 'DAL']"
