Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2009-2010,8467913,Alex Auld,NYR,G,5.0,5.0,28.3,95.0,16.7,1.7,78.3,80.0,15.0,1.7,1.7,8.3,21.7,58,58,44,4,51,60,14,13,48,53,54,51,48,60,Backup,24.0,1276.5,0.895,3.01,46.95,64.0,G,76.0,215.0,1981-01-07,CAN,1999.0,2.0,40.0,L,9,7,3,0,28,"[None, None, None, None, 5]","[None, None, None, None, 5]","[None, None, None, None, 28]","[None, None, None, None, 'NYR']"
2009-2010,8467453,Andrew Raycroft,VAN,G,53.3,40.0,71.7,65.0,63.3,21.7,90.0,100.0,7.5,60.0,60.0,91.7,15.0,29,37,18,22,23,48,7,1,52,22,23,6,52,60,Backup,21.0,950.27,0.911,2.46,38.59,39.0,G,73.0,180.0,1980-05-04,CAN,1998.0,5.0,135.0,L,9,5,1,1,29,"[None, None, None, None, 53]","[None, None, None, None, 40]","[None, None, None, None, 71]","[None, None, None, None, 'VAN']"
2009-2010,8467511,Antero Niittymaki,TBL,G,41.7,43.3,35.0,86.7,86.7,13.3,76.7,53.3,66.7,70.0,70.0,58.3,63.3,36,35,40,9,9,53,15,29,21,17,18,23,23,60,Tandem (1A),49.0,2604.58,0.904,3.04,126.74,132.0,G,73.0,195.0,1980-06-18,FIN,1998.0,6.0,168.0,L,21,18,5,1,29,"[None, None, None, None, 41]","[None, None, None, None, 43]","[None, None, None, None, 35]","[None, None, None, None, 'TBL']"
2009-2010,8474550,Antti Niemi,CHI,G,68.3,65.0,58.3,5.0,85.0,56.7,38.3,75.0,76.7,45.0,45.0,20.0,45.0,20,22,26,58,10,27,38,16,15,29,30,44,34,60,Tandem (1B),39.0,2139.15,0.913,2.27,81.02,81.0,G,74.0,209.0,1983-08-29,FIN,,,,L,26,7,4,7,26,"[None, None, None, None, 68]","[None, None, None, None, 65]","[None, None, None, None, 58]","[None, None, None, None, 'CHI']"
2009-2010,8462161,Brent Johnson,PIT,G,35.0,36.7,45.0,11.7,56.7,33.3,35.0,88.3,18.3,13.3,13.3,49.2,16.7,40,39,34,54,27,41,40,8,46,46,47,28,51,60,Backup,23.0,1087.05,0.906,2.81,48.29,51.0,G,75.0,199.0,1977-03-12,USA,1995.0,5.0,129.0,L,10,6,1,0,32,"[None, None, None, None, 35]","[None, None, None, None, 36]","[None, None, None, None, 45]","[None, None, None, None, 'PIT']"
2009-2010,8462052,Brian Boucher,PHI,G,43.3,41.7,41.7,75.0,90.0,10.0,23.3,60.0,23.3,41.7,41.7,28.3,36.7,35,36,36,16,7,55,47,25,43,31,32,39,39,60,Tandem (1B),33.0,1724.08,0.899,2.78,70.59,80.0,G,74.0,200.0,1977-01-02,USA,1995.0,1.0,22.0,L,9,18,3,1,32,"[None, None, None, None, 43]","[None, None, None, None, 41]","[None, None, None, None, 41]","[None, None, None, None, 'PHI']"
2009-2010,8470880,Brian Elliott,OTT,G,13.3,6.7,81.7,10.0,40.0,8.3,71.7,86.7,38.3,16.7,16.7,56.7,71.7,53,57,12,55,37,56,18,9,36,44,45,24,18,60,Starter,55.0,2998.47,0.909,2.56,117.16,128.0,G,74.0,221.0,1985-04-09,CAN,2003.0,9.0,291.0,L,29,18,4,5,24,"[None, None, None, None, 13]","[None, None, None, None, 6]","[None, None, None, None, 81]","[None, None, None, None, 'OTT']"
2009-2010,8470320,Cam Ward,CAR,G,98.3,96.7,61.7,23.3,96.7,95.0,31.7,11.7,91.7,91.7,90.0,62.5,60.0,2,3,24,47,3,4,42,54,6,6,7,21,25,60,Tandem (1A),47.0,2564.22,0.916,2.78,133.06,119.0,G,73.0,194.0,1984-02-29,CAN,2002.0,1.0,25.0,L,18,23,5,0,25,"[None, None, None, None, 98]","[None, None, None, None, 96]","[None, None, None, None, 61]","[None, None, None, None, 'CAR']"
2009-2010,8471679,Carey Price,MTL,G,40.0,38.3,51.7,83.3,30.0,40.0,51.7,41.7,53.3,11.7,11.7,90.0,46.7,37,38,30,11,43,37,30,36,29,47,48,7,33,60,Tandem (1A),41.0,2292.52,0.912,2.85,100.72,109.0,G,75.0,217.0,1987-08-16,CAN,2005.0,1.0,5.0,L,13,20,5,0,22,"[None, None, None, None, 40]","[None, None, None, None, 38]","[None, None, None, None, 51]","[None, None, None, None, 'MTL']"
2009-2010,8462152,Chris Mason,STL,G,81.7,66.7,98.3,60.0,38.3,78.3,45.0,43.3,55.0,83.3,81.7,43.3,80.0,12,21,2,25,38,14,34,35,28,11,12,31,13,60,Starter,61.0,3433.67,0.913,2.57,151.13,147.0,G,72.0,198.0,1976-04-20,CAN,1995.0,5.0,122.0,L,30,22,8,2,33,"[None, None, None, None, 81]","[None, None, None, None, 66]","[None, None, None, None, 98]","[None, None, None, None, 'STL']"
