Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,Specific Position,W,L,OT/SO,Shutouts,all_history,evs_history,gpk_history,team_history
2008-2009,Alex Auld,OTT,G,37.0,30.0,40.0,49.0,37.0,8.0,41.0,13.0,41.0,42.0,42.0,34.0,39.0,Tandem (1A),43,2449.4333333333,0.911,2.47,94.12,101,27,1981-01-07,CAN,CAN,76,215,1999,2,40,8467913,G,16,18,7,1,"[None, None, None, 38, 45]","[None, None, None, 64, 45]","[None, None, None, 10, 50]","[None, None, None, 'BOS', 'OTT']"
2008-2009,Andrew Raycroft,COL,G,59.0,59.0,46.0,52.0,60.0,55.0,58.0,24.0,60.0,60.0,61.0,59.0,59.0,Backup,31,1717.4333333333,0.892,3.14,66.88,90,28,1980-05-04,CAN,CAN,73,180,1998,5,135,8467453,G,12,16,0,0,"[None, None, None, 9, 3]","[None, None, None, 2, 6]","[None, None, None, 52, 29]","[None, None, None, 'TOR', 'COL']"
2008-2009,Antero Niittymaki,PHI,G,23.0,13.0,41.0,2.0,32.0,49.0,51.0,41.0,33.0,33.0,34.0,15.0,27.0,Backup,32,1805.1666666667,0.912,2.76,84.0,83,28,1980-06-18,FIN,FIN,73,195,1998,6,168,8467511,G,15,8,6,1,"[None, None, None, 33, 74]","[None, None, None, 53, 77]","[None, None, None, 12, 47]","[None, None, None, 'PHI', 'PHI']"
2008-2009,Brent Johnson,WSH,G,33.0,28.0,44.0,61.0,43.0,4.0,17.0,30.0,27.0,10.0,10.0,6.0,29.0,Backup,21,1131.15,0.908,2.81,49.5,53,31,1977-03-12,USA,USA,75,199,1995,5,129,8462161,G,12,6,2,0,"[None, None, None, 45, 47]","[None, None, None, 22, 76]","[None, None, None, 78, 23]","[None, None, None, 'WSH', 'WSH']"
2008-2009,Brian Boucher,SJS,G,14.0,16.0,19.0,46.0,20.0,12.0,20.0,1.0,43.0,19.0,19.0,5.0,12.0,Backup,22,1291.2666666667,0.917,2.18,48.58,47,31,1977-01-02,USA,USA,74,200,1995,1,22,8462052,G,12,6,3,2,"[None, None, None, None, 71]","[None, None, None, None, 68]","[None, None, None, None, 61]","[None, None, None, None, 'SJS']"
2008-2009,Brian Elliott,OTT,G,52.0,40.0,60.0,38.0,55.0,14.0,46.0,15.0,46.0,36.0,36.0,47.0,37.0,Backup,31,1667.0333333333,0.902,2.77,64.64,77,23,1985-04-09,CAN,CAN,74,221,2003,9,291,8470880,G,16,8,3,1,"[None, None, None, None, 21]","[None, None, None, None, 42]","[None, None, None, None, 3]","[None, None, None, None, 'OTT']"
2008-2009,Cam Ward,CAR,G,15.0,14.0,22.0,34.0,29.0,24.0,53.0,35.0,19.0,17.0,17.0,24.0,19.0,Starter,68,3908.05,0.916,2.46,164.96,160,24,1984-02-29,CAN,CAN,73,194,2002,1,25,8470320,G,39,23,5,6,"[None, None, None, 55, 77]","[None, None, None, 62, 74]","[None, None, None, 34, 69]","[None, None, None, 'CAR', 'CAR']"
2008-2009,Carey Price,MTL,G,29.0,29.0,36.0,31.0,13.0,33.0,44.0,46.0,21.0,14.0,14.0,22.0,26.0,Starter,52,3035.5833333333,0.905,2.83,126.79,143,21,1987-08-16,CAN,CAN,75,217,2005,1,5,8471679,G,23,16,10,1,"[None, None, None, 91, 39]","[None, None, None, 79, 39]","[None, None, None, 81, 27]","[None, None, None, 'MTL', 'MTL']"
2008-2009,Chris Mason,STL,G,25.0,22.0,30.0,28.0,31.0,29.0,23.0,16.0,34.0,34.0,29.0,38.0,25.0,Starter,57,3214.9,0.916,2.41,136.3,129,32,1976-04-20,CAN,CAN,72,198,1995,5,122,8462152,G,27,21,7,6,"[None, None, None, 14, 84]","[None, None, None, 21, 82]","[None, None, None, 33, 48]","[None, None, None, 'NSH', 'STL']"
2008-2009,Chris Osgood,DET,G,54.0,49.0,39.0,56.0,41.0,34.0,6.0,3.0,54.0,55.0,55.0,52.0,40.0,Tandem (1A),46,2662.7166666667,0.887,3.09,105.6,137,35,1972-11-26,CAN,CAN,70,180,1991,3,54,8458568,G,26,9,8,2,"[None, None, None, 62, 8]","[None, None, None, 50, 18]","[None, None, None, 84, 26]","[None, None, None, 'DET', 'DET']"
2008-2009,Craig Anderson,FLA,G,1.0,1.0,5.0,12.0,7.0,3.0,57.0,60.0,7.0,6.0,6.0,4.0,2.0,Backup,31,1635.9,0.924,2.71,85.11,74,27,1981-05-21,USA,USA,74,187,2001,3,73,8467950,G,15,7,5,3,"[None, None, None, 97, 98]","[None, None, None, 98, 90]","[None, None, None, 16, 95]","[None, None, None, 'FLA', 'FLA']"
2008-2009,Cristobal Huet,CHI,G,16.0,20.0,20.0,25.0,12.0,43.0,18.0,22.0,9.0,27.0,27.0,29.0,21.0,Tandem (1A),41,2350.9666666667,0.909,2.53,97.51,99,32,1975-09-03,FRA,FRA,73,205,2001,7,214,8469658,G,20,15,4,3,"[None, None, None, 79, 65]","[None, None, None, 81, 50]","[None, None, None, 60, 68]","[None, None, None, 'WSH', 'CHI']"
2008-2009,Curtis Joseph,TOR,G,62.0,62.0,62.0,62.0,62.0,42.0,2.0,23.0,62.0,57.0,58.0,56.0,62.0,Backup,20,840.7,0.869,3.57,34.5,50,41,1967-04-29,CAN,CAN,71,193,-,-,-,8448382,G,5,9,1,0,"[None, None, None, None, 2]","[None, None, None, None, 3]","[None, None, None, None, 0]","[None, None, None, None, 'TOR']"
