Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2017-2018,8477180,Aaron Dell,SJS,G,89.7,94.1,75.0,86.8,92.6,76.5,55.9,51.5,57.4,83.8,82.4,92.6,25.0,8,5,18,10,6,17,31,34,29,11,11,6,52,68,Backup,29.0,1522.08,0.914,2.64,66.78,67.0,G,72.0,213.0,1989-05-04,CAN,,,,L,15,5,4,2,28,"[None, None, None, 98, 47]","[None, None, None, 100, 44]","[None, None, None, 45, 82]","[None, None, None, 'SJS', 'SJS']"
2017-2018,8471219,Al Montoya,EDM,G,35.3,48.5,17.6,19.1,35.3,72.1,47.1,79.4,5.9,11.8,11.8,60.3,10.3,45,36,57,56,45,20,37,15,63,60,59,28,62,68,Backup,13.0,691.18,0.893,3.21,31.03,37.0,G,74.0,200.0,1985-02-13,USA,2004.0,1.0,6.0,L,4,3,2,0,32,"[52, 14, 57, 16, 51]","[53, 14, 54, 22, 64]","[58, 37, 67, 14, 13]","['WPG', 'FLA', 'FLA', 'MTL', 'EDM']"
2017-2018,8471774,Alex Stalock,MIN,G,4.4,2.9,83.8,35.3,33.8,4.4,97.1,98.5,1.5,4.4,4.4,83.8,17.6,66,67,12,45,46,66,3,2,66,65,64,12,57,68,Backup,28.0,1495.27,0.91,2.85,63.01,71.0,G,71.0,170.0,1987-07-28,USA,2005.0,4.0,112.0,L,10,10,4,1,30,"[61, 27, 5, None, 33]","[55, 35, 7, None, 16]","[77, 27, 52, None, 89]","['SJS', 'SJS', 'SJS', None, 'MIN']"
2017-2018,8475195,Anders Nilsson,VAN,G,58.8,66.2,19.1,20.6,26.5,94.1,25.0,11.8,86.8,38.2,38.2,13.2,33.8,29,24,56,55,51,5,52,61,9,42,41,59,46,68,Backup,27.0,1463.68,0.901,3.44,74.92,84.0,G,78.0,232.0,1990-03-19,SWE,2009.0,3.0,62.0,L,7,14,4,2,27,"[77, None, 23, 90, 32]","[86, None, 27, 91, 38]","[14, None, 30, 61, 14]","['NYI', None, 'STL', 'BUF', 'VAN']"
2017-2018,8476883,Andrei Vasilevskiy,TBL,G,17.6,29.4,5.9,42.6,17.6,42.6,91.2,88.2,25.0,23.5,23.5,8.8,73.5,57,49,65,40,57,40,7,9,50,52,51,62,19,68,Starter,65.0,3825.18,0.92,2.62,154.13,167.0,G,76.0,223.0,1994-07-25,RUS,2012.0,1.0,19.0,L,44,17,3,8,23,"[None, 64, 20, 24, 36]","[None, 64, 26, 24, 48]","[None, 50, 23, 37, 7]","[None, 'TBL', 'TBL', 'TBL', 'TBL']"
2017-2018,8476341,Anton Forsberg,CHI,G,2.9,5.9,54.4,7.4,19.1,10.3,83.8,50.0,40.4,57.4,75.0,11.8,38.2,67,65,32,64,56,62,12,35,40,29,16,60,43,68,Tandem (1B),35.0,1714.78,0.908,2.97,79.81,85.0,G,75.0,200.0,1992-11-27,SWE,2011.0,7.0,188.0,L,10,16,4,0,24,"[None, None, None, None, 13]","[None, None, None, None, 13]","[None, None, None, None, 47]","[None, None, None, None, 'CHI']"
2017-2018,8471418,Anton Khudobin,BOS,G,57.4,51.5,79.4,61.8,44.1,36.8,22.1,52.9,19.1,48.5,47.1,66.2,23.5,30,34,15,27,39,44,54,33,54,35,35,24,53,68,Backup,31.0,1780.72,0.913,2.56,76.53,76.0,G,71.0,210.0,1986-05-07,KAZ,2004.0,7.0,206.0,L,16,6,7,1,31,"[100, 45, None, 37, 66]","[100, 40, None, 33, 61]","[67, 75, None, 83, 52]","['CAR', 'CAR', None, 'BOS', 'BOS']"
2017-2018,8474550,Antti Niemi,MTL,G,42.6,55.9,4.4,11.8,75.0,50.0,36.8,72.1,48.5,61.8,60.3,38.2,39.7,40,31,66,61,18,35,44,20,35,26,26,43,42,68,Backup,24.0,1213.1,0.911,3.12,65.37,63.0,G,74.0,209.0,1983-08-29,FIN,,,,L,7,9,4,1,34,"[22, 22, 58, 17, 61]","[25, 33, 64, 14, 73]","[37, 9, 35, 50, 1]","['SJS', 'SJS', 'DAL', 'DAL', 'MTL']"
2017-2018,8477293,Antti Raanta,ARI,G,98.5,100.0,47.1,95.6,79.4,89.7,48.5,57.4,92.6,95.6,98.5,95.6,41.2,2,1,37,4,15,8,36,30,5,4,2,4,41,68,Tandem (1A),47.0,2599.05,0.93,2.24,117.56,97.0,G,72.0,195.0,1989-05-12,FIN,,,,L,21,17,6,3,28,"[19, 85, 91, 83, 97]","[17, 87, 85, 90, 95]","[68, 72, 60, 9, 70]","['CHI', 'CHI', 'NYR', 'NYR', 'ARI']"
2017-2018,8471750,Ben Bishop,DAL,G,54.4,47.1,82.4,73.5,41.2,33.8,89.7,92.6,51.5,52.9,51.5,51.5,76.5,32,37,13,19,41,46,8,6,33,32,32,34,17,68,Starter,53.0,2887.43,0.916,2.49,118.73,120.0,G,79.0,210.0,1986-11-21,USA,2005.0,3.0,85.0,L,26,17,5,5,30,"[85, 40, 51, 58, 44]","[80, 29, 36, 58, 41]","[64, 87, 91, 67, 75]","['TBL', 'TBL', 'TBL', 'LAK', 'DAL']"
