Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2010-2011,8471219,Al Montoya,NYI,G,100.0,100.0,95.2,87.1,100.0,100.0,3.2,1.6,82.3,100.0,100.0,100.0,12.9,1,1,4,9,1,1,61,62,12,1,1,1,55,62,Backup,20.0,1153.78,0.921,2.39,61.07,46.0,G,74.0,200.0,1985-02-13,USA,2004.0,1.0,6.0,L,9,5,5,1,25,"[None, None, None, None, 98]","[None, None, None, None, 98]","[None, None, None, None, 83]","[None, None, None, None, 'NYI']"
2010-2011,8467913,Alex Auld,MTL,G,29.0,25.8,48.4,80.6,37.1,11.3,33.9,77.4,54.8,14.5,14.5,50.0,11.3,45,47,33,13,40,56,42,15,29,52,53,32,56,62,Backup,16.0,748.58,0.914,2.64,37.35,33.0,G,76.0,215.0,1981-01-07,CAN,1999.0,2.0,40.0,L,6,2,2,0,29,"[None, None, None, 5, 69]","[None, None, None, 5, 59]","[None, None, None, 28, 87]","[None, None, None, 'NYR', 'MTL']"
2010-2011,8474765,Anders Lindback,NSH,G,56.5,72.6,11.3,90.3,83.9,45.2,98.4,71.0,14.5,19.4,19.4,71.0,14.5,28,18,56,7,11,35,2,19,54,49,50,19,54,62,Backup,22.0,1131.05,0.915,2.6,46.15,49.0,G,78.0,215.0,1988-05-03,SWE,2008.0,7.0,207.0,L,11,5,2,2,22,"[None, None, None, None, 56]","[None, None, None, None, 67]","[None, None, None, None, 17]","[None, None, None, None, 'NSH']"
2010-2011,8467453,Andrew Raycroft,DAL,G,32.3,21.0,85.5,41.9,41.9,12.9,72.6,96.8,25.8,62.9,66.1,38.7,9.7,43,50,10,37,37,55,18,3,47,22,21,38,57,62,Backup,19.0,847.17,0.91,2.83,37.4,40.0,G,73.0,180.0,1980-05-04,CAN,1998.0,5.0,135.0,L,8,5,0,2,30,"[None, None, None, 53, 25]","[None, None, None, 40, 22]","[None, None, None, 71, 61]","[None, None, None, 'VAN', 'DAL']"
2010-2011,8467511,Antero Niittymaki,SJS,G,40.3,45.2,14.5,82.3,17.7,59.7,38.7,59.7,33.9,43.5,43.5,37.1,46.8,38,35,54,12,52,26,39,26,42,34,35,39,34,62,Backup,24.0,1414.47,0.896,2.71,57.08,64.0,G,73.0,195.0,1980-06-18,FIN,1998.0,6.0,168.0,L,12,7,3,0,30,"[None, None, None, 41, 41]","[None, None, None, 43, 48]","[None, None, None, 35, 12]","[None, None, None, 'TBL', 'SJS']"
2010-2011,8474550,Antti Niemi,SJS,G,62.9,64.5,38.7,29.0,54.8,71.0,37.1,75.8,61.3,30.6,29.0,30.6,61.3,24,23,39,45,29,19,40,16,25,42,44,43,25,62,Starter,60.0,3523.9,0.92,2.38,137.12,140.0,G,74.0,209.0,1983-08-29,FIN,,,,L,35,18,6,6,27,"[None, None, None, 68, 54]","[None, None, None, 65, 54]","[None, None, None, 58, 32]","[None, None, None, 'CHI', 'SJS']"
2010-2011,8474651,Braden Holtby,WSH,G,72.6,61.3,91.9,58.1,8.1,88.7,100.0,98.4,100.0,79.0,77.4,69.4,1.6,18,25,6,27,58,8,1,2,1,12,14,20,62,62,Backup,14.0,735.98,0.934,1.79,27.24,22.0,G,73.0,215.0,1989-09-16,CAN,2008.0,4.0,93.0,L,10,2,2,2,20,"[None, None, None, None, 62]","[None, None, None, None, 53]","[None, None, None, None, 80]","[None, None, None, None, 'WSH']"
2010-2011,8462161,Brent Johnson,PIT,G,58.1,53.2,50.0,11.3,51.6,72.6,41.9,88.7,50.0,46.8,46.8,47.6,16.1,27,30,32,56,31,18,37,8,32,32,33,33,53,62,Backup,23.0,1296.7,0.922,2.17,52.33,47.0,G,75.0,199.0,1977-03-12,USA,1995.0,5.0,129.0,L,13,5,3,1,33,"[None, None, None, 35, 71]","[None, None, None, 36, 71]","[None, None, None, 45, 69]","[None, None, None, 'PIT', 'PIT']"
2010-2011,8462052,Brian Boucher,PHI,G,59.7,56.5,43.5,16.1,72.6,58.1,24.2,54.8,24.2,77.4,75.8,54.8,40.3,26,28,36,53,18,27,48,29,48,13,15,29,38,62,Tandem (1B),34.0,1884.43,0.916,2.42,79.83,76.0,G,74.0,200.0,1977-01-02,USA,1995.0,1.0,22.0,L,18,10,4,0,33,"[None, None, None, 43, 67]","[None, None, None, 41, 66]","[None, None, None, 41, 67]","[None, None, None, 'PHI', 'PHI']"
2010-2011,8470880,Brian Elliott,COL,G,1.6,1.6,46.8,9.7,12.9,3.2,54.8,80.6,17.7,1.6,1.6,40.3,71.0,62,62,34,57,55,61,29,13,52,60,61,37,19,62,Starter,55.0,2983.13,0.893,3.34,135.13,166.0,G,74.0,221.0,1985-04-09,CAN,2003.0,9.0,291.0,L,15,27,9,3,25,"[None, None, None, 13, 1]","[None, None, None, 6, 1]","[None, None, None, 81, 25]","[None, None, None, 'OTT', 'COL']"
