Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2016-2017,8477180,Aaron Dell,SJS,G,100.0,100.0,38.7,100.0,98.4,100.0,48.4,33.9,58.1,100.0,100.0,100.0,6.5,1,1,39,1,2,1,33,42,27,1,1,1,59,62,Backup,20.0,1110.55,0.931,2.0,44.19,37.0,G,72.0,213.0,1989-05-04,CAN,,,,L,11,6,1,1,27,"[None, None, None, None, 98]","[None, None, None, None, 100]","[None, None, None, None, 45]","[None, None, None, None, 'SJS']"
2016-2017,8471219,Al Montoya,MTL,G,14.5,16.1,35.5,25.8,4.8,48.4,27.4,74.2,4.8,41.9,41.9,40.3,8.1,54,53,41,47,60,33,46,17,60,37,37,38,58,62,Backup,19.0,1124.88,0.912,2.67,46.39,50.0,G,74.0,200.0,1985-02-13,USA,2004.0,1.0,6.0,L,8,6,4,2,31,"[None, 52, 14, 57, 16]","[None, 53, 14, 54, 22]","[None, 58, 37, 67, 14]","[None, 'WPG', 'FLA', 'FLA', 'MTL']"
2016-2017,8475195,Anders Nilsson,BUF,G,67.7,74.2,30.6,41.9,19.4,95.2,9.7,9.7,83.9,37.1,37.1,53.2,25.8,21,17,44,37,51,4,57,57,11,40,40,30,47,62,Backup,26.0,1484.25,0.923,2.67,75.39,66.0,G,78.0,232.0,1990-03-19,SWE,2009.0,3.0,62.0,L,10,10,4,1,26,"[None, 77, None, 23, 90]","[None, 86, None, 27, 91]","[None, 14, None, 30, 61]","[None, 'NYI', None, 'STL', 'BUF']"
2016-2017,8476883,Andrei Vasilevskiy,TBL,G,16.1,21.0,19.4,37.1,1.6,87.1,93.5,87.1,12.9,12.9,12.9,17.7,35.5,53,50,51,40,62,9,5,9,55,55,55,52,41,62,Starter,50.0,2831.27,0.917,2.61,111.61,123.0,G,76.0,223.0,1994-07-25,RUS,2012.0,1.0,19.0,L,23,17,7,2,22,"[None, None, 64, 20, 24]","[None, None, 64, 26, 24]","[None, None, 50, 23, 37]","[None, None, 'TBL', 'TBL', 'TBL']"
2016-2017,8471418,Anton Khudobin,BOS,G,38.7,24.2,82.3,33.9,24.2,27.4,1.6,22.6,16.1,62.9,59.7,59.7,22.6,39,48,12,42,48,46,62,49,53,24,26,26,49,62,Backup,16.0,864.78,0.904,2.71,36.9,39.0,G,71.0,210.0,1986-05-07,KAZ,2004.0,7.0,206.0,L,7,6,1,0,30,"[38, 100, 45, None, 37]","[24, 100, 40, None, 33]","[94, 67, 75, None, 83]","['BOS', 'CAR', 'CAR', None, 'BOS']"
2016-2017,8474550,Antti Niemi,DAL,G,22.6,25.8,17.7,45.2,69.4,21.0,40.3,64.5,30.6,29.0,29.0,21.0,59.7,49,47,52,35,20,50,38,23,44,45,45,50,26,62,Tandem (1B),37.0,1728.5,0.892,3.3,79.58,95.0,G,74.0,209.0,1983-08-29,FIN,,,,L,12,12,4,0,33,"[63, 22, 22, 58, 17]","[64, 25, 33, 64, 14]","[59, 37, 9, 35, 50]","['SJS', 'SJS', 'SJS', 'DAL', 'DAL']"
2016-2017,8477293,Antti Raanta,NYR,G,93.5,95.2,37.1,95.2,87.1,85.5,75.8,56.5,82.3,67.7,79.0,93.5,21.0,5,4,40,4,9,10,16,28,12,21,14,5,50,62,Backup,30.0,1617.7,0.922,2.26,67.48,61.0,G,72.0,195.0,1989-05-12,FIN,,,,L,16,8,2,4,27,"[None, 19, 85, 91, 83]","[None, 17, 87, 85, 90]","[None, 68, 72, 60, 9]","[None, 'CHI', 'CHI', 'NYR', 'NYR']"
2016-2017,8471750,Ben Bishop,LAK,G,48.4,38.7,88.7,71.0,80.6,12.9,88.7,88.7,29.0,48.4,48.4,37.1,75.8,33,39,8,19,13,55,8,8,45,33,33,40,16,62,Tandem (1B),39.0,2222.62,0.91,2.54,88.17,94.0,G,79.0,210.0,1986-11-21,USA,2005.0,3.0,85.0,L,18,15,5,1,29,"[64, 85, 40, 51, 58]","[66, 80, 29, 36, 58]","[56, 64, 87, 91, 67]","['TBL', 'TBL', 'TBL', 'TBL', 'LAK']"
2016-2017,8474651,Braden Holtby,WSH,G,95.2,93.5,53.2,74.2,62.9,90.3,38.7,48.4,74.2,91.9,91.9,95.2,100.0,4,5,30,17,24,7,39,33,17,6,6,4,1,62,Starter,63.0,3680.17,0.925,2.07,149.81,127.0,G,73.0,215.0,1989-09-16,CAN,2008.0,4.0,93.0,L,42,13,6,9,26,"[66, 71, 79, 76, 96]","[68, 83, 72, 76, 96]","[52, 9, 93, 47, 22]","['WSH', 'WSH', 'WSH', 'WSH', 'WSH']"
2016-2017,8470880,Brian Elliott,CGY,G,72.6,71.0,75.8,46.8,66.1,62.9,79.0,82.3,93.5,72.6,69.4,50.0,56.5,18,19,16,34,22,24,14,12,5,18,20,32,28,62,Tandem (1A),49.0,2824.42,0.91,2.57,113.6,121.0,G,74.0,221.0,1985-04-09,CAN,2003.0,9.0,291.0,L,26,18,3,2,31,"[54, 59, 46, 97, 45]","[54, 56, 46, 94, 41]","[26, 74, 45, 97, 46]","['STL', 'STL', 'STL', 'STL', 'CGY']"
