Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2023-2024,8478499,Adin Hill,VGK,G,40.8,33.8,74.6,71.8,52.1,19.7,88.7,73.2,19.7,71.8,71.8,52.1,29.6,43,48,19,21,35,58,9,20,56,21,21,33,51,71,Tandem (1B),35.0,1968.82,0.909,2.71,93.11,89.0,G,76.0,222.0,1996-05-11,CAN,2015.0,3.0,76.0,L,19,12,2,2,27,"[89, 58, 40, 46, 54]","[92, 49, 43, 45, 38]","[36, 76, 43, 45, 97]","['ARI', 'ARI', 'SJS', 'VGK', 'VGK']"
2023-2024,8481033,Akira Schmid,NJD,G,47.9,62.0,22.5,98.6,94.4,7.0,78.9,95.8,14.1,88.7,88.7,66.2,4.2,38,28,56,2,5,67,16,4,60,9,9,23,69,71,Backup,19.0,913.32,0.895,3.15,45.76,48.0,G,77.0,190.0,2000-05-12,CHE,2018.0,5.0,136.0,L,5,9,1,0,23,"[None, None, None, 76, 36]","[None, None, None, 76, 43]","[None, None, None, 26, 33]","[None, None, None, 'NJD', 'NJD']"
2023-2024,8479312,Alex Lyon,DET,G,66.2,59.2,94.4,63.4,85.9,35.2,28.2,12.7,81.7,87.3,87.3,18.3,33.8,25,30,5,27,11,47,52,63,13,10,10,57,48,71,Tandem (1A),44.0,2498.85,0.904,3.05,126.71,127.0,G,73.0,199.0,1992-12-09,USA,,,,L,21,18,5,2,30,"[None, None, None, 85, 38]","[None, None, None, 81, 31]","[None, None, None, 94, 62]","[None, None, None, 'FLA', 'DET']"
2023-2024,8477968,Alex Nedeljkovic,PIT,G,21.1,25.4,25.4,15.5,25.4,43.7,38.0,40.8,26.8,15.5,15.5,23.9,43.7,57,54,54,61,54,41,45,43,51,61,61,53,41,71,Tandem (1B),38.0,2060.47,0.902,2.97,102.36,102.0,G,72.0,205.0,1996-01-07,USA,2014.0,2.0,37.0,L,18,7,7,1,27,"[None, 98, 53, 22, 35]","[None, 97, 53, 29, 39]","[None, 85, 49, 13, 39]","[None, 'CAR', 'DET', 'DET', 'PIT']"
2023-2024,8480382,Alexandar Georgiev,COL,G,39.4,57.7,19.7,16.9,46.5,67.6,57.7,71.8,32.4,59.2,66.2,42.3,90.1,44,31,58,60,39,24,31,21,47,30,25,40,8,71,Starter,63.0,3637.87,0.897,3.02,176.98,183.0,G,73.0,178.0,1996-02-10,BGR,,,,L,38,18,5,2,27,"[72, 46, 47, 74, 25]","[62, 40, 62, 74, 25]","[95, 87, 1, 32, 45]","['NYR', 'NYR', 'NYR', 'COL', 'COL']"
2023-2024,8476883,Andrei Vasilevskiy,TBL,G,71.8,67.6,76.1,29.6,67.6,66.2,50.7,42.3,69.0,69.0,69.0,76.1,97.2,21,24,18,51,24,25,36,42,22,23,23,18,3,71,Starter,52.0,3062.83,0.9,2.9,143.23,148.0,G,76.0,223.0,1994-07-25,RUS,2012.0,1.0,19.0,L,30,20,2,2,29,"[42, 91, 87, 89, 14]","[48, 92, 89, 88, 12]","[25, 53, 40, 92, 67]","['TBL', 'TBL', 'TBL', 'TBL', 'TBL']"
2023-2024,8476932,Anthony Stolarz,FLA,G,84.5,83.1,71.8,56.3,32.4,97.2,47.9,74.6,73.2,97.2,97.2,91.5,15.5,12,13,21,32,49,3,38,19,19,3,3,7,61,71,Backup,27.0,1506.45,0.925,2.03,69.79,51.0,G,78.0,248.0,1994-01-20,USA,2012.0,2.0,45.0,L,16,7,2,2,29,"[None, None, 60, 52, 100]","[None, None, 44, 52, 100]","[None, None, 95, 61, 53]","[None, None, 'ANA', 'ANA', 'FLA']"
2023-2024,8476341,Anton Forsberg,OTT,G,35.2,26.8,59.2,62.0,9.9,70.4,45.1,63.4,94.4,43.7,43.7,32.4,38.0,47,53,30,28,65,22,40,27,4,41,41,47,45,71,Backup,30.0,1569.75,0.89,3.21,78.84,84.0,G,75.0,200.0,1992-11-27,SWE,2011.0,7.0,188.0,L,15,12,0,2,30,"[None, None, 82, 49, 8]","[None, None, 71, 48, 11]","[None, None, 97, 50, 25]","[None, None, 'OTT', 'OTT', 'OTT']"
2023-2024,8477293,Antti Raanta,CAR,G,64.8,70.4,23.9,69.0,62.0,74.6,73.2,94.4,8.5,50.7,50.7,84.5,23.9,26,22,55,23,28,19,20,5,64,36,36,12,55,71,Backup,24.0,1265.4,0.872,2.99,53.1,63.0,G,72.0,195.0,1989-05-12,FIN,,,,L,12,7,2,1,34,"[62, 68, 91, 68, 32]","[51, 62, 88, 72, 45]","[87, 97, 78, 28, 9]","['ARI', 'ARI', 'CAR', 'CAR', 'CAR']"
2023-2024,8482821,Arvid Soderblom,CHI,G,7.0,9.9,7.0,70.4,22.5,8.5,23.9,2.8,5.6,11.3,11.3,56.3,18.3,67,65,67,22,56,66,55,70,66,64,64,30,59,71,Backup,32.0,1743.93,0.879,3.92,95.93,114.0,G,75.0,180.0,1999-08-19,SWE,,,,L,5,22,2,0,24,"[None, None, None, 56, 2]","[None, None, None, 61, 2]","[None, None, None, 18, 15]","[None, None, None, 'CHI', 'CHI']"
