Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2013-2014,Al Montoya,WPG,G,23.0,36.0,20.0,56.0,29.0,13.0,22.0,35.0,19.0,19.0,19.0,33.0,36.0,Backup,28,0.92,2.3,60.99,59,28,1985-02-13,USA,USA,74,200,2004,1,6,6,8471219
2013-2014,Alex Stalock,SJS,G,8.0,20.0,5.0,14.0,19.0,17.0,5.0,5.0,42.0,20.0,20.0,26.0,7.0,Backup,24,0.932,1.87,43.26,39,26,1987-07-28,USA,USA,71,170,2005,4,21,112,8471774
2013-2014,Anders Lindback,TBL,G,58.0,53.0,59.0,54.0,46.0,55.0,12.0,25.0,61.0,61.0,62.0,64.0,62.0,Backup,23,0.891,2.9,51.71,63,25,1988-05-03,SWE,SWE,78,215,2008,7,26,207,8474765
2013-2014,Anders Nilsson,NYI,G,60.0,32.0,66.0,60.0,2.0,66.0,34.0,58.0,57.0,48.0,49.0,54.0,61.0,Backup,19,0.896,3.11,54.87,57,23,1990-03-19,SWE,SWE,78,232,2009,3,1,62,8475195
2013-2014,Anton Khudobin,CAR,G,11.0,13.0,8.0,3.0,8.0,32.0,47.0,42.0,18.0,5.0,5.0,8.0,10.0,1B,36,0.926,2.3,96.32,80,27,1986-05-07,KAZ,RUS,71,210,2004,7,13,206,8471418
2013-2014,Antti Niemi,SJS,G,33.0,41.0,40.0,34.0,37.0,30.0,28.0,12.0,41.0,34.0,36.0,20.0,16.0,Starter,64,0.913,2.4,140.31,149,30,1983-08-29,FIN,FIN,74,209,-,-,-,-,8474550
2013-2014,Antti Raanta,CHI,G,61.0,65.0,15.0,57.0,62.0,45.0,11.0,9.0,51.0,55.0,57.0,22.0,52.0,Backup,25,0.897,2.71,54.86,63,24,1989-05-12,FIN,FIN,72,195,-,-,-,-,8477293
2013-2014,Ben Bishop,TBL,G,9.0,6.0,26.0,11.0,16.0,21.0,38.0,47.0,9.0,11.0,12.0,15.0,8.0,Starter,63,0.924,2.22,143.87,133,26,1986-11-21,USA,USA,79,210,2005,3,24,85,8471750
2013-2014,Ben Scrivens,LAK,G,21.0,22.0,23.0,27.0,7.0,36.0,60.0,55.0,29.0,12.0,10.0,30.0,29.0,1B,40,0.922,2.55,105.86,94,26,1986-09-11,CAN,CAN,74,181,-,-,-,-,8475681
2013-2014,Ben Scrivens,EDM,G,21.0,22.0,23.0,27.0,7.0,36.0,60.0,55.0,29.0,12.0,10.0,30.0,29.0,1B,40,0.922,2.55,105.86,94,26,1986-09-11,CAN,CAN,74,181,-,-,-,-,8475681
2013-2014,Braden Holtby,WSH,G,26.0,10.0,58.0,49.0,33.0,20.0,42.0,60.0,30.0,25.0,25.0,29.0,21.0,1A,48,0.915,2.85,120.62,126,23,1989-09-16,CAN,CAN,73,215,2008,4,2,93,8474651
2013-2014,Brian Elliott,STL,G,28.0,38.0,11.0,55.0,25.0,16.0,4.0,3.0,26.0,14.0,14.0,6.0,12.0,Backup,31,0.922,1.96,56.98,53,28,1985-04-09,CAN,CAN,74,221,2003,9,30,291,8470880
2013-2014,Cam Talbot,NYR,G,1.0,3.0,2.0,8.0,9.0,1.0,6.0,15.0,1.0,1.0,1.0,1.0,1.0,Backup,21,0.941,1.64,48.35,33,26,1987-07-05,CAN,CAN,76,201,-,-,-,-,8475660
2013-2014,Cam Ward,CAR,G,57.0,48.0,63.0,59.0,28.0,53.0,64.0,44.0,52.0,58.0,59.0,59.0,56.0,Backup,30,0.898,3.06,72.25,84,29,1984-02-29,CAN,CAN,73,194,2002,1,25,25,8470320
2013-2014,Carey Price,MTL,G,22.0,19.0,35.0,13.0,34.0,23.0,59.0,36.0,13.0,23.0,23.0,40.0,13.0,Starter,59,0.927,2.32,156.16,134,26,1987-08-16,CAN,CAN,75,217,2005,1,5,5,8471679
2013-2014,Carter Hutton,NSH,G,50.0,54.0,60.0,22.0,40.0,63.0,8.0,16.0,42.0,41.0,42.0,45.0,39.0,1B,40,0.91,2.62,78.58,91,27,1985-12-19,CAN,CAN,72,211,-,-,-,-,8475622
2013-2014,Chad Johnson,BOS,G,3.0,2.0,9.0,9.0,39.0,4.0,19.0,29.0,4.0,3.0,3.0,3.0,5.0,Backup,27,0.925,2.1,59.54,53,27,1986-06-10,CAN,CAN,75,197,2006,5,2,125,8473434
2013-2014,Corey Crawford,CHI,G,19.0,21.0,44.0,43.0,43.0,14.0,7.0,10.0,16.0,9.0,9.0,23.0,17.0,Starter,59,0.917,2.26,126.71,128,28,1984-12-31,CAN,CAN,74,216,2003,2,22,52,8470645
2013-2014,Cory Schneider,NJD,G,6.0,24.0,3.0,35.0,13.0,8.0,10.0,13.0,10.0,10.0,11.0,18.0,15.0,1A,45,0.921,1.97,94.82,88,27,1986-03-18,USA,USA,75,214,2004,1,26,26,8471239
2013-2014,Craig Anderson,OTT,G,29.0,17.0,56.0,5.0,26.0,47.0,49.0,49.0,17.0,32.0,33.0,44.0,19.0,Starter,53,0.911,3.0,137.92,150,32,1981-05-21,USA,USA,74,187,2001,3,10,73,8467950
2013-2014,Curtis McElhinney,CBJ,G,52.0,60.0,49.0,30.0,55.0,54.0,48.0,18.0,28.0,38.0,27.0,42.0,53.0,Backup,28,0.909,2.7,52.53,64,30,1983-05-23,CAN,CAN,74,210,2002,6,10,176,8470147
2013-2014,Dan Ellis,DAL,G,66.0,66.0,62.0,52.0,66.0,56.0,67.0,64.0,64.0,60.0,61.0,65.0,66.0,Backup,20,0.879,3.62,49.64,62,33,1980-06-19,CAN,CAN,73,195,2000,2,30,60,8468540
2013-2014,Dan Ellis,FLA,G,66.0,66.0,62.0,52.0,66.0,56.0,67.0,64.0,64.0,60.0,61.0,65.0,66.0,Backup,20,0.879,3.62,49.64,62,33,1980-06-19,CAN,CAN,73,195,2000,2,30,60,8468540
2013-2014,Darcy Kuemper,MIN,G,46.0,27.0,65.0,12.0,60.0,37.0,39.0,7.0,55.0,49.0,50.0,17.0,33.0,Backup,26,0.915,2.43,53.94,60,23,1990-05-05,CAN,CAN,77,215,2009,6,10,161,8475311
2013-2014,Devan Dubnyk,EDM,G,51.0,49.0,16.0,64.0,38.0,38.0,54.0,62.0,47.0,54.0,55.0,58.0,58.0,1B,34,0.891,3.43,83.65,103,27,1986-05-04,CAN,CAN,78,224,2004,1,14,14,8471227
2013-2014,Devan Dubnyk,NSH,G,51.0,49.0,16.0,64.0,38.0,38.0,54.0,62.0,47.0,54.0,55.0,58.0,58.0,1B,34,0.891,3.43,83.65,103,27,1986-05-04,CAN,CAN,78,224,2004,1,14,14,8471227
2013-2014,Eddie Lack,VAN,G,41.0,30.0,32.0,48.0,36.0,29.0,26.0,14.0,27.0,45.0,46.0,14.0,43.0,1A,41,0.912,2.41,91.26,93,25,1988-01-05,SWE,SWE,76,187,-,-,-,-,8475663
2013-2014,Evgeni Nabokov,NYI,G,32.0,31.0,57.0,45.0,14.0,42.0,27.0,54.0,48.0,46.0,47.0,53.0,44.0,1B,40,0.905,2.76,103.94,103,38,1975-07-25,KAZ,RUS,72,202,1994,9,11,219,8460705
2013-2014,Frederik Andersen,ANA,G,5.0,16.0,4.0,4.0,1.0,49.0,24.0,53.0,42.0,38.0,39.0,42.0,6.0,Backup,28,0.923,2.29,69.69,60,23,1989-10-02,DNK,DNK,76,238,2012,3,26,87,8475883
2013-2014,Henrik Lundqvist,NYR,G,7.0,8.0,31.0,37.0,6.0,12.0,29.0,40.0,11.0,22.0,22.0,13.0,11.0,Starter,63,0.92,2.38,163.47,144,31,1982-03-02,SWE,SWE,73,182,2000,7,8,205,8468685
2013-2014,Ilya Bryzgalov,EDM,G,49.0,33.0,46.0,53.0,52.0,27.0,36.0,32.0,44.0,42.0,43.0,51.0,46.0,Backup,32,0.909,2.68,79.82,81,33,1980-06-22,RUS,RUS,75,213,2000,2,14,44,8468524
2013-2014,Ilya Bryzgalov,MIN,G,49.0,33.0,46.0,53.0,52.0,27.0,36.0,32.0,44.0,42.0,43.0,51.0,46.0,Backup,32,0.909,2.68,79.82,81,33,1980-06-22,RUS,RUS,75,213,2000,2,14,44,8468524
2013-2014,Jacob Markstrom,FLA,G,67.0,67.0,48.0,65.0,54.0,65.0,51.0,38.0,63.0,62.0,63.0,63.0,67.0,Backup,16,0.873,3.39,33.07,46,23,1990-01-31,SWE,SWE,78,207,2008,2,1,31,8474593
2013-2014,Jacob Markstrom,VAN,G,67.0,67.0,48.0,65.0,54.0,65.0,51.0,38.0,63.0,62.0,63.0,63.0,67.0,Backup,16,0.873,3.39,33.07,46,23,1990-01-31,SWE,SWE,78,207,2008,2,1,31,8474593
2013-2014,James Reimer,TOR,G,44.0,35.0,53.0,20.0,63.0,25.0,57.0,66.0,49.0,33.0,35.0,34.0,38.0,1B,36,0.911,3.29,91.52,98,25,1988-03-15,CAN,CAN,75,205,2006,4,6,99,8473503
2013-2014,Jaroslav Halak,STL,G,31.0,40.0,13.0,40.0,32.0,24.0,9.0,6.0,15.0,35.0,37.0,48.0,22.0,Starter,52,0.921,2.25,117.34,110,28,1985-05-13,SVK,SVK,71,189,2003,9,10,271,8470860
