Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2022-2023,Adin Hill,VGK,G,27.0,43.0,31.0,7.0,53.0,27.0,10.0,9.0,8.0,28.0,27.0,35.0,27.0,Backup,27,0.914,2.5,65.8,62,26,1996-05-11,CAN,CAN,76,215,2015,3,15,76,8478499,https://assets.nhle.com/mugs/nhl/20222023/VGK/8478499.png
2022-2023,Akira Schmid,NJD,G,12.0,34.0,68.0,1.0,33.0,24.0,20.0,1.0,7.0,21.0,22.0,4.0,14.0,Backup,18,0.922,2.13,38.74,32,22,2000-05-12,CHE,CHE,77,205,2018,5,12,136,8481033,https://assets.nhle.com/mugs/nhl/20222023/NJD/8481033.png
2022-2023,Alex Lyon,FLA,G,7.0,12.0,2.0,72.0,2.0,3.0,74.0,67.0,12.0,3.0,2.0,10.0,11.0,Backup,15,0.912,2.89,51.56,43,29,1992-12-09,USA,USA,73,201,-,-,-,-,8479312,https://assets.nhle.com/mugs/nhl/20222023/FLA/8479312.png
2022-2023,Alex Nedeljkovic,DET,G,43.0,22.0,57.0,67.0,12.0,50.0,45.0,59.0,49.0,61.0,60.0,42.0,53.0,Backup,15,0.895,3.53,41.3,49,26,1996-01-07,USA,USA,72,208,2014,2,7,37,8477968,https://assets.nhle.com/mugs/nhl/20222023/DET/8477968.png
2022-2023,Alex Stalock,CHI,G,25.0,36.0,10.0,61.0,4.0,51.0,36.0,54.0,23.0,42.0,41.0,53.0,42.0,Backup,27,0.908,3.01,70.07,74,35,1987-07-28,USA,USA,71,170,2005,4,21,112,8471774,https://assets.nhle.com/mugs/nhl/20222023/CHI/8471774.png
2022-2023,Alexandar Georgiev,COL,G,21.0,15.0,61.0,32.0,41.0,16.0,28.0,22.0,22.0,24.0,21.0,20.0,17.0,Starter,62,0.918,2.53,173.06,156,26,1996-02-10,RUS,RUS,73,178,-,-,-,-,8480382,https://assets.nhle.com/mugs/nhl/20222023/COL/8480382.png
2022-2023,Andrei Vasilevskiy,TBL,G,5.0,5.0,19.0,8.0,15.0,12.0,16.0,40.0,6.0,15.0,14.0,12.0,6.0,Starter,60,0.915,2.65,177.61,159,28,1994-07-25,RUS,RUS,76,220,2012,1,19,19,8476883,https://assets.nhle.com/mugs/nhl/20222023/TBL/8476883.png
2022-2023,Anthony Stolarz,ANA,G,22.0,39.0,17.0,75.0,10.0,4.0,73.0,71.0,47.0,41.0,40.0,37.0,47.0,Backup,19,0.897,3.73,51.6,51,28,1994-01-20,USA,USA,78,243,2012,2,15,45,8476932,https://assets.nhle.com/mugs/nhl/20222023/ANA/8476932.png
2022-2023,Anton Forsberg,OTT,G,32.0,37.0,22.0,34.0,26.0,37.0,67.0,62.0,19.0,18.0,17.0,27.0,34.0,Backup,28,0.902,3.26,81.63,80,29,1992-11-27,SWE,SWE,75,193,2011,7,7,188,8476341,https://assets.nhle.com/mugs/nhl/20222023/OTT/8476341.png
2022-2023,Antti Raanta,CAR,G,19.0,14.0,26.0,14.0,44.0,17.0,3.0,6.0,39.0,37.0,36.0,32.0,10.0,Backup,27,0.910,2.23,60.8,58,33,1989-05-12,FIN,FIN,72,195,-,-,-,-,8477293,https://assets.nhle.com/mugs/nhl/20222023/CAR/8477293.png
2022-2023,Arvid Soderblom,CHI,G,58.0,42.0,72.0,52.0,69.0,40.0,55.0,60.0,70.0,67.0,66.0,67.0,72.0,Backup,15,0.894,3.45,42.43,48,23,1999-08-19,SWE,SWE,75,180,-,-,-,-,8482821,https://assets.nhle.com/mugs/nhl/20222023/CHI/8482821.png
2022-2023,Brian Elliott,TBL,G,54.0,54.0,70.0,63.0,51.0,42.0,11.0,23.0,65.0,70.0,67.0,70.0,39.0,Backup,22,0.891,3.4,67.12,75,37,1985-04-09,CAN,CAN,74,221,2003,9,30,291,8470880,https://assets.nhle.com/mugs/nhl/20222023/TBL/8470880.png
2022-2023,Cam Talbot,OTT,G,47.0,56.0,34.0,29.0,46.0,55.0,19.0,15.0,20.0,14.0,13.0,21.0,30.0,1B,36,0.898,2.93,92.62,95,35,1987-07-05,CAN,CAN,76,201,-,-,-,-,8475660,https://assets.nhle.com/mugs/nhl/20222023/OTT/8475660.png
2022-2023,Carter Hart,PHI,G,40.0,31.0,55.0,40.0,52.0,31.0,61.0,46.0,55.0,66.0,65.0,52.0,45.0,Starter,55,0.907,2.94,160.02,155,24,1998-08-13,CAN,CAN,74,181,2016,2,18,48,8479394,https://assets.nhle.com/mugs/nhl/20222023/PHI/8479394.png
2022-2023,Casey DeSmith,PIT,G,23.0,26.0,37.0,38.0,25.0,23.0,58.0,56.0,35.0,27.0,26.0,15.0,36.0,1B,38,0.905,3.17,112.49,109,31,1991-08-13,USA,USA,72,181,-,-,-,-,8479193,https://assets.nhle.com/mugs/nhl/20222023/PIT/8479193.png
2022-2023,Charlie Lindgren,WSH,G,49.0,59.0,30.0,70.0,6.0,60.0,6.0,28.0,42.0,53.0,53.0,59.0,50.0,Backup,31,0.899,3.05,80.5,86,28,1993-12-18,USA,USA,74,179,-,-,-,-,8479292,https://assets.nhle.com/mugs/nhl/20222023/WSH/8479292.png
2022-2023,Collin Delia,VAN,G,70.0,64.0,32.0,68.0,17.0,73.0,65.0,24.0,51.0,68.0,68.0,72.0,65.0,Backup,20,0.882,3.28,56.95,62,28,1994-06-20,USA,USA,74,208,-,-,-,-,8480420,https://assets.nhle.com/mugs/nhl/20222023/VAN/8480420.png
2022-2023,Connor Hellebuyck,WPG,G,9.0,10.0,25.0,5.0,9.0,29.0,39.0,47.0,15.0,7.0,6.0,7.0,13.0,Starter,64,0.920,2.49,189.63,157,29,1993-05-19,USA,USA,76,216,2012,5,9,130,8476945,https://assets.nhle.com/mugs/nhl/20222023/WPG/8476945.png
2022-2023,Connor Ingram,ARI,G,33.0,25.0,54.0,41.0,20.0,41.0,72.0,70.0,34.0,11.0,10.0,16.0,51.0,Backup,27,0.907,3.37,89.84,89,25,1997-03-31,CAN,CAN,74,196,2016,3,27,88,8478971,https://assets.nhle.com/mugs/nhl/20222023/ARI/8478971.png
2022-2023,Craig Anderson,BUF,G,36.0,53.0,18.0,17.0,68.0,15.0,24.0,51.0,30.0,44.0,43.0,40.0,40.0,Backup,26,0.908,3.06,75.4,76,41,1981-05-21,USA,USA,74,187,2001,3,10,73,8467950,https://assets.nhle.com/mugs/nhl/20222023/BUF/8467950.png
2022-2023,Dan Vladar,CGY,G,53.0,49.0,45.0,46.0,70.0,28.0,1.0,8.0,54.0,56.0,55.0,64.0,38.0,Backup,27,0.892,2.91,64.58,72,25,1997-08-20,CZE,CZE,77,209,2015,3,14,75,8478435,https://assets.nhle.com/mugs/nhl/20222023/CGY/8478435.png
2022-2023,Daniil Tarasov,CBJ,G,69.0,65.0,60.0,59.0,54.0,70.0,75.0,72.0,63.0,72.0,71.0,55.0,71.0,Backup,17,0.892,3.91,48.93,57,23,1999-03-27,RUS,RUS,77,196,2017,3,24,86,8480193,https://assets.nhle.com/mugs/nhl/20222023/CBJ/8480193.png
