Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2024-2025,Adin Hill,VGK,G,19.0,35.0,16.0,17.0,43.0,18.0,43.0,11.0,19.0,38.0,38.0,48.0,9.0,Starter,50,0.906,2.47,128.95,121,28,1996-05-11,CAN,CAN,76,215,2015,3,15,76,8478499
2024-2025,Aleksei Kolosov,PHI,G,68.0,68.0,65.0,64.0,42.0,68.0,42.0,17.0,68.0,68.0,68.0,67.0,68.0,Backup,17,0.867,3.59,41.78,54,22,2002-01-04,BLR,,73,185,2021,3,14,78,8482783
2024-2025,Alex Lyon,DET,G,32.0,47.0,47.0,37.0,28.0,35.0,33.0,42.0,11.0,27.0,28.0,29.0,35.0,Backup,30,0.896,2.81,76.15,73,31,1992-12-09,USA,USA,73,201,-,-,-,-,8479312
2024-2025,Alex Nedeljkovic,PIT,G,46.0,49.0,33.0,47.0,20.0,59.0,54.0,50.0,45.0,46.0,47.0,51.0,52.0,1B,38,0.894,3.12,104.01,112,28,1996-01-07,USA,USA,72,208,2014,2,7,37,8477968
2024-2025,Alexandar Georgiev,SJS,G,61.0,60.0,60.0,65.0,36.0,51.0,47.0,53.0,63.0,64.0,64.0,66.0,59.0,1A,49,0.875,3.71,141.62,165,28,1996-02-10,RUS,RUS,73,178,-,-,-,-,8480382
2024-2025,Andrei Vasilevskiy,TBL,G,4.0,5.0,8.0,10.0,29.0,7.0,10.0,23.0,8.0,17.0,17.0,22.0,4.0,Starter,63,0.921,2.18,162.62,136,30,1994-07-25,RUS,RUS,76,220,2012,1,19,19,8476883
2024-2025,Anthony Stolarz,TOR,G,1.0,1.0,24.0,11.0,5.0,3.0,65.0,37.0,5.0,3.0,3.0,3.0,2.0,1B,34,0.926,2.14,100.02,71,30,1994-01-20,USA,USA,78,243,2012,2,15,45,8476932
2024-2025,Anton Forsberg,OTT,G,45.0,43.0,52.0,42.0,32.0,50.0,24.0,32.0,54.0,56.0,56.0,55.0,44.0,Backup,30,0.901,2.72,72.15,76,31,1992-11-27,SWE,SWE,75,193,2011,7,7,188,8476341
2024-2025,Arvid Soderblom,CHI,G,56.0,62.0,9.0,57.0,8.0,65.0,46.0,63.0,64.0,63.0,63.0,60.0,64.0,1B,36,0.898,3.18,110.26,111,25,1999-08-19,SWE,SWE,75,180,-,-,-,-,8482821
2024-2025,Calvin Pickard,EDM,G,44.0,39.0,64.0,26.0,63.0,30.0,1.0,1.0,35.0,28.0,18.0,16.0,21.0,1B,36,0.9,2.71,76.29,85,32,1992-04-15,CAN,CAN,73,210,2010,2,19,49,8475717
2024-2025,Cam Talbot,DET,G,39.0,17.0,58.0,20.0,41.0,41.0,39.0,29.0,25.0,24.0,25.0,30.0,28.0,1A,47,0.9,2.93,130.53,129,37,1987-07-05,CAN,CAN,76,201,-,-,-,-,8475660
2024-2025,Casey DeSmith,DAL,G,15.0,3.0,53.0,38.0,7.0,24.0,50.0,45.0,6.0,18.0,19.0,8.0,18.0,Backup,27,0.915,2.59,79.34,65,33,1991-08-13,USA,USA,72,181,-,-,-,-,8479193
2024-2025,Charlie Lindgren,WSH,G,42.0,57.0,15.0,34.0,1.0,64.0,4.0,14.0,49.0,57.0,57.0,44.0,32.0,1B,39,0.895,2.73,102.7,104,30,1993-12-18,USA,USA,74,179,-,-,-,-,8479292
2024-2025,Connor Hellebuyck,WPG,G,2.0,2.0,19.0,7.0,6.0,5.0,40.0,18.0,2.0,1.0,1.0,2.0,1.0,Starter,63,0.925,2.0,167.95,125,31,1993-05-19,USA,USA,76,216,2012,5,9,130,8476945
2024-2025,Connor Ingram,UTA,G,59.0,52.0,39.0,63.0,57.0,28.0,36.0,33.0,53.0,61.0,61.0,54.0,53.0,Backup,22,0.882,3.27,58.92,66,27,1997-03-31,CAN,CAN,74,196,2016,3,27,88,8478971
2024-2025,Dan Vladar,CGY,G,55.0,55.0,57.0,46.0,50.0,61.0,6.0,20.0,56.0,55.0,55.0,39.0,54.0,Backup,30,0.898,2.8,76.73,83,27,1997-08-20,CZE,CZE,77,209,2015,3,14,75,8478435
2024-2025,Daniil Tarasov,CBJ,G,58.0,61.0,11.0,13.0,66.0,43.0,66.0,64.0,58.0,62.0,62.0,58.0,60.0,Backup,20,0.881,3.54,59.02,65,25,1999-03-27,RUS,RUS,77,196,2017,3,24,86,8480193
