Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2011-2012,Al Montoya,NYI,G,35.0,38.0,24.0,50.0,41.0,11.0,45.0,51.0,33.0,38.0,38.0,23.0,49.0,Backup,31,0.893,3.11,78.95,89,26,1985-02-13,USA,USA,74,200,2004,1,6,6,8471219,https://assets.nhle.com/mugs/nhl/20112012/NYI/8471219.png
2011-2012,Alex Auld,OTT,G,57.0,55.0,32.0,56.0,48.0,53.0,49.0,26.0,55.0,51.0,51.0,40.0,58.0,Backup,14,0.884,3.35,27.58,36,30,1981-01-07,CAN,CAN,76,215,1999,2,12,40,8467913,https://assets.nhle.com/mugs/nhl/20112012/OTT/8467913.png
2011-2012,Anders Lindback,NSH,G,24.0,19.0,53.0,39.0,27.0,21.0,24.0,27.0,16.0,28.0,29.0,27.0,41.0,Backup,16,0.912,2.42,34.76,32,23,1988-05-03,SWE,SWE,78,215,2008,7,26,207,8474765,https://assets.nhle.com/mugs/nhl/20112012/NSH/8474765.png
2011-2012,Antti Niemi,SJS,G,26.0,18.0,45.0,32.0,42.0,16.0,34.0,8.0,32.0,17.0,17.0,11.0,13.0,Starter,68,0.915,2.44,153.28,159,28,1983-08-29,FIN,FIN,74,209,-,-,-,-,8474550,https://assets.nhle.com/mugs/nhl/20112012/SJS/8474550.png
2011-2012,Brent Johnson,PIT,G,54.0,57.0,33.0,23.0,51.0,51.0,30.0,11.0,47.0,45.0,46.0,46.0,51.0,Backup,16,0.883,3.11,32.22,42,34,1977-03-12,USA,USA,75,199,1995,5,25,129,8462161,https://assets.nhle.com/mugs/nhl/20112012/PIT/8462161.png
2011-2012,Brian Elliott,STL,G,8.0,22.0,11.0,21.0,8.0,15.0,31.0,10.0,8.0,19.0,19.0,15.0,8.0,1B,38,0.940,1.56,80.63,58,26,1985-04-09,CAN,CAN,74,221,2003,9,30,291,8470880,https://assets.nhle.com/mugs/nhl/20112012/STL/8470880.png
2011-2012,Cam Ward,CAR,G,15.0,14.0,21.0,16.0,16.0,20.0,58.0,56.0,22.0,21.0,21.0,22.0,20.0,Starter,68,0.915,2.74,194.75,182,27,1984-02-29,CAN,CAN,73,194,2002,1,25,25,8470320,https://assets.nhle.com/mugs/nhl/20112012/CAR/8470320.png
2011-2012,Carey Price,MTL,G,12.0,21.0,15.0,9.0,39.0,17.0,32.0,33.0,23.0,12.0,12.0,18.0,22.0,Starter,65,0.916,2.43,161.28,160,24,1987-08-16,CAN,CAN,75,217,2005,1,5,5,8471679,https://assets.nhle.com/mugs/nhl/20112012/MTL/8471679.png
2011-2012,Chris Mason,WPG,G,53.0,56.0,44.0,57.0,47.0,46.0,35.0,20.0,53.0,56.0,56.0,58.0,52.0,Backup,20,0.898,2.65,40.03,43,35,1976-04-20,CAN,CAN,72,198,1995,5,18,122,8462152,https://assets.nhle.com/mugs/nhl/20112012/WPG/8462152.png
2011-2012,Corey Crawford,CHI,G,30.0,26.0,52.0,35.0,25.0,38.0,13.0,23.0,37.0,31.0,31.0,35.0,27.0,Starter,57,0.903,2.72,126.32,146,26,1984-12-31,CAN,CAN,74,216,2003,2,22,52,8470645,https://assets.nhle.com/mugs/nhl/20112012/CHI/8470645.png
2011-2012,Cory Schneider,VAN,G,1.0,1.0,1.0,19.0,6.0,1.0,39.0,58.0,1.0,1.0,1.0,1.0,1.0,1B,33,0.937,1.96,77.86,60,25,1986-03-18,USA,USA,75,214,2004,1,26,26,8471239,https://assets.nhle.com/mugs/nhl/20112012/VAN/8471239.png
