Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2010-2011,Al Montoya,NYI,G,5.0,2.0,15.0,3.0,4.0,6.0,60.0,60.0,18.0,5.0,5.0,5.0,13.0,Backup,20,1153.7833333333,0.921,2.39,58.5,46,25,1985-02-13,USA,USA,74,200,2004,1,6,8471219,9,5,5,1
2010-2011,Alex Auld,MTL,G,40.0,52.0,5.0,41.0,51.0,44.0,27.0,27.0,56.0,22.0,22.0,32.0,48.0,Backup,16,748.58333333333,0.914,2.64,37.25,33,29,1981-01-07,CAN,CAN,76,215,1999,2,40,8467913,6,2,2,0
2010-2011,Anders Lindback,NSH,G,17.0,5.0,59.0,1.0,10.0,26.0,7.0,52.0,3.0,8.0,8.0,3.0,24.0,Backup,22,1131.05,0.915,2.6,47.25,49,22,1988-05-03,SWE,SWE,78,215,2008,7,207,8474765,11,5,2,2
2010-2011,Andrew Raycroft,DAL,G,38.0,56.0,4.0,12.0,61.0,53.0,55.0,47.0,40.0,37.0,30.0,24.0,41.0,Backup,19,847.16666666667,0.91,2.83,36.44,40,30,1980-05-04,CAN,CAN,73,180,1998,5,135,8467453,8,5,0,2
2010-2011,Antero Niittymaki,SJS,G,45.0,32.0,58.0,43.0,37.0,20.0,47.0,13.0,45.0,51.0,51.0,51.0,47.0,Backup,24,1414.4666666667,0.896,2.71,57.72,64,30,1980-06-18,FIN,FIN,73,195,1998,6,168,8467511,12,7,3,0
2010-2011,Antti Niemi,SJS,G,21.0,25.0,28.0,40.0,47.0,9.0,38.0,6.0,28.0,29.0,29.0,33.0,6.0,Starter,60,3525.9,0.92,2.38,144.36,140,27,1983-08-29,FIN,FIN,74,209,-,-,-,8474550,35,18,6,6
2010-2011,Braden Holtby,WSH,G,3.0,19.0,1.0,48.0,19.0,16.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Backup,14,735.98333333333,0.934,1.79,26.36,22,20,1989-09-16,CAN,CAN,73,215,2008,4,93,8474651,10,2,2,2
2010-2011,Brent Johnson,PIT,G,22.0,27.0,32.0,46.0,24.0,29.0,23.0,21.0,4.0,6.0,6.0,11.0,25.0,Backup,23,1296.7,0.922,2.17,51.29,47,33,1977-03-12,USA,USA,75,199,1995,5,129,8462161,13,5,3,1
2010-2011,Brian Boucher,PHI,G,41.0,39.0,41.0,60.0,29.0,21.0,50.0,11.0,23.0,27.0,27.0,30.0,38.0,Tandem (1B),34,1886.4,0.916,2.42,79.27,76,33,1977-01-02,USA,USA,74,200,1995,1,22,8462052,18,10,4,0
2010-2011,Brian Elliott,COL,G,59.0,60.0,40.0,33.0,58.0,57.0,34.0,17.0,59.0,58.0,59.0,57.0,54.0,Starter,55,2983.1333333333,0.893,3.34,135.95,166,25,1985-04-09,CAN,CAN,74,221,2003,9,291,8470880,15,27,9,3
2010-2011,Brian Elliott,OTT,G,59.0,60.0,40.0,33.0,58.0,57.0,34.0,17.0,59.0,58.0,59.0,57.0,54.0,Starter,55,2983.1333333333,0.893,3.34,135.95,166,25,1985-04-09,CAN,CAN,74,221,2003,9,291,8470880,15,27,9,3
2010-2011,Cam Ward,CAR,G,11.0,11.0,26.0,9.0,26.0,13.0,61.0,61.0,19.0,17.0,17.0,12.0,17.0,Starter,74,4277.5833333333,0.922,2.58,218.73,184,26,1984-02-29,CAN,CAN,73,194,2002,1,25,8470320,37,26,10,4
2010-2011,Carey Price,MTL,G,20.0,20.0,35.0,8.0,25.0,35.0,33.0,33.0,17.0,24.0,24.0,26.0,23.0,Starter,72,4206.15,0.923,2.35,182.83,165,23,1987-08-16,CAN,CAN,75,217,2005,1,5,8471679,38,28,6,8
2010-2011,Chris Mason,ATL,G,46.0,50.0,52.0,57.0,40.0,43.0,39.0,53.0,51.0,46.0,46.0,48.0,49.0,Tandem (1B),33,1681.6833333333,0.892,3.39,79.85,95,34,1976-04-20,CAN,CAN,72,198,1995,5,122,8462152,13,13,3,1
2010-2011,Corey Crawford,CHI,G,12.0,15.0,36.0,53.0,3.0,23.0,10.0,12.0,21.0,9.0,10.0,2.0,12.0,Starter,57,3338.0,0.917,2.3,133.29,128,25,1984-12-31,CAN,CAN,74,216,2003,2,52,8470645,33,18,6,4
2010-2011,Cory Schneider,VAN,G,1.0,3.0,2.0,35.0,53.0,1.0,57.0,42.0,8.0,15.0,9.0,5.0,3.0,Backup,25,1371.7833333333,0.929,2.23,70.65,51,24,1986-03-18,USA,USA,75,214,2004,1,26,8471239,16,4,2,1
2010-2011,Craig Anderson,OTT,G,26.0,31.0,20.0,11.0,14.0,55.0,56.0,50.0,24.0,26.0,26.0,40.0,27.0,Starter,51,2865.4333333333,0.913,2.83,126.77,135,29,1981-05-21,USA,USA,74,187,2001,3,73,8467950,24,20,4,2
2010-2011,Craig Anderson,COL,G,26.0,31.0,20.0,11.0,14.0,55.0,56.0,50.0,24.0,26.0,26.0,40.0,27.0,Starter,51,2865.4333333333,0.913,2.83,126.77,135,29,1981-05-21,USA,USA,74,187,2001,3,73,8467950,24,20,4,2
2010-2011,Curtis McElhinney,ANA,G,60.0,61.0,38.0,45.0,52.0,60.0,45.0,35.0,48.0,57.0,56.0,60.0,59.0,Backup,28,1394.8666666667,0.897,3.18,69.04,74,27,1983-05-23,CAN,CAN,74,210,2002,6,176,8470147,9,13,1,2
2010-2011,Curtis McElhinney,OTT,G,60.0,61.0,38.0,45.0,52.0,60.0,45.0,35.0,48.0,57.0,56.0,60.0,59.0,Backup,28,1394.8666666667,0.897,3.18,69.04,74,27,1983-05-23,CAN,CAN,74,210,2002,6,176,8470147,9,13,1,2
2010-2011,Dan Ellis,ANA,G,51.0,53.0,54.0,49.0,44.0,48.0,22.0,8.0,47.0,48.0,49.0,53.0,45.0,Tandem (1A),44,2408.1666666667,0.898,2.77,92.62,111,30,1980-06-19,CAN,CAN,73,195,2000,2,60,8468540,21,10,7,2
2010-2011,Dan Ellis,TBL,G,51.0,53.0,54.0,49.0,44.0,48.0,22.0,8.0,47.0,48.0,49.0,53.0,45.0,Tandem (1A),44,2408.1666666667,0.898,2.77,92.62,111,30,1980-06-19,CAN,CAN,73,195,2000,2,60,8468540,21,10,7,2
2010-2011,Devan Dubnyk,EDM,G,43.0,40.0,48.0,2.0,56.0,42.0,52.0,55.0,41.0,44.0,44.0,37.0,50.0,Tandem (1B),35,2061.0666666667,0.916,2.71,102.46,93,24,1986-05-04,CAN,CAN,78,224,2004,1,14,8471227,12,13,8,2
2010-2011,Dwayne Roloson,NYI,G,35.0,30.0,42.0,30.0,38.0,22.0,46.0,41.0,26.0,32.0,34.0,28.0,36.0,Starter,54,3199.25,0.914,2.59,132.43,138,40,1969-10-12,CAN,CAN,73,170,-,-,-,8460806,24,25,5,4
