Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2021-2022,Adin Hill,SJS,G,34.0,37.0,20.0,38.0,32.0,36.0,14.0,15.0,40.0,36.0,36.0,44.0,43.0,Backup,25,0.906,2.66,52.15,61,25,1996-05-11,CAN,CAN,76,215,2015,3,15,76,8478499
2021-2022,Alex Nedeljkovic,DET,G,17.0,10.0,15.0,19.0,34.0,20.0,29.0,47.0,13.0,23.0,24.0,25.0,26.0,Starter,59,0.901,3.31,160.14,178,25,1996-01-07,USA,USA,72,208,2014,2,7,37,8477968
2021-2022,Alexandar Georgiev,NYR,G,51.0,47.0,65.0,51.0,45.0,51.0,27.0,16.0,45.0,61.0,57.0,55.0,46.0,1B,33,0.898,2.92,78.05,85,25,1996-02-10,RUS,RUS,73,178,-,-,-,-,8480382
2021-2022,Andrei Vasilevskiy,TBL,G,3.0,4.0,29.0,24.0,4.0,17.0,8.0,30.0,5.0,5.0,5.0,3.0,5.0,Starter,63,0.917,2.48,164.92,155,27,1994-07-25,RUS,RUS,76,220,2012,1,19,19,8476883
2021-2022,Anthony Stolarz,ANA,G,6.0,27.0,1.0,69.0,1.0,14.0,24.0,53.0,8.0,9.0,10.0,20.0,19.0,Backup,28,0.917,2.67,70.32,67,27,1994-01-20,USA,USA,78,243,2012,2,15,45,8476932
2021-2022,Anton Forsberg,OTT,G,9.0,14.0,3.0,22.0,37.0,2.0,52.0,67.0,6.0,3.0,3.0,4.0,21.0,1A,46,0.917,2.82,127.78,121,28,1992-11-27,SWE,SWE,75,193,2011,7,7,188,8476341
2021-2022,Antti Raanta,CAR,G,24.0,11.0,7.0,15.0,25.0,33.0,66.0,45.0,37.0,18.0,17.0,34.0,31.0,Backup,28,0.912,2.45,67.46,62,32,1989-05-12,FIN,FIN,72,195,-,-,-,-,8477293
2021-2022,Braden Holtby,DAL,G,47.0,50.0,54.0,9.0,48.0,58.0,26.0,49.0,36.0,42.0,42.0,45.0,53.0,Backup,24,0.913,2.78,58.52,61,31,1989-09-16,CAN,CAN,73,215,2008,4,2,93,8474651
2021-2022,Brian Elliott,TBL,G,49.0,55.0,28.0,44.0,49.0,46.0,3.0,3.0,52.0,56.0,49.0,59.0,35.0,Backup,19,0.912,2.43,42.65,43,36,1985-04-09,CAN,CAN,74,221,2003,9,30,291,8470880
2021-2022,Cal Petersen,LAK,G,41.0,41.0,53.0,43.0,58.0,18.0,63.0,31.0,31.0,34.0,34.0,40.0,48.0,1B,37,0.895,2.89,95.38,105,26,1994-10-19,USA,USA,74,185,2013,5,8,129,8477361
2021-2022,Cam Talbot,MIN,G,32.0,31.0,47.0,35.0,23.0,48.0,10.0,17.0,9.0,19.0,19.0,27.0,13.0,1A,49,0.911,2.76,114.34,132,34,1987-07-05,CAN,CAN,76,201,-,-,-,-,8475660
2021-2022,Carter Hart,PHI,G,61.0,56.0,60.0,63.0,51.0,55.0,58.0,44.0,54.0,58.0,59.0,49.0,62.0,1A,45,0.905,3.16,125.81,137,23,1998-08-13,CAN,CAN,74,181,2016,2,18,48,8479394
2021-2022,Casey DeSmith,PIT,G,21.0,19.0,49.0,14.0,41.0,25.0,54.0,34.0,23.0,29.0,29.0,17.0,22.0,Backup,26,0.914,2.79,63.57,66,30,1991-08-13,USA,USA,72,181,-,-,-,-,8479193
2021-2022,Chris Driedger,SEA,G,37.0,12.0,64.0,33.0,28.0,40.0,33.0,10.0,49.0,38.0,39.0,46.0,36.0,Backup,27,0.899,2.96,66.17,73,27,1994-05-18,CAN,CAN,76,208,2012,3,15,76,8476904
2021-2022,Connor Hellebuyck,WPG,G,18.0,17.0,26.0,12.0,13.0,35.0,62.0,60.0,14.0,21.0,21.0,23.0,25.0,Starter,66,0.91,2.97,198.98,193,28,1993-05-19,USA,USA,76,216,2012,5,9,130,8476945
2021-2022,Craig Anderson,BUF,G,60.0,68.0,5.0,7.0,69.0,28.0,30.0,32.0,38.0,60.0,62.0,66.0,49.0,Backup,31,0.897,3.12,85.45,97,40,1981-05-21,USA,USA,74,187,2001,3,10,73,8467950
2021-2022,Dan Vladar,CGY,G,52.0,51.0,51.0,6.0,62.0,56.0,12.0,5.0,29.0,17.0,18.0,39.0,29.0,Backup,23,0.906,2.75,52.38,57,24,1997-08-20,CZE,CZE,77,209,2015,3,14,75,8478435
2021-2022,Darcy Kuemper,COL,G,12.0,16.0,18.0,18.0,31.0,10.0,67.0,27.0,21.0,12.0,12.0,9.0,9.0,Starter,57,0.921,2.54,154.08,138,31,1990-05-05,CAN,CAN,77,215,2009,6,10,161,8475311
2021-2022,David Rittich,NSH,G,64.0,59.0,66.0,25.0,54.0,67.0,34.0,35.0,57.0,50.0,51.0,52.0,65.0,Backup,17,0.887,3.57,38.96,49,29,1992-08-19,CZE,CZE,76,205,-,-,-,-,8479496
2021-2022,Dustin Tokarski,BUF,G,55.0,54.0,42.0,65.0,50.0,44.0,36.0,64.0,53.0,46.0,47.0,53.0,64.0,Backup,29,0.899,3.27,77.17,91,31,1989-09-16,CAN,CAN,72,198,2008,5,1,122,8474682
2021-2022,Elvis Merzlikins,CBJ,G,27.0,26.0,23.0,46.0,30.0,24.0,32.0,62.0,35.0,39.0,38.0,24.0,40.0,Starter,59,0.907,3.22,164.75,178,27,1994-04-13,LVA,LVA,75,183,2014,3,16,76,8478007
2021-2022,Eric Comrie,WPG,G,5.0,1.0,63.0,62.0,2.0,7.0,37.0,56.0,4.0,20.0,20.0,2.0,12.0,Backup,19,0.92,2.58,51.64,44,26,1995-07-06,CAN,CAN,73,183,2013,2,29,59,8477480
2021-2022,Erik Kallgren,TOR,G,68.0,66.0,69.0,47.0,67.0,64.0,25.0,19.0,60.0,69.0,69.0,69.0,54.0,Backup,14,0.888,3.31,33.38,43,24,1996-10-14,SWE,SWE,75,200,2015,7,2,183,8478902
2021-2022,Filip Gustavsson,OTT,G,48.0,30.0,57.0,1.0,60.0,59.0,42.0,41.0,23.0,37.0,37.0,37.0,47.0,Backup,18,0.892,3.55,52.75,62,23,1998-06-07,SWE,SWE,74,184,2016,2,25,55,8479406
2021-2022,Frederik Andersen,CAR,G,29.0,25.0,19.0,28.0,22.0,34.0,18.0,7.0,28.0,31.0,31.0,30.0,14.0,Starter,52,0.922,2.17,136.57,111,31,1989-10-02,DNK,DNK,76,238,2012,3,26,87,8475883
