Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2015-2016,Al Montoya,FLA,G,49.0,61.0,21.0,24.0,57.0,58.0,28.0,11.0,33.0,31.0,31.0,55.0,49.0,Backup,25,1351.2333333333,0.919,2.18,52.32,49,30,1985-02-13,USA,USA,74,200,2004,1,6,8471219,12,7,3,0
2015-2016,Alex Stalock,SJS,G,66.0,66.0,54.0,38.0,64.0,63.0,6.0,7.0,56.0,61.0,61.0,61.0,65.0,Backup,13,674.13333333333,0.884,2.94,24.41,33,28,1987-07-28,USA,USA,71,170,2005,4,112,8471774,3,5,2,0
2015-2016,Anders Lindback,ARI,G,65.0,62.0,62.0,65.0,56.0,55.0,7.0,42.0,64.0,65.0,65.0,64.0,67.0,Backup,19,906.13333333333,0.894,3.11,36.8,47,27,1988-05-03,SWE,SWE,78,215,2008,7,207,8474765,5,7,1,0
2015-2016,Anders Nilsson,EDM,G,61.0,50.0,55.0,63.0,54.0,36.0,51.0,65.0,58.0,63.0,63.0,63.0,64.0,Backup,29,1500.5833333333,0.901,3.12,69.23,78,25,1990-03-19,SWE,SWE,78,232,2009,3,62,8475195,10,13,2,0
2015-2016,Anders Nilsson,STL,G,61.0,50.0,55.0,63.0,54.0,36.0,51.0,65.0,58.0,63.0,63.0,63.0,64.0,Backup,29,1500.5833333333,0.901,3.12,69.23,78,25,1990-03-19,SWE,SWE,78,232,2009,3,62,8475195,10,13,2,0
2015-2016,Andrei Vasilevskiy,TBL,G,36.0,27.0,43.0,68.0,41.0,2.0,2.0,31.0,62.0,56.0,56.0,19.0,39.0,Backup,24,1258.6333333333,0.91,2.76,50.18,58,21,1994-07-25,RUS,RUS,76,220,2012,1,19,8476883,11,10,0,1
2015-2016,Andrew Hammond,OTT,G,14.0,2.0,68.0,28.0,13.0,4.0,57.0,38.0,4.0,6.0,7.0,13.0,14.0,Backup,24,1382.3166666667,0.914,2.65,60.88,61,27,1988-02-11,CAN,CAN,74,215,-,-,-,8477202,7,11,4,1
2015-2016,Antti Niemi,DAL,G,54.0,40.0,47.0,45.0,20.0,43.0,47.0,22.0,59.0,53.0,51.0,49.0,32.0,Tandem (1A),48,2654.3833333333,0.905,2.67,114.48,118,32,1983-08-29,FIN,FIN,74,209,-,-,-,8474550,25,13,7,3
2015-2016,Antti Raanta,NYR,G,6.0,14.0,11.0,21.0,53.0,7.0,19.0,30.0,7.0,23.0,19.0,10.0,24.0,Backup,25,1150.35,0.919,2.24,49.42,43,26,1989-05-12,FIN,FIN,72,195,-,-,-,8477293,11,6,2,1
2015-2016,Ben Bishop,TBL,G,10.0,28.0,13.0,26.0,29.0,33.0,13.0,12.0,16.0,7.0,8.0,15.0,4.0,Starter,61,3584.6333333333,0.926,2.06,131.28,123,28,1986-11-21,USA,USA,79,210,2005,3,85,8471750,35,21,4,6
2015-2016,Ben Scrivens,MTL,G,63.0,45.0,58.0,9.0,12.0,65.0,48.0,56.0,66.0,54.0,54.0,47.0,63.0,Backup,15,821.96666666667,0.906,3.07,36.07,42,28,1986-09-11,CAN,CAN,74,181,-,-,-,8475681,5,8,0,0
2015-2016,Braden Holtby,WSH,G,16.0,23.0,30.0,19.0,31.0,26.0,21.0,16.0,12.0,17.0,17.0,25.0,2.0,Starter,66,3842.4,0.922,2.2,154.82,141,25,1989-09-16,CAN,CAN,73,215,2008,4,93,8474651,48,9,7,3
2015-2016,Brian Elliott,STL,G,3.0,7.0,16.0,49.0,9.0,10.0,12.0,19.0,8.0,15.0,6.0,14.0,5.0,Tandem (1A),42,2263.0,0.93,2.07,101.99,78,30,1985-04-09,CAN,CAN,74,221,2003,9,291,8470880,23,8,6,4
2015-2016,Calvin Pickard,COL,G,2.0,1.0,8.0,29.0,3.0,9.0,61.0,68.0,5.0,2.0,2.0,5.0,31.0,Backup,20,980.43333333333,0.922,2.57,47.99,42,23,1992-04-15,CAN,CAN,73,210,2010,2,49,8475717,7,6,1,1
2015-2016,Cam Talbot,EDM,G,11.0,34.0,10.0,35.0,26.0,31.0,44.0,50.0,41.0,32.0,32.0,39.0,15.0,Starter,56,3190.4166666667,0.917,2.58,140.28,137,28,1987-07-05,CAN,CAN,76,201,-,-,-,8475660,21,27,5,3
