Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2016-2017,Aaron Dell,SJS,G,3.0,1.0,59.0,3.0,1.0,45.0,60.0,14.0,4.0,1.0,1.0,1.0,4.0,Backup,20,0.931,2.0,47.28,37,27,1989-05-04,CAN,CAN,72,213,-,-,-,-,8477180
2016-2017,Al Montoya,MTL,G,39.0,47.0,56.0,24.0,55.0,28.0,19.0,21.0,7.0,7.0,8.0,30.0,39.0,Backup,19,0.912,2.67,45.26,50,31,1985-02-13,USA,USA,74,200,2004,1,6,6,8471219
2016-2017,Anders Nilsson,BUF,G,17.0,13.0,34.0,8.0,20.0,21.0,57.0,62.0,45.0,39.0,39.0,17.0,40.0,Backup,26,0.923,2.67,73.63,66,26,1990-03-19,SWE,SWE,78,232,2009,3,1,62,8475195
2016-2017,Andrei Vasilevskiy,TBL,G,23.0,17.0,22.0,61.0,40.0,3.0,5.0,40.0,47.0,34.0,35.0,32.0,30.0,Starter,50,0.917,2.61,111.5,123,22,1994-07-25,RUS,RUS,76,220,2012,1,19,19,8476883
2016-2017,Anton Khudobin,BOS,G,53.0,59.0,4.0,2.0,51.0,58.0,33.0,24.0,60.0,60.0,61.0,59.0,56.0,Backup,16,0.904,2.71,36.1,39,30,1986-05-07,KAZ,RUS,71,210,2004,7,13,206,8471418
2016-2017,Antti Niemi,DAL,G,59.0,56.0,54.0,23.0,52.0,60.0,59.0,30.0,58.0,59.0,58.0,57.0,59.0,1B,37,0.892,3.3,81.22,95,33,1983-08-29,FIN,FIN,74,209,-,-,-,-,8474550
2016-2017,Antti Raanta,NYR,G,2.0,5.0,33.0,9.0,26.0,5.0,14.0,32.0,5.0,15.0,9.0,9.0,11.0,Backup,30,0.922,2.26,67.45,61,27,1989-05-12,FIN,FIN,72,195,-,-,-,-,8477293
2016-2017,Ben Bishop,LAK,G,22.0,18.0,14.0,35.0,43.0,12.0,12.0,18.0,30.0,18.0,20.0,31.0,26.0,1B,39,0.910,2.54,89.04,94,29,1986-11-21,USA,USA,79,210,2005,3,24,85,8471750
2016-2017,Ben Bishop,TBL,G,22.0,18.0,14.0,35.0,43.0,12.0,12.0,18.0,30.0,18.0,20.0,31.0,26.0,1B,39,0.910,2.54,89.04,94,29,1986-11-21,USA,USA,79,210,2005,3,24,85,8471750
2016-2017,Braden Holtby,WSH,G,13.0,15.0,38.0,6.0,17.0,30.0,36.0,9.0,3.0,8.0,10.0,10.0,1.0,Starter,63,0.925,2.07,151.03,127,26,1989-09-16,CAN,CAN,73,215,2008,4,2,93,8474651
2016-2017,Brian Elliott,CGY,G,21.0,20.0,20.0,18.0,8.0,42.0,18.0,26.0,16.0,32.0,32.0,38.0,19.0,1A,49,0.910,2.57,115.26,121,31,1985-04-09,CAN,CAN,74,221,2003,9,30,291,8470880
2016-2017,Calvin Pickard,COL,G,41.0,38.0,42.0,16.0,50.0,46.0,47.0,50.0,27.0,38.0,38.0,35.0,52.0,Starter,50,0.904,3.0,111.62,140,24,1992-04-15,CAN,CAN,73,210,2010,2,19,49,8475717
2016-2017,Cam Talbot,EDM,G,9.0,16.0,19.0,25.0,9.0,13.0,49.0,45.0,34.0,20.0,22.0,22.0,13.0,Starter,73,0.919,2.39,194.05,171,29,1987-07-05,CAN,CAN,76,201,-,-,-,-,8475660
2016-2017,Cam Ward,CAR,G,55.0,57.0,32.0,53.0,44.0,53.0,40.0,5.0,53.0,52.0,53.0,55.0,46.0,Starter,61,0.905,2.69,146.42,162,32,1984-02-29,CAN,CAN,73,194,2002,1,25,25,8470320
2016-2017,Carey Price,MTL,G,5.0,6.0,28.0,47.0,32.0,1.0,25.0,16.0,2.0,3.0,3.0,4.0,3.0,Starter,62,0.923,2.23,144.93,138,29,1987-08-16,CAN,CAN,75,217,2005,1,5,5,8471679
2016-2017,Carter Hutton,STL,G,34.0,39.0,13.0,45.0,35.0,23.0,15.0,12.0,54.0,56.0,51.0,36.0,32.0,Backup,30,0.913,2.39,56.85,58,30,1985-12-19,CAN,CAN,72,211,-,-,-,-,8475622
2016-2017,Chad Johnson,CGY,G,44.0,51.0,44.0,33.0,45.0,43.0,24.0,22.0,38.0,40.0,40.0,53.0,36.0,1B,36,0.910,2.59,87.01,87,30,1986-06-10,CAN,CAN,75,197,2006,5,2,125,8473434
2016-2017,Connor Hellebuyck,WPG,G,49.0,41.0,58.0,51.0,47.0,40.0,32.0,27.0,41.0,50.0,50.0,45.0,41.0,Starter,56,0.907,2.89,131.05,146,23,1993-05-19,USA,USA,76,216,2012,5,9,130,8476945
2016-2017,Corey Crawford,CHI,G,8.0,7.0,45.0,30.0,12.0,10.0,45.0,53.0,15.0,6.0,7.0,6.0,8.0,Starter,55,0.918,2.55,145.28,138,31,1984-12-31,CAN,CAN,74,216,2003,2,22,52,8470645
2016-2017,Cory Schneider,NJD,G,33.0,31.0,29.0,38.0,56.0,7.0,3.0,28.0,31.0,28.0,28.0,11.0,42.0,Starter,60,0.908,2.82,144.53,163,30,1986-03-18,USA,USA,75,214,2004,1,26,26,8471239
2016-2017,Craig Anderson,OTT,G,19.0,8.0,57.0,13.0,25.0,20.0,43.0,39.0,11.0,12.0,14.0,5.0,5.0,1B,40,0.926,2.28,102.28,92,35,1981-05-21,USA,USA,74,187,2001,3,10,73,8467950
2016-2017,Curtis McElhinney,CBJ,G,50.0,52.0,35.0,49.0,53.0,25.0,50.0,51.0,56.0,58.0,60.0,50.0,55.0,Backup,21,0.917,2.7,50.75,51,33,1983-05-23,CAN,CAN,74,210,2002,6,10,176,8470147
2016-2017,Curtis McElhinney,TOR,G,50.0,52.0,35.0,49.0,53.0,25.0,50.0,51.0,56.0,58.0,60.0,50.0,55.0,Backup,21,0.917,2.7,50.75,51,33,1983-05-23,CAN,CAN,74,210,2002,6,10,176,8470147
2016-2017,Darcy Kuemper,MIN,G,56.0,54.0,15.0,57.0,58.0,26.0,29.0,25.0,61.0,51.0,52.0,25.0,50.0,Backup,18,0.902,3.13,41.32,55,26,1990-05-05,CAN,CAN,77,215,2009,6,10,161,8475311
2016-2017,Devan Dubnyk,MIN,G,20.0,21.0,40.0,11.0,42.0,19.0,17.0,6.0,9.0,5.0,6.0,3.0,7.0,Starter,65,0.923,2.25,132.78,141,30,1986-05-04,CAN,CAN,78,224,2004,1,14,14,8471227
2016-2017,Eddie Lack,CAR,G,58.0,50.0,51.0,52.0,61.0,22.0,44.0,7.0,50.0,61.0,56.0,60.0,53.0,Backup,20,0.902,2.64,37.92,48,28,1988-01-05,SWE,SWE,76,187,-,-,-,-,8475663
2016-2017,Frederik Andersen,TOR,G,28.0,22.0,11.0,40.0,31.0,15.0,13.0,37.0,6.0,14.0,16.0,19.0,15.0,Starter,66,0.918,2.67,177.55,169,26,1989-10-02,DNK,DNK,76,238,2012,3,26,87,8475883
2016-2017,Henrik Lundqvist,NYR,G,32.0,24.0,48.0,32.0,19.0,33.0,37.0,47.0,23.0,33.0,34.0,27.0,21.0,Starter,57,0.910,2.74,143.46,148,34,1982-03-02,SWE,SWE,73,182,2000,7,8,205,8468685
2016-2017,J-F Berube,NYI,G,60.0,60.0,62.0,62.0,10.0,61.0,2.0,35.0,39.0,48.0,48.0,58.0,62.0,Backup,14,0.889,3.42,19.04,30,25,1991-07-13,CAN,CAN,73,177,2009,4,4,95,8475234
2016-2017,J-F Berube,NYI,G,60.0,60.0,62.0,62.0,10.0,61.0,2.0,35.0,39.0,48.0,48.0,58.0,62.0,Backup,14,0.889,3.42,19.04,30,25,1991-07-13,CAN,CAN,73,177,2009,4,4,95,8475234
2016-2017,Jacob Markstrom,VAN,G,24.0,32.0,27.0,34.0,30.0,29.0,48.0,54.0,26.0,19.0,12.0,28.0,47.0,Backup,26,0.911,2.63,58.04,62,26,1990-01-31,SWE,SWE,78,207,2008,2,1,31,8474593
2016-2017,Jake Allen,STL,G,27.0,30.0,6.0,15.0,27.0,41.0,9.0,17.0,20.0,24.0,25.0,34.0,16.0,Starter,61,0.915,2.42,128.11,138,26,1990-08-07,CAN,CAN,74,195,2008,2,4,34,8474596
2016-2017,James Reimer,FLA,G,15.0,2.0,50.0,27.0,21.0,16.0,16.0,46.0,24.0,37.0,30.0,12.0,29.0,1A,43,0.920,2.53,99.51,98,28,1988-03-15,CAN,CAN,75,205,2006,4,6,99,8473503
2016-2017,Jared Coreau,DET,G,62.0,61.0,18.0,58.0,60.0,59.0,27.0,43.0,62.0,62.0,62.0,58.0,60.0,Backup,14,0.887,3.45,32.25,41,24,1991-11-05,CAN,CAN,78,214,-,-,-,-,8477225
2016-2017,Jaroslav Halak,NYI,G,14.0,28.0,3.0,54.0,2.0,14.0,30.0,57.0,36.0,45.0,45.0,26.0,23.0,Backup,28,0.915,2.8,78.5,75,31,1985-05-13,SVK,SVK,71,189,2003,9,10,271,8470860
2016-2017,Jeff Zatkoff,LAK,G,61.0,62.0,1.0,1.0,62.0,62.0,1.0,2.0,46.0,54.0,55.0,61.0,61.0,Backup,13,0.879,2.94,17.47,27,29,1987-06-09,USA,USA,74,186,2006,3,11,74,8473553
2016-2017,Jimmy Howard,DET,G,18.0,29.0,7.0,43.0,24.0,8.0,21.0,23.0,8.0,11.0,13.0,21.0,33.0,Backup,26,0.927,2.1,56.18,49,32,1984-03-26,USA,USA,73,218,2003,2,34,64,8470657
2016-2017,John Gibson,ANA,G,11.0,19.0,2.0,10.0,4.0,36.0,28.0,20.0,17.0,17.0,19.0,20.0,9.0,Starter,52,0.924,2.22,130.75,109,23,1993-07-14,USA,USA,74,210,2011,2,9,39,8476434
