Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2023-2024,Adin Hill,VGK,G,22.0,45.0,6.0,23.0,51.0,13.0,24.0,16.0,12.0,33.0,33.0,41.0,19.0,1B,35,0.909,2.71,94.14,89,27,1996-05-11,CAN,CAN,76,215,2015,3,15,76,8478499.0
2023-2024,Akira Schmid,NJD,G,49.0,57.0,55.0,20.0,57.0,40.0,19.0,14.0,32.0,52.0,53.0,49.0,54.0,Backup,19,0.895,3.15,43.77,48,23,2000-05-12,CHE,CHE,77,205,2018,5,12,136,8481033.0
2023-2024,Alex Lyon,DET,G,31.0,32.0,23.0,17.0,24.0,50.0,53.0,54.0,29.0,30.0,31.0,29.0,27.0,1A,44,0.904,3.05,122.67,127,30,1992-12-09,USA,USA,73,201,-,-,-,-,8479312.0
2023-2024,Alex Nedeljkovic,PIT,G,44.0,44.0,44.0,69.0,1.0,69.0,41.0,50.0,45.0,61.0,62.0,58.0,47.0,1B,38,0.902,2.97,98.0,102,27,1996-01-07,USA,USA,72,208,2014,2,7,37,8477968.0
2023-2024,Alexandar Georgiev,COL,G,38.0,34.0,48.0,44.0,36.0,32.0,32.0,26.0,44.0,40.0,39.0,39.0,22.0,Starter,63,0.897,3.0,176.67,182,27,1996-02-10,RUS,RUS,73,178,-,-,-,-,8480382.0
2023-2024,Andrei Vasilevskiy,TBL,G,23.0,36.0,10.0,32.0,41.0,23.0,17.0,30.0,37.0,27.0,27.0,30.0,21.0,Starter,52,0.9,2.9,141.46,148,29,1994-07-25,RUS,RUS,76,220,2012,1,19,19,8476883.0
2023-2024,Anthony Stolarz,FLA,G,5.0,2.0,22.0,63.0,3.0,1.0,61.0,53.0,14.0,13.0,14.0,21.0,16.0,Backup,27,0.925,2.03,72.53,51,29,1994-01-20,USA,USA,78,243,2012,2,15,45,8476932.0
2023-2024,Anton Forsberg,OTT,G,58.0,63.0,52.0,52.0,49.0,54.0,46.0,43.0,36.0,47.0,48.0,62.0,45.0,Backup,30,0.89,3.21,76.03,84,30,1992-11-27,SWE,SWE,75,193,2011,7,7,188,8476341.0
2023-2024,Antti Raanta,CAR,G,59.0,49.0,56.0,26.0,65.0,49.0,5.0,2.0,63.0,64.0,65.0,65.0,43.0,Backup,24,0.872,2.99,50.92,63,34,1989-05-12,FIN,FIN,72,195,-,-,-,-,
2023-2024,Arvid Soderblom,CHI,G,71.0,70.0,63.0,70.0,52.0,70.0,54.0,61.0,70.0,69.0,69.0,69.0,71.0,Backup,32,0.879,3.92,93.56,114,24,1999-08-19,SWE,SWE,75,180,-,-,-,-,8482821.0
2023-2024,Calvin Pickard,EDM,G,30.0,20.0,62.0,6.0,62.0,16.0,4.0,1.0,34.0,58.0,42.0,15.0,29.0,Backup,24,0.909,2.34,53.47,53,31,1992-04-15,CAN,CAN,73,210,2010,2,19,49,8475717.0
2023-2024,Cam Talbot,LAK,G,37.0,51.0,7.0,25.0,34.0,42.0,16.0,10.0,18.0,8.0,8.0,9.0,24.0,Starter,54,0.913,2.5,140.93,130,36,1987-07-05,CAN,CAN,76,201,-,-,-,-,8475660.0
2023-2024,Carter Hart,PHI,G,34.0,48.0,13.0,36.0,42.0,27.0,33.0,34.0,41.0,44.0,45.0,26.0,39.0,Backup,26,0.906,2.8,66.94,68,25,1998-08-13,CAN,CAN,74,181,2016,2,18,48,8479394.0
2023-2024,Casey DeSmith,VAN,G,41.0,19.0,45.0,47.0,27.0,53.0,43.0,37.0,15.0,25.0,25.0,33.0,46.0,Backup,29,0.895,2.89,76.76,80,32,1991-08-13,USA,USA,72,181,-,-,-,-,8479193.0
2023-2024,Cayden Primeau,MTL,G,20.0,12.0,57.0,68.0,32.0,6.0,68.0,60.0,56.0,34.0,34.0,44.0,34.0,Backup,23,0.91,2.99,72.45,66,24,1999-08-11,USA,USA,74,199,2017,7,13,199,8480051.0
2023-2024,Charlie Lindgren,WSH,G,29.0,42.0,20.0,59.0,6.0,38.0,13.0,29.0,31.0,35.0,35.0,24.0,25.0,Starter,50,0.911,2.67,138.88,127,29,1993-12-18,USA,USA,74,179,-,-,-,-,8479292.0
2023-2024,Connor Hellebuyck,WPG,G,4.0,4.0,30.0,3.0,5.0,21.0,39.0,42.0,7.0,4.0,4.0,5.0,5.0,Starter,60,0.921,2.39,174.68,142,30,1993-05-19,USA,USA,76,216,2012,5,9,130,8476945.0
2023-2024,Connor Ingram,ARI,G,28.0,21.0,47.0,41.0,45.0,12.0,51.0,59.0,26.0,18.0,18.0,35.0,37.0,Starter,50,0.907,2.91,145.03,136,26,1997-03-31,CAN,CAN,74,196,2016,3,27,88,8478971.0
2023-2024,Dan Vladar,CGY,G,68.0,71.0,37.0,71.0,63.0,44.0,2.0,21.0,69.0,68.0,68.0,64.0,65.0,Backup,20,0.882,3.62,53.19,68,26,1997-08-20,CZE,CZE,77,209,2015,3,14,75,8478435.0
2023-2024,Daniil Tarasov,CBJ,G,42.0,27.0,60.0,33.0,70.0,10.0,69.0,68.0,35.0,45.0,46.0,42.0,57.0,Backup,24,0.908,3.18,71.15,73,24,1999-03-27,RUS,RUS,77,196,2017,3,24,86,8480193.0
2023-2024,Darcy Kuemper,WSH,G,54.0,58.0,49.0,49.0,46.0,51.0,45.0,39.0,57.0,57.0,58.0,55.0,50.0,1B,33,0.89,3.31,96.57,103,33,1990-05-05,CAN,CAN,77,215,2009,6,10,161,8475311.0
2023-2024,David Rittich,LAK,G,15.0,18.0,35.0,55.0,13.0,15.0,15.0,9.0,25.0,36.0,36.0,10.0,18.0,Backup,24,0.921,2.15,63.56,49,31,1992-08-19,CZE,CZE,76,205,-,-,-,-,8479496.0
2023-2024,Devon Levi,BUF,G,43.0,23.0,58.0,11.0,67.0,14.0,71.0,55.0,40.0,62.0,63.0,44.0,51.0,Backup,23,0.899,3.1,72.01,67,21,2001-12-27,CAN,CAN,72,184,2020,7,26,212,8482221.0
2023-2024,Dustin Wolf,CGY,G,64.0,64.0,68.0,54.0,68.0,52.0,6.0,13.0,62.0,65.0,66.0,57.0,62.0,Backup,17,0.893,3.16,39.61,50,22,2001-04-16,USA,USA,72,156,2019,7,28,214,8481692.0
2023-2024,Elvis Merzlikins,CBJ,G,69.0,69.0,33.0,65.0,53.0,68.0,65.0,63.0,67.0,63.0,64.0,60.0,67.0,1A,41,0.897,3.45,128.09,130,29,1994-04-13,LVA,LVA,75,183,2014,3,16,76,8478007.0
2023-2024,Filip Gustavsson,MIN,G,25.0,35.0,14.0,40.0,12.0,45.0,11.0,33.0,33.0,46.0,47.0,46.0,30.0,1A,45,0.899,3.06,117.56,129,25,1998-06-07,SWE,SWE,74,184,2016,2,25,55,8479406.0
2023-2024,Frederik Andersen,CAR,G,3.0,14.0,2.0,5.0,31.0,2.0,14.0,6.0,2.0,3.0,3.0,4.0,1.0,Backup,16,0.932,1.84,37.69,28,33,1989-10-02,DNK,DNK,76,238,2012,3,26,87,8475883.0
2023-2024,Igor Shesterkin,NYR,G,7.0,11.0,26.0,15.0,8.0,17.0,42.0,31.0,11.0,15.0,15.0,11.0,6.0,Starter,55,0.912,2.58,152.47,141,27,1995-12-30,RUS,RUS,73,189,2014,4,28,118,8478048.0
2023-2024,Ilya Samsonov,TOR,G,50.0,40.0,36.0,39.0,58.0,30.0,35.0,15.0,47.0,38.0,38.0,48.0,26.0,1B,40,0.89,3.13,107.68,120,26,1997-02-22,RUS,RUS,75,214,2015,1,22,22,8478492.0
2023-2024,Ilya Sorokin,NYI,G,9.0,6.0,40.0,27.0,33.0,4.0,59.0,52.0,8.0,6.0,6.0,6.0,13.0,Starter,56,0.908,3.01,167.58,167,28,1995-08-04,RUS,RUS,75,195,2014,3,18,78,8478009.0
2023-2024,Jacob Markstrom,CGY,G,27.0,33.0,11.0,45.0,50.0,9.0,26.0,28.0,65.0,54.0,55.0,50.0,41.0,1A,48,0.905,2.78,147.43,131,33,1990-01-31,SWE,SWE,78,207,2008,2,1,31,8474593.0
2023-2024,Jake Allen,NJD,G,55.0,52.0,39.0,61.0,29.0,61.0,64.0,69.0,66.0,56.0,57.0,40.0,66.0,1B,34,0.895,3.44,113.06,114,33,1990-08-07,CAN,CAN,74,195,2008,2,4,34,8474596.0
2023-2024,Jake Oettinger,DAL,G,21.0,41.0,15.0,13.0,30.0,37.0,3.0,12.0,20.0,14.0,12.0,20.0,8.0,Starter,54,0.905,2.72,137.28,140,24,1998-12-18,USA,USA,77,220,2017,1,26,26,8479979.0
2023-2024,James Reimer,DET,G,45.0,68.0,4.0,10.0,64.0,34.0,38.0,56.0,53.0,60.0,61.0,54.0,48.0,Backup,25,0.904,3.11,71.62,70,35,1988-03-15,CAN,CAN,75,205,2006,4,6,99,
2023-2024,Jeremy Swayman,BOS,G,10.0,8.0,9.0,7.0,14.0,20.0,25.0,20.0,6.0,11.0,11.0,14.0,7.0,1A,44,0.916,2.53,126.5,108,24,1998-11-24,USA,USA,74,194,2017,4,18,111,8480280.0
2023-2024,Joel Hofer,STL,G,17.0,15.0,51.0,1.0,35.0,43.0,22.0,35.0,52.0,12.0,13.0,18.0,20.0,Backup,30,0.913,2.65,82.59,72,23,2000-07-30,CAN,CAN,77,179,2018,4,14,107,8480981.0
2023-2024,Joey Daccord,SEA,G,33.0,13.0,32.0,8.0,11.0,63.0,30.0,4.0,1.0,9.0,9.0,7.0,23.0,Starter,50,0.916,2.46,127.16,116,27,1996-08-19,USA,USA,74,201,2015,7,18,199,8478916.0
2023-2024,John Gibson,ANA,G,61.0,47.0,61.0,60.0,61.0,33.0,56.0,71.0,50.0,53.0,54.0,53.0,68.0,1A,46,0.888,3.54,142.24,151,30,1993-07-14,USA,USA,74,210,2011,2,9,39,8476434.0
2023-2024,Jonas Johansson,TBL,G,65.0,67.0,12.0,62.0,60.0,47.0,62.0,45.0,71.0,70.0,70.0,66.0,56.0,Backup,26,0.89,3.37,72.8,83,27,1995-09-19,SWE,SWE,77,220,2014,3,1,61,8477992.0
2023-2024,Jonathan Quick,NYR,G,40.0,54.0,25.0,43.0,47.0,25.0,44.0,25.0,46.0,55.0,56.0,32.0,28.0,Backup,27,0.911,2.62,79.15,69,37,1986-01-21,USA,USA,73,220,2005,3,11,72,8471734.0
2023-2024,Joonas Korpisalo,OTT,G,53.0,46.0,59.0,67.0,55.0,36.0,52.0,49.0,51.0,43.0,44.0,43.0,59.0,Starter,55,0.89,3.27,150.23,168,29,1994-04-28,FIN,FIN,75,193,2012,3,1,62,8476914.0
2023-2024,Jordan Binnington,STL,G,26.0,29.0,41.0,34.0,28.0,28.0,50.0,58.0,28.0,32.0,32.0,34.0,33.0,Starter,57,0.913,2.84,179.09,156,30,1993-07-11,CAN,CAN,74,172,2011,3,27,88,8476412.0
2023-2024,Joseph Woll,TOR,G,14.0,53.0,5.0,57.0,9.0,24.0,70.0,57.0,38.0,19.0,20.0,38.0,38.0,Backup,25,0.907,2.94,74.02,72,25,1998-07-12,USA,USA,75,203,2016,3,1,62,8479361.0
2023-2024,Justus Annunen,COL,G,1.0,7.0,1.0,2.0,2.0,5.0,67.0,44.0,4.0,2.0,2.0,2.0,2.0,Backup,14,0.928,2.25,42.02,30,23,2000-03-11,FIN,FIN,76,210,-,-,-,-,8481020.0
2023-2024,Juuse Saros,NSH,G,12.0,16.0,8.0,30.0,21.0,18.0,34.0,48.0,9.0,21.0,22.0,12.0,15.0,Starter,64,0.906,2.86,171.88,173,28,1995-04-19,FIN,FIN,71,180,2013,4,8,99,8477424.0
2023-2024,Kaapo Kahkonen,NJD,G,66.0,61.0,53.0,56.0,71.0,29.0,55.0,66.0,59.0,41.0,41.0,59.0,69.0,1B,37,0.898,3.64,112.05,116,27,1996-08-16,FIN,FIN,74,217,2014,4,19,109,
2023-2024,Karel Vejmelka,ARI,G,56.0,50.0,43.0,37.0,44.0,60.0,27.0,62.0,48.0,66.0,60.0,52.0,63.0,1B,38,0.895,3.35,105.61,114,27,1996-05-25,CZE,CZE,76,224,2015,5,24,145,
2023-2024,Kevin Lankinen,NSH,G,19.0,5.0,71.0,58.0,23.0,19.0,23.0,46.0,10.0,26.0,26.0,36.0,35.0,Backup,24,0.908,2.82,58.78,56,28,1995-04-28,FIN,FIN,74,190,-,-,-,-,
2023-2024,Laurent Brossoit,WPG,G,6.0,3.0,65.0,19.0,26.0,3.0,21.0,7.0,5.0,17.0,16.0,3.0,4.0,Backup,23,0.927,2.0,60.27,45,30,1993-03-23,CAN,CAN,75,215,2011,6,13,164,
