Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2018-2019,Aaron Dell,SJS,G,57.0,53.0,58.0,37.0,34.0,55.0,17.0,8.0,59.0,55.0,55.0,47.0,52.0,Backup,25,1323.2833333333,0.886,3.17,57.78,70,29,1989-05-04,CAN,CAN,72,213,-,-,-,8477180,10,8,4,2
2018-2019,Adin Hill,ARI,G,61.0,65.0,51.0,39.0,40.0,64.0,65.0,6.0,63.0,34.0,34.0,2.0,43.0,Backup,13,696.35,0.901,2.76,30.68,32,22,1996-05-11,CAN,CAN,76,215,2015,3,76,8478499,7,5,0,1
2018-2019,Alex Stalock,MIN,G,63.0,59.0,56.0,11.0,47.0,63.0,15.0,4.0,45.0,58.0,58.0,55.0,62.0,Backup,21,1065.1,0.899,2.99,43.31,53,31,1987-07-28,USA,USA,71,170,2005,4,112,8471774,6,8,3,0
2018-2019,Alexandar Georgiev,NYR,G,11.0,37.0,1.0,29.0,44.0,32.0,24.0,64.0,35.0,39.0,39.0,43.0,30.0,Tandem (1B),33,1874.1666666667,0.914,2.91,96.33,91,22,1996-02-10,RUS,RUS,73,178,-,-,-,8480382,14,13,4,2
2018-2019,Anders Nilsson,OTT,G,36.0,31.0,52.0,10.0,51.0,31.0,27.0,61.0,60.0,60.0,60.0,52.0,53.0,Tandem (1B),36,2028.65,0.908,2.99,90.1,101,28,1990-03-19,SWE,SWE,78,232,2009,3,62,8475195,14,19,1,2
2018-2019,Anders Nilsson,VAN,G,36.0,31.0,52.0,10.0,51.0,31.0,27.0,61.0,60.0,60.0,60.0,52.0,53.0,Tandem (1B),36,2028.65,0.908,2.99,90.1,101,28,1990-03-19,SWE,SWE,78,232,2009,3,62,8475195,14,19,1,2
2018-2019,Andrei Vasilevskiy,TBL,G,1.0,4.0,10.0,24.0,1.0,36.0,33.0,50.0,3.0,8.0,8.0,25.0,2.0,Starter,53,3203.75,0.925,2.4,132.93,128,24,1994-07-25,RUS,RUS,76,220,2012,1,19,8476883,39,10,4,6
2018-2019,Anthony Stolarz,EDM,G,45.0,19.0,20.0,15.0,66.0,1.0,62.0,65.0,61.0,63.0,63.0,64.0,64.0,Backup,18,868.41666666667,0.901,3.45,41.11,50,24,1994-01-20,USA,USA,78,243,2012,2,45,8476932,4,5,3,1
2018-2019,Anthony Stolarz,PHI,G,45.0,19.0,20.0,15.0,66.0,1.0,62.0,65.0,61.0,63.0,63.0,64.0,64.0,Backup,18,868.41666666667,0.901,3.45,41.11,50,24,1994-01-20,USA,USA,78,243,2012,2,45,8476932,4,5,3,1
2018-2019,Anton Khudobin,DAL,G,17.0,21.0,24.0,13.0,29.0,22.0,21.0,17.0,18.0,1.0,1.0,7.0,23.0,Tandem (1A),41,2219.5,0.923,2.57,100.41,95,32,1986-05-07,KAZ,RUS,71,210,2004,7,206,8471418,16,17,5,2
2018-2019,Antti Niemi,MTL,G,64.0,62.0,66.0,23.0,60.0,62.0,31.0,33.0,65.0,66.0,66.0,62.0,63.0,Backup,17,968.8,0.887,3.78,42.93,61,35,1983-08-29,FIN,FIN,74,209,-,-,-,8474550,8,6,2,0
2018-2019,Ben Bishop,DAL,G,4.0,9.0,9.0,46.0,33.0,4.0,16.0,11.0,4.0,6.0,6.0,6.0,3.0,Tandem (1A),46,2638.05,0.934,1.98,108.12,87,31,1986-11-21,USA,USA,79,210,2005,3,85,8471750,27,15,2,7
2018-2019,Braden Holtby,WSH,G,32.0,30.0,50.0,5.0,17.0,45.0,61.0,52.0,16.0,16.0,18.0,22.0,20.0,Starter,59,3406.5666666667,0.911,2.82,166.87,160,28,1989-09-16,CAN,CAN,73,215,2008,4,93,8474651,32,19,5,3
2018-2019,Brian Elliott,PHI,G,49.0,38.0,62.0,41.0,39.0,20.0,60.0,14.0,24.0,4.0,4.0,5.0,41.0,Backup,26,1396.7166666667,0.907,2.96,65.7,69,33,1985-04-09,CAN,CAN,74,221,2003,9,291,8470880,11,11,1,1
2018-2019,Calvin Pickard,ARI,G,66.0,64.0,63.0,31.0,58.0,65.0,54.0,28.0,64.0,65.0,65.0,65.0,65.0,Backup,17,746.8,0.875,3.86,34.88,48,26,1992-04-15,CAN,CAN,73,210,2010,2,49,8475717,4,6,2,1
2018-2019,Calvin Pickard,PHI,G,66.0,64.0,63.0,31.0,58.0,65.0,54.0,28.0,64.0,65.0,65.0,65.0,65.0,Backup,17,746.8,0.875,3.86,34.88,48,26,1992-04-15,CAN,CAN,73,210,2010,2,49,8475717,4,6,2,1
2018-2019,Cam Talbot,PHI,G,62.0,49.0,64.0,59.0,27.0,46.0,58.0,45.0,58.0,48.0,48.0,53.0,60.0,Tandem (1B),35,1905.2666666667,0.892,3.4,88.06,108,31,1987-07-05,CAN,CAN,76,201,-,-,-,8475660,11,17,3,1
2018-2019,Cam Talbot,EDM,G,62.0,49.0,64.0,59.0,27.0,46.0,58.0,45.0,58.0,48.0,48.0,53.0,60.0,Tandem (1B),35,1905.2666666667,0.892,3.4,88.06,108,31,1987-07-05,CAN,CAN,76,201,-,-,-,8475660,11,17,3,1
2018-2019,Cam Ward,CHI,G,53.0,26.0,65.0,18.0,45.0,21.0,52.0,63.0,51.0,51.0,51.0,61.0,54.0,Tandem (1B),33,1882.05,0.897,3.67,99.34,115,34,1984-02-29,CAN,CAN,73,194,2002,1,25,8470320,16,12,4,0
2018-2019,Carey Price,MTL,G,34.0,39.0,21.0,8.0,50.0,43.0,10.0,9.0,27.0,25.0,26.0,30.0,29.0,Starter,66,3886.1333333333,0.918,2.49,157.87,161,31,1987-08-16,CAN,CAN,75,217,2005,1,5,8471679,35,24,6,4
2018-2019,Carter Hart,PHI,G,31.0,54.0,7.0,47.0,61.0,39.0,66.0,54.0,44.0,20.0,20.0,26.0,21.0,Backup,31,1716.9166666667,0.917,2.83,75.94,81,20,1998-08-13,CAN,CAN,74,181,2016,2,48,8479394,16,13,1,0
2018-2019,Carter Hutton,BUF,G,22.0,34.0,11.0,4.0,43.0,44.0,2.0,30.0,21.0,19.0,15.0,15.0,34.0,Starter,50,2839.6166666667,0.908,3.0,123.41,142,32,1985-12-19,CAN,CAN,72,211,-,-,-,8475622,18,25,5,0
2018-2019,Casey DeSmith,PIT,G,16.0,11.0,26.0,7.0,30.0,16.0,57.0,38.0,9.0,22.0,22.0,31.0,24.0,Tandem (1B),36,1943.55,0.916,2.75,88.68,89,27,1991-08-13,USA,USA,72,181,-,-,-,8479193,15,11,5,3
2018-2019,Chad Johnson,ANA,G,65.0,66.0,32.0,16.0,63.0,66.0,11.0,42.0,66.0,64.0,64.0,66.0,66.0,Backup,19,810.48333333333,0.879,3.63,35.96,49,32,1986-06-10,CAN,CAN,75,197,2006,5,125,8473434,2,11,0,1
2018-2019,Chad Johnson,STL,G,65.0,66.0,32.0,16.0,63.0,66.0,11.0,42.0,66.0,64.0,64.0,66.0,66.0,Backup,19,810.48333333333,0.879,3.63,35.96,49,32,1986-06-10,CAN,CAN,75,197,2006,5,125,8473434,2,11,0,1
2018-2019,Collin Delia,CHI,G,26.0,3.0,40.0,22.0,54.0,2.0,59.0,66.0,47.0,49.0,49.0,34.0,50.0,Backup,16,831.05,0.908,3.61,46.82,50,24,1994-06-20,USA,USA,74,208,-,-,-,8480420,6,4,3,0
2018-2019,Connor Hellebuyck,WPG,G,30.0,40.0,25.0,33.0,25.0,47.0,26.0,19.0,38.0,31.0,31.0,8.0,14.0,Starter,63,3704.1,0.913,2.9,167.85,179,25,1993-05-19,USA,USA,76,216,2012,5,130,8476945,34,23,3,2
2018-2019,Corey Crawford,CHI,G,15.0,22.0,5.0,38.0,56.0,7.0,23.0,53.0,37.0,36.0,36.0,12.0,27.0,Tandem (1B),39,2212.85,0.908,2.93,106.04,108,33,1984-12-31,CAN,CAN,74,216,2003,2,52,8470645,14,18,5,2
2018-2019,Cory Schneider,NJD,G,50.0,56.0,22.0,48.0,42.0,52.0,6.0,35.0,46.0,61.0,61.0,63.0,59.0,Backup,26,1351.7833333333,0.903,3.11,59.39,70,32,1986-03-18,USA,USA,75,214,2004,1,26,8471239,6,13,4,1
2018-2019,Craig Anderson,OTT,G,56.0,61.0,31.0,32.0,64.0,53.0,63.0,62.0,49.0,42.0,42.0,44.0,57.0,Starter,50,2785.1833333333,0.903,3.51,136.83,163,37,1981-05-21,USA,USA,74,187,2001,3,73,8467950,17,27,4,2
2018-2019,Curtis McElhinney,CAR,G,18.0,16.0,55.0,14.0,28.0,12.0,39.0,22.0,28.0,23.0,23.0,11.0,5.0,Tandem (1B),33,1977.5166666667,0.912,2.58,90.19,85,35,1983-05-23,CAN,CAN,74,210,2002,6,176,8470147,20,11,2,2
2018-2019,Darcy Kuemper,ARI,G,14.0,25.0,2.0,42.0,26.0,23.0,50.0,20.0,19.0,7.0,7.0,3.0,9.0,Starter,55,3251.25,0.925,2.33,133.68,126,28,1990-05-05,CAN,CAN,77,215,2009,6,161,8475311,27,20,8,5
2018-2019,David Rittich,CGY,G,42.0,35.0,43.0,66.0,4.0,30.0,25.0,7.0,20.0,30.0,24.0,23.0,32.0,Tandem (1A),45,2503.3333333333,0.911,2.61,105.48,109,26,1992-08-19,CZE,CZE,76,205,-,-,-,8479496,27,9,5,1
2018-2019,Devan Dubnyk,MIN,G,37.0,44.0,27.0,51.0,41.0,41.0,13.0,2.0,10.0,15.0,16.0,24.0,18.0,Starter,67,3855.2666666667,0.913,2.54,142.36,163,32,1986-05-04,CAN,CAN,78,224,2004,1,14,8471227,31,28,6,2
2018-2019,Frederik Andersen,TOR,G,24.0,20.0,34.0,6.0,11.0,42.0,20.0,59.0,11.0,9.0,10.0,1.0,8.0,Starter,60,3510.25,0.917,2.77,165.69,162,28,1989-10-02,DNK,DNK,76,238,2012,3,87,8475883,36,16,7,1
2018-2019,Garret Sparks,TOR,G,55.0,50.0,30.0,63.0,62.0,19.0,9.0,57.0,30.0,53.0,53.0,60.0,58.0,Backup,20,1104.7,0.902,3.15,46.96,58,25,1993-06-28,USA,USA,75,220,2011,7,190,8476343,8,9,1,1
2018-2019,Henrik Lundqvist,NYR,G,33.0,33.0,49.0,21.0,53.0,25.0,38.0,58.0,40.0,27.0,28.0,27.0,46.0,Starter,52,3088.8833333333,0.907,3.07,147.11,158,36,1982-03-02,SWE,SWE,73,182,2000,7,205,8468685,18,23,10,0
2018-2019,Jack Campbell,LAK,G,6.0,12.0,13.0,2.0,10.0,40.0,28.0,31.0,12.0,35.0,35.0,39.0,22.0,Backup,31,1592.7666666667,0.928,2.3,71.25,61,26,1992-01-09,USA,USA,75,207,2010,1,11,8475789,10,14,1,2
