Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2009-2010,Alex Auld,DAL,G,51.0,47.0,48.0,43.0,58.0,34.0,14.0,7.0,55.0,51.0,52.0,54.0,53.0,Backup,24,0.895,2.95,46.78,64,28,1981-01-07,CAN,CAN,76,215,1999,2,12,40,8467913
2009-2010,Alex Auld,NYR,G,51.0,47.0,48.0,43.0,58.0,34.0,14.0,7.0,55.0,51.0,52.0,54.0,53.0,Backup,24,0.895,2.95,46.78,64,28,1981-01-07,CAN,CAN,76,215,1999,2,12,40,8467913
2009-2010,Andrew Raycroft,VAN,G,50.0,54.0,17.0,46.0,53.0,43.0,30.0,9.0,51.0,38.0,38.0,49.0,52.0,Backup,21,0.911,2.42,35.42,39,29,1980-05-04,CAN,CAN,73,180,1998,5,21,135,8467453
2009-2010,Antero Niittymaki,TBL,G,31.0,26.0,45.0,5.0,40.0,45.0,39.0,46.0,32.0,26.0,27.0,18.0,33.0,1A,49,0.909,2.87,120.51,127,29,1980-06-18,FIN,FIN,73,195,1998,6,23,168,8467511
2009-2010,Antti Niemi,CHI,G,19.0,39.0,9.0,47.0,13.0,16.0,28.0,1.0,38.0,55.0,55.0,57.0,4.0,1B,39,0.912,2.25,82.66,82,26,1983-08-29,FIN,FIN,74,209,-,-,-,-,8474550
2009-2010,Brent Johnson,PIT,G,33.0,36.0,35.0,49.0,15.0,38.0,47.0,37.0,29.0,18.0,18.0,21.0,39.0,Backup,23,0.906,2.76,48.55,51,32,1977-03-12,USA,USA,75,199,1995,5,25,129,8462161
2009-2010,Brian Boucher,PHI,G,49.0,46.0,41.0,26.0,42.0,48.0,37.0,2.0,26.0,29.0,31.0,35.0,46.0,1B,33,0.899,2.76,69.91,80,32,1977-01-02,USA,USA,74,200,1995,1,22,22,8462052
2009-2010,Brian Elliott,OTT,G,35.0,49.0,23.0,36.0,48.0,22.0,44.0,13.0,28.0,28.0,30.0,36.0,28.0,Starter,55,0.909,2.57,120.97,130,24,1985-04-09,CAN,CAN,74,221,2003,9,30,291,8470880
2009-2010,Cam Ward,CAR,G,14.0,11.0,22.0,11.0,7.0,31.0,56.0,47.0,15.0,13.0,13.0,9.0,24.0,1A,47,0.916,2.69,136.06,119,25,1984-02-29,CAN,CAN,73,194,2002,1,25,25,8470320
2009-2010,Carey Price,MTL,G,43.0,28.0,49.0,18.0,17.0,55.0,36.0,30.0,22.0,16.0,16.0,25.0,38.0,1A,41,0.912,2.79,101.97,109,22,1987-08-16,CAN,CAN,75,217,2005,1,5,5,8471679
2009-2010,Chris Mason,STL,G,27.0,31.0,19.0,40.0,20.0,26.0,23.0,20.0,18.0,21.0,21.0,34.0,21.0,Starter,61,0.913,2.54,159.6,148,33,1976-04-20,CAN,CAN,72,198,1995,5,18,122,8462152
2009-2010,Chris Osgood,DET,G,58.0,57.0,53.0,59.0,59.0,37.0,5.0,5.0,59.0,57.0,57.0,59.0,55.0,Backup,23,0.888,3.02,49.28,63,36,1972-11-26,CAN,CAN,70,180,1991,3,10,54,8458568
2009-2010,Craig Anderson,COL,G,9.0,9.0,24.0,4.0,22.0,15.0,57.0,54.0,17.0,6.0,6.0,8.0,7.0,Starter,71,0.917,2.63,184.55,186,28,1981-05-21,USA,USA,74,187,2001,3,10,73,8467950
2009-2010,Cristobal Huet,CHI,G,40.0,48.0,16.0,45.0,34.0,35.0,4.0,3.0,23.0,43.0,43.0,56.0,30.0,1A,48,0.895,2.5,98.4,114,33,1975-09-03,FRA,FRA,73,205,2001,7,18,214,8469658
2009-2010,Curtis McElhinney,CGY,G,56.0,55.0,33.0,55.0,43.0,58.0,18.0,34.0,47.0,52.0,48.0,53.0,58.0,Backup,20,0.902,2.99,42.01,51,26,1983-05-23,CAN,CAN,74,210,2002,6,10,176,8470147
2009-2010,Curtis McElhinney,ANA,G,56.0,55.0,33.0,55.0,43.0,58.0,18.0,34.0,47.0,52.0,48.0,53.0,58.0,Backup,20,0.902,2.99,42.01,51,26,1983-05-23,CAN,CAN,74,210,2002,6,10,176,8470147
2009-2010,Dan Ellis,NSH,G,41.0,37.0,52.0,7.0,23.0,57.0,22.0,27.0,27.0,34.0,36.0,44.0,36.0,Backup,31,0.909,2.69,71.8,77,29,1980-06-19,CAN,CAN,73,195,2000,2,30,60,8468540
2009-2010,Devan Dubnyk,EDM,G,59.0,51.0,60.0,50.0,60.0,51.0,34.0,56.0,54.0,59.0,59.0,55.0,60.0,Backup,19,0.889,3.57,52.24,64,23,1986-05-04,CAN,CAN,78,224,2004,1,14,14,8471227
2009-2010,Dwayne Roloson,NYI,G,29.0,27.0,40.0,22.0,33.0,29.0,54.0,58.0,34.0,23.0,24.0,31.0,35.0,Starter,50,0.907,3.02,144.37,145,39,1969-10-12,CAN,CAN,73,170,-,-,-,-,8460806
2009-2010,Evgeni Nabokov,SJS,G,13.0,20.0,14.0,24.0,10.0,23.0,38.0,22.0,4.0,15.0,15.0,12.0,6.0,Starter,71,0.922,2.43,191.58,170,34,1975-07-25,KAZ,RUS,72,202,1994,9,11,219,8460705
2009-2010,Henrik Lundqvist,NYR,G,2.0,2.0,6.0,32.0,2.0,2.0,20.0,52.0,8.0,9.0,9.0,6.0,13.0,Starter,73,0.921,2.38,211.33,167,27,1982-03-02,SWE,SWE,73,182,2000,7,8,205,8468685
2009-2010,Ilya Bryzgalov,PHX,G,18.0,23.0,29.0,28.0,12.0,27.0,16.0,25.0,9.0,7.0,7.0,7.0,14.0,Starter,69,0.92,2.3,168.17,156,29,1980-06-22,RUS,RUS,75,213,2000,2,14,44,8468524
2009-2010,Jaroslav Halak,MTL,G,7.0,5.0,10.0,12.0,4.0,14.0,49.0,51.0,7.0,19.0,19.0,17.0,5.0,1A,45,0.924,2.4,123.21,105,24,1985-05-13,SVK,SVK,71,189,2003,9,10,271,8470860
2009-2010,Jason LaBarbera,PHX,G,16.0,42.0,3.0,2.0,5.0,50.0,19.0,18.0,1.0,4.0,4.0,10.0,25.0,Backup,17,0.928,2.13,35.69,33,29,1980-01-18,CAN,CAN,75,232,1998,3,8,66,8467391
2009-2010,Jean-Sebastien Giguere,ANA,G,39.0,30.0,28.0,51.0,45.0,12.0,27.0,40.0,49.0,50.0,51.0,48.0,42.0,1B,35,0.907,2.84,99.89,96,32,1977-05-16,CAN,CAN,73,202,1995,1,13,13,8462044
2009-2010,Jean-Sebastien Giguere,TOR,G,39.0,30.0,28.0,51.0,45.0,12.0,27.0,40.0,49.0,50.0,51.0,48.0,42.0,1B,35,0.907,2.84,99.89,96,32,1977-05-16,CAN,CAN,73,202,1995,1,13,13,8462044
2009-2010,Jeff Deslauriers,EDM,G,54.0,56.0,15.0,34.0,50.0,46.0,58.0,57.0,48.0,56.0,56.0,52.0,54.0,1A,48,0.901,3.26,139.76,152,25,1984-05-15,CAN,CAN,76,203,2002,2,1,31,8470074
