Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2020-2021,Adin Hill,ARI,G,20.0,24.0,28.0,9.0,8.0,50.0,58.0,55.0,42.0,14.0,14.0,9.0,34.0,Backup,19,0.913,2.74,46.17,46,24,1996-05-11,CAN,CAN,76,215,2015,3,15,76,8478499
2020-2021,Alex Nedeljkovic,CAR,G,2.0,3.0,5.0,4.0,10.0,3.0,29.0,12.0,5.0,19.0,20.0,4.0,2.0,Backup,23,0.932,1.9,54.73,44,24,1996-01-07,USA,USA,72,208,2014,2,7,37,8477968
2020-2021,Alexandar Georgiev,NYR,G,43.0,47.0,13.0,19.0,47.0,42.0,24.0,46.0,51.0,49.0,49.0,37.0,38.0,Backup,19,0.905,2.71,39.63,44,24,1996-02-10,RUS,RUS,73,178,-,-,-,-,8480382
2020-2021,Andrei Vasilevskiy,TBL,G,4.0,6.0,19.0,16.0,11.0,6.0,20.0,51.0,14.0,11.0,12.0,12.0,4.0,1A,42,0.925,2.21,99.37,93,26,1994-07-25,RUS,RUS,76,220,2012,1,19,19,8476883
2020-2021,Anton Khudobin,DAL,G,33.0,15.0,58.0,58.0,15.0,38.0,7.0,9.0,13.0,17.0,18.0,33.0,30.0,Backup,32,0.905,2.54,64.62,76,34,1986-05-07,KAZ,RUS,71,210,2004,7,13,206,8471418
2020-2021,Antti Raanta,ARI,G,24.0,12.0,12.0,28.0,14.0,48.0,69.0,69.0,45.0,25.0,24.0,35.0,37.0,Backup,12,0.905,3.36,35.12,38,31,1989-05-12,FIN,FIN,72,195,-,-,-,-,8477293
2020-2021,Braden Holtby,VAN,G,62.0,62.0,44.0,36.0,26.0,68.0,49.0,64.0,64.0,61.0,61.0,63.0,63.0,Backup,21,0.889,3.67,63.96,77,30,1989-09-16,CAN,CAN,73,215,2008,4,2,93,8474651
2020-2021,Brian Elliott,PHI,G,63.0,63.0,55.0,68.0,59.0,45.0,41.0,14.0,43.0,39.0,39.0,53.0,49.0,Backup,30,0.889,3.06,60.61,82,35,1985-04-09,CAN,CAN,74,221,2003,9,30,291,8470880
2020-2021,Cal Petersen,LAK,G,27.0,19.0,38.0,43.0,38.0,9.0,68.0,60.0,29.0,34.0,35.0,39.0,53.0,1B,35,0.911,2.88,94.98,97,25,1994-10-19,USA,USA,74,185,2013,5,8,129,8477361
2020-2021,Cam Talbot,MIN,G,38.0,32.0,42.0,11.0,43.0,40.0,47.0,31.0,36.0,15.0,16.0,32.0,21.0,1B,33,0.915,2.61,78.44,86,33,1987-07-05,CAN,CAN,76,201,-,-,-,-,8475660
2020-2021,Carey Price,MTL,G,45.0,39.0,53.0,56.0,61.0,22.0,19.0,11.0,21.0,37.0,37.0,46.0,39.0,Backup,25,0.901,2.64,57.2,65,33,1987-08-16,CAN,CAN,75,217,2005,1,5,5,8471679
2020-2021,Carter Hart,PHI,G,66.0,64.0,68.0,38.0,60.0,66.0,53.0,33.0,61.0,62.0,62.0,62.0,60.0,Backup,27,0.876,3.67,60.59,89,22,1998-08-13,CAN,CAN,74,181,2016,2,18,48,8479394
2020-2021,Carter Hutton,BUF,G,68.0,67.0,27.0,17.0,57.0,69.0,13.0,49.0,57.0,59.0,59.0,48.0,69.0,Backup,13,0.886,3.47,28.68,39,34,1985-12-19,CAN,CAN,72,211,-,-,-,-,8475622
2020-2021,Casey DeSmith,PIT,G,15.0,17.0,50.0,12.0,55.0,8.0,45.0,41.0,22.0,45.0,45.0,27.0,22.0,Backup,20,0.912,2.54,47.96,48,29,1991-08-13,USA,USA,72,181,-,-,-,-,8479193
2020-2021,Chris Driedger,FLA,G,3.0,2.0,20.0,6.0,2.0,4.0,18.0,21.0,4.0,3.0,3.0,3.0,3.0,Backup,23,0.927,2.07,51.05,47,26,1994-05-18,CAN,CAN,76,208,2012,3,15,76,8476904
2020-2021,Connor Hellebuyck,WPG,G,9.0,13.0,34.0,2.0,21.0,23.0,59.0,58.0,15.0,29.0,30.0,21.0,17.0,1A,45,0.916,2.58,123.1,112,27,1993-05-19,USA,USA,76,216,2012,5,9,130,8476945
