Season,Team,Team Abbreviation,Games Played,Wins,Losses,Overtime/Shootout Losses,Regulation Wins,Regulation/Overtime Wins,Points,Point %,Goals For,Goals Against,Goal Differential,GF,GA,xGF,xGA,SF,SA,SV%,EV_GF,EV_GA,EV_xGF,EV_xGA,EV_GF%,EV_xGF%,EV_SF%,EV_CF%,EV_FF%,EV_SH%,EV_SV%,PP_GF,PK_GA,SRS Rank History,Elo History,League Rank,Conference Rank,Division Rank,GAx,GSAx,gf_rank,ga_rank,xgf_rank,xga_rank,pp_rank,pk_rank,sf_rank,sa_rank,fn_rank,gt_rank
2023-2024,New York Rangers,NYR,82,55,23,4,43,51,114,0.695,282,229,53,278,226,267.87,248.88,2582,2420,90.66,1.66,1.65,1.671,1.7393,0.5015,0.49,0.5056,0.5009,0.504,0.08410000000000001,0.9145,56,36,"[12.0, 13.0, 9.0, 5.0, 7.0]","[1500.0, 1518.8083086642405, 1505.82528480042, 1513.1600493001845, 1494.352351608682, 1509.950198011982, 1522.332652733463, 1535.9235514146808, 1543.2418242694146, 1549.384638321508, 1555.484091990455, 1549.7063185155996, 1560.2198371855138, 1570.664271929683, 1570.429447749009, 1581.2673256086568, 1565.2509612005977, 1572.9399658653197, 1584.955748922936, 1598.7330455154363, 1572.3310899804137, 1578.904922041982, 1585.4418814206306, 1588.7968750942084, 1566.0285777921792, 1544.6733850797532, 1562.4036456264505, 1540.9519838928882, 1550.089114646071, 1557.3050633070134, 1573.4790107933934, 1562.945709772481, 1566.6804837483903, 1579.1325378091683, 1570.3654870985483, 1585.290805748583, 1562.0000228081938, 1567.8866814429036, 1561.0313927093664, 1545.1713112027046, 1527.2072493004234, 1517.6501485473416, 1523.47914185634, 1537.4121126830553, 1519.2876514292393, 1511.6025272080817, 1521.9726357969328, 1511.6289322431203, 1495.5753528322737, 1513.7233487905646, 1521.7584350133477, 1535.3747938212991, 1537.7494905882888, 1549.5531974082317, 1557.983967156461, 1562.306190624524, 1574.5093607045294, 1588.441321829605, 1595.170765816775, 1575.2666156747289, 1582.8471359856678, 1579.4289969123502, 1568.4969506772925, 1579.2119554051594, 1586.233868792012, 1595.8246590299757, 1577.401681679306, 1588.022645714867, 1596.9719251739791, 1582.9847749055973, 1598.4829377479225, 1601.9955164255557, 1605.0053020119456, 1609.935559177433, 1619.3150929088308, 1594.2754774464731, 1598.731750522201, 1604.339174236704, 1611.2687581926043, 1594.345840860029, 1567.1140535893885, 1568.70140888377, 1578.994530251582]",1,1,1,10.129999999999995,22.879999999999995,19,16,18,21,7,4,12,10,10,6
2023-2024,Dallas Stars,DAL,82,52,21,9,40,48,113,0.689,298,234,64,294,232,278.0,221.19,2588,2350,90.13,1.92,1.6,1.839,1.5065,0.5455,0.5497,0.5302,0.5315,0.5309,0.09390000000000001,0.9117000000000001,57,40,"[16.0, 15.0, 19.0, 3.0, 2.0]","[1500.0, 1503.1386701595557, 1501.1125612711303, 1509.90396272756, 1516.0281555686224, 1531.58633403951, 1513.7245100321763, 1523.6645023073802, 1530.0815306315196, 1537.0036519897485, 1526.4459208942346, 1518.8257279284776, 1532.724224715915, 1541.4476412428376, 1557.2931705455887, 1561.7696876570574, 1543.809161982099, 1559.8255263901583, 1552.0856462283962, 1530.8035279248415, 1546.0964349548892, 1538.7248742875054, 1553.8698526151463, 1532.5144587653156, 1525.258314338699, 1528.7369562956435, 1509.8698549987214, 1524.8258906184471, 1530.987595249151, 1523.1398523596622, 1526.6236473676129, 1534.003101376839, 1542.670933360245, 1533.419457611962, 1535.8270161953124, 1545.8191070167695, 1534.3173982160956, 1527.9537970635952, 1518.2666869858583, 1535.1262607802864, 1548.364003208943, 1528.2891492611077, 1535.4343958064387, 1551.0507758102124, 1534.7769444301323, 1551.779436871283, 1542.9743084002812, 1551.0665965079022, 1553.2410728126845, 1556.376495808449, 1563.3353724978945, 1554.8471632623955, 1560.3874962058649, 1572.9357251769875, 1588.1224692742717, 1581.0033231449386, 1576.8036358933418, 1564.6004658133363, 1545.104300396121, 1555.5254697479104, 1544.9566595972244, 1529.133878470419, 1546.1104981289666, 1544.0675522633594, 1546.3855504994604, 1557.4564006163791, 1572.2303144970483, 1565.8349958901565, 1540.1714748640686, 1553.101247621186, 1561.3091558801234, 1568.4487005590745, 1576.4145994714977, 1581.165355253125, 1594.1882326716398, 1603.6557414426236, 1619.724743237318, 1605.151445899606, 1620.8170553801954, 1625.5115875968777, 1604.760873841936, 1610.4765974194283, 1610.3716075306409]",2,1,1,16.0,-10.810000000000002,4,12,6,4,6,6,11,7,6,24
2023-2024,Carolina Hurricanes,CAR,82,52,23,7,44,50,111,0.677,279,216,63,277,211,278.57,212.24,2735,2101,89.96,1.69,1.46,1.9195,1.4466999999999999,0.5365,0.5702,0.5629,0.5956,0.5852,0.0787,0.9124,61,35,"[6.0, 3.0, 4.0, 7.0, 3.0]","[1500.0, 1511.5900106385327, 1515.6386752424105, 1500.1108261852412, 1515.792948357249, 1498.5510637906832, 1489.0007294356349, 1474.4983880847285, 1480.0544317914723, 1491.0064945309673, 1500.236657119456, 1494.1372034505089, 1501.710410713173, 1507.6774610537943, 1493.583231245046, 1512.3665108295388, 1498.5732781842523, 1511.1747801611834, 1521.8893030020074, 1497.8539970471454, 1503.7457667889078, 1521.4648521146628, 1512.7337612819083, 1526.9535892172123, 1519.969635520984, 1501.309571126519, 1493.0508677217206, 1486.964705318658, 1504.8933421267393, 1514.1402781192394, 1506.960916453796, 1501.690085240835, 1518.9612292129525, 1515.1337588273236, 1505.8555833623416, 1523.4534354559216, 1532.9669426728815, 1540.7261057380117, 1564.0168886784004, 1577.3147795556629, 1569.7207658124337, 1576.9005642117886, 1581.4853201086926, 1561.0768763997205, 1571.0340743373056, 1548.2595941832983, 1558.611150145533, 1564.325211785393, 1572.6288772652415, 1564.9760623698398, 1579.509670872319, 1582.930943620803, 1570.3827146496803, 1581.987469723378, 1593.6581700066038, 1597.741921641098, 1606.1816311296889, 1595.7604617778995, 1589.5904954215962, 1597.0856580382158, 1604.0801478706078, 1588.7261308527688, 1595.3239705500766, 1603.901524291245, 1617.200581606303, 1607.6097913683398, 1627.0367248178636, 1630.1810471874576, 1639.5969874089612, 1648.284354114995, 1650.5227536431692, 1643.1120256592883, 1649.0331307568003, 1623.4197853235744, 1631.5067827250862, 1639.7188658728653, 1618.7037099281074, 1625.0869729964368, 1630.7110892829362, 1645.0798923470293, 1654.2998097197242, 1657.9571533977874, 1629.7259153859115]",3,2,2,-1.5699999999999932,1.240000000000009,16,6,2,2,3,1,3,1,15,16
2023-2024,Winnipeg Jets,WPG,82,52,24,6,46,52,110,0.671,259,199,60,259,198,250.92,244.55,2489,2429,91.85,1.78,1.21,1.7409000000000001,1.6528,0.5953,0.513,0.5121,0.5109,0.5138,0.0886,0.9367,43,48,"[10.0, 14.0, 18.0, 15.0, 4.0]","[1500.0, 1488.4099893614673, 1500.0, 1479.967798867311, 1468.8968273202202, 1476.3670913039307, 1488.6482042495277, 1508.9209103708297, 1505.377976000423, 1499.2351619483295, 1488.4853735267136, 1503.3619189568767, 1519.942951660253, 1532.071712297971, 1523.3482957710487, 1535.8822356840603, 1541.8846362894192, 1554.2959889864944, 1559.8715348446224, 1575.189608114277, 1565.8981707536868, 1550.6052637236392, 1533.761094343085, 1541.0508636389886, 1548.0348173352172, 1562.4324370027168, 1570.6189743490552, 1559.0476506340822, 1577.7241070380535, 1591.9312288842311, 1581.1135317212932, 1591.1865115957305, 1604.0735846594357, 1592.0132872436843, 1601.0039119115113, 1607.5535529771937, 1614.8599286926135, 1617.859274076908, 1623.7758705499232, 1635.2390306428376, 1642.022844543745, 1644.0103622328415, 1624.556909163117, 1630.1463227355944, 1632.7136829181327, 1616.4467483335973, 1607.731121914018, 1589.9672634956212, 1571.9875432113413, 1553.7088904636273, 1560.3167189452538, 1563.4753006076476, 1579.4227784020147, 1560.3678805439529, 1572.568145218649, 1574.1305589101262, 1576.202468451369, 1584.5559403630891, 1567.5793207045415, 1582.9333377223804, 1596.3100837585266, 1585.2272736374384, 1598.7468747999123, 1578.2071584505732, 1588.404462579231, 1573.4340641905303, 1580.3007179057693, 1592.0334155198036, 1606.0205657881854, 1584.1666888742768, 1562.60081953211, 1545.4792731389273, 1538.9794752235946, 1520.120693759991, 1510.035285723532, 1517.6924444756642, 1528.6082870919984, 1541.3214459088197, 1548.874337937631, 1569.6250516925725, 1593.242365442385, 1596.764834400588, 1606.5879989420305]",4,2,2,8.080000000000013,46.55000000000001,7,2,12,12,21,18,17,11,11,1
2023-2024,Florida Panthers,FLA,82,52,24,6,42,49,110,0.671,268,200,68,265,198,290.33,226.44,2766,2280,91.32,1.55,1.19,1.7503,1.4787000000000001,0.5657,0.542,0.5433,0.557,0.5376,0.0767,0.93,59,43,"[17.0, 6.0, 1.0, 14.0, 1.0]","[1500.0, 1488.4099893614673, 1476.8199787229346, 1486.2591864768417, 1498.4167067066055, 1484.9602149348832, 1494.7061531575464, 1501.2025423124771, 1497.177457792501, 1512.3532780814282, 1495.7721994984, 1500.8301699842118, 1507.1508792512343, 1521.2451090599827, 1527.6345965202577, 1535.188614691973, 1528.4239307727144, 1536.445821553936, 1544.660481108609, 1532.747698446805, 1517.429625177151, 1536.4649991324854, 1532.2793364396748, 1547.089700025837, 1536.2360189019955, 1543.4921633286122, 1553.3099493028994, 1564.7341277579994, 1537.9587797053528, 1523.3640066903884, 1542.161830662256, 1527.237531404597, 1506.1765396301485, 1519.0670178000248, 1527.580844975953, 1536.3478956865729, 1546.8806410542118, 1562.430163111169, 1575.8209801964117, 1594.287510903682, 1606.9993862957865, 1610.856549724697, 1587.826362042591, 1575.6300736076291, 1566.7998460386657, 1547.3981134138735, 1561.7234050807128, 1574.3917204588531, 1577.5691561190392, 1581.1818906788758, 1569.6913172101144, 1575.8705591803034, 1590.7738438917106, 1603.836496242723, 1616.4174502391584, 1635.5003313573527, 1637.575247392993, 1629.1355379044023, 1631.415635783981, 1635.6065472170417, 1633.134513165173, 1647.5765553960982, 1658.508601631156, 1664.7281339850567, 1651.6184627414164, 1662.0633592392314, 1668.4586778461237, 1649.0317443965998, 1630.2122833669107, 1611.5347561764886, 1608.0221774988552, 1619.1516197623475, 1608.0944550316085, 1594.9887216036122, 1594.4754775223803, 1582.5447638151684, 1564.577020079571, 1580.4893725480083, 1574.7070458936837, 1581.9174591929798, 1589.288876825406, 1593.2439149020315, 1606.6652813804658]",5,3,1,-25.329999999999984,28.439999999999998,26,1,10,3,5,11,1,3,28,4
2023-2024,Vancouver Canucks,VAN,82,50,23,9,44,50,109,0.665,279,223,56,279,221,261.73,236.29,2328,2341,90.56,1.87,1.36,1.6961000000000002,1.5485,0.5789,0.5228,0.5023,0.5145000000000001,0.5119,0.106,0.9222,54,44,"[14.0, 24.0, 16.0, 23.0, 6.0]","[1500.0, 1519.2445362792666, 1526.9512399001692, 1514.143209199237, 1505.842759388149, 1519.2992511598711, 1527.6756792575466, 1542.9628673246036, 1535.6445944698698, 1548.1431909579856, 1562.1225813123322, 1572.680312407846, 1581.796851529596, 1594.6283909079937, 1574.4786233463033, 1586.5020702113616, 1589.1051192914324, 1567.8646413093436, 1555.367491210401, 1561.0160600163754, 1546.1795045344572, 1559.6596717789328, 1546.798146565673, 1554.3663661635887, 1535.6531990947374, 1543.2385268878318, 1532.596168709122, 1542.7440437236007, 1548.8302061266634, 1559.8295137872667, 1574.424286802231, 1569.01055562391, 1573.3022405453278, 1587.8225104439427, 1580.4430564347167, 1586.781154530186, 1567.242356008022, 1576.7410500704436, 1566.2959393822243, 1577.5969987408914, 1593.4570802475532, 1604.9783580999858, 1610.325316471861, 1615.7699370800378, 1606.9929427146867, 1611.436470979873, 1618.8304713561088, 1622.262753393064, 1611.4425501156118, 1613.1604038325013, 1620.813218727903, 1603.205575554815, 1595.4989243049135, 1598.8897323350488, 1603.2716609372933, 1613.6272496840943, 1597.6797718897271, 1578.5953459482537, 1565.618230447952, 1547.0481081083858, 1552.8634362401388, 1544.661282661538, 1522.457045370247, 1528.0760051101302, 1535.0748908057412, 1546.4245382417273, 1566.9642545910665, 1560.5114127426398, 1549.668397630253, 1556.382857326544, 1563.7171920355215, 1573.2316092054211, 1563.562050687963, 1550.5391732694482, 1553.1684533745652, 1537.603531879817, 1543.948207828832, 1529.0475201646962, 1536.1736676998685, 1526.72094392968, 1543.47945063755, 1553.0850862065126, 1543.2619216650703]",6,3,1,17.269999999999982,15.289999999999992,5,4,16,6,9,12,26,6,5,8
2023-2024,Boston Bruins,BOS,82,47,20,15,36,43,109,0.665,267,224,43,263,221,250.77,252.98,2396,2505,91.18,1.74,1.35,1.6669999999999998,1.6659,0.5631,0.5002,0.4829,0.4703,0.47490000000000004,0.09699999999999999,0.9297,49,41,"[1.0, 8.0, 12.0, 1.0, 9.0]","[1500.0, 1512.172335510796, 1519.267956179427, 1530.73744100803, 1544.0077687738, 1555.3987859852505, 1568.6160315267612, 1559.2172732598483, 1572.1206948781894, 1576.1457793981656, 1577.302771477574, 1568.216101665673, 1575.83629463143, 1585.771020334611, 1576.9200684848524, 1589.5434956836846, 1597.5257171372298, 1588.7349630060055, 1600.6477456678092, 1579.2250345243292, 1565.447737931829, 1544.3412086321543, 1551.5981619326026, 1557.5249484874353, 1565.1846659076466, 1546.4999549174038, 1557.133949894382, 1549.6303567703042, 1553.2729473313775, 1546.0569986704352, 1537.5007517297097, 1524.6136786660045, 1516.7588515413772, 1531.3434321305997, 1543.697804593246, 1554.6904074031152, 1565.4430267840144, 1555.601725849096, 1568.577354311696, 1564.949608808775, 1556.8312928943503, 1549.2195379567236, 1554.807285191438, 1566.833976418775, 1581.4064560672746, 1590.5434519576163, 1606.8103865421515, 1596.4588305799173, 1600.321454911722, 1613.221653423964, 1590.2449173760067, 1607.852560549095, 1581.1575561031188, 1575.1832913402848, 1552.642646047176, 1544.064555050968, 1548.2642423025648, 1556.8926120766023, 1549.7615670752473, 1543.9462389434943, 1539.0900161062684, 1545.9457251581216, 1524.7431648399888, 1544.1844028609107, 1538.269282272914, 1553.535169485568, 1565.1410798104616, 1540.132854325439, 1544.2013099377716, 1550.0219610685808, 1559.379674810495, 1543.88151196817, 1534.9133043755223, 1545.9704691062616, 1535.0856372614533, 1539.2857941661057, 1558.0364295932093, 1579.0515855379672, 1584.833912192292, 1570.465109128199, 1582.3956021117965, 1566.1860368212035, 1547.4639421051456]",7,4,2,12.22999999999999,31.97999999999999,12,3,19,14,15,9,22,22,9,2
2023-2024,Colorado Avalanche,COL,82,50,25,7,42,48,107,0.652,304,254,50,302,252,265.52,255.19,2707,2446,89.7,1.96,1.67,1.7429,1.6281999999999999,0.5399,0.517,0.5262,0.5268,0.5212,0.0946,0.9105,63,49,"[3.0, 2.0, 3.0, 8.0, 8.0]","[1500.0, 1516.719194499755, 1520.641247734167, 1534.74999431619, 1549.300229138359, 1558.8505634934074, 1572.242240139342, 1550.774690301028, 1530.761367014247, 1542.4004571916516, 1525.6432756725062, 1539.5284858650712, 1528.4694058249167, 1504.2206905108703, 1519.7599692497265, 1538.0865727795378, 1556.047098454496, 1546.0385225423122, 1560.8750780242303, 1566.627790367749, 1575.0918288522312, 1586.1401169780593, 1578.1851341188976, 1570.8142812509825, 1558.063087246586, 1562.484729233503, 1548.0871095660034, 1530.3029301129668, 1535.9714296348748, 1548.79725033417, 1534.5901284879924, 1544.8059439830597, 1532.8125755509843, 1541.373863590175, 1554.3648366677055, 1547.3590612687651, 1554.397978269288, 1559.6328343072114, 1563.6197088598217, 1569.983310012322, 1551.5167793050518, 1555.1445248079726, 1566.463464128329, 1578.4737170326157, 1566.8384199932702, 1576.7014531468465, 1562.1289734983466, 1578.7123799457631, 1588.0366501960762, 1598.7248720410769, 1590.6897858182938, 1574.0885966517817, 1559.5549881493023, 1544.651703437895, 1556.03671358534, 1541.5392182190808, 1546.148036562414, 1559.125152062716, 1552.8932911435948, 1544.9992966803538, 1560.8220778071593, 1568.11118577974, 1551.0570660139217, 1556.3191231260057, 1572.6046731442468, 1577.0430826762038, 1592.826244782929, 1599.2790866313558, 1606.3410104303746, 1612.5383699498975, 1619.8042881099072, 1621.6531689963865, 1607.4194647853756, 1602.489207619888, 1616.000950761396, 1589.5326481723682, 1602.575857075113, 1584.808360977788, 1569.1427514971986, 1580.0452947837991, 1556.4279810339865, 1549.678621673481, 1566.302957643098]",8,4,3,36.48000000000002,3.1899999999999977,2,17,11,10,2,19,5,16,2,14
2023-2024,Edmonton Oilers,EDM,82,49,27,6,39,47,104,0.634,294,237,57,292,236,305.48,232.95,2766,2307,89.77,1.93,1.53,2.1302000000000003,1.6018000000000001,0.5578,0.5708,0.5511,0.5517,0.5486,0.08810000000000001,0.9142,60,51,"[15.0, 11.0, 11.0, 4.0, 5.0]","[1500.0, 1480.7554637207334, 1473.0487600998308, 1494.8993697811284, 1481.650936800839, 1474.1806728171284, 1460.7756443936912, 1447.1847457124734, 1461.3379096777091, 1454.4157883194805, 1438.9547492742895, 1429.8382101525394, 1420.9767103299046, 1440.077168816985, 1455.2404003750396, 1460.3876870049237, 1449.371939979286, 1441.157280424613, 1430.442757583789, 1456.88363708639, 1475.3489410104507, 1479.7947815199916, 1496.6389509005458, 1515.2990152950108, 1521.919103296847, 1535.1176810968414, 1543.555502585628, 1523.185220481911, 1504.3873965100431, 1492.1515193107646, 1508.329372342688, 1518.8626733636004, 1531.2314353089273, 1537.4556431455428, 1550.9725069441804, 1564.242804184855, 1571.4205088096162, 1575.2435009414307, 1580.187159990499, 1583.6828514916665, 1591.9572400351487, 1600.2428624375186, 1611.2453146913494, 1616.8458067910233, 1620.7861743745473, 1629.1953193557952, 1613.051271672244, 1619.011970733695, 1595.2773431076048, 1607.968436048675, 1588.5929364533886, 1595.7120825827217, 1604.3363687533197, 1595.707998979282, 1578.2346234261404, 1558.026215888594, 1567.565581470229, 1571.3258621537595, 1578.2315801867303, 1590.9609084159524, 1596.8760290039493, 1577.983288044793, 1572.3226269737995, 1585.0672048126, 1596.6450488648788, 1589.58312506586, 1591.403242167889, 1604.3337494478587, 1588.524534088849, 1569.5353777554942, 1576.035175670827, 1588.7599664537486, 1593.930471600889, 1585.3850949874147, 1569.3160931927202, 1587.0835892900452, 1595.1164823523843, 1606.5853882402505, 1595.553947571431, 1578.7954408635612, 1584.163881603289, 1563.5220469051294, 1546.8977109355124]",9,5,2,-13.480000000000018,-3.0500000000000114,3,8,1,9,4,23,1,5,24,18
2023-2024,Toronto Maple Leafs,TOR,82,46,26,10,33,41,102,0.622,303,263,40,298,261,275.75,252.07,2671,2446,89.33,2.0,1.68,1.8222,1.7134,0.5435,0.5154,0.5262,0.5096,0.5136999999999999,0.0973,0.9092,52,50,"[11.0, 5.0, 6.0, 6.0, 10.0]","[1500.0, 1503.1386701595557, 1517.6382653071134, 1499.6864784520149, 1487.528958222251, 1494.6632382156274, 1509.778934605282, 1527.6407586126156, 1521.1025532716278, 1504.5712938740617, 1503.4143017946533, 1489.3279800404327, 1495.3983133892234, 1478.2644504673228, 1480.916575399758, 1501.0663429614483, 1509.9027883548429, 1515.4807162897307, 1507.2967718496348, 1500.0136751549055, 1504.1993378477164, 1505.2805386894308, 1499.3537521345982, 1508.009495102311, 1524.196450608558, 1517.6984130728845, 1539.1500748064468, 1529.235005518887, 1546.8130522129877, 1530.6391047266077, 1507.1586693429604, 1520.878365607694, 1504.2061684024054, 1496.4618386215102, 1488.7026755563804, 1509.88593713329, 1514.4685173684115, 1523.5299825158866, 1531.9582362995325, 1524.7421672720156, 1512.7319143677291, 1498.3037153921302, 1490.0293268486478, 1500.2567599900187, 1492.862759613783, 1506.884760402868, 1515.6003868224475, 1533.3642452408442, 1521.7589062870295, 1530.2471155225287, 1515.4964805961108, 1529.9399348720667, 1535.5979317959063, 1546.7638409135216, 1558.8396755803894, 1568.593918280921, 1584.317841538833, 1592.2118360020736, 1567.6898205774655, 1573.0859161009485, 1576.504055174266, 1557.0628171533442, 1561.4893750326703, 1546.223487820016, 1551.4212203766604, 1567.234560821756, 1564.090238452162, 1554.3352009950218, 1570.7859971108337, 1586.595212469843, 1580.6741073723315, 1558.7162590856594, 1572.7196024191308, 1586.3862484832298, 1598.316962190442, 1579.7730318084805, 1588.2170405620975, 1592.451170219546, 1603.3354342679395, 1590.7484741026203, 1580.4158045400509, 1566.9944380616164, 1554.6183940805363]",10,5,3,22.25,-8.930000000000007,1,19,7,18,11,21,7,16,4,22
