Season,Team,Team Abbreviation,Games Played,Wins,Losses,Overtime/Shootout Losses,Regulation Wins,Regulation/Overtime Wins,Points,Point %,Goals For,Goals Against,Goal Differential,GF,GA,xGF,xGA,SF,SA,SV%,EV_GF,EV_GA,EV_xGF,EV_xGA,EV_GF%,EV_xGF%,EV_SF%,EV_CF%,EV_FF%,EV_SH%,EV_SV%,PP_GF,PK_GA,SRS Rank History,Elo History,League Rank,Conference Rank,Division Rank,GAx,GSAx,gf_rank,ga_rank,xgf_rank,xga_rank,pp_rank,pk_rank,sf_rank,sa_rank,fn_rank,gt_rank
2012-2013,Chicago Blackhawks,CHI,48,36,7,5,25,30,77,0.802,155,102,53,149,97,121.3,108.69,1494,1258,92.29,1.07,0.68,0.8711,0.7726999999999999,0.6114,0.5299,0.5499,0.5414,0.5501,0.0908,0.9295,19,18,"[4.0, 2.0, 5.0, 13.0, 1.0]","[1500.0, 1516.719194499755, 1529.46815517305, 1536.6386523316924, 1543.0324922151287, 1549.784258566256, 1554.097442187218, 1549.2185767161318, 1544.7352774255162, 1547.261329636577, 1561.3977225297062, 1576.4244224678926, 1590.0040034915012, 1583.7436910199167, 1594.154604922535, 1598.927671326781, 1600.200867302838, 1605.2431773386388, 1608.8278500857718, 1611.248251615784, 1622.2918457450237, 1623.9766057199524, 1625.5048762445865, 1632.2859079511904, 1635.7242493963072, 1608.738502422072, 1595.0143413363703, 1596.173423142401, 1611.480125198866, 1620.2251268589034, 1607.7267539604293, 1596.7830102386674, 1603.3541176811166, 1592.7229130859369, 1609.869691515766, 1609.0904863713, 1601.412336542895, 1606.5208303934664, 1612.5509467912511, 1619.036622839799, 1618.7483760630064, 1629.0118324597026, 1638.44550512664, 1639.5506939752422, 1630.5606247796084, 1614.2872176878277, 1622.442081130254, 1627.985390917853, 1612.3946895612569]",1,1,1,27.700000000000003,11.689999999999998,1,3,10,7,24,2,5,4,4,4
2012-2013,Pittsburgh Penguins,PIT,48,36,12,0,31,33,72,0.75,165,119,46,162,119,131.63,117.82,1438,1403,91.52,1.07,0.76,0.8659,0.8208,0.5847,0.5134000000000001,0.4993,0.4899,0.4982,0.0966,0.9316,34,29,"[7.0, 10.0, 4.0, 2.0, 2.0]","[1500.0, 1513.7747534599148, 1529.1827852403526, 1510.9392536551522, 1498.67161462587, 1504.4670804548182, 1487.4759447281806, 1504.5667171916325, 1520.6714297530718, 1534.1565557750137, 1546.6953614144966, 1555.670512891713, 1543.2039817462298, 1529.6131757681142, 1541.1356108294483, 1552.086190277038, 1558.7261136075783, 1547.9728217520296, 1555.4629447213638, 1565.795481892862, 1547.7923075355336, 1530.991668216888, 1539.0966414935897, 1545.023647136539, 1552.2110384218622, 1556.5930935738388, 1569.511382259698, 1577.2155974558625, 1588.3515670312413, 1598.0952903086484, 1605.252981729933, 1609.6029045959094, 1617.7469481382875, 1619.9298982491475, 1626.0860199452934, 1635.283370048556, 1641.453771499073, 1614.197341452429, 1588.3752071872236, 1589.3090156693495, 1595.998945353644, 1606.967315787813, 1613.3965773351529, 1622.2955392518809, 1628.8232500751717, 1638.291374006733, 1616.6585518435747, 1604.539389200945, 1611.6715740607283]",2,1,1,30.370000000000005,-1.1800000000000068,1,8,11,10,2,24,11,16,3,15
2012-2013,Anaheim Ducks,ANA,48,30,12,6,23,24,66,0.688,140,118,22,134,115,123.6,123.79,1347,1340,91.42,0.9,0.72,0.8306999999999999,0.8588,0.5556,0.4917,0.5002,0.4788,0.48479999999999995,0.08650000000000001,0.9307,27,28,"[13.0, 18.0, 16.0, 21.0, 5.0]","[1500.0, 1518.8083086642405, 1526.5933615726522, 1503.169779979917, 1505.999686682907, 1504.6039533379453, 1515.9336987051452, 1528.199198291238, 1536.526718586986, 1550.9346648060305, 1536.404634802415, 1540.092758885497, 1546.3530713570815, 1561.071765237387, 1564.7673744770775, 1569.1113644107372, 1572.437162866178, 1555.6592953567142, 1568.099052288802, 1573.5082777109444, 1568.2090554270842, 1563.2108313310737, 1572.6065950654215, 1583.942454173071, 1592.1528471842005, 1598.6080738353642, 1600.254402811182, 1592.1796723417224, 1598.8396823488886, 1611.3380552473627, 1585.5640372191292, 1574.988256356235, 1555.7518454892204, 1534.6457463070717, 1545.2769509022512, 1537.589272820417, 1553.7206330417876, 1564.0515026066676, 1545.976790571122, 1549.6413011387033, 1555.4354404227672, 1529.1966403467766, 1522.1249857408986, 1514.7735445976057, 1499.6968314873582, 1511.49416598069, 1524.6505166012016, 1539.1041169438145, 1522.5327817718653]",3,2,1,10.400000000000006,8.790000000000006,11,4,16,16,11,19,21,9,10,6
2012-2013,Montreal Canadiens,MTL,48,29,14,5,24,26,63,0.656,149,126,23,146,124,130.44,108.61,1468,1294,90.42,0.98,0.77,0.8559,0.7021999999999999,0.56,0.5493,0.5297,0.5288,0.5351,0.08929999999999999,0.9209,34,30,"[16.0, 20.0, 17.0, 19.0, 3.0]","[1500.0, 1491.2588017444104, 1505.7759327290123, 1520.752285021223, 1526.612960321776, 1533.6065946635715, 1517.6701978851193, 1533.4701498989918, 1540.9613393458603, 1531.7360569299274, 1526.6553388419927, 1502.387101677794, 1507.7004037758848, 1513.1300004662194, 1525.2272747214638, 1540.1272355176186, 1552.9940147633636, 1543.124159255313, 1555.2235165168545, 1551.3127781498265, 1567.5068095624308, 1559.4018362857291, 1568.583862951588, 1548.3189826686644, 1561.5459369697917, 1568.2412484767617, 1577.6424479696384, 1578.985187727833, 1584.810425776119, 1573.6182007089624, 1585.6278149258776, 1573.0994714011367, 1566.9433497049909, 1571.8480551396567, 1581.6476687330005, 1590.2727681461795, 1572.8013539933495, 1581.154013453771, 1588.1458521308218, 1577.9232665904838, 1590.4133378436384, 1571.6951732421603, 1545.320326830882, 1536.421364914154, 1541.6429380194097, 1523.7584187789744, 1514.0045752841386, 1526.611298975888, 1544.1711655004667]",4,2,1,15.560000000000002,-15.39,5,9,12,2,2,27,9,5,6,24
2012-2013,Boston Bruins,BOS,48,28,14,6,23,24,62,0.646,131,109,22,127,106,130.29,117.16,1557,1374,92.29,0.92,0.74,0.937,0.8253,0.5542,0.5317000000000001,0.5362,0.5433,0.5399,0.0731,0.932,16,17,"[1.0, 15.0, 2.0, 1.0, 4.0]","[1500.0, 1511.5900106385327, 1513.9273180562393, 1507.099620975195, 1519.1050166729938, 1532.0676435966377, 1534.8444116871328, 1514.9803249804968, 1523.276131146216, 1532.501413562149, 1543.989604083015, 1535.9881581286213, 1520.9545170459317, 1528.1399736965272, 1541.6098804638575, 1552.9407492707114, 1565.2710660692137, 1570.185923170314, 1575.511985968569, 1566.32995930271, 1558.5713827308086, 1569.66365103553, 1579.5010608216924, 1582.5423996019322, 1574.8381844057678, 1581.436069635799, 1590.6396588972964, 1583.4819674760115, 1568.067501994121, 1576.1296826199573, 1566.8010015139448, 1568.462217577642, 1563.5575121429763, 1546.1735792379095, 1555.7971681803842, 1562.7178787145856, 1567.3596698104654, 1560.3678311334147, 1568.8210389889764, 1574.2051445116942, 1564.0978430716975, 1544.7567906698716, 1537.8329412469393, 1531.3052304236487, 1538.4956684806205, 1521.0350325996812, 1529.9961863066756, 1525.3655238858005, 1511.0653945425618]",5,3,2,-3.289999999999992,11.159999999999997,7,6,5,13,30,1,2,13,20,5
2012-2013,St. Louis Blues,STL,48,29,17,2,20,24,60,0.625,129,115,14,124,114,109.19,104.84,1336,1161,90.18,0.82,0.78,0.7597,0.7375,0.5125,0.5074000000000001,0.5352,0.5202,0.5321,0.0782,0.9144,28,20,"[15.0, 12.0, 15.0, 5.0, 7.0]","[1500.0, 1518.3026579184373, 1522.4993887807962, 1515.3288916221538, 1528.9213441649777, 1536.9383378747896, 1541.5467178237495, 1554.2737008602585, 1540.3893999588029, 1516.418995197706, 1495.5654404051024, 1491.8773163220203, 1473.584289392537, 1481.8388168123647, 1498.6693919459487, 1504.6302629493512, 1495.6653850306382, 1489.3007763463122, 1495.449927968538, 1484.406333839299, 1495.7067218620962, 1480.819069874239, 1471.630139146294, 1489.7855223061488, 1496.7472284466232, 1488.5368354354937, 1499.389181002828, 1513.819830966679, 1521.894561436139, 1513.2628677359114, 1527.001968712452, 1517.5187826950953, 1496.4386341223935, 1484.4456346756508, 1505.0172232466236, 1512.6953730750288, 1523.5067876142582, 1531.6796995442714, 1538.151395487918, 1551.146900284389, 1533.6913416494003, 1523.427885252704, 1527.1099159073517, 1528.9538384924078, 1536.5138733293998, 1518.3957426556372, 1525.7874431605794, 1536.7023129998909, 1552.293014356487]",6,3,2,14.810000000000002,-9.159999999999997,19,11,27,4,8,7,23,2,7,19
2012-2013,Los Angeles Kings,LAK,48,27,16,5,24,25,59,0.615,133,118,15,131,114,129.6,107.73,1431,1198,90.48,0.86,0.79,0.8862000000000001,0.7277,0.5212,0.5490999999999999,0.55,0.563,0.5563,0.0758,0.9148999999999999,29,22,"[23.0, 6.0, 9.0, 11.0, 9.0]","[1500.0, 1483.280805500245, 1471.904849181759, 1466.5760693874613, 1481.2202220298689, 1484.6658879749436, 1479.4629001732512, 1467.1974005871584, 1480.8295140668422, 1468.175983010052, 1461.8814563755675, 1480.1744833050514, 1486.831246168411, 1482.0581797641655, 1495.786205413011, 1508.123852815118, 1520.7135744987686, 1537.4914420082323, 1544.0883989519018, 1528.2608270470953, 1541.098993811736, 1550.2879245396807, 1530.6412282940526, 1543.5137613361371, 1551.989823304181, 1534.6115712357998, 1525.188440951501, 1536.5407810240004, 1549.7007858349752, 1555.1922379311836, 1537.622928356467, 1527.6322725476675, 1538.5760162694294, 1550.569015716172, 1547.54676561776, 1554.9778149973895, 1539.5491044822968, 1552.856268690862, 1564.3163177748932, 1560.651807207312, 1540.5611065605017, 1539.9327148709524, 1547.0043694768303, 1543.09540085321, 1549.8774295869102, 1555.0944094755685, 1545.7666502829509, 1532.524088567496, 1539.7992736892627]",7,4,2,1.4000000000000057,-6.269999999999996,14,12,9,3,6,8,12,3,16,17
2012-2013,Vancouver Canucks,VAN,48,26,15,7,20,21,59,0.615,127,121,6,122,115,116.75,119.74,1351,1389,91.72,0.83,0.8,0.8069,0.8278,0.5092,0.4936,0.4903,0.5142,0.5029,0.08039999999999999,0.9254000000000001,23,24,"[6.0, 4.0, 1.0, 3.0, 14.0]","[1500.0, 1481.1916913357595, 1476.8696799339325, 1479.9691122337824, 1503.3926938265176, 1491.9409205801053, 1488.4952546350305, 1502.413947370863, 1506.897246661479, 1513.6780914394417, 1528.6468899541997, 1542.1043700848045, 1547.818144608151, 1537.6909156039048, 1531.7300446005024, 1530.4568486244452, 1538.314877754329, 1546.37529433651, 1525.3951462924513, 1510.1935547051978, 1526.0211266100043, 1511.4756764784177, 1506.1007706394723, 1498.475109881582, 1486.6520842047034, 1490.9740090320138, 1505.1931933563994, 1487.5808514517282, 1475.1755926890644, 1483.807286389292, 1492.158219333504, 1502.1488751423035, 1508.948793078991, 1511.085652470975, 1520.6858540182616, 1501.749008555415, 1494.4645596345806, 1511.5601122339997, 1520.9867391823057, 1531.9572482325716, 1542.9521318145703, 1531.502538624423, 1542.3767732892877, 1538.69474263464, 1521.7700782492927, 1524.121371445254, 1540.3947785370349, 1525.941178194422, 1503.4991782775085]",8,5,1,5.25,4.739999999999995,16,13,19,14,16,13,19,14,15,10
2012-2013,Toronto Maple Leafs,TOR,48,26,17,5,24,26,57,0.594,145,133,12,145,128,110.42,132.86,1264,1549,91.74,1.04,0.96,0.7526999999999999,0.9453,0.52,0.44329999999999997,0.4382,0.44079999999999997,0.4395,0.1067,0.9231999999999999,26,18,"[26.0, 29.0, 23.0, 25.0, 10.0]","[1500.0, 1508.7411982555896, 1500.1261086672112, 1518.3696402524115, 1500.6480499593094, 1485.09499818963, 1492.147842234485, 1498.5546743850864, 1490.258868219367, 1473.1653469599282, 1481.1054328307685, 1489.8404745878315, 1514.1087117520306, 1526.7720385141065, 1515.3157026870956, 1529.442165927741, 1541.2610978936425, 1528.2492392712193, 1537.012580237825, 1529.2147638144534, 1541.2085041418832, 1525.0144727292786, 1530.295375251946, 1539.9102857174978, 1546.5837264251809, 1535.4914581204596, 1531.109402968483, 1514.1386601043323, 1503.0026905289533, 1498.1987064519094, 1509.776706973226, 1504.6824608928507, 1514.0111419988632, 1512.349925935166, 1517.1794949883258, 1528.351597429936, 1549.0247054279114, 1532.0281393381824, 1538.4796029823442, 1545.346176917415, 1541.278318528981, 1559.9964831304587, 1566.4874506849224, 1549.968854981493, 1535.5725790912604, 1552.5189191877516, 1532.119601188571, 1542.6739244166656, 1525.114057892087]",9,4,3,34.58,4.860000000000014,3,23,28,27,12,2,28,27,1,9
2012-2013,Washington Capitals,WSH,48,27,18,3,20,24,57,0.594,149,130,19,146,130,120.09,131.75,1350,1551,91.62,0.91,0.85,0.8240000000000001,0.8695999999999999,0.517,0.4865,0.47229999999999994,0.4869,0.486,0.0861,0.9279999999999999,41,28,"[9.0, 1.0, 10.0, 16.0, 8.0]","[1500.0, 1485.932550975685, 1471.9432241413708, 1456.96687184916, 1452.78637880285, 1461.167158767828, 1455.4424953054338, 1449.0356631548327, 1456.956800765882, 1443.4716747439402, 1435.5315888731, 1426.5564373958832, 1446.4272772166707, 1453.6210427325516, 1463.9945294108927, 1457.885039930571, 1450.9809481558098, 1471.776391338243, 1487.9288916054556, 1473.2036535187106, 1491.3399004503467, 1499.098477022248, 1513.317321491909, 1496.822635081701, 1480.6678827126266, 1464.8871096766084, 1475.9451536281792, 1466.7415643666818, 1477.2719953775663, 1472.92207251159, 1494.0118719205911, 1514.213430615356, 1518.1080003396494, 1508.0722780977326, 1511.1969402411162, 1503.8131023504334, 1515.4473913072109, 1518.258220534105, 1524.4841646604543, 1534.2733159820357, 1544.4959015223735, 1550.708074523802, 1554.461737773867, 1570.9803334772964, 1557.4730470100308, 1575.357566250466, 1583.8108012226887, 1574.8025782710035, 1579.4332406918786]",10,5,1,25.909999999999997,1.75,9,16,18,18,1,19,20,28,5,13
