Season,Team,Team Abbreviation,Games Played,Wins,Losses,Overtime/Shootout Losses,Regulation Wins,Regulation/Overtime Wins,Points,Point %,Goals For,Goals Against,Goal Differential,GF,GA,xGF,xGA,SF,SA,SV%,EV_GF,EV_GA,EV_xGF,EV_xGA,EV_GF%,EV_xGF%,EV_SF%,EV_CF%,EV_FF%,EV_SH%,EV_SV%,PP_GF,PK_GA,SRS Rank History,Elo History,League Rank,Conference Rank,Division Rank,GAx,GSAx,gf_rank,ga_rank,xgf_rank,xga_rank,pp_rank,pk_rank,sf_rank,sa_rank,fn_rank,gt_rank
2025-2026,Colorado Avalanche,COL,82,55,16,11,48,51,121,0.738,302,203,99,298,197,309.61,242.37,2766,2140,90.79,2.16,1.28,2.1067,1.6293,0.6279,0.5639,0.5722,0.5669,0.5592,0.0984,0.922,40,34,"[3.0, 8.0, 8.0, 7.0, 1.0]","[1500.0, 1516.719194499755, 1523.6350629187084, 1518.3500573740362, 1530.094348195311, 1545.3517713924782, 1557.7296472947216, 1550.9399468570844, 1545.7868291920818, 1536.3213464092514, 1531.299497896811, 1549.3922923907849, 1562.6767133574688, 1554.0796115365215, 1560.4641322996256, 1579.3125790460433, 1583.5496537774482, 1597.507741333374, 1604.7926445240885, 1614.875097580186, 1623.5099848828158, 1630.661274859303, 1636.350236999711, 1646.6436516873866, 1640.6438727217146, 1650.6809410295775, 1655.0505576466498, 1632.9269370113752, 1637.4184429748454, 1643.0596204600645, 1634.0964885853743, 1642.6601031132227, 1647.6897275014287, 1653.3831187140047, 1656.6373030507086, 1672.499632172657, 1675.838903753615, 1676.1671065499982, 1682.5585132229853, 1687.8818750926848, 1694.505027161514, 1681.5616000078458, 1666.345496090635, 1674.6403710330678, 1680.5673287994296, 1669.6066934545554, 1639.585343412942, 1646.8729373537597, 1637.066316843824, 1608.0774254835064, 1618.9300543682662, 1598.0218769054436, 1577.7579160649373, 1595.3950369541983, 1578.1603401196066, 1586.004986877433, 1598.7592746627424, 1580.8624915004632, 1586.327609841367, 1593.9822898004352, 1606.821508843151, 1611.2410848960044, 1613.7055264906303, 1601.8564617428306, 1613.14280563247, 1593.5736118094894, 1570.0149394157763, 1565.6627353290576, 1575.2748045103006, 1580.6677034628565, 1597.387516123436, 1602.725888236783, 1582.7085626003231, 1593.2595295730323, 1567.5026155121946, 1580.5935341178993, 1570.007039425048, 1581.8439853771831, 1587.9249771486652, 1578.2594199142582, 1581.2426161247247, 1589.0279292400223, 1594.010601500407]",1,1,1,-11.610000000000014,45.370000000000005,1,1,1,5,22,1,1,5,16,3
2025-2026,Carolina Hurricanes,CAR,82,53,22,7,39,48,113,0.689,296,240,56,291,236,309.38,240.9,2636,1962,87.97,1.84,1.6,2.0962,1.6547,0.5349,0.5589,0.5766,0.5978,0.5893999999999999,0.0889,0.8946999999999999,51,42,"[4.0, 7.0, 3.0, 9.0, 3.0]","[1500.0, 1514.067449024315, 1519.273821183115, 1536.1237886981414, 1551.1451480692228, 1556.1028474392638, 1540.6975336990731, 1545.8506513640757, 1536.4799402718522, 1518.9178200943395, 1533.1881611589426, 1524.5095531657714, 1539.5782913514934, 1544.9035032618092, 1555.1044182017158, 1562.443092520808, 1542.043126560247, 1545.5535191117417, 1536.6438880677938, 1549.8788987808907, 1545.1881579641554, 1553.6321699002924, 1534.8471656976378, 1518.9110550676323, 1533.7914146731296, 1537.9935100035889, 1516.7009048055254, 1526.8625111409765, 1507.3060434493398, 1519.1039765315472, 1525.9849562871805, 1530.5592980383426, 1533.153387893456, 1546.183862145656, 1542.5834773851957, 1530.6982129344906, 1512.760803885887, 1527.2965735269547, 1531.8927592601472, 1511.6129366038083, 1498.3202136275029, 1491.6970615586738, 1504.2715428525742, 1520.7207158738358, 1530.1144640192765, 1537.0345886720336, 1531.3530455044172, 1510.781990416744, 1530.0524141597512, 1542.6791156464185, 1550.547074231063, 1542.4875111439962, 1556.1169072911184, 1563.524851844024, 1555.1336895183117, 1558.9549093937314, 1565.6426587943292, 1573.0276860932588, 1582.884245407638, 1594.238027798028, 1584.0205688364397, 1588.6764538095326, 1600.89189698196, 1588.4217969369477, 1590.741653806958, 1571.2846279309683, 1585.4945743541189, 1567.3877503333265, 1573.1594128437494, 1576.9308176474583, 1594.9002304413991, 1578.4407010710513, 1588.5082112243458, 1574.6314059183835, 1590.2382073344615, 1603.1765103101775, 1607.453788215142, 1589.9591047915794, 1594.4525617691852, 1603.1077315817763, 1617.4452884660916, 1612.0382773943688, 1616.8824463422577]",2,1,1,-18.379999999999995,4.900000000000006,6,12,2,8,7,13,2,1,20,22
2025-2026,Dallas Stars,DAL,82,50,20,12,38,44,112,0.683,279,226,53,273,222,269.44,247.0,2076,2145,89.65,1.7,1.38,1.6961000000000002,1.6333000000000002,0.5519,0.5094,0.49,0.4746,0.4814,0.1082,0.9156,65,46,"[19.0, 3.0, 2.0, 5.0, 4.0]","[1500.0, 1508.7411982555896, 1514.0262038002618, 1527.6275751120377, 1512.0675768974809, 1499.5102927638654, 1480.3571763891075, 1472.922779537056, 1482.2934906292794, 1490.915366320164, 1499.1301688807434, 1493.2760851651008, 1489.8907072425327, 1493.1621277640793, 1481.8499951431436, 1489.177125166774, 1496.6331146339298, 1503.8471752895698, 1528.065532110679, 1542.0409170502646, 1532.4273582012104, 1542.9860967200393, 1537.031470113403, 1553.4685999315277, 1561.07358713393, 1566.6449268366878, 1580.0799279758646, 1572.3603971749442, 1585.385399956648, 1594.6835163224705, 1595.945098421013, 1601.641772769599, 1583.723315552691, 1558.693719298856, 1570.3960492476094, 1581.6047564801177, 1597.4808158156975, 1607.2331469147766, 1598.960272996256, 1589.5896793521986, 1569.867297215182, 1558.0077084588972, 1549.857284003284, 1533.4081109820222, 1549.0052986751173, 1542.0154787892902, 1553.0961658575773, 1534.9084477156855, 1527.185295731473, 1515.710477292817, 1533.7485573640763, 1524.534801268694, 1529.2981377362755, 1534.9529184719916, 1539.1305822111265, 1548.1881966053104, 1551.7705942523944, 1555.6266307935543, 1567.8244383103986, 1571.3599618420228, 1578.9933253648285, 1591.4076373623031, 1586.9880613094497, 1588.8002714410711, 1593.4977435906565, 1605.980633387927, 1609.1879814189142, 1587.773052503829, 1592.1252565905477, 1585.069425826597, 1573.0936697813406, 1554.4244683805082, 1545.3544767087462, 1561.4955864208644, 1554.431241682703, 1540.2656486766657, 1551.5013634667464, 1538.4104448610417, 1541.6589084702464, 1549.7116461356247, 1558.681008233934, 1563.192583075862, 1569.7071004275604]",3,2,2,3.5600000000000023,25.0,16,2,21,7,1,17,29,6,6,9
2025-2026,Buffalo Sabres,BUF,82,50,23,9,42,45,109,0.665,288,241,47,283,240,270.83,273.23,2304,2381,89.92,1.93,1.56,1.7825,1.7861000000000002,0.5529999999999999,0.49950000000000006,0.5003,0.4928,0.49829999999999997,0.1065,0.9138,47,36,"[26.0, 19.0, 17.0, 24.0, 5.0]","[1500.0, 1480.2071837346737, 1470.1924793794117, 1458.4481885581365, 1475.3398256033397, 1490.0581810307613, 1479.508186157575, 1493.4873799814195, 1504.8502476462832, 1498.3651277568597, 1491.3169741962404, 1485.2440252725428, 1488.7772852134583, 1482.7119118060282, 1463.188465932939, 1452.9875509930323, 1440.9804027887644, 1433.69549959805, 1442.4547601736094, 1460.948497296908, 1439.9067257315776, 1464.8820304027035, 1483.667034605358, 1472.9329136791127, 1454.977189225991, 1462.4839958293892, 1480.5415997803802, 1467.5940465387357, 1454.1224252759157, 1441.3401388066234, 1450.1656941861754, 1457.8839540394797, 1470.8377055408505, 1484.7527298959085, 1488.7485721629205, 1501.9649111560518, 1509.9147250671383, 1522.3702938278038, 1532.498100876055, 1552.2204830130715, 1531.055420358931, 1538.4465581249235, 1552.1144991151034, 1558.5516661109732, 1547.901324550902, 1559.5837830296405, 1570.1082926997813, 1561.7441664857024, 1553.8762079010578, 1564.9496354396215, 1577.543230762367, 1592.8692433009624, 1603.9151416641555, 1612.2658035438076, 1595.519012717176, 1604.7033781461637, 1599.9475227042765, 1580.8911620101628, 1585.557120651571, 1591.7293134759177, 1614.1732245903738, 1618.7863303718511, 1635.2512704162002, 1638.9566835284593, 1645.2172640974393, 1651.845949083472, 1638.274437455255, 1636.2299570754874, 1644.800880280028, 1655.5623560905085, 1663.0450224471278, 1652.6653683897696, 1642.0767805283265, 1617.80267265528, 1616.7336600166052, 1621.1568421699317, 1602.9071377650323, 1581.0528139882867, 1593.9186614764235, 1603.5801067655393, 1615.8580927235976, 1622.470301802455, 1615.9557844507565]",4,2,1,12.170000000000016,33.23000000000002,4,8,15,15,15,3,15,23,1,6
2025-2026,Tampa Bay Lightning,TBL,82,50,26,6,40,46,106,0.646,290,231,59,286,229,290.26,246.83,2306,2190,89.54,1.95,1.52,1.8675,1.5784,0.562,0.5418999999999999,0.5151,0.5329999999999999,0.5243,0.1109,0.9081999999999999,46,41,"[8.0, 10.0, 12.0, 2.0, 2.0]","[1500.0, 1491.2588017444104, 1477.2549526266637, 1487.4188165197836, 1482.2389119644895, 1477.4266926947869, 1470.3121515426426, 1462.7266109763768, 1471.44928977248, 1478.6910912507858, 1494.921469459042, 1500.7755531746843, 1516.4813369767303, 1510.0968162136269, 1527.9555868339787, 1534.5598829119022, 1512.8650129868372, 1526.346554194293, 1502.669154223258, 1520.867253844753, 1525.05069930296, 1539.119352037637, 1551.3075140658975, 1562.6360898072091, 1574.482270228587, 1588.4454878397084, 1578.4949407425406, 1568.0514243913926, 1552.510095587225, 1539.1591614853955, 1555.9709215271482, 1569.7480053785032, 1565.7951425307406, 1545.7912782671392, 1535.5683050164437, 1547.4535694671486, 1556.3325938362696, 1568.7925720249325, 1570.4862476012815, 1574.742871093011, 1584.8678416894063, 1598.610949918369, 1613.8270538355798, 1628.9190486638065, 1641.2583183295424, 1642.2078194942112, 1633.40786626073, 1644.8826846993863, 1652.726706446677, 1651.880807158516, 1628.338078967285, 1637.2026885106886, 1643.592646154722, 1644.2906021210345, 1649.0464575629214, 1657.3627159140303, 1663.0147015545178, 1653.158142240139, 1630.7142311256823, 1610.4749032504385, 1587.271356999103, 1596.369707187179, 1590.109126618199, 1570.333701631758, 1581.3905907708595, 1567.180644347709, 1581.052989683691, 1588.410978039825, 1600.3335197504036, 1589.6653224820957, 1601.7707211396894, 1590.4549501344693, 1601.4007614981426, 1605.956918711334, 1588.927235951343, 1601.1811168252427, 1610.940252387317, 1598.07440489918, 1580.0155220510755, 1573.1426430657073, 1580.8551684309004, 1584.2639929657832, 1565.401516607836]",5,3,2,-4.259999999999991,17.830000000000013,3,7,10,3,16,10,14,9,11,13
2025-2026,Montreal Canadiens,MTL,82,48,24,10,34,44,106,0.646,283,256,27,279,251,275.54,288.37,2155,2281,89.0,1.84,1.6,1.7557,1.8574000000000002,0.5349,0.48590000000000005,0.4893,0.4864,0.4947,0.113,0.9059,51,47,"[31.0, 27.0, 28.0, 22.0, 7.0]","[1500.0, 1485.932550975685, 1505.5687537417955, 1513.8185783113313, 1519.6483061040344, 1524.9133658124497, 1515.3693176352742, 1525.9193125084605, 1530.672678515066, 1522.277348813838, 1530.2193932215744, 1536.8977722937434, 1541.4646447172895, 1535.133080506171, 1529.2856323436013, 1544.7405156185296, 1522.638643955487, 1498.4202871343778, 1490.1490513900526, 1487.0246756749948, 1469.8230709749628, 1483.8924184113953, 1493.0440966814183, 1509.8699809763446, 1499.8329126684816, 1482.571172285178, 1485.7093372054271, 1491.4626095294884, 1481.0177899856074, 1464.206029943855, 1480.4388512479366, 1475.170647622023, 1491.946761950203, 1476.1011576457392, 1488.9923024267762, 1503.2791587407646, 1498.531009941458, 1517.1947757387431, 1515.501100162394, 1522.8740274683455, 1536.1667504446511, 1519.7945447388254, 1527.9449691944387, 1540.1152010929154, 1553.3918572072523, 1532.531347340867, 1540.3551276217108, 1533.6390035658385, 1523.1144938956977, 1529.313014362028, 1537.189255038376, 1524.5956597156307, 1517.7163647716538, 1523.4392090319504, 1543.7031698724568, 1560.4499606990885, 1554.8430365326997, 1568.0028904726553, 1559.263496945817, 1572.1662616038782, 1555.991706446841, 1551.0378550278378, 1556.8562304921447, 1563.326053733458, 1572.0531510907851, 1554.2736594447333, 1543.1651807687813, 1548.2975216174648, 1534.7864007564249, 1549.1206685255552, 1565.580197895903, 1573.2821049458644, 1586.1337701964458, 1600.010575502408, 1617.0402582623992, 1621.8559878774856, 1623.0914084163787, 1599.524999992559, 1598.3960135482353, 1605.2688925336035, 1583.3391569071432, 1594.2832577555398, 1580.50797292813]",6,4,3,3.4599999999999795,37.370000000000005,6,12,19,23,7,19,23,18,7,5
2025-2026,Minnesota Wild,MIN,82,46,24,12,31,42,104,0.634,272,240,32,268,235,281.49,258.57,2390,2411,90.25,1.67,1.58,1.8729,1.7690000000000001,0.5138,0.5143,0.49329999999999996,0.4824,0.4901,0.0906,0.9165000000000001,56,40,"[7.0, 16.0, 18.0, 18.0, 8.0]","[1500.0, 1520.428751501679, 1502.2523000896424, 1504.79712062411, 1491.195749312334, 1476.701525942711, 1471.238492613738, 1486.481596405721, 1475.3168559675064, 1460.2057126037676, 1452.4563564985028, 1447.2644614288204, 1435.5471090506724, 1451.9148283927157, 1457.5062919955385, 1452.1810800852224, 1471.177416044151, 1481.342268377575, 1474.8700751775402, 1489.6678138852924, 1495.841827219684, 1500.5325680364194, 1523.1260580179169, 1539.9849903563002, 1546.2151475273622, 1552.2149264930342, 1544.708119889636, 1551.6773559722442, 1532.0272585770456, 1515.1375732518156, 1528.8022751618307, 1546.7207323787384, 1552.6014123652503, 1567.63957470016, 1584.4597800108909, 1594.0720933406876, 1605.3862520250616, 1589.523922903113, 1579.178308339135, 1583.261181905454, 1596.3640817098385, 1590.1596670380488, 1600.1766608555238, 1593.5304774126628, 1577.0566439394968, 1582.6919739540097, 1573.6271087881476, 1548.7224223567362, 1523.912213188043, 1532.2763394021222, 1548.6821393299883, 1540.8058986536405, 1546.8005741583538, 1538.0280726664903, 1538.107252877182, 1547.7923921701145, 1565.8315059127783, 1571.438430079167, 1576.287408296599, 1594.1841914588783, 1577.772644982088, 1556.5344962772356, 1576.7738241524796, 1587.4649610049723, 1585.0005194103462, 1600.3264133160546, 1591.7278138456309, 1572.0293376101797, 1552.0369285055858, 1555.6535582401689, 1542.7822706701972, 1549.8381014341485, 1537.7327027765543, 1544.200770141262, 1529.542561201948, 1535.207900268792, 1553.251820392591, 1560.3109271091134, 1567.4838302887204, 1559.431092623342, 1550.4345158839585, 1534.336272888008, 1539.4190982549328]",7,3,3,-13.490000000000009,23.569999999999993,17,10,9,13,4,8,7,24,18,11
2025-2026,Boston Bruins,BOS,82,45,27,10,33,41,100,0.61,272,250,22,268,247,257.04,296.83,2212,2433,89.85,1.82,1.49,1.6784000000000001,1.9187,0.5498,0.46659999999999996,0.48969999999999997,0.4892,0.4915,0.10619999999999999,0.9166,49,53,"[12.0, 1.0, 9.0, 28.0, 10.0]","[1500.0, 1513.7747534599148, 1518.9835767268723, 1528.9982810821343, 1518.8344171890142, 1511.224039454929, 1498.8461635526855, 1491.8163076263852, 1482.568623657473, 1469.5236289201546, 1478.989111702985, 1462.2856083126408, 1478.7192920048744, 1484.792240928572, 1493.4708489217433, 1498.5347329545143, 1503.9303359195833, 1518.264124774847, 1528.9059822700626, 1515.7576479918605, 1524.0288837361854, 1510.7938730230885, 1504.1623519883503, 1511.5509114545157, 1498.8160691313078, 1513.9525567821531, 1494.3758300589727, 1496.340702461816, 1487.7392042981417, 1499.00860135401, 1511.6150467621983, 1524.7143181696483, 1538.6986178369832, 1523.6604555020735, 1535.9148251347362, 1521.582787218197, 1514.9393956657743, 1496.0646436126729, 1477.4008778153875, 1464.9453090547229, 1460.0208680629762, 1484.0416993347026, 1489.6576133030394, 1476.408325251326, 1490.521609807921, 1508.752598211764, 1516.1180830989806, 1531.6910489566037, 1542.3903574256217, 1553.5106782167163, 1535.4725981454567, 1542.7279212643386, 1549.6072162083155, 1540.0901185555892, 1544.2819540473631, 1554.402208927566, 1553.7042529612536, 1548.251285188638, 1559.9524140285296, 1543.4235635703214, 1551.9609678845386, 1532.653038688996, 1542.338636170684, 1536.8927559838578, 1540.3819304837104, 1523.2277201342708, 1527.022449655968, 1518.9624037509957, 1513.8300629023122, 1527.5919334643984, 1540.9199595894113, 1522.0822401666685, 1532.6708280281116, 1547.3290369674255, 1552.5033519236906, 1566.668944929728, 1555.8514772189765, 1546.092341656902, 1539.367408136236, 1534.8739511586302, 1527.161425793437, 1535.9249005062572, 1550.0826864548897]",8,5,4,10.95999999999998,49.829999999999984,8,5,23,29,11,26,21,28,2,2
2025-2026,Ottawa Senators,OTT,82,44,27,11,38,41,99,0.604,278,246,32,275,245,280.13,233.37,2372,2000,87.75,1.79,1.63,1.8156999999999999,1.5134,0.5234000000000001,0.5454,0.5408,0.5285,0.5368999999999999,0.09960000000000001,0.8933,60,48,"[22.0, 20.0, 25.0, 14.0, 6.0]","[1500.0, 1508.7411982555896, 1493.2448386141914, 1476.8690180118251, 1459.9773809666224, 1464.589128034516, 1456.1964586245012, 1449.848122427459, 1458.8099579008178, 1486.8433980477937, 1503.546901438138, 1487.8127401753195, 1489.410408604729, 1484.8435361811823, 1479.4479332161134, 1487.3061164871526, 1499.7457412189335, 1492.5316805632935, 1505.680014841496, 1497.2629552567364, 1507.3223996955276, 1515.6760183002327, 1508.0746459976383, 1512.6965983553882, 1502.8884965774914, 1489.4534954383146, 1506.7152358216183, 1493.2623601324535, 1482.4712972616014, 1473.0321225283633, 1488.517215075856, 1482.636535089344, 1489.716734214052, 1504.7993209670738, 1513.806806071067, 1532.6815581241683, 1524.7317442130818, 1511.306551280053, 1491.5129465130867, 1499.5235612396, 1508.3829866316491, 1493.962586559003, 1482.183057698098, 1473.888182755665, 1465.3292468525206, 1470.6571181333588, 1487.4178711833213, 1481.219350716991, 1476.9143105846747, 1493.972914292811, 1481.7141769838142, 1468.084780836692, 1491.3399134030194, 1512.248090865842, 1523.2485496139734, 1533.3665410162982, 1526.6787916157004, 1532.032255018417, 1524.568562267154, 1538.309709102342, 1531.322635097734, 1543.0446349497915, 1557.102667795565, 1562.8086315052506, 1554.0815341479235, 1562.641968658157, 1573.5675567456717, 1554.6451005253316, 1560.966314944906, 1569.2440547247463, 1574.3760741009917, 1581.252479332396, 1574.8976722529271, 1563.9518608892538, 1542.2254321930757, 1560.475136597975, 1542.431216474176, 1559.9258998977386, 1577.9847827458432, 1586.6691118209026, 1597.9698679837709, 1589.5100402328887, 1594.1481200517092]",9,6,5,-5.1299999999999955,-11.629999999999995,9,16,12,1,3,22,8,3,12,29
2025-2026,Pittsburgh Penguins,PIT,82,41,25,16,34,38,98,0.598,293,268,25,290,258,283.63,268.63,2342,2243,88.5,2.01,1.73,1.942,1.8274000000000001,0.5374,0.5152,0.5082,0.5017,0.5051,0.11130000000000001,0.9009999999999999,49,39,"[10.0, 18.0, 16.0, 29.0, 9.0]","[1500.0, 1516.719194499755, 1523.6350629187084, 1501.8902378474393, 1494.369018140414, 1507.4777943188355, 1521.5695638587829, 1537.1050371801875, 1548.5875667714256, 1542.2315539017295, 1552.7552247504343, 1548.1825822695196, 1559.8999346476676, 1545.164321745289, 1536.442745471366, 1546.9302100584605, 1543.5080157317127, 1532.9800426269585, 1523.8938807961129, 1534.2806941604188, 1511.687204178921, 1504.420847250121, 1515.1549681763663, 1520.8843276103669, 1496.1956529609458, 1516.606303726435, 1527.049820077583, 1525.7882379790403, 1520.9241170493449, 1504.6912957452628, 1497.1066644290015, 1489.5031772852249, 1476.606589431428, 1461.524002678406, 1447.2371463644176, 1451.9852951637242, 1438.7628186872612, 1457.050666699859, 1477.330489356198, 1484.1619181031972, 1502.3181978105786, 1508.9703185639562, 1519.4424495325593, 1509.154411140501, 1501.7889262532844, 1500.8394250886156, 1514.23110692721, 1508.3341689587348, 1523.937493790096, 1538.35640004851, 1556.7094696267225, 1560.6885730265662, 1569.6823068332308, 1573.3288420211418, 1563.210850618817, 1555.48065904546, 1574.5370197395737, 1581.548186899805, 1573.140413161487, 1586.7655790709723, 1578.2281747567554, 1561.7632347124063, 1554.0429928680408, 1559.488873054867, 1557.169016184857, 1536.3290181903035, 1544.8541575089678, 1568.4128299026809, 1562.641167392258, 1562.562697065708, 1544.5932842717673, 1527.8734716111878, 1534.228278690657, 1518.0871689785386, 1538.1603372887637, 1552.2135880908677, 1539.959707216968, 1552.1946228725458, 1561.1944711596163, 1574.6448383408235, 1554.82430108135, 1539.7624532170962, 1527.655947695506]",10,7,2,6.3700000000000045,10.629999999999995,2,21,4,22,11,6,10,12,5,17
