Season,Team,Team Abbreviation,Games Played,Wins,Losses,Overtime/Shootout Losses,Regulation Wins,Regulation/Overtime Wins,Points,Point %,Goals For,Goals Against,Goal Differential,GF,GA,xGF,xGA,SF,SA,SV%,EV_GF,EV_GA,EV_xGF,EV_xGA,EV_GF%,EV_xGF%,EV_SF%,EV_CF%,EV_FF%,EV_SH%,EV_SV%,PP_GF,PK_GA,SRS Rank History,Elo History,League Rank,Conference Rank,Division Rank,GAx,GSAx,gf_rank,ga_rank,xgf_rank,xga_rank,pp_rank,pk_rank,sf_rank,sa_rank,fn_rank,gt_rank
2009-2010,Washington Capitals,WSH,82,54,15,13,43,49,121,0.738,318,233,85,313,227,257.66,226.93,2693,2535,91.05,2.08,1.33,1.6057,1.506,0.61,0.516,0.5161,0.5288,0.517,0.1035,0.9294,68,57,"[None, None, 19.0, 9.0, 1.0]","[1500.0, 1516.719194499755, 1527.3280325678618, 1521.64593916725, 1512.7288861857014, 1504.7246380065328, 1499.4246142230393, 1514.1421270177966, 1515.6264845711685, 1524.948663040102, 1529.9078958748828, 1540.453711829509, 1548.6006231903084, 1538.752094953236, 1530.2758040624612, 1522.7811958392986, 1537.0081196038263, 1547.4069444497177, 1548.9650297286694, 1557.3299950961507, 1543.8684136071406, 1555.677471304615, 1544.251114803884, 1537.212573144245, 1530.7169846347897, 1540.8494149073035, 1543.628528753174, 1548.0414406824643, 1559.0618395175252, 1576.663843034721, 1588.3662782784863, 1570.1052241171185, 1572.0145747968788, 1551.890966722432, 1569.5993136524885, 1561.7685588828654, 1572.2323606100874, 1585.025013383888, 1600.4927565526596, 1572.043306105513, 1559.15103661486, 1550.8466646687457, 1559.9431671559591, 1570.3334909722068, 1584.3274723117656, 1563.7571427070668, 1566.1146467363442, 1575.642340732173, 1584.2754521325264, 1589.7136429621469, 1602.741190971721, 1611.317166447364, 1623.41894518352, 1633.3784062388438, 1641.6921260128777, 1645.2144549521047, 1652.668914081853, 1656.381681633009, 1661.6705416524212, 1663.9946586748188, 1653.067286407667, 1642.934131783221, 1635.227050621808, 1643.5002796559395, 1646.760849444129, 1652.4813082138292, 1642.6990266744622, 1645.902297477176, 1631.9433743364018, 1637.6600974097846, 1647.7992868163224, 1637.9527165104932, 1644.166680033789, 1643.526749141974, 1636.1841299746889, 1616.205105692501, 1606.0029482006253, 1609.9627553333971, 1615.595070162036, 1618.4587168549342, 1629.405255328752, 1635.4635344395704, 1627.3068549167]",1,1,1,55.339999999999975,-0.06999999999999318,1,3,4,22,1,25,3,18,1,12
2009-2010,San Jose Sharks,SJS,82,51,20,11,43,44,113,0.689,264,215,49,257,209,246.62,231.64,2604,2571,91.87,1.62,1.34,1.5686000000000002,1.4711,0.5473,0.516,0.5007,0.5126,0.5053,0.0857,0.929,62,45,"[None, None, 3.0, 3.0, 3.0]","[1500.0, 1485.932550975685, 1503.3876820639696, 1490.9442816822316, 1506.5049806199208, 1517.1658230755609, 1512.102565982816, 1497.3850531880587, 1512.5115825022035, 1534.7809639589673, 1517.239521306519, 1526.2615249760702, 1542.703454716227, 1545.8144838287694, 1558.6870145839669, 1569.932746259048, 1572.6987996854614, 1567.8529679129974, 1583.4536748000382, 1588.3914839865256, 1580.9876707468968, 1590.25019384322, 1583.0184963545894, 1573.4585847509884, 1586.9253756979303, 1592.200577445216, 1571.2156600964618, 1573.1500225999082, 1585.890540660289, 1596.2725079171153, 1588.093758007242, 1578.7459663193315, 1570.2529524832871, 1563.0041470095805, 1554.6325192786144, 1564.8739686749695, 1574.9824635960315, 1584.205680885508, 1593.4742356987783, 1595.5730719444764, 1608.4653414351294, 1611.9625835743502, 1618.336269312293, 1594.4507534667569, 1597.0051865479925, 1575.6611081440176, 1583.2937293634543, 1594.4739188233568, 1587.0260054003936, 1591.9095162603544, 1605.9617327630867, 1621.2532068590713, 1629.091804245119, 1640.105794132528, 1632.1925452023015, 1641.163837006714, 1620.8554966814793, 1629.2700674385128, 1635.1457507501354, 1639.14518209832, 1614.4362723288257, 1615.7405753354417, 1598.444584705203, 1586.590511062693, 1591.3541718242132, 1595.533510096879, 1605.267968889906, 1594.3753780629263, 1577.484912924856, 1549.6359488930273, 1543.30392855124, 1535.0100714859284, 1507.4094089934215, 1523.081801763566, 1535.184609096278, 1548.9026560255768, 1555.2838305484463, 1534.98627925726, 1541.7435322270144, 1534.374593150159, 1542.5819652162393, 1555.048739627452, 1558.337414486154]",2,1,1,10.379999999999995,22.639999999999986,5,5,7,20,2,11,6,20,12,2
2009-2010,Chicago Blackhawks,CHI,82,52,22,8,37,43,112,0.683,271,209,62,262,203,235.83,189.09,2799,2058,90.14,1.78,1.47,1.6184,1.2362,0.5477000000000001,0.5669,0.5794,0.5654,0.5781000000000001,0.08310000000000001,0.9055,50,34,"[None, None, 8.0, 4.0, 2.0]","[1500.0, 1495.1386701595557, 1514.518610030647, 1506.237153067652, 1509.7387873967768, 1515.551830416044, 1522.995519646969, 1534.3867099984666, 1524.818397898582, 1514.7807228379938, 1524.0248734196334, 1532.7881866231444, 1517.8207108679214, 1524.1404563100257, 1512.0487583021547, 1510.1989651228655, 1525.888874295394, 1529.486223770516, 1534.4532451210114, 1541.684942609642, 1563.6416332487834, 1575.9553825782125, 1583.4892123483733, 1604.4741296971276, 1582.4061284854572, 1576.8576391047056, 1580.359451134873, 1559.8206031989494, 1566.7992542119257, 1569.8485243887912, 1561.3384612984305, 1571.586919852497, 1581.0970479316634, 1582.0110466384665, 1592.5924938985715, 1583.369276609095, 1595.8313882246073, 1610.330567621876, 1615.879906940719, 1604.2026880129874, 1620.373314608651, 1629.5565211488536, 1636.5254167321727, 1643.7034857407252, 1655.0268702389749, 1647.2943949859389, 1626.996208383326, 1632.5003178831705, 1636.0676507832873, 1637.3291800886382, 1614.508364833643, 1623.2199569734194, 1605.591776003409, 1610.7562249902512, 1618.6694739204777, 1600.3554784408493, 1588.1556535621935, 1582.0671965957729, 1588.1086909810742, 1587.9598979634727, 1590.608720356748, 1591.792122206404, 1572.01972378683, 1577.0710013716546, 1592.0556293664902, 1581.2308402001856, 1586.687649242569, 1577.3227572630756, 1571.6060341896928, 1556.5011001201012, 1573.17746450566, 1569.7044073851837, 1581.1844789272789, 1555.5669951272534, 1538.0859999321258, 1525.528986778769, 1541.4687626576615, 1544.627115613307, 1557.8542078433954, 1571.7045042120938, 1578.0352048470415, 1590.189830883934, 1582.55476481891]",3,2,1,26.169999999999987,-13.909999999999997,2,17,2,1,12,3,1,1,4,20
2009-2010,Phoenix Coyotes,PHX,82,50,25,7,31,36,107,0.652,225,202,23,211,196,211.48,209.77,2504,2427,91.92,1.49,1.29,1.4101,1.306,0.536,0.5192,0.5203,0.5204,0.5143,0.0782,0.9266,43,40,"[None, None, 18.0, 27.0, 5.0]","[1500.0, 1516.719194499755, 1533.1929949877556, 1524.744863685076, 1510.0843268651124, 1515.1475839578573, 1520.4302957657246, 1533.1625095263944, 1537.9269926899676, 1522.9938170594803, 1509.048087325191, 1525.7094507475651, 1538.6476344000926, 1539.5135110201386, 1525.3491032602965, 1512.2586756451972, 1524.350373653068, 1515.4120949511716, 1498.845124305426, 1506.300554972191, 1488.791912180179, 1496.5463398102918, 1489.84655954646, 1503.9578662152544, 1485.7446558323804, 1479.6036586363346, 1495.206381519064, 1501.8754154420362, 1511.2613059399923, 1517.921025601654, 1528.541742006335, 1525.6221795858494, 1533.9938073168153, 1525.6851910344994, 1540.389523221476, 1542.181110934037, 1527.161618601663, 1536.2744319364836, 1549.7505561602377, 1556.60751046887, 1554.508674223172, 1560.983004549763, 1557.4857624105423, 1537.527708054227, 1541.7699043797884, 1528.9497578800997, 1521.311465950013, 1510.1312764901106, 1519.943229352007, 1531.277862607856, 1512.700025300732, 1525.8092190972286, 1517.2332436215854, 1523.8676635931818, 1525.255102583773, 1530.2322242053592, 1540.5376932858985, 1544.5117839264476, 1550.6002408928684, 1528.271245167705, 1536.5454706273608, 1544.608551562868, 1536.872394569233, 1517.0984517125626, 1498.7158917855904, 1511.4392787685788, 1528.0294929737313, 1533.2834562395597, 1552.2461001734564, 1553.1206538662968, 1559.3755128064545, 1561.502308662518, 1564.975365782995, 1567.0747735461418, 1555.5947020040464, 1551.6411517435934, 1566.0024765674457, 1552.1787302519826, 1543.7162882492123, 1542.240090550985, 1555.8952478262977, 1560.2929630658823, 1557.0042882071805]",4,3,2,-0.47999999999998977,13.77000000000001,11,1,16,7,22,5,13,12,21,4
2009-2010,Vancouver Canucks,VAN,82,49,28,5,41,45,103,0.628,272,222,50,268,218,226.88,209.66,2534,2419,90.99,1.74,1.37,1.4355000000000002,1.3824,0.5595,0.5094,0.5092,0.5175,0.5118,0.0935,0.9236,58,55,"[None, None, 12.0, 6.0, 4.0]","[1500.0, 1488.4099893614673, 1475.6217769655648, 1463.1950150628818, 1484.4642288956948, 1488.355284728476, 1477.2291736622126, 1483.991256157178, 1477.64945166598, 1487.6871267265683, 1496.6945513086807, 1509.5411176509842, 1499.9831358294814, 1508.1450270270066, 1486.1631920957225, 1504.2980092992905, 1519.1729001651388, 1532.7138354748308, 1524.3579667104275, 1503.1863548523988, 1492.352485890728, 1517.2473176916806, 1530.897570811077, 1523.3637410409162, 1536.840565479109, 1548.8760200969691, 1536.1355020365884, 1555.1760191831008, 1569.6140499914534, 1548.7901630660515, 1535.639452497642, 1546.0648197819994, 1552.3001632266405, 1563.4173445874233, 1551.9014954429874, 1559.7322502126103, 1541.0114850589007, 1556.4758508027537, 1565.2590606259923, 1582.2741858880302, 1575.7998555614388, 1580.1640220191182, 1590.0663952539185, 1596.744917743404, 1609.5650642430928, 1602.5555435076176, 1591.9389665160932, 1573.2028941316582, 1586.0414996621416, 1588.347616949511, 1592.305465254797, 1609.933646224807, 1615.8863869994648, 1620.1077190259407, 1625.731806342626, 1613.8601070439106, 1600.0492514271152, 1600.1809282542015, 1583.77915959362, 1594.149515003345, 1599.6283132655078, 1577.3903898390588, 1581.5788759640232, 1594.900119686306, 1579.9154916914704, 1590.6321701196296, 1601.8271714318676, 1596.5732081660392, 1607.567643862004, 1615.575393624791, 1589.3414553334958, 1595.673475675283, 1586.8143571353369, 1573.32815535113, 1584.5306080726716, 1570.812561143373, 1584.6363074588355, 1563.184194602372, 1567.247545559521, 1570.3504935908938, 1563.232705486712, 1550.765931075499, 1563.779863610828]",5,4,1,41.120000000000005,-8.340000000000003,3,7,14,12,4,21,10,11,2,18
2009-2010,New Jersey Devils,NJD,82,48,27,7,40,42,103,0.628,222,191,31,216,186,205.42,180.52,2459,2213,91.6,1.44,1.3,1.3565,1.3024,0.5255,0.5102,0.5173,0.5099,0.518,0.07629999999999999,0.9262,46,40,"[None, None, 17.0, 5.0, 7.0]","[1500.0, 1483.9958700609363, 1475.8793178919575, 1480.9238879997183, 1489.3001211322246, 1494.600144915718, 1481.708210175028, 1492.9204544885154, 1509.1136777817626, 1528.7662984362046, 1512.653844824595, 1520.8005529739837, 1525.0349395895134, 1532.529547812676, 1538.5543053279737, 1546.124896405705, 1554.9355739822329, 1569.3522861243564, 1582.8138676133665, 1574.4372888271685, 1569.5348021780528, 1554.6127090907423, 1564.6003460707905, 1567.756981596585, 1580.3021358798833, 1561.2616187333708, 1566.2130863314776, 1567.073359197189, 1581.5688912014302, 1586.7465419547798, 1566.114698310813, 1575.6215132559937, 1580.3441770026427, 1588.590955603638, 1595.0627929203572, 1612.0947029321349, 1596.6269597633632, 1600.9633335274457, 1610.217202971135, 1594.0465763754714, 1603.4430149625312, 1612.8199793387816, 1592.3114808000146, 1596.8760496836123, 1598.555532570604, 1588.7435797087076, 1573.330520163859, 1551.011901941126, 1560.6524017615216, 1542.293950256352, 1553.4765083287425, 1537.2477613264723, 1534.4374860189469, 1537.1168819985735, 1529.0462727813292, 1507.509637240298, 1512.524588654075, 1497.4490810045625, 1490.193364787179, 1483.5420826740497, 1499.1322353928786, 1484.8391012284158, 1496.6931748709258, 1483.2569053485392, 1465.5482386728315, 1479.733434745347, 1493.2056142802007, 1477.5422293544618, 1484.637242346406, 1500.4135439734298, 1495.3133972897506, 1486.8920819832636, 1499.891197382154, 1494.2352100190628, 1508.753069488131, 1489.384470518757, 1482.1576076152428, 1478.9992546595977, 1499.038587558477, 1513.2025763608706, 1503.3644015148573, 1518.8727771037982, 1526.6367187093365]",6,2,1,10.580000000000013,-5.47999999999999,16,2,23,6,20,5,16,2,11,16
2009-2010,Detroit Red Wings,DET,82,44,24,14,33,38,102,0.622,229,216,13,223,207,230.42,191.53,2737,2413,91.42,1.38,1.51,1.4958,1.3735,0.4775,0.5213,0.5241,0.5401,0.5318999999999999,0.0676,0.9186,52,38,"[None, None, 1.0, 2.0, 9.0]","[1500.0, 1491.2588017444104, 1480.391625980414, 1488.673082943409, 1496.677331122578, 1481.637768239397, 1497.478418243156, 1493.9329570193063, 1489.168473855733, 1479.7649651103372, 1489.32294693184, 1486.4492305580557, 1502.2391481998911, 1513.2412098309003, 1518.0870416033645, 1496.7750728212372, 1521.4859919905484, 1532.3198609522192, 1543.1180647605927, 1527.2662081992569, 1518.8868425629846, 1522.3243026272542, 1510.667015997737, 1497.3485165123157, 1482.7842702333242, 1487.9034496294205, 1502.565003558797, 1483.315103713083, 1482.454830847372, 1495.388656770641, 1485.8756500790478, 1490.7895140694625, 1498.8854061246368, 1507.1940224069526, 1517.7363487824337, 1508.9946056734332, 1498.413158413328, 1485.951046797816, 1491.210113359239, 1482.883577390401, 1495.9225789009586, 1515.880633257274, 1498.7051114814751, 1509.0326877657951, 1530.37676616977, 1505.4022662756938, 1514.119229722189, 1508.431971614022, 1507.170442308671, 1501.7322514790508, 1506.3477590415762, 1498.339046687132, 1491.7046267155356, 1477.92872808343, 1491.1921930775, 1488.5236600522862, 1508.832000377521, 1497.7142532751163, 1492.4875622724546, 1488.4051652293397, 1487.100862222724, 1505.2145600502113, 1514.50800784513, 1501.186764122847, 1516.299942062123, 1527.1247312284274, 1511.6059372831387, 1526.5020178867755, 1531.62801284849, 1539.6915463134255, 1530.9641224245045, 1539.8232409644506, 1550.191900155042, 1560.046955357386, 1571.5338660069883, 1575.2354310326175, 1578.256324206489, 1583.51683000995, 1574.8337832971772, 1563.9123107086205, 1569.146439944153, 1571.2529386619751, 1578.888004726999]",7,5,2,-7.4199999999999875,-15.469999999999999,23,18,10,10,10,4,2,9,23,21
2009-2010,Pittsburgh Penguins,PIT,82,47,28,7,33,39,101,0.616,257,237,20,249,235,238.66,215.83,2689,2350,90.0,1.69,1.57,1.5325,1.3912,0.5184000000000001,0.5242,0.5334,0.5206000000000001,0.526,0.0858,0.9089,50,45,"[None, None, 6.0, 7.0, 10.0]","[1500.0, 1507.3548017444105, 1512.0056615463518, 1495.5318610583513, 1505.3697942586412, 1520.451399429891, 1536.771104941177, 1539.880298640155, 1551.0547711763388, 1564.743381718954, 1564.882213179205, 1545.2295925247631, 1559.2314370619797, 1562.143347416182, 1550.1845734904468, 1556.4516537047966, 1541.778237957502, 1526.177531070461, 1510.01410731644, 1495.5973951743165, 1501.34729148371, 1513.068760143762, 1495.2410619763968, 1505.2020506484682, 1512.1309765116291, 1522.3460280602685, 1513.8094259599322, 1528.974415352099, 1542.4571356245442, 1554.033127065503, 1547.054476052527, 1533.8272023864731, 1541.276020261797, 1544.7868646676632, 1557.8803024950807, 1559.9983566859746, 1564.4504676502097, 1547.418557638432, 1561.9228654438095, 1550.0547239623754, 1542.4106650855608, 1533.1567956418714, 1517.8381828692586, 1498.539756202473, 1509.9064352746925, 1491.7026672329612, 1505.1841422065615, 1497.5970971201214, 1512.8856989820845, 1518.5838289279327, 1505.7452233974493, 1516.5856937700214, 1503.5581457604471, 1512.739061516751, 1524.2386157378828, 1507.7284047944222, 1510.396937819636, 1519.008359191016, 1505.7642606740856, 1503.440143651688, 1511.442841136228, 1502.419735773923, 1497.4137227650524, 1504.9414300103629, 1511.596213842212, 1523.3834274378953, 1529.2181365957451, 1523.4980665578614, 1510.0258870230075, 1517.5623658511022, 1501.7860642240782, 1517.392257153814, 1509.9878842344133, 1499.619225043822, 1500.2591559356367, 1512.3914494588512, 1513.5731029681394, 1495.7807366838754, 1500.4780704023074, 1489.5315319284896, 1504.512008379584, 1495.063363338768, 1500.872574446137]",8,3,2,10.340000000000003,-19.169999999999987,4,23,8,13,12,11,4,6,14,23
2009-2010,Los Angeles Kings,LAK,82,46,27,9,32,36,101,0.616,241,219,22,231,211,211.2,207.65,2389,2261,90.67,1.4,1.33,1.3738,1.2978999999999998,0.5128,0.5142,0.5156000000000001,0.508,0.5125,0.07919999999999999,0.9198999999999999,55,52,"[None, None, 25.0, 23.0, 6.0]","[1500.0, 1483.280805500245, 1495.724205881983, 1509.9142593508768, 1518.537885180582, 1526.4055903739509, 1515.7798288192778, 1499.9391788155187, 1487.166327082112, 1505.2824161253611, 1511.1156681968828, 1526.04884382737, 1541.735693779255, 1538.6246646667123, 1530.4627734691874, 1544.6271812290297, 1559.3005969763242, 1541.4880400640377, 1525.798130891509, 1535.6905057811196, 1515.3895151572171, 1519.680568429679, 1522.8283578597045, 1514.917785815153, 1498.6050538337065, 1511.6466177856028, 1498.16979334741, 1503.7182827281615, 1511.5769963565476, 1524.958821160981, 1518.8287714341695, 1527.73407314122, 1536.2270869772644, 1539.14664939775, 1540.9177118223963, 1529.8005304616138, 1537.8545644930916, 1530.753504495609, 1523.8965501869764, 1514.6951605428176, 1507.7365714768202, 1524.1959481070116, 1532.5003200531262, 1556.385835898663, 1546.058259614343, 1534.3630299430342, 1526.7304087235973, 1542.3047639267331, 1544.4472946040944, 1529.1558205081096, 1533.469571091606, 1541.4782834460502, 1549.8924899301858, 1560.4496697201628, 1561.9242607986114, 1569.994870015856, 1574.3196340413383, 1584.1691946821345, 1589.395885684796, 1574.852642503137, 1564.5126313600072, 1577.2656237740282, 1591.620409412097, 1576.2913239265483, 1558.094896496977, 1569.9575356604869, 1564.5007266181033, 1566.1971831736232, 1555.6793488693122, 1539.0029844837534, 1544.2228103927107, 1549.5268088674634, 1545.586222288415, 1531.9227386443497, 1512.0035520707395, 1503.421972749284, 1518.4673964432293, 1539.9195092996931, 1534.813128878852, 1539.720583136434, 1535.3228678968494, 1526.646535040779, 1532.422865156699]",9,6,3,19.80000000000001,-3.3499999999999943,20,3,21,5,5,18,22,3,6,15
2009-2010,Buffalo Sabres,BUF,82,45,27,10,35,41,100,0.61,235,207,28,231,201,218.11,221.35,2588,2574,92.19,1.53,1.45,1.4604,1.4606000000000001,0.5134000000000001,0.5,0.5041,0.5025999999999999,0.4993,0.0779,0.9248999999999999,48,32,"[None, None, 15.0, 11.0, 8.0]","[1500.0, 1493.056794084742, 1501.5049253874215, 1510.5551208439915, 1525.5946837271724, 1537.3456657764582, 1523.176482948382, 1537.0384519047411, 1540.4461555864757, 1556.5586091980854, 1559.3950474078167, 1535.489986740068, 1547.4338284868152, 1529.4127202876405, 1515.3318358782587, 1525.460600525944, 1529.2272580507638, 1538.6665115127412, 1515.0176656733624, 1506.9570195961396, 1494.931192057706, 1484.798761785192, 1500.6724935372793, 1510.0996378484156, 1523.0191170053572, 1534.7456901257142, 1523.721912527736, 1509.2263805234943, 1527.4874346848624, 1535.997497775223, 1542.4076470188722, 1549.3079111641175, 1534.683243509916, 1545.7170161611882, 1541.2649051969531, 1546.6658572002818, 1533.8732044264814, 1527.3028793328, 1539.2515748196352, 1546.8956336964495, 1550.362606982374, 1557.6375633094433, 1565.5972419068833, 1569.8397138989608, 1562.7332722865387, 1566.8299923995285, 1560.62901051651, 1579.2068478236338, 1570.060211289696, 1565.7464607061995, 1554.7324708187905, 1548.7797300441327, 1551.5900053516582, 1556.3906103162683, 1547.7791889448886, 1534.0429924775715, 1523.0598274001302, 1500.9683966412467, 1492.4312663268363, 1486.593955033067, 1503.8899456633055, 1496.362238417995, 1488.0890093838634, 1495.033644738534, 1501.623963597243, 1511.6457007028846, 1502.0435047088483, 1496.917509747134, 1487.1206945766278, 1503.853699115333, 1515.8331434130023, 1529.5514454614352, 1534.6379636862446, 1518.3978133092155, 1531.8606741324486, 1539.5707464557925, 1550.8167856476273, 1533.9883726052367, 1517.9430757097257, 1531.6634179958285, 1518.118608999373, 1534.1097491724977, 1526.3458075669594]",10,4,1,12.889999999999986,20.349999999999994,7,14,12,18,15,1,9,21,10,3
