Season,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2014-2015,Aaron Ekblad,FLA,D,80.5,54.5,71.4,37.3,,97.4,84.0,51.1,81.8,83.1,41.6,27.3,2.6,86.1,14.7,46,106,67,75.0,,7,38,114,43,34,136,169,226,33,198,231,118,175,Second Pair,81.0,1766.6166666666666,12.0,27.0,39.0,8.045215824315838,57.84313725490197,54.08695283886976,8477932,D,76.0,220.0,1996-02-07,CAN,2014.0,1.0,1.0,R,18,"[None, None, None, None, 77]","[None, None, None, None, 57]","[None, None, None, None, 69]","[None, None, None, None, 'FLA']"
2014-2015,Adam Clendening,VAN,D,32.0,48.5,28.1,59.3,,45.9,2.8,10.0,1.3,46.8,21.2,99.6,100.0,14.7,13.4,158,120,167,49.0,,126,220,209,229,109,183,2,1,198,201,231,118,175,Third Pair,21.0,349.3833333333333,1.0,3.0,4.0,0.805634137702052,55.55555555555556,42.79001437681882,8476431,D,72.0,194.0,1992-10-26,USA,2011.0,2.0,36.0,R,21,"[None, None, None, None, 35]","[None, None, None, None, 49]","[None, None, None, None, 28]","[None, None, None, None, 'VAN']"
2014-2015,Adam Larsson,NJD,D,36.8,19.5,70.1,,53.7,59.3,45.9,20.3,86.6,37.7,48.9,78.8,76.2,80.5,59.7,147,187,70,,82.0,95,126,185,32,130,119,50,56,46,94,231,118,175,Second Pair,64.0,1341.6166666666666,3.0,21.0,24.0,2.996793171236832,50.0,49.97523739231981,8476457,D,75.0,207.0,1992-11-12,SWE,2011.0,1.0,4.0,R,21,"[None, 61, 48, 48, 32]","[None, 60, 6, 35, 15]","[None, 67, 62, 65, 73]","[None, 'NJD', 'NJD', 'NJD', 'NJD']"
2014-2015,Adam McQuaid,BOS,D,45.9,17.3,87.4,,68.6,41.1,22.9,4.8,28.6,17.3,84.0,76.2,79.2,48.5,29.0,126,192,30,,56.0,137,179,221,166,177,38,56,49,120,165,231,118,175,Second Pair,63.0,1161.4666666666667,1.0,6.0,7.0,1.6125423236537821,44.827586206896555,50.8835558898689,8471717,D,76.0,210.0,1986-10-12,CAN,2005.0,2.0,55.0,R,27,"[87, 57, 34, 50, 44]","[53, 28, 19, 36, 10]","[87, 82, 77, 75, 92]","['BOS', 'BOS', 'BOS', 'BOS', 'BOS']"
2014-2015,Adam Pardy,WPG,D,47.2,56.3,66.7,,74.9,16.5,2.8,31.2,68.0,22.1,74.5,82.3,82.3,39.0,5.2,123,102,78,,45.0,194,220,160,75,166,60,42,42,142,220,231,118,175,Third Pair,55.0,826.0333333333333,0.0,9.0,9.0,1.3385470860807416,55.319148936170215,49.68402362132605,8471385,D,76.0,227.0,1984-03-29,CAN,2004.0,6.0,173.0,L,30,"[74, 58, 43, 62, 40]","[59, 44, 27, 63, 51]","[72, 64, 58, 80, 55]","['CGY', 'DAL', 'BUF', 'WPG', 'WPG']"
2014-2015,Alec Martinez,LAK,D,86.6,64.1,69.7,71.2,88.0,88.3,93.9,91.3,59.7,94.8,72.7,72.7,71.0,84.0,6.9,32,84,71,35.0,22.0,28,15,21,94,12,64,64,68,38,216,231,118,175,Second Pair,56.0,1116.1166666666666,6.0,16.0,22.0,5.57499437527006,57.57575757575758,52.378481916412376,8474166,D,73.0,210.0,1987-07-26,USA,2007.0,4.0,95.0,L,27,"[59, 89, 64, 85, 87]","[64, 73, 52, 51, 71]","[69, 78, 77, 81, 59]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2014-2015,Alex Goligoski,DAL,D,100.0,99.1,96.1,88.1,92.0,7.8,55.8,82.3,94.4,97.8,30.7,5.6,9.1,44.6,93.9,1,3,10,15.0,15.0,214,103,42,14,6,161,219,211,129,15,231,118,175,First Pair,81.0,1928.7166666666667,4.0,32.0,36.0,6.991291070322453,53.383458646616546,55.14264361456417,8471274,D,71.0,173.0,1985-07-30,USA,2004.0,2.0,61.0,L,29,"[92, 99, 98, 99, 100]","[87, 98, 97, 93, 99]","[56, 92, 89, 89, 98]","['DAL', 'DAL', 'DAL', 'DAL', 'DAL']"
2014-2015,Alex Pietrangelo,STL,D,91.3,94.8,22.5,66.9,100.0,1.3,68.4,94.4,93.9,91.3,13.9,9.1,4.3,90.0,94.8,21,13,180,40.0,1.0,229,74,14,15,20,200,211,222,24,13,231,118,175,First Pair,81.0,2058.116666666667,7.0,39.0,46.0,12.90635739427729,50.427350427350426,50.59216470995936,8474565,D,75.0,215.0,1990-01-18,CAN,2008.0,1.0,4.0,R,24,"[97, 94, 97, 96, 85]","[75, 95, 90, 100, 85]","[81, 70, 83, 51, 10]","['STL', 'STL', 'STL', 'STL', 'STL']"
2014-2015,Alexander Edler,VAN,D,13.4,19.9,51.5,28.0,96.6,7.4,31.2,75.3,20.3,3.5,61.0,33.8,22.5,75.8,90.9,201,186,113,86.0,7.0,215,160,58,185,209,91,154,180,57,22,231,118,175,First Pair,74.0,1774.45,8.0,23.0,31.0,8.020332390403794,53.65853658536586,52.34082299131182,8471303,D,76.0,210.0,1986-04-21,SWE,2004.0,3.0,91.0,L,28,"[61, 52, 46, 6, 17]","[72, 7, 64, 12, 24]","[44, 53, 13, 43, 63]","['VAN', 'VAN', 'VAN', 'VAN', 'VAN']"
2014-2015,Alexander Petrovic,FLA,D,43.3,51.1,38.1,,53.1,28.6,2.8,17.3,3.5,56.3,91.3,91.8,89.2,36.8,66.2,132,114,144,,83.0,166,220,192,224,89,21,20,26,147,79,231,118,175,Third Pair,33.0,536.5666666666667,0.0,3.0,3.0,0.9700997667567686,45.45454545454545,47.435757687449254,8475755,D,77.0,215.0,1992-03-03,CAN,2010.0,2.0,36.0,R,22,"[None, None, None, None, 45]","[None, None, None, None, 51]","[None, None, None, None, 38]","[None, None, None, None, 'FLA']"
