Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,evo_history,evd_history,ppl_history,pkl_history,team_history
2008-2009,Aaron Johnson,CHI,D,172.0,32.0,,23.0,196.0,32.0,131.0,23.0,207.0,23.0,198.0,72.0,,200.0,Third Pair,38,537.38333333333,3,5,8,1.21,72.22,50.38,25,1983-04-30,CAN,CAN,73,204,2001,3,85,8469534.0,"[7, 39]","[56, 89]","[1, None]","[None, 87]","['NYI', 'CHI']"
2008-2009,Aaron Ward,BOS,D,181.0,35.0,,135.0,145.0,101.0,180.0,116.0,195.0,198.0,186.0,38.0,,126.0,Second Pair,65,1236.0166666667,3,7,10,2.04,54.93,48.18,35,1973-01-17,CAN,CAN,74,209,1991,1,5,8458519.0,"[33, 20]","[78, 83]","[6, None]","[54, 25]","['BOS', 'BOS']"
2008-2009,Adam Foote,COL,D,223.0,74.0,,102.0,199.0,120.0,219.0,179.0,202.0,209.0,205.0,133.0,,152.0,Second Pair,42,825.65,1,6,7,0.97,36.73,46.49,37,1971-07-10,CAN,CAN,74,220,1989,2,22,8456283.0,"[6, 6]","[96, 40]","[None, None]","[86, 30]","['CBJ', 'COL']"
2008-2009,Adam Pardy,CGY,D,74.0,104.0,,170.0,9.0,59.0,167.0,162.0,138.0,49.0,207.0,66.0,,217.0,Third Pair,60,899.63333333333,1,9,10,1.54,52.24,56.00,24,1984-03-29,CAN,CAN,76,227,2004,6,173,8471385.0,"[None, 64]","[None, 58]","[None, None]","[None, 21]","[None, 'CGY']"
2008-2009,Adrian Aucoin,CGY,D,47.0,120.0,111.0,117.0,52.0,42.0,63.0,30.0,87.0,55.0,109.0,174.0,,85.0,First Pair,81,1805.6333333333,10,24,34,6.84,46.32,53.60,35,1973-07-03,CAN,CAN,74,215,1992,5,117,8459053.0,"[67, 84]","[74, 39]","[72, 13]","[60, 35]","['CGY', 'CGY']"
2008-2009,Alex Goligoski,PIT,D,23.0,20.0,83.0,,54.0,20.0,73.0,60.0,15.0,72.0,23.0,173.0,,71.0,Second Pair,45,823.86666666667,6,14,20,3.69,58.00,55.56,23,1985-07-30,USA,USA,71,173,2004,2,61,8471274.0,"[None, 87]","[None, 91]","[None, 39]","[None, None]","[None, 'PIT']"
2008-2009,Alexander Edler,VAN,D,110.0,148.0,61.0,129.0,170.0,89.0,47.0,91.0,102.0,80.0,103.0,122.0,,59.0,Second Pair,80,1690.3,10,27,37,8.35,57.65,47.74,22,1986-04-21,SWE,SWE,76,210,2004,3,91,8471303.0,"[51, 56]","[63, 25]","[59, 52]","[43, 34]","['VAN', 'VAN']"
2008-2009,Alexandre Picard,OTT,D,175.0,167.0,77.0,,152.0,91.0,121.0,188.0,189.0,151.0,32.0,112.0,,99.0,Second Pair,47,886.88333333333,6,8,14,3.96,48.08,54.14,23,1985-07-05,CAN,CAN,75,215,2003,3,85,8470678.0,"[12, 34]","[10, 42]","[22, 59]","[99, None]","['TBL', 'OTT']"
2008-2009,Alexei Semenov,SJS,D,150.0,128.0,,5.0,116.0,28.0,128.0,161.0,133.0,183.0,213.0,46.0,,212.0,Third Pair,47,613.23333333333,1,7,8,1.36,50.00,50.69,27,1981-04-10,RUS,RUS,78,245,1999,2,36,8467909.0,"[74, 24]","[30, 53]","[69, None]","[14, 99]","['SJS', 'SJS']"
2008-2009,Andreas Lilja,DET,D,55.0,46.0,,24.0,90.0,10.0,71.0,108.0,32.0,39.0,183.0,59.0,,146.0,Third Pair,60,1019.8666666667,2,11,13,1.64,56.79,53.14,33,1975-07-13,SWE,SWE,75,220,2000,2,54,8468534.0,"[60, 82]","[92, 65]","[None, None]","[87, 80]","['DET', 'DET']"
