Season,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2019-2020,Aaron Ekblad,FLA,D,73.2,78.7,68.1,63.8,68.4,69.8,76.2,90.2,95.3,16.2,11.1,4.3,6.0,43.4,100.0,64,51,76,35.0,55.0,72,57,24,12,189,210,226,222,134,1,235,94,171,First Pair,67.0,1539.4166666666667,5.0,36.0,41.0,7.543821695362918,56.666666666666664,52.14320141753179,8477932,D,76.0,220.0,1996-02-07,CAN,2014.0,1.0,1.0,R,23,"[53, 9, 30, 67, 83]","[28, 17, 52, 63, 87]","[73, 51, 28, 74, 78]","['FLA', 'FLA', 'FLA', 'FLA', 'FLA']"
2019-2020,Aaron Ness,ARI,D,67.7,36.6,44.3,,,50.2,2.1,1.7,10.6,97.0,68.9,99.1,98.7,7.7,37.4,77,150,132,,,118,227,232,211,8,74,3,4,218,148,235,94,171,Fringe,24.0,300.8333333333333,0.0,1.0,1.0,0.5314826709939873,48.0,51.73703461444503,8474604,D,70.0,184.0,1990-05-18,USA,2008.0,2.0,40.0,L,29,"[None, None, None, None, 67]","[None, None, None, None, 34]","[None, None, None, None, 44]","[None, None, None, None, 'ARI']"
2019-2020,Adam Boqvist,CHI,D,75.3,60.4,26.4,29.8,,82.1,97.0,51.9,88.1,98.7,48.1,88.9,83.8,0.4,21.7,59,94,174,67.0,,43,8,114,29,4,123,27,39,235,185,235,94,171,Third Pair,41.0,665.1166666666667,4.0,9.0,13.0,2.9152494977924093,55.35714285714286,47.9414308682131,8480871,D,72.0,195.0,2000-08-15,SWE,2018.0,1.0,8.0,R,19,"[None, None, None, None, 77]","[None, None, None, None, 60]","[None, None, None, None, 29]","[None, None, None, None, 'CHI']"
2019-2020,Adam Fox,NYR,D,96.6,89.8,88.5,68.1,,71.9,88.9,96.2,92.8,95.7,13.6,26.8,31.9,24.3,48.5,9,25,28,31.0,,67,27,10,18,11,204,173,161,179,122,235,94,171,Second Pair,70.0,1323.3,8.0,34.0,42.0,7.944992023375865,60.0,53.507433800761774,8479323,D,71.0,185.0,1998-02-17,USA,2016.0,3.0,66.0,R,21,"[None, None, None, None, 95]","[None, None, None, None, 86]","[None, None, None, None, 89]","[None, None, None, None, 'NYR']"
2019-2020,Adam Larsson,EDM,D,42.1,52.8,82.6,,80.7,16.6,21.3,28.1,13.6,6.4,84.7,17.4,35.3,33.6,86.0,137,112,42,,34.0,197,186,170,204,212,37,195,153,157,34,235,94,171,Second Pair,49.0,971.7333333333332,1.0,5.0,6.0,2.532423659787622,45.45454545454545,49.159586619163846,8476457,D,75.0,207.0,1992-11-12,SWE,2011.0,1.0,4.0,R,26,"[37, 19, 58, 50, 34]","[5, 48, 59, 53, 51]","[94, 72, 78, 87, 80]","['NJD', 'EDM', 'EDM', 'EDM', 'EDM']"
2019-2020,Adam Pelech,NYI,D,71.1,38.3,86.4,,38.6,45.5,40.4,49.8,35.3,64.7,75.7,33.2,60.4,52.3,77.4,69,146,33,,106.0,129,141,119,153,78,58,158,94,113,54,235,94,171,Second Pair,38.0,803.0166666666667,1.0,8.0,9.0,2.0919142121158787,49.01960784313725,48.93352924746683,8476917,D,75.0,212.0,1994-08-16,CAN,2012.0,3.0,65.0,L,25,"[None, 47, 49, 83, 66]","[None, 14, 68, 28, 41]","[None, 33, 49, 93, 77]","[None, 'NYI', 'NYI', 'NYI', 'NYI']"
2019-2020,Alec Martinez,VGK,D,34.5,60.0,10.2,69.1,46.2,81.3,67.7,26.8,15.7,73.2,31.9,46.0,45.1,72.8,54.0,155,95,212,30.0,93.0,45,77,173,199,59,161,128,130,65,109,235,94,171,Second Pair,51.0,1096.9,3.0,13.0,16.0,3.3870262224202943,47.5609756097561,51.39469405195586,8474166,D,73.0,210.0,1987-07-26,USA,2007.0,4.0,95.0,L,32,"[67, 83, 7, 46, 40]","[65, 90, 30, 76, 58]","[73, 51, 6, 9, 15]","['LAK', 'LAK', 'LAK', 'LAK', 'VGK']"
2019-2020,Alex Biega,DET,D,20.4,39.1,25.5,,65.5,8.1,14.5,78.3,58.3,44.3,92.8,68.9,69.8,4.7,32.3,188,144,176,,60.0,217,202,52,99,125,18,74,72,225,160,235,94,171,Third Pair,49.0,804.6333333333333,0.0,3.0,3.0,2.3226297560522853,38.46153846153847,40.90811662250266,8473415,D,70.0,195.0,1988-04-04,CAN,2006.0,5.0,147.0,R,31,"[16, 25, 19, 25, 22]","[33, 38, 60, 61, 17]","[20, 29, 28, 29, 24]","['VAN', 'VAN', 'VAN', 'VAN', 'DET']"
2019-2020,Alex Goligoski,ARI,D,68.9,80.0,37.4,25.5,81.3,51.5,24.7,9.8,55.7,50.6,42.1,11.5,11.5,16.2,70.2,74,48,148,71.0,33.0,115,178,213,105,111,137,209,209,198,71,235,94,171,First Pair,70.0,1613.9833333333331,4.0,28.0,32.0,4.375540618437129,54.08163265306123,48.4871331655012,8471274,D,71.0,173.0,1985-07-30,USA,2004.0,2.0,61.0,L,34,"[97, 41, 63, 80, 61]","[99, 87, 85, 82, 77]","[72, 10, 16, 30, 46]","['DAL', 'ARI', 'ARI', 'ARI', 'ARI']"
2019-2020,Alex Pietrangelo,STL,D,94.9,97.4,40.0,6.4,93.0,95.7,90.6,93.2,68.5,85.1,16.2,16.6,8.5,79.1,71.1,13,7,142,89.0,13.0,11,23,17,75,34,198,197,216,50,69,235,94,171,First Pair,70.0,1692.8333333333333,16.0,36.0,52.0,14.23570342141199,54.310344827586206,53.192160052100334,8474565,D,75.0,215.0,1990-01-18,CAN,2008.0,1.0,4.0,R,29,"[84, 89, 89, 94, 94]","[97, 96, 92, 97, 98]","[12, 59, 23, 28, 48]","['STL', 'STL', 'STL', 'STL', 'STL']"
