Season,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2024-2025,Aaron Ekblad,FLA,D,63.1,76.2,53.3,75.0,93.6,15.6,63.5,79.5,69.3,9.8,38.1,63.1,59.8,98.4,99.2,91,59,115,22.0,12.0,207,90,51,76,204,152,91,99,5,3,244,84,171,First Pair,56.0,1316.7,3.0,30.0,33.0,5.732185089798123,56.41025641025641,52.68726198284365,8477932,D,76.0,220.0,1996-02-07,CAN,2014.0,1.0,1.0,R,28,"[79, 93, 77, 63, 60]","[73, 84, 79, 75, 75]","[72, 81, 60, 69, 39]","['FLA', 'FLA', 'FLA', 'FLA', 'FLA']"
2024-2025,Adam Boqvist,NYI,D,28.3,61.9,5.7,39.3,,58.2,89.8,77.0,42.2,79.1,10.2,96.3,91.4,35.7,52.0,176,94,231,52.0,,103,26,57,142,50,220,10,22,158,118,244,84,171,Third Pair,35.0,492.51666666666665,4.0,10.0,14.0,2.3139141447283937,47.22222222222222,49.04981103616498,8480871,D,72.0,195.0,2000-08-15,SWE,2018.0,1.0,8.0,R,24,"[81, 30, 47, 42, 23]","[71, 44, 67, 66, 54]","[35, 6, 7, 7, 9]","['CHI', 'CBJ', 'CBJ', 'CBJ', 'NYI']"
2024-2025,Adam Fox,NYR,D,99.6,99.6,93.9,98.8,73.7,86.5,90.6,93.0,99.2,50.8,9.0,54.9,27.9,25.4,77.9,2,2,16,2.0,46.0,34,24,18,3,111,223,111,177,183,55,244,84,171,First Pair,74.0,1720.4166666666667,10.0,51.0,61.0,11.627789574913196,58.26086956521739,54.731952339353086,8479323,D,71.0,185.0,1998-02-17,USA,2016.0,3.0,66.0,R,26,"[97, 98, 100, 100, 99]","[93, 97, 99, 98, 99]","[94, 91, 95, 93, 91]","['NYR', 'NYR', 'NYR', 'NYR', 'NYR']"
2024-2025,Adam Larsson,SEA,D,17.6,18.0,71.7,,29.8,16.0,46.7,64.8,52.0,8.2,53.3,20.5,3.3,41.0,57.4,202,201,70,,121.0,206,131,87,118,208,115,195,237,145,105,244,84,171,Second Pair,82.0,1737.2333333333331,7.0,21.0,28.0,6.374138655153546,52.85714285714286,46.392639538143605,8476457,D,75.0,207.0,1992-11-12,SWE,2011.0,1.0,4.0,R,31,"[84, 2, 64, 6, 33]","[15, 2, 32, 2, 43]","[98, 80, 94, 66, 68]","['EDM', 'SEA', 'SEA', 'SEA', 'SEA']"
2024-2025,Adam Pelech,NYI,D,92.6,67.2,99.6,,43.3,0.4,2.9,78.7,69.7,55.3,48.0,36.9,45.5,17.2,82.8,19,81,2,,98.0,244,238,53,75,100,128,155,134,203,43,244,84,171,Second Pair,60.0,1266.8333333333333,0.0,21.0,21.0,4.957430971466328,46.51162790697674,54.00016035335128,8476917,D,75.0,212.0,1994-08-16,CAN,2012.0,3.0,65.0,L,30,"[95, 97, 83, 89, 93]","[91, 94, 56, 60, 68]","[97, 98, 97, 95, 99]","['NYI', 'NYI', 'NYI', 'NYI', 'NYI']"
2024-2025,Adam Wilsby,NSH,D,56.6,50.4,57.4,,56.7,40.6,40.2,75.8,1.6,67.2,43.9,93.4,96.7,29.5,41.0,107,122,105,,75.0,146,147,60,241,75,138,17,9,173,145,244,84,171,Second Pair,23.0,416.26666666666665,1.0,4.0,5.0,1.694005832905514,51.85185185185185,56.63558579185695,8482482,D,73.0,188.0,2000-08-07,SWE,2020.0,4.0,101.0,L,24,"[None, None, None, None, 55]","[None, None, None, None, 51]","[None, None, None, None, 55]","[None, None, None, None, 'NSH']"
2024-2025,Albert Johansson,DET,D,34.0,25.4,25.4,,,73.0,54.5,20.9,4.1,78.1,66.0,65.6,57.0,26.2,88.5,162,183,183,,,67,112,194,235,52,84,85,106,181,29,244,84,171,Third Pair,61.0,998.0166666666668,3.0,6.0,9.0,1.9761627904927337,42.64705882352941,45.360931671538395,8481607,D,72.0,195.0,2001-01-04,SWE,2019.0,2.0,60.0,L,23,"[None, None, None, None, 36]","[None, None, None, None, 27]","[None, None, None, None, 25]","[None, None, None, None, 'DET']"
2024-2025,Alec Martinez,CHI,D,42.6,48.0,27.5,,25.1,83.6,88.9,21.3,11.5,65.6,23.4,63.9,66.0,12.7,98.4,141,128,178,,129.0,41,28,193,217,77,188,89,84,214,5,244,84,171,Second Pair,44.0,824.05,5.0,7.0,12.0,1.63785547307879,41.7910447761194,41.87143588114759,8474166,D,73.0,210.0,1987-07-26,USA,2007.0,4.0,95.0,L,37,"[44, 66, 50, 62, 32]","[90, 71, 44, 53, 47]","[10, 21, 67, 35, 19]","['VGK', 'VGK', 'VGK', 'VGK', 'CHI']"
2024-2025,Alex Pietrangelo,VGK,D,93.9,95.1,49.6,48.8,90.6,2.9,33.2,79.1,91.8,92.6,21.3,44.3,29.9,70.1,76.2,16,13,124,44.0,17.0,238,164,52,21,19,193,137,172,74,59,244,84,171,First Pair,71.0,1590.55,4.0,29.0,33.0,7.633898250088191,50.43478260869565,53.02581622969462,8474565,D,75.0,215.0,1990-01-18,CAN,2008.0,1.0,4.0,R,34,"[81, 78, 97, 85, 94]","[94, 96, 96, 93, 97]","[16, 23, 66, 22, 56]","['VGK', 'VGK', 'VGK', 'VGK', 'VGK']"
2024-2025,Alex Vlasic,CHI,D,59.8,29.9,66.0,27.4,81.9,31.6,21.3,15.2,23.0,65.2,23.8,5.3,7.8,3.3,99.6,99,172,84,62.0,32.0,168,193,208,189,78,187,232,226,237,2,244,84,171,First Pair,82.0,1907.55,4.0,26.0,30.0,4.367991780614009,41.05960264900662,43.8310505461483,8481568,D,78.0,217.0,2001-06-05,USA,2019.0,2.0,43.0,L,23,"[None, None, None, 66, 57]","[None, None, None, 34, 26]","[None, None, None, 83, 49]","[None, None, None, 'CHI', 'CHI']"
