Season,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2009-2010,Aaron Johnson,EDM,D,48.9,66.5,19.4,47.7,42.8,65.2,76.2,54.2,73.6,63.7,83.7,85.5,85.9,22.9,2.6,117,77,184,69.0,108.0,80,55,105,61,43,38,34,33,176,222,227,130,187,Third Pair,41.0,641.6333333333333,4.0,7.0,11.0,1.7271887831425472,41.86046511627907,44.40886752980185,8469534,D,73.0,204.0,1983-04-30,CAN,2001.0,3.0,85.0,L,26,"[None, None, None, None, 48]","[None, None, None, None, 66]","[None, None, None, None, 19]","[None, None, None, None, 'EDM']"
2009-2010,Aaron Rome,VAN,D,25.1,38.3,18.5,,54.0,17.6,7.5,66.1,8.4,46.5,72.7,69.6,81.1,72.2,33.0,171,141,186,,87.0,188,195,78,209,61,63,70,44,64,153,227,130,187,Third Pair,49.0,743.7666666666667,0.0,3.0,3.0,2.0178195865913575,42.30769230769231,47.32700685754087,8470310,D,73.0,220.0,1983-09-27,CAN,2002.0,4.0,104.0,L,25,"[None, None, None, None, 25]","[None, None, None, None, 38]","[None, None, None, None, 18]","[None, None, None, None, 'VAN']"
2009-2010,Aaron Ward,ANA,D,2.2,18.5,6.2,,8.0,37.0,20.3,11.0,12.8,15.4,89.0,41.0,41.9,15.0,25.1,223,186,214,,173.0,144,182,203,199,99,26,135,133,194,171,227,130,187,Third Pair,77.0,1332.4333333333334,1.0,12.0,13.0,1.6930173591666495,41.05263157894737,43.93511808096826,8458519,D,74.0,209.0,1973-01-17,CAN,1991.0,1.0,5.0,R,36,"[None, None, None, None, 2]","[None, None, None, None, 18]","[None, None, None, None, 6]","[None, None, None, None, 'ANA']"
2009-2010,Adam Foote,COL,D,1.8,15.4,7.5,,3.7,20.7,7.5,15.4,10.1,17.6,49.8,45.8,46.3,35.7,60.4,224,193,211,,181.0,181,195,193,205,95,115,124,123,147,91,227,130,187,Second Pair,67.0,1297.1333333333334,0.0,8.0,8.0,1.6684823912133948,51.08695652173913,44.89165927426683,8456283,D,74.0,220.0,1971-07-10,CAN,1989.0,2.0,22.0,R,38,"[None, None, None, None, 1]","[None, None, None, None, 15]","[None, None, None, None, 7]","[None, None, None, None, 'COL']"
2009-2010,Adam Pardy,CGY,D,71.8,61.7,85.5,,67.4,72.7,56.8,5.7,38.3,42.5,64.8,71.4,69.6,61.7,5.3,65,88,34,,62.0,63,99,215,141,65,81,66,70,88,216,227,130,187,Third Pair,57.0,903.5333333333332,2.0,7.0,9.0,1.1786915969485403,46.2962962962963,53.62325388385868,8471385,D,76.0,227.0,1984-03-29,CAN,2004.0,6.0,173.0,L,25,"[None, None, None, None, 71]","[None, None, None, None, 61]","[None, None, None, None, 85]","[None, None, None, None, 'CGY']"
2009-2010,Adrian Aucoin,PHX,D,31.3,74.9,90.3,15.4,19.3,56.4,81.5,82.4,4.8,5.7,34.8,26.0,24.7,69.2,51.5,157,58,23,111.0,152.0,100,43,41,217,118,149,169,172,71,111,227,130,187,First Pair,82.0,1849.45,8.0,20.0,28.0,7.649298562873948,52.4390243902439,51.44233895230839,8459053,D,74.0,215.0,1973-07-03,CAN,1992.0,5.0,117.0,R,36,"[None, None, None, None, 31]","[None, None, None, None, 74]","[None, None, None, None, 90]","[None, None, None, None, 'PHX']"
2009-2010,Alex Goligoski,PIT,D,92.1,78.4,39.6,83.1,65.8,79.3,81.9,63.0,90.3,96.0,17.6,55.9,49.3,85.5,60.8,19,50,138,23.0,65.0,48,42,85,23,10,188,101,116,34,90,227,130,187,Second Pair,69.0,1478.2666666666669,7.0,27.0,34.0,5.950637341388704,54.34782608695651,52.219563440061215,8471274,D,71.0,173.0,1985-07-30,USA,2004.0,2.0,61.0,L,24,"[None, None, None, None, 92]","[None, None, None, None, 78]","[None, None, None, None, 39]","[None, None, None, None, 'PIT']"
2009-2010,Alexander Edler,VAN,D,48.0,23.3,65.6,57.7,88.8,8.4,36.6,70.0,91.6,55.1,66.5,44.1,31.7,74.9,45.8,119,175,79,56.0,22.0,209,145,69,20,51,77,128,156,58,124,227,130,187,First Pair,76.0,1721.1333333333334,5.0,36.0,41.0,7.155078961858762,50.0,50.12157478874464,8471303,D,76.0,210.0,1986-04-21,SWE,2004.0,3.0,91.0,L,23,"[None, None, None, None, 48]","[None, None, None, None, 23]","[None, None, None, None, 65]","[None, None, None, None, 'VAN']"
2009-2010,Alexandre Picard,CAR,D,53.7,35.2,70.5,60.8,58.8,74.9,78.0,45.8,20.3,42.5,73.1,72.2,71.8,63.0,22.9,106,148,68,52.0,78.0,58,51,124,182,65,62,64,65,85,176,227,130,187,Second Pair,54.0,992.7333333333332,4.0,12.0,16.0,3.653576284993318,48.05194805194805,53.198566047979135,8470678,D,75.0,215.0,1985-07-05,CAN,2003.0,3.0,85.0,L,24,"[None, None, None, None, 53]","[None, None, None, None, 35]","[None, None, None, None, 70]","[None, None, None, None, 'CAR']"
2009-2010,Anders Eriksson,NYR,D,62.1,40.1,46.7,54.6,56.7,50.7,7.5,15.9,80.6,78.6,59.0,99.6,100.0,91.2,6.2,87,137,122,60.0,82.0,113,195,192,45,33,94,2,1,21,214,227,130,187,Third Pair,20.0,304.9,0.0,5.0,5.0,0.40883574573993364,58.82352941176471,50.670488253396016,8459443,D,75.0,224.0,1975-01-09,SWE,1993.0,1.0,22.0,L,34,"[None, None, None, None, 62]","[None, None, None, None, 40]","[None, None, None, None, 46]","[None, None, None, None, 'NYR']"
