Season,Player,Team,Position,tot_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,pdo_rank,ozs_rank,tmt_rank,cmp_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,Specific Position,tot_history,evo_history,evd_history,ppl_history,pkl_history,team_history
2007-2008,Aaron Johnson,NYI,D,,,,,,,184.0,224.0,221.0,223.0,26.0,9.0,7.0,,,Third Pair,30,415.85,0,2,2,0.44,57.69,44.63,24,1983-04-30,CAN,CAN,73,204,2001,3,85,8469534,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYI']"
2007-2008,Aaron Miller,VAN,D,,,,,,,149.0,202.0,153.0,84.0,141.0,32.0,161.0,,,Third Pair,57,988.18333333333,1,8,9,1.06,48.44,46.46,36,1971-08-11,USA,USA,75,210,1989,5,88,8457384,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'VAN']"
2007-2008,Aaron Rome,CBJ,D,,,,,,,37.0,165.0,216.0,162.0,19.0,70.0,148.0,,,Second Pair,17,309.03333333333,1,1,2,0.6,40.00,50.57,23,1983-09-27,CAN,CAN,73,220,2002,4,104,8470310,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CBJ']"
2007-2008,Aaron Ward,BOS,D,,,,,,,69.0,182.0,202.0,171.0,33.0,21.0,168.0,,,Second Pair,65,1348.4833333333,5,8,13,2.55,56.72,49.41,34,1973-01-17,CAN,CAN,74,209,1991,1,5,8458519,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BOS']"
2007-2008,Adam Foote,COL,D,,,,,,,184.0,207.0,195.0,117.0,166.0,52.0,222.0,,,First Pair,75,1754.25,1,15,16,2.48,46.91,50.31,36,1971-07-10,CAN,CAN,74,220,1989,2,22,8456283,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'COL']"
2007-2008,Adrian Aucoin,CGY,D,,,,,,,42.0,90.0,89.0,41.0,214.0,7.0,24.0,,,Second Pair,76,1593.05,10,25,35,8.34,63.51,53.53,34,1973-07-03,CAN,CAN,74,215,1992,5,117,8459053,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CGY']"
2007-2008,Alexander Edler,VAN,D,,,,,,,79.0,97.0,185.0,40.0,130.0,34.0,136.0,,,Second Pair,75,1599.9666666667,8,12,20,5.59,54.02,50.27,21,1986-04-21,SWE,SWE,76,210,2004,3,91,8471303,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'VAN']"
2007-2008,Alexandre Picard,TBL,D,,,,,,,80.0,121.0,225.0,39.0,99.0,84.0,158.0,,,Second Pair,24,490.03333333333,3,3,6,1.41,30.30,42.76,22,1985-07-05,CAN,CAN,75,215,2003,3,85,8470678,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TBL']"
2007-2008,Alexei Semenov,SJS,D,,,,,,,184.0,176.0,70.0,200.0,90.0,86.0,35.0,,,Third Pair,22,335.36666666667,1,3,4,0.91,31.58,55.66,26,1981-04-10,RUS,RUS,78,245,1999,2,36,8467909,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'SJS']"
2007-2008,Alexei Zhitnik,ATL,D,,,,,,,118.0,94.0,227.0,202.0,171.0,41.0,164.0,,,Second Pair,65,1236.2833333333,3,5,8,3.44,44.05,43.5,34,1972-10-10,UKR,UKR,71,225,1991,4,81,8458595,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ATL']"
