Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2009-2010,Alex Auld,DAL,G,51.0,47.0,48.0,34.0,58.0,33.0,12.0,7.0,55.0,51.0,52.0,54.0,53.0,Backup,24,1299.5166666667,0.895,2.95,46.78,64,28,1981-01-07,CAN,CAN,76,215,1999,2,40,8467913,9,7,3,0
2009-2010,Alex Auld,NYR,G,51.0,47.0,48.0,34.0,58.0,33.0,12.0,7.0,55.0,51.0,52.0,54.0,53.0,Backup,24,1299.5166666667,0.895,2.95,46.78,64,28,1981-01-07,CAN,CAN,76,215,1999,2,40,8467913,9,7,3,0
2009-2010,Andrew Raycroft,VAN,G,50.0,54.0,17.0,51.0,56.0,40.0,35.0,18.0,51.0,38.0,38.0,49.0,52.0,Backup,21,967.08333333333,0.911,2.42,35.42,39,29,1980-05-04,CAN,CAN,73,180,1998,5,135,8467453,9,5,1,1
2009-2010,Antero Niittymaki,TBL,G,31.0,26.0,45.0,1.0,23.0,53.0,39.0,39.0,32.0,26.0,27.0,18.0,33.0,Tandem (1A),49,2657.1833333333,0.909,2.87,120.51,127,29,1980-06-18,FIN,FIN,73,195,1998,6,168,8467511,21,18,5,1
2009-2010,Antti Niemi,CHI,G,19.0,39.0,9.0,53.0,28.0,29.0,26.0,1.0,38.0,55.0,55.0,57.0,4.0,Tandem (1B),39,2189.35,0.912,2.25,82.66,82,26,1983-08-29,FIN,FIN,74,209,-,-,-,8474550,26,7,4,7
2009-2010,Brent Johnson,PIT,G,33.0,36.0,35.0,54.0,1.0,54.0,49.0,37.0,29.0,18.0,18.0,21.0,39.0,Backup,23,1108.1333333333,0.906,2.76,48.55,51,32,1977-03-12,USA,USA,75,199,1995,5,129,8462161,10,6,1,0
2009-2010,Brian Boucher,PHI,G,49.0,46.0,41.0,20.0,40.0,50.0,30.0,3.0,26.0,29.0,31.0,35.0,46.0,Tandem (1B),33,1742.0333333333,0.899,2.76,69.91,80,32,1977-01-02,USA,USA,74,200,1995,1,22,8462052,9,18,3,1
2009-2010,Brian Elliott,OTT,G,35.0,49.0,23.0,37.0,59.0,25.0,44.0,9.0,28.0,28.0,30.0,36.0,28.0,Starter,55,3037.9333333333,0.909,2.57,120.97,130,24,1985-04-09,CAN,CAN,74,221,2003,9,291,8470880,29,18,4,5
2009-2010,Cam Ward,CAR,G,14.0,11.0,22.0,24.0,6.0,14.0,54.0,48.0,15.0,13.0,13.0,9.0,24.0,Tandem (1A),47,2651.15,0.916,2.69,136.06,119,25,1984-02-29,CAN,CAN,73,194,2002,1,25,8470320,18,23,5,0
2009-2010,Carey Price,MTL,G,43.0,28.0,49.0,30.0,16.0,42.0,31.0,33.0,22.0,16.0,16.0,25.0,38.0,Tandem (1A),41,2344.6,0.912,2.79,101.97,109,22,1987-08-16,CAN,CAN,75,217,2005,1,5,8471679,13,20,5,0
