Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2016-2017,Aaron Dell,SJS,G,3.0,1.0,59.0,7.0,3.0,5.0,58.0,10.0,4.0,1.0,1.0,1.0,4.0,Backup,20,1110.55,0.931,2.0,47.28,37,27,1989-05-04,CAN,CAN,72,213,-,-,-,8477180,11,6,1,1
2016-2017,Al Montoya,MTL,G,39.0,47.0,56.0,51.0,60.0,20.0,21.0,17.0,7.0,7.0,8.0,30.0,39.0,Backup,19,1124.8833333333,0.912,2.67,45.26,50,31,1985-02-13,USA,USA,74,200,2004,1,6,8471219,8,6,4,2
2016-2017,Anders Nilsson,BUF,G,17.0,13.0,34.0,6.0,42.0,13.0,54.0,61.0,45.0,39.0,39.0,17.0,40.0,Backup,26,1484.25,0.923,2.67,73.63,66,26,1990-03-19,SWE,SWE,78,232,2009,3,62,8475195,10,10,4,1
2016-2017,Andrei Vasilevskiy,TBL,G,23.0,17.0,22.0,61.0,10.0,10.0,4.0,37.0,47.0,34.0,35.0,32.0,30.0,Starter,50,2832.3333333333,0.917,2.61,111.5,123,22,1994-07-25,RUS,RUS,76,220,2012,1,19,8476883,23,17,7,2
2016-2017,Anton Khudobin,BOS,G,53.0,59.0,4.0,9.0,53.0,60.0,42.0,30.0,60.0,60.0,61.0,59.0,56.0,Backup,16,864.78333333333,0.904,2.71,36.1,39,30,1986-05-07,KAZ,RUS,71,210,2004,7,206,8471418,7,6,1,0
2016-2017,Antti Niemi,DAL,G,59.0,56.0,54.0,17.0,52.0,57.0,51.0,26.0,58.0,59.0,58.0,57.0,59.0,Tandem (1B),37,1728.5,0.892,3.3,81.22,95,33,1983-08-29,FIN,FIN,74,209,-,-,-,8474550,12,12,4,0
2016-2017,Antti Raanta,NYR,G,2.0,5.0,33.0,16.0,20.0,7.0,22.0,38.0,5.0,15.0,9.0,9.0,11.0,Backup,30,1617.3333333333,0.922,2.26,67.45,61,27,1989-05-12,FIN,FIN,72,195,-,-,-,8477293,16,8,2,4
2016-2017,Ben Bishop,LAK,G,22.0,18.0,14.0,24.0,37.0,17.0,17.0,23.0,30.0,18.0,20.0,31.0,26.0,Tandem (1B),39,2222.6166666667,0.910,2.54,89.04,94,29,1986-11-21,USA,USA,79,210,2005,3,85,8471750,18,15,5,1
2016-2017,Ben Bishop,TBL,G,22.0,18.0,14.0,24.0,37.0,17.0,17.0,23.0,30.0,18.0,20.0,31.0,26.0,Tandem (1B),39,2222.6166666667,0.910,2.54,89.04,94,29,1986-11-21,USA,USA,79,210,2005,3,85,8471750,18,15,5,1
2016-2017,Braden Holtby,WSH,G,13.0,15.0,38.0,8.0,22.0,26.0,33.0,12.0,3.0,8.0,10.0,10.0,1.0,Starter,63,3680.1666666667,0.925,2.07,151.03,127,26,1989-09-16,CAN,CAN,73,215,2008,4,93,8474651,42,13,6,9
2016-2017,Brian Elliott,CGY,G,21.0,20.0,20.0,13.0,27.0,28.0,15.0,19.0,16.0,32.0,32.0,38.0,19.0,Tandem (1A),49,2824.4166666667,0.910,2.57,115.26,121,31,1985-04-09,CAN,CAN,74,221,2003,9,291,8470880,26,18,3,2
2016-2017,Calvin Pickard,COL,G,41.0,38.0,42.0,34.0,44.0,38.0,46.0,53.0,27.0,38.0,38.0,35.0,52.0,Starter,50,2800.2666666667,0.904,3.0,111.62,140,24,1992-04-15,CAN,CAN,73,210,2010,2,49,8475717,15,31,2,2
2016-2017,Cam Talbot,EDM,G,9.0,16.0,19.0,21.0,11.0,29.0,41.0,47.0,34.0,20.0,22.0,22.0,13.0,Starter,73,4294.0,0.919,2.39,194.05,171,29,1987-07-05,CAN,CAN,76,201,-,-,-,8475660,42,22,8,7
2016-2017,Cam Ward,CAR,G,55.0,57.0,32.0,52.0,45.0,51.0,43.0,16.0,53.0,52.0,53.0,55.0,46.0,Starter,61,3617.9166666667,0.905,2.69,146.42,162,32,1984-02-29,CAN,CAN,73,194,2002,1,25,8470320,26,22,12,2
2016-2017,Carey Price,MTL,G,5.0,6.0,28.0,20.0,40.0,2.0,20.0,13.0,2.0,3.0,3.0,4.0,3.0,Starter,62,3708.1333333333,0.923,2.23,144.93,138,29,1987-08-16,CAN,CAN,75,217,2005,1,5,8471679,37,20,5,3
