Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2013-2014,Al Montoya,WPG,G,23.0,36.0,20.0,56.0,38.0,24.0,22.0,31.0,19.0,19.0,19.0,33.0,36.0,Backup,28,1541.85,0.92,2.3,60.99,59,28,1985-02-13,USA,USA,74,200,2004,1,6,8471219,13,8,3,2
2013-2014,Alex Stalock,SJS,G,8.0,20.0,5.0,15.0,52.0,14.0,11.0,9.0,42.0,20.0,20.0,26.0,7.0,Backup,24,1251.7166666667,0.932,1.87,43.26,39,26,1987-07-28,USA,USA,71,170,2005,4,112,8471774,12,5,2,2
2013-2014,Anders Lindback,TBL,G,58.0,53.0,59.0,53.0,45.0,50.0,8.0,18.0,61.0,61.0,62.0,64.0,62.0,Backup,23,1303.9666666667,0.891,2.9,51.71,63,25,1988-05-03,SWE,SWE,78,215,2008,7,207,8474765,8,12,2,1
2013-2014,Anders Nilsson,NYI,G,60.0,32.0,66.0,48.0,2.0,52.0,18.0,54.0,57.0,48.0,49.0,54.0,61.0,Backup,19,1101.1666666667,0.896,3.11,54.87,57,23,1990-03-19,SWE,SWE,78,232,2009,3,62,8475195,8,7,2,0
2013-2014,Anton Khudobin,CAR,G,11.0,13.0,8.0,2.0,24.0,29.0,55.0,51.0,18.0,5.0,5.0,8.0,10.0,Tandem (1B),36,2084.3,0.926,2.3,96.32,80,27,1986-05-07,KAZ,RUS,71,210,2004,7,206,8471418,19,14,1,1
2013-2014,Antti Niemi,SJS,G,33.0,41.0,40.0,34.0,25.0,48.0,35.0,16.0,41.0,34.0,36.0,20.0,16.0,Starter,64,3720.2833333333,0.913,2.4,140.31,149,30,1983-08-29,FIN,FIN,74,209,-,-,-,8474550,39,17,7,4
2013-2014,Antti Raanta,CHI,G,61.0,65.0,15.0,57.0,67.0,51.0,4.0,7.0,51.0,55.0,57.0,22.0,52.0,Backup,25,1396.6666666667,0.897,2.71,54.86,63,24,1989-05-12,FIN,FIN,72,195,-,-,-,8477293,13,5,4,1
2013-2014,Ben Bishop,TBL,G,9.0,6.0,26.0,24.0,17.0,13.0,48.0,43.0,9.0,11.0,12.0,15.0,8.0,Starter,63,3587.0333333333,0.924,2.22,143.87,133,26,1986-11-21,USA,USA,79,210,2005,3,85,8471750,37,14,7,5
2013-2014,Ben Scrivens,LAK,G,21.0,22.0,23.0,20.0,5.0,40.0,54.0,55.0,29.0,12.0,10.0,30.0,29.0,Tandem (1B),40,2210.1166666667,0.922,2.55,105.86,94,26,1986-09-11,CAN,CAN,74,181,-,-,-,8475681,16,16,4,4
2013-2014,Ben Scrivens,EDM,G,21.0,22.0,23.0,20.0,5.0,40.0,54.0,55.0,29.0,12.0,10.0,30.0,29.0,Tandem (1B),40,2210.1166666667,0.922,2.55,105.86,94,26,1986-09-11,CAN,CAN,74,181,-,-,-,8475681,16,16,4,4
2013-2014,Braden Holtby,WSH,G,26.0,10.0,58.0,23.0,12.0,21.0,36.0,57.0,30.0,25.0,25.0,29.0,21.0,Tandem (1A),48,2656.3333333333,0.915,2.85,120.62,126,23,1989-09-16,CAN,CAN,73,215,2008,4,93,8474651,23,15,4,4
2013-2014,Brian Elliott,STL,G,28.0,38.0,11.0,58.0,29.0,26.0,7.0,3.0,26.0,14.0,14.0,6.0,12.0,Backup,31,1624.3166666667,0.922,1.96,56.98,53,28,1985-04-09,CAN,CAN,74,221,2003,9,291,8470880,18,6,2,4
2013-2014,Cam Talbot,NYR,G,1.0,3.0,2.0,6.0,33.0,4.0,10.0,11.0,1.0,1.0,1.0,1.0,1.0,Backup,21,1210.6666666667,0.941,1.64,48.35,33,26,1987-07-05,CAN,CAN,76,201,-,-,-,8475660,12,6,1,3
2013-2014,Cam Ward,CAR,G,57.0,48.0,63.0,54.0,21.0,43.0,65.0,48.0,52.0,58.0,59.0,59.0,56.0,Backup,30,1645.2666666667,0.898,3.06,72.25,84,29,1984-02-29,CAN,CAN,73,194,2002,1,25,8470320,10,12,6,0
