Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2010-2011,Adam Burish,DAL,F,334.0,31.0,,100.0,391.0,69.0,290.0,318.0,423.0,418.0,377.0,171.0,170.0,317.0,Bottom 6,63,904.03333333333,8,3,42,1983-01-06,USA,USA,73,195,2002,9,22,282
2010-2011,Adam Cracknell,STL,F,206.0,315.0,,,381.0,390.0,247.0,201.0,65.0,125.0,416.0,121.0,154.0,363.0,Bottom 6,24,214.16666666667,3,3,40,1985-07-15,CAN,CAN,74,209,2004,9,21,279
2010-2011,Adam Hall,TBL,F,343.0,45.0,,102.0,372.0,55.0,238.0,398.0,429.0,394.0,93.0,153.0,109.0,315.0,Bottom 6,82,1217.65,7,7,45,1980-08-14,USA,USA,74,212,1999,2,24,52
2010-2011,Adam Mair,NJD,F,389.0,68.0,,,371.0,40.0,338.0,395.0,226.0,378.0,373.0,96.0,189.0,404.0,Bottom 6,65,591.11666666667,1,2,46,1979-02-15,CAN,CAN,73,208,1997,4,4,84
2010-2011,Ales Hemsky,EDM,F,50.0,364.0,99.0,,135.0,324.0,152.0,70.0,370.0,3.0,46.0,402.0,,44.0,First Line,47,859.26666666667,14,21,42,1983-08-13,CZE,CZE,72,177,2001,1,13,13
2010-2011,Ales Kotalik,CGY,F,207.0,173.0,231.0,,185.0,103.0,14.0,206.0,112.0,398.0,330.0,135.0,,202.0,Bottom 6,26,321.7,4,1,46,1978-12-23,CZE,CZE,73,225,1998,6,19,164
2010-2011,Alex Frolov,NYR,F,175.0,258.0,157.0,167.0,84.0,177.0,203.0,183.0,173.0,198.0,166.0,298.0,,173.0,Bottom 6,43,620.33333333333,7,5,43,1982-06-19,RUS,RUS,74,210,2000,1,20,20
2010-2011,Alex Kovalev,"OTT, PIT",F,199.0,387.0,124.0,228.0,179.0,258.0,161.0,164.0,117.0,128.0,259.0,400.0,,145.0,Second Line,74,1222.0166666667,16,12,52,1973-02-24,RUS,RUS,74,222,1991,1,15,15
2010-2011,Alex Ovechkin,WSH,F,2.0,322.0,14.0,243.0,18.0,214.0,1.0,6.0,163.0,11.0,54.0,106.0,,1.0,First Line,79,1679.0666666667,32,30,39,1985-09-17,RUS,RUS,75,238,2004,1,1,1
2010-2011,Alex Tanguay,CGY,F,182.0,253.0,156.0,193.0,130.0,199.0,400.0,191.0,167.0,28.0,192.0,380.0,,146.0,First Line,79,1561.1666666667,22,33,45,1979-11-21,CAN,CAN,73,194,1998,1,12,12
