Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2015-2016,Adam Cracknell,"EDM, VAN",F,339.0,292.0,,,394.0,368.0,285.0,347.0,401.0,352.0,273.0,57.0,160.0,364.0,Bottom 6,52,636.01666666667,5,4,39,1985-07-15,CAN,CAN,74,209,2004,9,21,279,,
2015-2016,Adam Henrique,NJD,F,281.0,80.0,108.0,56.0,327.0,116.0,324.0,71.0,181.0,260.0,142.0,327.0,103.0,108.0,First Line,80,1586.1166666667,30,7,35,1990-02-06,CAN,CAN,72,195,2008,3,21,82,,
2015-2016,Adam Lowry,WPG,F,325.0,148.0,,186.0,293.0,172.0,387.0,332.0,296.0,310.0,334.0,43.0,132.0,340.0,Bottom 6,74,1037.3666666667,7,6,32,1993-03-29,USA,USA,78,208,2011,3,6,67,,
2015-2016,Aleksander Barkov,FLA,F,97.0,82.0,117.0,172.0,196.0,119.0,228.0,64.0,294.0,128.0,66.0,389.0,95.0,81.0,First Line,66,1282.3833333333,28,19,29,1995-09-02,FIN,FIN,75,215,2013,1,2,2,,
2015-2016,Ales Hemsky,DAL,F,40.0,340.0,165.0,,13.0,344.0,79.0,199.0,162.0,79.0,147.0,401.0,,162.0,Bottom 6,75,982.58333333333,13,16,41,1983-08-13,CZE,CZE,72,177,2001,1,13,13,,
2015-2016,Alex Chiasson,OTT,F,329.0,262.0,145.0,118.0,292.0,273.0,312.0,294.0,283.0,295.0,409.0,179.0,,305.0,Bottom 6,77,1050.0833333333,8,5,34,1990-10-01,CAN,CAN,76,208,2009,2,8,38,,
2015-2016,Alex Galchenyuk,MTL,F,47.0,294.0,60.0,,55.0,303.0,97.0,35.0,8.0,112.0,75.0,282.0,181.0,99.0,Second Line,82,1333.2666666667,30,16,31,1994-02-12,USA,USA,73,194,2012,1,3,3,,
2015-2016,Alex Killorn,TBL,F,165.0,200.0,164.0,,99.0,111.0,213.0,224.0,66.0,139.0,169.0,275.0,,166.0,Second Line,81,1360.4166666667,14,18,35,1989-09-14,CAN,CAN,73,194,2007,3,16,77,,
2015-2016,Alex Ovechkin,WSH,F,7.0,302.0,1.0,,154.0,208.0,1.0,1.0,90.0,226.0,231.0,89.0,,1.0,First Line,79,1604.3666666667,50,6,39,1985-09-17,RUS,RUS,75,238,2004,1,1,1,,
2015-2016,Alex Tanguay,"ARI, COL",F,277.0,430.0,179.0,191.0,220.0,434.0,423.0,242.0,304.0,90.0,392.0,393.0,,189.0,Second Line,70,1105.3333333333,8,16,45,1979-11-21,CAN,CAN,73,194,1998,1,12,12,,
