Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2020-2021,Adam Erne,DET,F,381.0,243.0,239.0,,416.0,247.0,286.0,258.0,369.0,381.0,410.0,49.0,,309.0,Bottom 6,45,626.45,11,3,30,1995-04-20,USA,USA,73,212,2013,2,3,33
2020-2021,Adam Gaudette,"CHI, VAN",F,272.0,384.0,243.0,,336.0,430.0,148.0,223.0,18.0,276.0,211.0,309.0,123.0,269.0,Bottom 6,40,444.85,5,3,28,1996-10-03,USA,USA,73,194,2015,5,28,149
2020-2021,Adam Henrique,ANA,F,112.0,287.0,152.0,199.0,214.0,348.0,199.0,75.0,132.0,251.0,177.0,273.0,20.0,133.0,Second Line,45,721.8,12,6,35,1990-02-06,CAN,CAN,72,195,2008,3,21,82
2020-2021,Adam Lowry,WPG,F,339.0,199.0,257.0,64.0,390.0,275.0,331.0,322.0,396.0,356.0,109.0,43.0,31.0,266.0,Second Line,52,808.46666666667,10,7,32,1993-03-29,USA,USA,78,208,2011,3,6,67
2020-2021,Adrian Kempe,LAK,F,287.0,304.0,36.0,122.0,209.0,233.0,119.0,224.0,194.0,128.0,337.0,256.0,193.0,164.0,Second Line,56,948.21666666667,14,13,28,1996-09-13,SWE,SWE,74,200,2014,1,29,29
2020-2021,Aleksander Barkov,FLA,F,17.0,68.0,38.0,98.0,40.0,133.0,76.0,41.0,144.0,18.0,22.0,420.0,16.0,12.0,First Line,50,1046.8666666667,26,25,29,1995-09-02,FIN,FIN,75,215,2013,1,2,2
2020-2021,Alex Barre-Boulet,TBL,F,445.0,8.0,,,294.0,2.0,257.0,251.0,128.0,449.0,402.0,391.0,,331.0,Bottom 6,15,228.78333333333,3,0,28,1997-05-21,CAN,CAN,70,180,-,-,-,-
2020-2021,Alex Chiasson,EDM,F,394.0,311.0,33.0,,381.0,249.0,244.0,141.0,207.0,313.0,416.0,209.0,,251.0,Bottom 6,45,561.78333333333,9,3,34,1990-10-01,CAN,CAN,76,208,2009,2,8,38
2020-2021,Alex DeBrincat,CHI,F,62.0,436.0,58.0,,291.0,429.0,38.0,15.0,104.0,91.0,39.0,295.0,,26.0,First Line,51,1045.8333333333,32,14,27,1997-12-18,USA,USA,68,178,2016,2,9,39
2020-2021,Alex Formenton,OTT,F,343.0,312.0,,,441.0,344.0,306.0,139.0,393.0,425.0,228.0,172.0,,331.0,Bottom 6,20,239.88333333333,4,1,25,1999-09-13,CAN,CAN,75,195,2017,2,16,47
2020-2021,Alex Galchenyuk,"OTT, TOR",F,167.0,373.0,235.0,,169.0,319.0,112.0,242.0,88.0,102.0,397.0,169.0,211.0,219.0,Bottom 6,34,432.01666666667,5,5,31,1994-02-12,USA,USA,73,194,2012,1,3,3
2020-2021,Alex Iafallo,LAK,F,259.0,121.0,76.0,127.0,265.0,160.0,264.0,241.0,315.0,210.0,184.0,375.0,,124.0,First Line,55,1093.8,13,10,31,1993-12-21,USA,USA,72,200,-,-,-,-
2020-2021,Alex Killorn,TBL,F,126.0,220.0,103.0,31.0,150.0,115.0,197.0,92.0,185.0,174.0,323.0,264.0,,127.0,Second Line,56,1001.6,15,11,35,1989-09-14,CAN,CAN,73,194,2007,3,16,77
2020-2021,Alex Ovechkin,WSH,F,9.0,397.0,29.0,,302.0,363.0,1.0,2.0,9.0,127.0,147.0,105.0,,5.0,First Line,45,877.58333333333,24,11,39,1985-09-17,RUS,RUS,75,238,2004,1,1,1
2020-2021,Alex Tuch,VGK,F,90.0,39.0,100.0,,164.0,91.0,41.0,102.0,98.0,166.0,40.0,215.0,,108.0,Second Line,55,925.45,18,11,29,1996-05-10,USA,USA,76,219,2014,1,18,18
2020-2021,Alexander Barabanov,"SJS, TOR",F,401.0,303.0,,,230.0,414.0,403.0,311.0,373.0,307.0,403.0,410.0,,318.0,Bottom 6,22,270.85,3,2,31,1994-06-17,RUS,RUS,70,195,-,-,-,-
2020-2021,Alexander Kerfoot,TOR,F,254.0,148.0,266.0,145.0,177.0,168.0,357.0,307.0,179.0,187.0,240.0,311.0,100.0,236.0,Bottom 6,56,808.88333333333,8,8,30,1994-08-11,CAN,CAN,71,186,2012,5,29,150
2020-2021,Alexander Volkov,"ANA, TBL",F,364.0,210.0,,,445.0,402.0,437.0,155.0,202.0,433.0,407.0,210.0,,317.0,Bottom 6,37,431.0,7,1,27,1997-08-02,RUS,RUS,73,195,2017,2,17,48
2020-2021,Alexander Wennberg,FLA,F,330.0,72.0,165.0,48.0,115.0,83.0,433.0,289.0,167.0,303.0,76.0,406.0,90.0,221.0,First Line,56,1017.35,17,7,30,1994-09-22,SWE,SWE,74,190,2013,1,14,14
2020-2021,Alexandre Texier,CBJ,F,316.0,235.0,271.0,151.0,287.0,240.0,308.0,351.0,281.0,304.0,314.0,290.0,199.0,314.0,Second Line,49,776.13333333333,4,6,25,1999-09-13,FRA,FRA,73,186,2017,2,14,45
