Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2024-2025,A.J. Greer,FLA,F,283.0,58.0,,,290.0,46.0,218.0,342.0,244.0,233.0,436.0,28.0,,401.0,Bottom 6,81,777.05,6,10,28,1996-12-14,CAN,CAN,75,208,2015,2,9,39,,
2024-2025,Aatu Raty,VAN,F,245.0,164.0,,,297.0,57.0,357.0,88.0,298.0,391.0,433.0,48.0,146.0,368.0,Bottom 6,33,351.68333333333,7,2,22,2002-11-14,FIN,FIN,74,190,2021,2,20,52,,
2024-2025,Adam Edstrom,NYR,F,417.0,186.0,,,445.0,332.0,406.0,333.0,447.0,409.0,281.0,59.0,,413.0,Bottom 6,51,472.95,5,3,24,2000-10-12,SWE,SWE,79,220,2019,6,6,161,,
2024-2025,Adam Fantilli,CBJ,F,84.0,406.0,193.0,,314.0,407.0,80.0,94.0,52.0,163.0,112.0,210.0,143.0,121.0,Second Line,82,1433.1833333333,31,14,20,2004-10-12,CAN,,74,194,2023,1,3,3,,
2024-2025,Adam Gaudette,OTT,F,160.0,213.0,208.0,,286.0,148.0,252.0,52.0,33.0,420.0,423.0,224.0,149.0,345.0,Bottom 6,81,844.21666666667,19,4,28,1996-10-03,USA,USA,73,194,2015,5,28,149,,
2024-2025,Adam Henrique,EDM,F,276.0,189.0,134.0,74.0,304.0,304.0,312.0,189.0,335.0,305.0,292.0,277.0,29.0,172.0,Bottom 6,80,1186.1666666667,12,5,35,1990-02-06,CAN,CAN,72,195,2008,3,21,82,,
2024-2025,Adam Klapka,CGY,F,56.0,57.0,,,312.0,284.0,120.0,91.0,206.0,154.0,447.0,9.0,,291.0,Bottom 6,31,299.21666666667,6,4,24,2000-09-14,CZE,CZE,80,235,-,-,-,-,,
2024-2025,Adam Lowry,WPG,F,270.0,67.0,286.0,64.0,205.0,92.0,339.0,251.0,434.0,239.0,191.0,113.0,62.0,214.0,Bottom 6,73,1126.2666666667,16,8,32,1993-03-29,USA,USA,78,208,2011,3,6,67,,
2024-2025,Adrian Kempe,LAK,F,34.0,237.0,52.0,44.0,151.0,123.0,33.0,32.0,213.0,56.0,218.0,214.0,,32.0,First Line,81,1551.5833333333,35,27,28,1996-09-13,SWE,SWE,74,200,2014,1,29,29,,
2024-2025,Akil Thomas,LAK,F,440.0,34.0,,,382.0,45.0,420.0,442.0,356.0,435.0,286.0,90.0,,438.0,Bottom 6,25,247.85,1,1,25,2000-01-02,CAN,CAN,72,171,2018,2,20,51,,
