Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2009-2010,Aaron Voros,NYR,F,243.0,404.0,244.0,,209.0,406.0,344.0,203.0,188.0,138.0,418.0,25.0,,379.0,Fringe,41,251.83333333333,3,4,44,1981-07-02,CAN,CAN,74,210,2001,8,2,229
2009-2010,Adam Mair,BUF,F,304.0,156.0,,,304.0,104.0,328.0,301.0,212.0,305.0,409.0,78.0,176.0,374.0,Bottom 6,69,637.28333333333,6,4,46,1979-02-15,CAN,CAN,73,208,1997,4,4,84
2009-2010,Ales Hemsky,EDM,F,48.0,219.0,46.0,,91.0,200.0,100.0,69.0,415.0,8.0,21.0,427.0,,35.0,Second Line,22,394.6,7,10,42,1983-08-13,CZE,CZE,72,177,2001,1,13,13
2009-2010,Ales Kotalik,"CGY, NYR",F,258.0,183.0,93.0,,231.0,166.0,25.0,154.0,150.0,346.0,393.0,127.0,,143.0,Bottom 6,71,1006.9666666667,11,3,46,1978-12-23,CZE,CZE,73,225,1998,6,19,164
2009-2010,Alex Frolov,LAK,F,171.0,262.0,90.0,139.0,122.0,150.0,210.0,86.0,227.0,110.0,131.0,368.0,,92.0,First Line,81,1493.3166666667,19,20,43,1982-06-19,RUS,RUS,74,210,2000,1,20,20
2009-2010,Alex Kovalev,OTT,F,148.0,408.0,80.0,180.0,183.0,334.0,137.0,97.0,147.0,66.0,151.0,337.0,,73.0,First Line,77,1398.3666666667,18,20,52,1973-02-24,RUS,RUS,74,222,1991,1,15,15
2009-2010,Alex Ovechkin,WSH,F,1.0,351.0,2.0,229.0,17.0,253.0,1.0,1.0,129.0,10.0,88.0,115.0,,1.0,First Line,72,1569.4166666667,50,37,39,1985-09-17,RUS,RUS,75,238,2004,1,1,1
2009-2010,Alex Tanguay,TBL,F,208.0,395.0,162.0,232.0,93.0,364.0,393.0,202.0,202.0,53.0,257.0,312.0,,191.0,Second Line,80,1263.0833333333,10,14,45,1979-11-21,CAN,CAN,73,194,1998,1,12,12
2009-2010,Alexander Semin,WSH,F,2.0,366.0,10.0,129.0,14.0,310.0,7.0,2.0,68.0,13.0,236.0,387.0,,6.0,First Line,73,1396.0,40,26,41,1984-03-03,RUS,RUS,74,211,2002,1,13,13
2009-2010,Alexander Steen,STL,F,164.0,171.0,41.0,77.0,230.0,226.0,90.0,130.0,338.0,173.0,103.0,339.0,,112.0,Second Line,68,1106.7833333333,24,12,41,1984-03-01,CAN,SWE,72,211,2002,1,24,24
2009-2010,Alexandre Burrows,VAN,F,28.0,107.0,239.0,9.0,70.0,169.0,158.0,28.0,204.0,150.0,153.0,210.0,,84.0,Second Line,82,1464.6,35,20,44,1981-04-11,CAN,CAN,73,197,-,-,-,-
2009-2010,Alexei Ponikarovsky,"PIT, TOR",F,10.0,102.0,134.0,218.0,4.0,139.0,86.0,73.0,143.0,62.0,336.0,169.0,,90.0,Second Line,77,1267.75,21,19,45,1980-04-09,UKR,UKR,76,225,1998,4,1,87
2009-2010,Andreas Thuresson,NSH,F,381.0,235.0,,,282.0,261.0,189.0,407.0,56.0,432.0,320.0,76.0,,389.0,Bottom 6,22,219.7,1,0,37,1987-11-18,SWE,SWE,73,206,2007,5,23,144
2009-2010,Andrei Kostitsyn,MTL,F,96.0,326.0,61.0,,224.0,258.0,80.0,54.0,362.0,117.0,110.0,153.0,,129.0,Second Line,59,943.33333333333,15,13,40,1985-02-03,BLR,BLR,72,214,2003,1,10,10
2009-2010,Andrew Brunette,MIN,F,254.0,178.0,49.0,,171.0,86.0,382.0,75.0,132.0,40.0,56.0,422.0,,146.0,Second Line,82,1396.2166666667,25,22,52,1973-08-24,CAN,CAN,73,215,1993,7,18,174
2009-2010,Andrew Cogliano,EDM,F,231.0,420.0,170.0,159.0,239.0,404.0,282.0,230.0,225.0,228.0,35.0,276.0,103.0,243.0,Bottom 6,82,1162.35,10,10,38,1987-06-14,CAN,CAN,70,179,2005,1,25,25
2009-2010,Andrew Ebbett,"ANA, CHI, MIN",F,270.0,144.0,254.0,,212.0,171.0,240.0,249.0,170.0,121.0,122.0,288.0,108.0,234.0,Bottom 6,61,774.66666666667,9,4,42,1983-01-02,CAN,CAN,69,174,-,-,-,-
2009-2010,Andrew Ladd,CHI,F,45.0,82.0,275.0,220.0,104.0,97.0,92.0,132.0,281.0,126.0,176.0,145.0,,179.0,Bottom 6,82,1122.95,17,9,39,1985-12-12,CAN,CAN,75,205,2004,1,4,4
2009-2010,Andrew Murray,CBJ,F,320.0,6.0,,221.0,389.0,3.0,167.0,258.0,422.0,410.0,69.0,84.0,,334.0,Bottom 6,46,476.51666666667,5,2,43,1981-11-06,CAN,CAN,74,210,2001,8,15,242
2009-2010,Andrew Peters,NJD,F,430.0,163.0,,,430.0,28.0,345.0,430.0,4.0,419.0,434.0,19.0,,432.0,Fringe,29,150.73333333333,0,0,45,1980-05-05,CAN,CAN,76,240,1998,2,7,34
2009-2010,Andy McDonald,STL,F,141.0,273.0,82.0,186.0,188.0,254.0,127.0,87.0,218.0,70.0,80.0,380.0,27.0,62.0,First Line,79,1432.4,24,18,48,1977-08-25,CAN,CAN,70,175,-,-,-,-
2009-2010,Antoine Vermette,CBJ,F,168.0,295.0,123.0,72.0,266.0,250.0,294.0,136.0,347.0,123.0,263.0,280.0,10.0,109.0,First Line,82,1651.8333333333,27,21,43,1982-07-20,CAN,CAN,73,197,2000,2,25,55
2009-2010,Antti Miettinen,MIN,F,170.0,182.0,117.0,125.0,296.0,77.0,153.0,200.0,167.0,127.0,345.0,267.0,,159.0,First Line,79,1425.6833333333,20,20,45,1980-07-03,FIN,FIN,72,190,2000,7,27,224
2009-2010,Anze Kopitar,LAK,F,94.0,155.0,21.0,64.0,40.0,164.0,103.0,57.0,198.0,69.0,37.0,323.0,73.0,24.0,First Line,82,1786.4166666667,34,22,38,1987-08-24,SVN,SVN,75,225,2005,1,11,11
2009-2010,Arron Asham,PHI,F,146.0,209.0,,,158.0,192.0,239.0,216.0,87.0,165.0,272.0,57.0,,349.0,Bottom 6,72,725.33333333333,10,10,47,1978-04-13,CAN,CAN,71,210,1996,3,19,71
2009-2010,Artem Anisimov,NYR,F,248.0,225.0,,,135.0,331.0,258.0,286.0,373.0,349.0,387.0,331.0,143.0,294.0,Bottom 6,82,1057.9666666667,12,7,37,1988-05-24,RUS,RUS,76,199,2006,2,24,54
2009-2010,B.J. Crombeen,STL,F,330.0,265.0,,101.0,331.0,233.0,245.0,324.0,378.0,374.0,398.0,158.0,,323.0,Bottom 6,79,1033.15,7,5,40,1985-07-10,USA,USA,74,209,2003,2,24,54
2009-2010,Ben Eager,CHI,F,191.0,141.0,,,227.0,68.0,183.0,193.0,6.0,308.0,415.0,63.0,,382.0,Fringe,60,499.71666666667,7,4,41,1984-01-22,CAN,CAN,74,226,2002,1,23,23
2009-2010,Benn Ferriero,SJS,F,313.0,113.0,,,274.0,63.0,106.0,370.0,363.0,397.0,333.0,263.0,,348.0,Bottom 6,24,267.3,2,1,38,1987-04-29,USA,USA,71,195,2006,7,13,196
2009-2010,Benoit Pouliot,"MIN, MTL",F,272.0,368.0,183.0,,288.0,313.0,317.0,102.0,310.0,320.0,406.0,239.0,186.0,254.0,Bottom 6,53,819.56666666667,17,8,38,1986-09-29,CAN,CAN,75,200,2005,1,4,4
