Season,Player,Team,Position,tot_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,pdo_rank,ozs_rank,tmt_rank,cmp_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,Specific Position,tot_history,evo_history,evd_history,ppl_history,pkl_history,team_history
2007-2008,Aaron Voros,MIN,F,,,,,,,43.0,201.0,130.0,380.0,13.0,32.0,358.0,,,Fourth Line,55,504.6,7,7,14,6.26,44.44,43.37,26,1981-07-02,CAN,CAN,74,210,2001,8,229,8469672,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'MIN']"
2007-2008,Adam Burish,CHI,F,,,,,,,368.0,359.0,363.0,301.0,81.0,78.0,223.0,,,Fourth Line,81,951.61666666667,4,4,8,5.3,34.09,42.55,24,1983-01-06,USA,USA,73,195,2002,9,282,8470063,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CHI']"
2007-2008,Adam Hall,PIT,F,,,,,,,347.0,321.0,372.0,216.0,132.0,27.0,389.0,,,Fourth Line,46,546.15,2,4,6,3.19,46.67,35.95,27,1980-08-14,USA,USA,74,212,1999,2,52,8467925,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'PIT']"
2007-2008,Adam Mair,BUF,F,,,,,,,264.0,265.0,125.0,348.0,41.0,34.0,236.0,,,Fringe,72,638.36666666667,5,12,17,6.06,50.00,49.84,28,1979-02-15,CAN,CAN,73,208,1997,4,84,8466216,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BUF']"
2007-2008,Ales Hemsky,EDM,F,,,,,,,215.0,194.0,3.0,18.0,292.0,40.0,331.0,,,First Line,74,1374.4833333333,20,51,71,16.02,51.22,49.11,24,1983-08-13,CZE,CZE,72,177,2001,1,13,8469466,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'EDM']"
2007-2008,Ales Kotalik,BUF,F,,,,,,,183.0,282.0,375.0,359.0,94.0,54.0,139.0,,,Third Line,79,1212.05,23,20,43,14.96,48.94,48.64,28,1978-12-23,CZE,CZE,73,225,1998,6,164,8467502,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BUF']"
2007-2008,Alex Frolov,LAK,F,,,,,,,38.0,123.0,12.0,285.0,372.0,33.0,119.0,,,First Line,71,1334.6833333333,23,44,67,18.32,53.61,49.41,25,1982-06-19,RUS,RUS,74,210,2000,1,20,8468500,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'LAK']"
2007-2008,Alex Kovalev,MTL,F,,,,,,,71.0,196.0,160.0,51.0,223.0,11.0,102.0,,,First Line,82,1604.3666666667,35,49,84,21.16,60.00,49.06,34,1973-02-24,RUS,RUS,74,222,1991,1,15,8458529,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'MTL']"
2007-2008,Alex Ovechkin,WSH,F,,,,,,,3.0,1.0,46.0,11.0,77.0,28.0,41.0,,,First Line,82,1894.3166666667,65,47,112,43.68,61.42,59.08,21,1985-09-17,RUS,RUS,75,238,2004,1,1,8471214,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'WSH']"
2007-2008,Alex Tanguay,CGY,F,,,,,,,163.0,217.0,33.0,294.0,337.0,25.0,357.0,,,First Line,78,1463.3833333333,18,40,58,14.68,57.45,55.29,27,1979-11-21,CAN,CAN,73,194,1998,1,12,8467338,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CGY']"
2007-2008,Alexander Radulov,NSH,F,,,,,,,20.0,69.0,16.0,268.0,373.0,23.0,18.0,,,Second Line,81,1327.75,26,32,58,18.1,56.88,55.76,21,1986-07-05,RUS,RUS,73,200,2004,1,15,8471228,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NSH']"
2007-2008,Alexander Semin,WSH,F,,,,,,,10.0,12.0,358.0,144.0,322.0,74.0,14.0,,,Second Line,63,1065.4,26,16,42,19.78,46.03,56.34,23,1984-03-03,RUS,RUS,74,211,2002,1,13,8470120,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'WSH']"
2007-2008,Alexander Steen,TOR,F,,,,,,,207.0,200.0,139.0,75.0,187.0,49.0,130.0,,,First Line,76,1374.5166666667,15,27,42,13.29,50.00,48.2,23,1984-03-01,CAN,SWE,72,211,2002,1,24,8470257,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TOR']"
2007-2008,Alexandre Burrows,VAN,F,,,,,,,298.0,215.0,134.0,69.0,181.0,35.0,377.0,,,Third Line,82,1237.8,12,19,31,11.96,53.33,49.43,26,1981-04-11,CAN,CAN,73,197,-,-,-,8470358,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'VAN']"
2007-2008,Alexei Ponikarovsky,TOR,F,,,,,,,55.0,17.0,262.0,199.0,161.0,51.0,283.0,,,Second Line,66,1050.9333333333,18,17,35,18.92,56.34,53.27,27,1980-04-09,UKR,UKR,76,225,1998,4,87,8467412,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TOR']"
2007-2008,Andre Roy,TBL,F,,,,,,,148.0,229.0,257.0,367.0,9.0,47.0,239.0,,,Fringe,63,343.85,4,3,7,3.47,47.62,49.71,32,1975-02-08,USA,USA,76,229,1994,6,151,8460639,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TBL']"
2007-2008,Andreas Karlsson,TBL,F,,,,,,,366.0,398.0,391.0,323.0,184.0,69.0,149.0,,,Fourth Line,58,560.15,2,2,4,2.74,40.00,48.45,32,1975-08-19,SWE,SWE,76,201,1993,6,148,8459571,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TBL']"
2007-2008,Andrei Kostitsyn,MTL,F,,,,,,,75.0,192.0,73.0,71.0,144.0,8.0,169.0,,,Second Line,78,1222.65,26,27,53,16.18,60.00,50.8,22,1985-02-03,BLR,BLR,72,214,2003,1,10,8470603,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'MTL']"
2007-2008,Andrew Brunette,COL,F,,,,,,,179.0,199.0,22.0,57.0,360.0,25.0,69.0,,,Second Line,82,1274.6,19,40,59,15.46,54.74,50.52,34,1973-08-24,CAN,CAN,73,215,1993,7,174,8459596,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'COL']"
2007-2008,Andrew Cogliano,EDM,F,,,,,,,87.0,216.0,76.0,29.0,362.0,23.0,70.0,,,Third Line,82,1120.2833333333,18,27,45,11.6,49.40,45.9,20,1987-06-14,CAN,CAN,70,179,2005,1,25,8471699,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'EDM']"
2007-2008,Andrew Ladd,CHI,F,,,,,,,22.0,24.0,240.0,283.0,36.0,22.0,301.0,,,Fourth Line,63,804.43333333333,14,16,30,12.91,59.65,49.09,21,1985-12-12,CAN,CAN,75,205,2004,1,4,8471217,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CHI']"
2007-2008,Andrew Murray,CBJ,F,,,,,,,73.0,198.0,368.0,222.0,98.0,52.0,369.0,,,Fourth Line,39,456.51666666667,6,4,10,4.59,48.48,51.14,25,1981-11-06,CAN,CAN,74,210,2001,8,242,8469685,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CBJ']"
2007-2008,Andy Hilbert,NYI,F,,,,,,,187.0,113.0,287.0,79.0,208.0,53.0,361.0,,,Fourth Line,70,943.35,8,8,16,9.56,51.02,49.1,26,1981-02-06,USA,USA,70,188,2000,2,37,8468517,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYI']"
2007-2008,Andy McDonald,STL,F,,,,,,,120.0,168.0,150.0,131.0,287.0,51.0,79.0,,,Second Line,82,1465.4333333333,18,34,52,17.12,50.62,50.52,30,1977-08-25,CAN,CAN,70,175,-,-,-,8468434,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'STL']"
2007-2008,Antoine Vermette,OTT,F,,,,,,,56.0,158.0,111.0,229.0,254.0,49.0,360.0,,,Second Line,81,1423.6166666667,24,29,53,18.11,49.40,49.55,25,1982-07-20,CAN,CAN,73,197,2000,2,55,8468535,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'OTT']"
2007-2008,Antti Miettinen,DAL,F,,,,,,,127.0,101.0,156.0,219.0,190.0,17.0,32.0,,,Third Line,69,965.36666666667,15,19,34,13.41,56.45,50.15,27,1980-07-03,FIN,FIN,72,190,2000,7,224,8468704,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'DAL']"
2007-2008,Anze Kopitar,LAK,F,,,,,,,160.0,279.0,161.0,8.0,271.0,53.0,180.0,,,First Line,82,1696.8,32,45,77,21.76,43.93,45.38,20,1987-08-24,SVN,SVN,75,225,2005,1,11,8471685,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'LAK']"
2007-2008,Arron Asham,NJD,F,,,,,,,220.0,293.0,359.0,233.0,95.0,69.0,61.0,,,Fringe,77,658.83333333333,6,4,10,5.83,40.63,50.88,29,1978-04-13,CAN,CAN,71,210,1996,3,71,8465025,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NJD']"
2007-2008,Ben Guite,COL,F,,,,,,,214.0,250.0,317.0,276.0,74.0,58.0,385.0,,,Fourth Line,79,1033.3,11,11,22,10.39,44.90,45.84,29,1978-07-17,CAN,CAN,73,210,1997,7,172,8466300,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'COL']"
2007-2008,Bill Guerin,NYI,F,,,,,,,94.0,111.0,230.0,318.0,299.0,41.0,306.0,,,Second Line,81,1407.9666666667,23,21,44,20.58,51.35,47.39,36,1970-11-09,USA,USA,74,220,1989,1,5,8456464,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYI']"
2007-2008,Blair Betts,NYR,F,,,,,,,403.0,298.0,356.0,186.0,80.0,61.0,268.0,,,Fourth Line,75,889.45,2,5,7,7.43,44.00,49.12,27,1980-02-16,CAN,CAN,75,210,1998,2,33,8467361,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYR']"
2007-2008,Blake Comeau,NYI,F,,,,,,,182.0,259.0,232.0,102.0,147.0,39.0,50.0,,,Fourth Line,51,595.4,8,7,15,6.46,55.56,49.42,21,1986-02-18,CAN,CAN,73,200,2004,2,47,8471260,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYI']"
2007-2008,Bobby Holik,ATL,F,,,,,,,196.0,301.0,292.0,369.0,104.0,54.0,401.0,,,Second Line,82,1309.7833333333,15,19,34,12.27,41.86,42.76,36,1971-01-01,CZE,CZE,76,230,1989,1,10,8447958,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ATL']"
2007-2008,Boyd Devereaux,TOR,F,,,,,,,259.0,283.0,174.0,261.0,166.0,69.0,204.0,,,Third Line,62,866.41666666667,7,11,18,7.11,44.07,42.86,29,1978-04-16,CAN,CAN,74,195,1996,1,6,8464960,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TOR']"
2007-2008,Boyd Gordon,WSH,F,,,,,,,343.0,218.0,308.0,143.0,250.0,49.0,373.0,,,Second Line,67,1054.1666666667,7,9,16,10.41,53.85,58.52,23,1983-10-19,CAN,CAN,72,200,2002,1,17,8470159,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'WSH']"
2007-2008,Brad Boyes,STL,F,,,,,,,2.0,98.0,286.0,88.0,289.0,20.0,160.0,,,Second Line,82,1471.4333333333,43,22,65,20.53,57.29,50.99,25,1982-04-17,CAN,CAN,72,199,2000,1,24,8468504,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'STL']"
2007-2008,Brad Isbister,VAN,F,,,,,,,188.0,294.0,366.0,107.0,297.0,58.0,351.0,,,Fourth Line,55,595.28333333333,6,5,11,5.24,43.75,46.98,30,1977-05-07,CAN,CAN,76,225,1995,3,67,8462094,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'VAN']"
2007-2008,Brad Larsen,ATL,F,,,,,,,399.0,390.0,370.0,158.0,197.0,89.0,392.0,,,Fourth Line,62,559.61666666667,1,3,4,3.01,25.71,41.73,30,1977-06-28,CAN,CAN,72,210,1997,4,87,8462082,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ATL']"
2007-2008,Brad May,ANA,F,,,,,,,355.0,370.0,406.0,304.0,130.0,35.0,115.0,,,Fringe,61,403.91666666667,3,1,4,2.78,50.00,45.54,35,1971-11-29,CAN,CAN,73,213,1990,1,14,8457261,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ANA']"
