Season,Player ID,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2023-2024,8478421,A.J. Greer,CGY,F,20.1,37.0,66.9,,,27.2,6.6,13.9,12.3,5.9,74.4,2.7,58.0,49.5,5.7,351,277,146,,,320,407,378,384,410,113,427,185,222,414,438,286,198,Fringe,59.0,521.07,6.0,6.0,12.0,6.12,38.89,46.97,L,75.0,224.0,1996-12-14,CAN,2015.0,2.0,39.0,L,26,"[None, None, None, 24, 31]","[None, None, None, 46, 33]","[None, None, None, 66, 63]","[None, None, None, 'BOS', 'CGY']"
2023-2024,8484166,Adam Fantilli,CBJ,F,53.7,31.7,30.4,10.8,,75.8,80.8,64.6,70.1,87.4,62.1,97.9,4.6,19.2,73.7,204,300,306,256.0,,107,85,156,132,56,167,10,419,355,116,438,286,198,Second Line,49.0,769.8,12.0,15.0,27.0,12.53,37.14,45.1,C,74.0,205.0,2004-10-12,CAN,2023.0,1.0,3.0,L,18,"[None, None, None, None, 51]","[None, None, None, None, 32]","[None, None, None, None, 28]","[None, None, None, None, 'CBJ']"
2023-2024,8474641,Adam Henrique,EDM,F,72.1,76.3,33.8,53.1,11.1,78.8,80.6,73.1,52.5,38.8,22.8,38.6,83.3,18.0,88.4,123,105,291,135.0,177.0,94,86,119,209,269,339,270,74,360,52,438,286,198,Second Line,82.0,1381.63,24.0,27.0,51.0,21.93,55.42,48.6,C,72.0,195.0,1990-02-06,CAN,2008.0,3.0,82.0,L,33,"[75, 76, 64, 82, 65]","[63, 54, 81, 83, 66]","[35, 30, 47, 24, 37]","['ANA', 'ANA', 'ANA', 'ANA', 'EDM']"
2023-2024,8476392,Adam Lowry,WPG,F,55.9,67.8,94.3,,93.9,2.1,34.5,75.1,32.2,42.2,90.0,6.2,59.6,71.5,59.1,194,142,26,,13.0,430,287,110,297,254,45,412,178,126,180,438,286,198,Second Line,81.0,1304.43,12.0,23.0,35.0,20.16,65.0,57.23,C,77.0,210.0,1993-03-29,USA,2011.0,3.0,67.0,L,30,"[22, 76, 50, 49, 64]","[17, 25, 44, 61, 77]","[88, 92, 88, 84, 96]","['WPG', 'WPG', 'WPG', 'WPG', 'WPG']"
2023-2024,8480008,Adam Ruzicka,ARI,F,33.3,21.9,65.8,10.5,,55.5,13.2,3.9,24.2,40.2,6.4,51.8,3.0,75.3,33.8,293,343,151,257.0,,196,380,422,332,263,411,212,426,109,291,438,286,198,Fourth Line,42.0,421.13,3.0,6.0,9.0,3.16,35.71,41.08,C,76.0,215.0,1999-05-11,SVK,2017.0,4.0,109.0,L,24,"[None, None, None, 44, 35]","[None, None, None, 33, 16]","[None, None, None, 72, 56]","[None, None, None, 'CGY', 'ARI']"
2023-2024,8477960,Adrian Kempe,LAK,F,78.3,71.0,32.6,52.4,16.7,90.6,89.5,82.0,42.9,47.0,57.5,49.5,57.8,93.6,88.6,96,128,296,137.0,166.0,42,47,80,250,233,187,222,186,29,51,438,286,198,First Line,77.0,1457.92,28.0,47.0,75.0,25.91,58.02,51.4,R,74.0,205.0,1996-09-13,SWE,2014.0,1.0,29.0,L,26,"[3, 23, 59, 85, 73]","[41, 35, 77, 74, 61]","[64, 32, 15, 53, 29]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2023-2024,8477493,Aleksander Barkov,FLA,F,97.9,93.6,98.6,98.6,96.5,54.6,74.2,85.4,93.8,74.0,43.6,52.7,93.6,94.3,95.4,10,29,7,5.0,8.0,200,114,65,28,115,248,208,29,26,21,438,286,198,First Line,73.0,1433.48,23.0,57.0,80.0,26.16,69.74,61.67,C,75.0,214.0,1995-09-02,FIN,2013.0,1.0,2.0,L,27,"[89, 98, 96, 97, 97]","[86, 97, 96, 91, 92]","[36, 94, 89, 97, 99]","['FLA', 'FLA', 'FLA', 'FLA', 'FLA']"
2023-2024,8479718,Alex Barré-Boulet,TBL,F,25.8,42.5,20.3,37.4,,54.3,32.0,30.4,8.9,33.8,18.5,76.5,2.1,64.2,66.7,326,253,350,180.0,,201,298,306,398,288,358,104,430,158,147,438,286,198,Fourth Line,36.0,402.8,6.0,3.0,9.0,6.06,35.48,46.76,C,70.0,178.0,1997-05-21,CAN,,,,L,26,"[None, 41, None, None, 28]","[None, 21, None, None, 41]","[None, 80, None, None, 20]","[None, 'TBL', None, None, 'TBL']"
2023-2024,8479337,Alex DeBrincat,DET,F,78.8,84.7,24.4,76.6,,40.4,72.4,86.3,84.2,91.6,47.0,79.0,49.3,32.9,88.8,94,68,332,68.0,,262,122,61,70,38,233,93,223,295,50,438,286,198,Second Line,82.0,1467.15,27.0,40.0,67.0,28.4,55.65,48.99,R,68.0,180.0,1997-12-18,USA,2016.0,2.0,39.0,R,25,"[14, 92, 82, 46, 84]","[57, 83, 80, 72, 90]","[40, 8, 62, 11, 32]","['CHI', 'CHI', 'CHI', 'OTT', 'DET']"
2023-2024,8480113,Alex Iafallo,WPG,F,57.3,32.6,97.3,36.0,49.0,18.3,34.9,46.1,46.1,64.8,16.2,57.8,70.1,82.4,50.0,188,296,13,184.0,102.0,359,285,237,236,155,368,186,132,78,220,438,286,198,Third Line,82.0,1255.7,11.0,16.0,27.0,17.36,59.68,52.87,L,72.0,201.0,1993-12-21,USA,,,,L,29,"[28, 43, 42, 65, 60]","[2, 2, 39, 48, 22]","[75, 89, 97, 82, 98]","['LAK', 'LAK', 'LAK', 'LAK', 'WPG']"
