Season,Player ID,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2014-2015,8474641,Adam Henrique,NJD,F,66.7,72.3,51.3,4.6,58.5,66.3,60.7,69.2,26.7,48.2,25.5,43.1,47.5,60.0,44.6,139,116,203,250.0,82.0,141,164,129,304,216,310,237,219,167,231,415,261,195,Second Line,75.0,1330.77,16.0,27.0,43.0,15.78,48.57,49.08,C,72.0,195.0,1990-02-06,CAN,2008.0,3.0,82.0,L,24,"[None, 78, 59, 86, 39]","[None, 65, 62, 71, 77]","[None, 83, 76, 77, 22]","[None, 'NJD', 'NJD', 'NJD', 'NJD']"
2014-2015,8476392,Adam Lowry,WPG,F,42.2,26.7,84.1,,,54.0,48.6,44.3,29.9,21.2,98.8,56.6,31.1,55.7,34.7,241,305,67,,,192,214,232,292,325,6,181,287,185,272,415,261,195,Third Line,80.0,1100.25,11.0,12.0,23.0,11.62,50.0,52.69,C,77.0,210.0,1993-03-29,USA,2011.0,3.0,67.0,L,21,"[None, None, None, None, 44]","[None, None, None, None, 30]","[None, None, None, None, 80]","[None, None, None, None, 'WPG']"
2014-2015,8477493,Aleksander Barkov,FLA,F,60.7,34.7,76.9,17.6,,79.8,53.3,32.3,73.0,41.0,17.6,34.5,22.7,84.6,60.2,164,272,97,216.0,,85,195,282,113,246,343,273,322,65,166,415,261,195,Second Line,71.0,1242.42,16.0,20.0,36.0,11.55,50.7,52.8,C,75.0,214.0,1995-09-02,FIN,2013.0,1.0,2.0,L,18,"[None, None, None, 41, 75]","[None, None, None, 52, 19]","[None, None, None, 63, 82]","[None, None, None, 'FLA', 'FLA']"
2014-2015,8469466,Ales Hemsky,DAL,F,54.9,81.2,18.1,4.2,,44.8,42.9,52.3,45.1,48.0,14.0,67.2,33.7,19.0,67.2,188,79,341,251.0,,230,237,199,229,217,358,137,276,337,137,415,261,195,Third Line,76.0,1036.68,11.0,21.0,32.0,10.86,47.44,50.6,R,72.0,177.0,1983-08-13,CZE,2001.0,1.0,13.0,R,31,"[56, 34, 15, 75, 54]","[56, 87, 65, 87, 80]","[19, 26, 6, 40, 21]","['EDM', 'EDM', 'EDM', 'OTT', 'DAL']"
2014-2015,8475163,Alex Chiasson,OTT,F,8.7,29.2,39.8,87.7,63.6,5.1,21.7,33.3,34.2,4.3,52.3,71.3,10.4,52.0,31.8,380,295,251,33.0,72.0,395,322,278,274,395,199,120,373,200,284,415,261,195,Fourth Line,76.0,1016.6,11.0,15.0,26.0,12.61,42.31,49.03,R,76.0,208.0,1990-10-01,CAN,2009.0,2.0,38.0,R,23,"[None, None, None, 9, 21]","[None, None, None, 39, 26]","[None, None, None, 28, 57]","[None, None, None, 'DAL', 'OTT']"
2014-2015,8476851,Alex Galchenyuk,MTL,F,69.4,69.9,22.4,63.6,,78.3,74.9,53.3,79.5,49.4,36.1,73.7,78.1,55.4,55.2,128,126,323,96.0,,91,105,195,86,211,266,110,92,186,187,415,261,195,Second Line,80.0,1314.3,20.0,26.0,46.0,18.72,57.14,50.74,C,73.0,194.0,1994-02-12,USA,2012.0,1.0,3.0,L,20,"[None, None, 74, 56, 73]","[None, None, 68, 63, 67]","[None, None, 46, 22, 19]","[None, None, 'MTL', 'MTL', 'MTL']"
2014-2015,8473986,Alex Killorn,TBL,F,42.9,35.9,76.6,14.9,48.2,51.1,58.1,60.0,74.0,28.0,41.7,72.3,54.9,60.7,36.9,238,267,98,223.0,102.0,204,175,167,109,297,243,116,188,164,263,415,261,195,Second Line,71.0,1201.75,15.0,23.0,38.0,13.64,55.84,55.07,L,73.0,205.0,1989-09-14,CAN,2007.0,3.0,77.0,L,24,"[None, None, 31, 20, 69]","[None, None, 37, 38, 32]","[None, None, 73, 58, 84]","[None, None, 'TBL', 'TBL', 'TBL']"
2014-2015,8471214,Alex Ovechkin,WSH,F,99.8,96.6,11.6,99.2,,99.8,98.1,99.0,72.0,68.2,92.0,91.1,32.5,60.2,82.7,2,15,368,3.0,,2,9,5,117,133,34,38,281,166,73,415,261,195,First Line,81.0,1646.4,53.0,28.0,81.0,42.25,51.96,53.12,L,75.0,238.0,1985-09-17,RUS,2004.0,1.0,1.0,R,28,"[98, 98, 99, 97, 98]","[99, 95, 96, 89, 98]","[89, 52, 31, 11, 10]","['WSH', 'WSH', 'WSH', 'WSH', 'WSH']"
2014-2015,8467338,Alex Tanguay,COL,F,60.0,70.4,10.1,1.9,72.3,96.1,87.2,29.2,72.8,6.3,9.2,32.5,41.0,22.7,98.1,167,124,374,257.0,55.0,17,54,295,114,387,378,281,246,322,9,415,261,195,First Line,80.0,1452.87,22.0,33.0,55.0,12.53,48.45,42.64,L,73.0,194.0,1979-11-21,CAN,1998.0,1.0,12.0,L,34,"[85, 66, 65, None, 54]","[60, 76, 82, None, 55]","[79, 30, 40, None, 3]","['CGY', 'CGY', 'CGY', None, 'COL']"
2014-2015,8470120,Alexander Semin,CAR,F,68.9,86.5,16.9,90.4,,21.9,59.0,81.7,86.0,24.8,12.8,95.2,61.0,43.6,56.1,130,57,346,26.0,,325,171,77,59,310,363,21,163,235,183,415,261,195,Second Line,57.0,907.65,6.0,13.0,19.0,8.56,46.77,50.97,R,74.0,211.0,1984-03-03,RUS,2002.0,1.0,13.0,R,30,"[93, 88, 39, 81, 67]","[72, 90, 84, 93, 74]","[50, 28, 3, 31, 32]","['WSH', 'WSH', 'CAR', 'CAR', 'CAR']"
2014-2015,8470257,Alexander Steen,STL,F,96.9,88.9,91.1,78.9,82.6,95.2,94.2,87.5,84.8,87.7,21.7,53.0,55.9,91.6,93.5,14,47,38,56.0,35.0,21,25,53,64,52,326,196,184,36,28,415,261,195,First Line,74.0,1478.57,24.0,40.0,64.0,20.09,56.04,54.74,L,72.0,211.0,1984-03-01,CAN,2002.0,1.0,24.0,L,30,"[92, 98, 78, 100, 93]","[66, 82, 86, 86, 90]","[96, 98, 89, 94, 83]","['STL', 'STL', 'STL', 'STL', 'STL']"
2014-2015,8477505,Alexander Wennberg,CBJ,F,14.0,15.4,59.0,21.1,5.6,3.4,1.7,9.6,34.9,96.6,30.6,44.6,1.4,19.5,13.0,358,352,171,207.0,185.0,402,405,376,271,15,289,231,410,335,362,415,261,195,Second Line,68.0,1062.47,4.0,16.0,20.0,7.64,33.87,45.4,C,74.0,190.0,1994-09-22,SWE,2013.0,1.0,14.0,L,19,"[None, None, None, None, 20]","[None, None, None, None, 18]","[None, None, None, None, 60]","[None, None, None, None, 'CBJ']"
2014-2015,8470358,Alexandre Burrows,VAN,F,77.6,74.9,91.8,13.0,81.5,45.8,61.9,65.8,35.4,44.3,53.0,89.9,17.1,72.5,89.4,94,105,35,228.0,37.0,226,159,143,269,232,196,43,345,115,45,415,261,195,Third Line,70.0,1083.42,18.0,15.0,33.0,15.27,45.71,50.21,R,73.0,197.0,1981-04-11,CAN,,,,L,33,"[92, 88, 90, 50, 78]","[69, 62, 82, 69, 70]","[45, 75, 93, 94, 83]","['VAN', 'VAN', 'VAN', 'VAN', 'VAN']"
2014-2015,8475314,Anders Lee,NYI,F,55.2,76.6,33.7,41.4,,51.6,96.9,99.5,44.3,11.8,87.5,84.3,54.7,94.5,24.1,187,98,276,154.0,,202,14,3,232,364,53,66,189,24,316,415,261,195,Third Line,76.0,1093.88,25.0,16.0,41.0,24.84,56.47,57.81,L,75.0,234.0,1990-07-03,USA,2009.0,6.0,152.0,L,24,"[None, None, None, 53, 57]","[None, None, None, 57, 87]","[None, None, None, 47, 28]","[None, None, None, 'NYI', 'NYI']"
