Season,Player ID,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2025-2026,8478421,A.J. Greer,FLA,F,30.4,46.2,76.8,,,34.9,31.5,40.1,44.4,3.4,90.5,43.0,54.3,36.0,12.2,310,240,104,,,290,301,267,248,427,43,254,204,285,391,444,282,193,Fourth Line,78.0,969.45,17.0,15.0,32.0,18.07,57.14,53.12,L,75.0,224.0,1996-12-14,CAN,2015.0,2.0,39.0,L,28,"[None, 24, 31, 8, 54]","[None, 46, 33, 47, 50]","[None, 66, 63, 63, 87]","[None, 'BOS', 'CGY', 'FLA', 'FLA']"
2025-2026,8482691,Aatu Räty,VAN,F,31.5,15.1,56.5,,69.4,62.2,45.3,18.0,17.1,17.1,87.6,56.8,47.5,9.2,20.3,305,378,194,,60.0,169,241,365,368,366,56,193,234,404,355,444,282,193,Fourth Line,66.0,793.4,4.0,10.0,14.0,9.01,45.65,41.93,C,74.0,204.0,2002-11-14,FIN,2021.0,2.0,52.0,L,22,"[None, None, None, 64, 11]","[None, None, None, 24, 11]","[None, None, None, 61, 50]","[None, None, None, 'VAN', 'VAN']"
2025-2026,8481726,Adam Edstrom,NYR,F,34.2,35.6,52.0,,,42.8,20.5,27.0,8.3,38.5,75.7,5.2,69.6,23.2,22.7,293,287,214,,,255,350,325,407,273,109,422,136,342,344,444,282,193,Fourth Line,35.0,331.13,3.0,2.0,5.0,4.4,50.0,47.21,C,79.0,232.0,2000-10-12,SWE,2019.0,6.0,161.0,L,24,"[None, None, None, 39, 32]","[None, None, None, 35, 36]","[None, None, None, 62, 42]","[None, None, None, 'NYR', 'NYR']"
2025-2026,8477454,Adam Erne,DAL,F,36.7,8.1,68.7,,,60.8,46.5,40.5,0.5,64.4,95.0,10.6,89.2,45.3,18.2,282,409,140,,,175,236,265,440,158,23,398,49,244,364,444,282,193,Fourth Line,45.0,450.3,6.0,2.0,8.0,6.28,51.85,49.11,L,73.0,209.0,1995-04-20,USA,2013.0,2.0,33.0,L,30,"[13, 19, None, None, 41]","[29, 1, None, None, 10]","[64, 57, None, None, 66]","['DET', 'DET', None, None, 'DAL']"
2025-2026,8484166,Adam Fantilli,CBJ,F,32.7,16.4,9.5,18.1,,78.4,88.1,79.1,70.9,93.5,70.5,93.7,43.9,82.7,68.9,300,372,403,232.0,,97,54,94,130,30,132,29,250,78,139,444,282,193,First Line,82.0,1550.0,24.0,35.0,59.0,29.91,46.85,52.91,C,74.0,205.0,2004-10-12,CAN,2023.0,1.0,3.0,L,20,"[None, None, 51, 75, 2]","[None, None, 32, 2, 40]","[None, None, 28, 6, 8]","[None, None, 'CBJ', 'CBJ', 'CBJ']"
2025-2026,8478874,Adam Gaudette,SJS,F,64.0,27.3,52.7,22.3,,92.3,78.2,38.1,5.4,22.7,38.1,45.3,86.5,18.5,3.8,161,324,211,220.0,,35,97,276,420,341,276,244,61,363,428,444,282,193,Fourth Line,66.0,757.28,17.0,8.0,25.0,14.13,43.33,46.81,R,73.0,190.0,1996-10-03,USA,2015.0,5.0,149.0,R,28,"[1, None, None, 72, 49]","[5, None, None, 27, 28]","[22, None, None, 48, 54]","['OTT', None, None, 'OTT', 'SJS']"
2025-2026,8474641,Adam Henrique,EDM,F,17.6,34.2,46.4,,35.2,23.0,21.4,36.9,29.5,19.8,27.9,22.3,17.1,59.0,17.6,367,293,239,,126.0,343,346,281,313,354,321,346,369,183,367,444,282,193,Fourth Line,65.0,860.35,3.0,12.0,15.0,11.99,34.78,47.61,C,72.0,195.0,1990-02-06,CAN,2008.0,3.0,82.0,L,35,"[64, 82, 65, 13, 7]","[81, 83, 66, 24, 21]","[47, 24, 37, 29, 69]","['ANA', 'ANA', 'EDM', 'EDM', 'EDM']"
2025-2026,8483609,Adam Klapka,CGY,F,2.0,23.6,36.7,,,21.2,8.3,11.9,31.8,0.5,98.9,23.6,44.8,4.1,8.1,436,340,282,,,351,404,392,304,440,6,340,246,427,409,444,282,193,Fourth Line,79.0,840.12,6.0,12.0,18.0,9.25,45.45,43.75,R,80.0,235.0,2000-09-14,CZE,,,,R,24,"[None, None, None, None, 4]","[None, None, None, None, 29]","[None, None, None, None, 36]","[None, None, None, None, 'CGY']"
2025-2026,8476392,Adam Lowry,WPG,F,60.6,69.8,91.7,,97.4,8.6,32.9,70.3,37.8,35.8,83.8,9.0,63.3,71.8,72.7,176,135,38,,6.0,407,296,133,277,285,73,405,164,126,122,444,282,193,Third Line,70.0,1048.0,5.0,16.0,21.0,12.53,45.0,47.93,C,77.0,210.0,1993-03-29,USA,2011.0,3.0,67.0,L,32,"[50, 49, 64, 79, 33]","[44, 61, 77, 67, 62]","[88, 84, 96, 93, 74]","['WPG', 'WPG', 'WPG', 'WPG', 'WPG']"
2025-2026,8477960,Adrian Kempe,LAK,F,75.5,55.0,27.3,44.3,,97.3,96.8,81.3,79.5,11.5,59.0,80.0,96.4,89.4,75.5,110,201,324,158.0,,13,15,84,92,391,183,90,17,48,110,444,282,193,First Line,81.0,1563.77,36.0,37.0,73.0,29.6,59.14,48.63,R,74.0,205.0,1996-09-13,SWE,2014.0,1.0,29.0,L,28,"[59, 85, 73, 81, 67]","[77, 74, 61, 69, 35]","[15, 53, 29, 47, 15]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2025-2026,8479337,Alex DeBrincat,DET,F,93.5,93.9,44.1,88.7,,69.1,88.3,90.8,81.5,82.7,20.3,58.6,72.7,14.9,84.5,30,28,249,33.0,,138,53,42,83,78,355,185,122,379,70,444,282,193,First Line,82.0,1517.02,41.0,44.0,85.0,41.34,56.19,53.3,R,68.0,180.0,1997-12-18,USA,2016.0,2.0,39.0,R,27,"[82, 46, 84, 96, 89]","[80, 72, 90, 90, 95]","[62, 11, 32, 42, 54]","['CHI', 'OTT', 'DET', 'DET', 'DET']"
2025-2026,8480113,Alex Iafallo,WPG,F,59.0,14.9,98.4,38.7,65.3,41.9,33.3,31.3,17.6,42.8,41.4,56.3,83.6,55.0,49.8,183,379,8,174.0,68.0,259,294,306,366,254,261,195,74,201,224,444,282,193,Second Line,79.0,1231.63,13.0,16.0,29.0,17.65,47.67,45.04,L,72.0,201.0,1993-12-21,USA,,,,L,31,"[42, 65, 60, 71, 45]","[39, 48, 22, 42, 5]","[97, 82, 98, 95, 96]","['LAK', 'LAK', 'WPG', 'WPG', 'WPG']"
2025-2026,8473986,Alex Killorn,ANA,F,59.5,62.2,68.0,22.7,80.3,56.3,56.8,49.3,42.6,12.4,44.6,57.9,30.2,13.5,53.6,181,169,143,219.0,39.0,195,192,226,256,387,247,188,311,385,207,444,282,193,Second Line,82.0,1369.8,15.0,18.0,33.0,18.41,49.43,52.0,L,73.0,205.0,1989-09-14,CAN,2007.0,3.0,77.0,L,35,"[70, 79, 38, 68, 60]","[57, 58, 63, 54, 68]","[58, 42, 31, 81, 68]","['TBL', 'TBL', 'ANA', 'ANA', 'ANA']"
2025-2026,8482155,Alex Laferriere,LAK,F,17.8,42.1,22.7,29.4,72.5,18.5,77.5,91.2,55.4,73.2,87.8,59.7,68.7,87.6,40.3,366,258,344,200.0,54.0,363,100,40,199,120,55,180,140,56,266,444,282,193,First Line,82.0,1501.45,21.0,23.0,44.0,27.03,54.02,51.14,R,73.0,205.0,2001-10-28,USA,2020.0,3.0,83.0,R,23,"[None, None, 6, 32, 23]","[None, None, 30, 54, 39]","[None, None, 13, 39, 21]","[None, None, 'LAK', 'LAK', 'LAK']"
2025-2026,8481618,Alex Newhook,MTL,F,44.1,41.9,13.1,9.9,26.9,84.7,82.9,45.5,59.7,49.5,53.4,80.6,94.1,25.9,34.0,249,259,387,255.0,142.0,69,76,243,180,224,208,87,27,330,294,444,282,193,Third Line,42.0,608.35,13.0,12.0,25.0,7.91,56.86,45.24,C,71.0,200.0,2001-01-28,CAN,2019.0,1.0,16.0,L,24,"[46, 22, 54, 10, 62]","[21, 20, 47, 52, 34]","[44, 37, 18, 15, 12]","['COL', 'COL', 'MTL', 'MTL', 'MTL']"
2025-2026,8471214,Alex Ovechkin,WSH,F,26.1,68.7,0.2,93.6,,90.1,93.2,86.7,78.4,27.7,65.3,100.0,89.0,72.7,65.3,329,140,444,19.0,,45,31,60,97,319,155,1,50,122,155,444,282,193,Second Line,82.0,1430.77,32.0,32.0,64.0,37.01,55.56,50.58,L,75.0,238.0,1985-09-17,RUS,2004.0,1.0,1.0,R,39,"[95, 38, 16, 79, 2]","[93, 84, 76, 68, 62]","[1, 0, 0, 0, 0]","['WSH', 'WSH', 'WSH', 'WSH', 'WSH']"
2025-2026,8482634,Alex Steeves,BOS,F,64.4,38.1,64.4,39.4,,74.8,52.0,25.9,10.1,71.2,97.1,29.1,87.4,11.9,15.5,159,276,159,172.0,,113,213,330,399,129,14,316,57,392,376,444,282,193,Fourth Line,43.0,512.9,9.0,7.0,16.0,7.2,55.56,50.12,C,72.0,199.0,1999-12-10,USA,,,,L,25,"[None, None, None, None, 64]","[None, None, None, None, 41]","[None, None, None, None, 63]","[None, None, None, None, 'BOS']"
2025-2026,8477949,Alex Tuch,BUF,F,92.6,83.3,83.3,69.1,22.3,96.8,94.1,79.5,83.6,9.2,29.5,65.5,93.5,56.5,93.0,34,75,75,88.0,151.0,15,27,92,74,401,314,154,30,194,32,444,282,193,First Line,79.0,1500.52,33.0,33.0,66.0,25.67,61.32,52.26,R,76.0,219.0,1996-05-10,USA,2014.0,1.0,18.0,R,29,"[69, 95, 89, 93, 90]","[82, 87, 87, 75, 80]","[83, 75, 85, 85, 72]","['BUF', 'BUF', 'BUF', 'BUF', 'BUF']"
2025-2026,8481532,Alex Turcotte,LAK,F,20.9,56.3,66.0,,,10.1,14.0,43.5,48.9,9.0,49.1,54.7,18.9,68.0,13.3,352,195,152,,,400,379,252,228,402,227,202,361,143,386,444,282,193,Fourth Line,62.0,671.18,3.0,11.0,14.0,10.08,42.0,56.06,C,71.0,195.0,2001-02-26,USA,2019.0,1.0,5.0,L,24,"[None, None, None, 41, 14]","[None, None, None, 41, 66]","[None, None, None, 73, 52]","[None, None, None, 'LAK', 'LAK']"
2025-2026,8482125,Alexander Holtz,VGK,F,5.9,11.7,19.6,,,36.5,30.4,48.4,25.5,19.6,45.0,63.5,66.9,73.4,21.6,419,393,358,,,283,306,230,331,355,245,163,148,119,349,444,282,193,Fourth Line,28.0,321.47,3.0,6.0,9.0,5.56,48.28,51.94,R,72.0,198.0,2002-01-23,SWE,2020.0,1.0,7.0,R,23,"[None, None, 41, 2, 5]","[None, None, 15, 13, 15]","[None, None, 20, 20, 23]","[None, None, 'NJD', 'VGK', 'VGK']"
2025-2026,8477021,Alexander Kerfoot,UTA,F,46.4,29.7,69.1,,25.9,67.6,49.3,16.0,56.1,32.7,50.5,32.4,23.0,65.5,47.3,239,313,138,,144.0,145,225,374,196,297,221,301,343,154,235,444,282,193,Fourth Line,34.0,434.73,7.0,6.0,13.0,3.99,43.75,50.07,C,71.0,185.0,1994-08-11,CAN,2012.0,5.0,150.0,L,31,"[52, 13, 13, 47, 61]","[6, 25, 8, 58, 18]","[78, 90, 63, 57, 74]","['TOR', 'TOR', 'ARI', 'UTA', 'UTA']"
