Season,Player ID,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2021-2022,8477454,Adam Erne,DET,F,15.6,23.8,66.0,13.4,,25.6,23.1,30.4,12.7,23.6,83.1,12.9,13.1,0.9,67.6,381,344,154,254.0,,336,341,314,394,341,77,393,392,447,147,450,292,197,Fourth Line,79.0,1057.28,6.0,13.0,19.0,10.91,38.57,44.16,L,73.0,209.0,1995-04-20,USA,2013.0,2.0,33.0,L,26,"[None, 29, 9, 45, 13]","[None, 17, 10, 34, 29]","[None, 71, 76, 53, 64]","[None, 'TBL', 'DET', 'DET', 'DET']"
2021-2022,8478874,Adam Gaudette,OTT,F,1.6,4.9,24.7,33.6,,10.2,18.2,43.3,29.3,41.8,30.9,77.1,16.9,10.2,35.1,444,429,340,195.0,,405,362,256,319,263,312,104,375,405,293,450,292,197,Fourth Line,58.0,656.53,5.0,9.0,14.0,8.94,41.03,41.34,R,73.0,190.0,1996-10-03,USA,2015.0,5.0,149.0,R,24,"[None, 17, 18, 2, 1]","[None, 6, 9, 11, 5]","[None, 23, 29, 27, 22]","[None, 'VAN', 'VAN', 'CHI', 'OTT']"
2021-2022,8474641,Adam Henrique,ANA,F,72.2,73.6,38.7,22.3,,80.0,86.7,79.1,69.1,51.6,17.1,50.7,57.3,40.2,98.0,126,120,277,228.0,,91,61,95,140,219,374,223,193,270,10,450,292,197,Second Line,58.0,1010.33,19.0,23.0,42.0,19.67,49.44,53.91,C,72.0,195.0,1990-02-06,CAN,2008.0,3.0,82.0,L,31,"[64, 61, 75, 76, 64]","[60, 54, 63, 54, 81]","[29, 46, 35, 30, 47]","['ANA', 'ANA', 'ANA', 'ANA', 'ANA']"
2021-2022,8476392,Adam Lowry,WPG,F,54.7,30.9,92.0,38.4,93.4,21.8,34.4,48.4,16.7,46.7,96.2,12.7,52.2,25.3,48.7,205,312,37,181.0,14.0,353,293,233,376,241,18,394,216,337,232,450,292,197,Third Line,79.0,1222.95,13.0,8.0,21.0,16.95,38.0,51.2,C,77.0,210.0,1993-03-29,USA,2011.0,3.0,67.0,L,28,"[84, 72, 22, 76, 50]","[51, 41, 17, 25, 44]","[99, 94, 88, 92, 88]","['WPG', 'WPG', 'WPG', 'WPG', 'WPG']"
2021-2022,8477960,Adrian Kempe,LAK,F,28.4,60.9,29.3,41.1,14.2,24.2,61.6,70.9,17.1,44.7,44.4,56.9,6.7,67.8,85.1,323,177,319,173.0,170.0,342,173,132,374,250,251,195,421,146,68,450,292,197,First Line,78.0,1449.53,35.0,19.0,54.0,31.52,45.35,52.21,R,74.0,205.0,1996-09-13,SWE,2014.0,1.0,29.0,L,24,"[10, 38, 3, 23, 59]","[5, 23, 41, 35, 77]","[10, 51, 64, 32, 15]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2021-2022,8477493,Aleksander Barkov,FLA,F,97.6,96.4,88.0,89.4,44.7,86.9,92.7,94.9,93.3,84.2,22.2,57.8,65.1,96.4,94.2,12,17,55,32.0,110.0,60,34,24,31,72,351,191,158,17,27,450,292,197,First Line,67.0,1360.32,39.0,49.0,88.0,29.28,62.07,57.91,C,75.0,214.0,1995-09-02,FIN,2013.0,1.0,2.0,L,25,"[91, 97, 89, 98, 96]","[87, 85, 86, 97, 96]","[87, 86, 36, 94, 89]","['FLA', 'FLA', 'FLA', 'FLA', 'FLA']"
2021-2022,8475163,Alex Chiasson,VAN,F,40.0,5.1,50.0,92.5,,41.6,22.4,12.7,8.4,20.0,49.8,58.0,63.1,39.8,15.1,271,428,226,23.0,,264,344,394,413,357,227,190,167,272,383,450,292,197,Fourth Line,67.0,778.68,13.0,9.0,22.0,12.79,55.1,46.42,R,76.0,208.0,1990-10-01,CAN,2009.0,2.0,38.0,R,30,"[23, 51, 17, 49, 49]","[10, 4, 11, 1, 13]","[47, 45, 50, 60, 41]","['WSH', 'EDM', 'EDM', 'EDM', 'VAN']"
2021-2022,8479337,Alex DeBrincat,CHI,F,82.2,78.2,33.1,24.7,,82.9,88.0,91.1,78.9,95.3,58.0,89.1,74.4,4.4,83.8,81,99,302,221.0,,78,55,41,96,22,190,50,116,431,74,450,292,197,First Line,82.0,1710.22,41.0,37.0,78.0,34.74,48.33,50.01,R,68.0,180.0,1997-12-18,USA,2016.0,2.0,39.0,R,23,"[80, 90, 14, 92, 82]","[45, 70, 57, 83, 80]","[57, 19, 40, 8, 62]","['CHI', 'CHI', 'CHI', 'CHI', 'CHI']"
2021-2022,8480029,Alex Formenton,OTT,F,17.1,44.2,18.2,16.1,50.3,34.0,58.9,61.6,24.4,42.4,48.4,38.7,83.1,12.9,12.2,374,252,369,246.0,99.0,298,185,174,341,260,233,277,77,393,396,450,292,197,Third Line,79.0,1220.68,18.0,14.0,32.0,21.71,39.29,46.91,L,75.0,195.0,1999-09-13,CAN,2017.0,2.0,47.0,L,21,"[None, None, None, 48, 6]","[None, None, None, 27, 56]","[None, None, None, 51, 7]","[None, None, None, 'OTT', 'OTT']"
2021-2022,8476851,Alex Galchenyuk,ARI,F,0.2,20.4,1.6,51.4,,12.0,26.2,53.6,66.0,4.2,59.8,58.9,39.6,48.7,17.3,450,359,444,143.0,,397,328,210,154,427,182,186,273,232,373,450,292,197,Fourth Line,60.0,789.2,6.0,15.0,21.0,9.52,43.48,39.22,C,73.0,194.0,1994-02-12,USA,2012.0,1.0,3.0,L,27,"[8, 12, 4, 1, 0]","[48, 28, 16, 41, 17]","[1, 2, 5, 1, 0]","['MTL', 'ARI', 'MIN', 'TOR', 'ARI']"
2021-2022,8480113,Alex Iafallo,LAK,F,38.0,9.6,93.8,67.1,15.2,14.4,50.0,59.6,59.3,64.2,21.1,34.7,27.3,77.6,96.7,280,408,29,97.0,168.0,386,225,183,184,162,356,295,328,102,16,450,292,197,First Line,79.0,1461.67,17.0,20.0,37.0,24.09,52.0,53.77,L,72.0,201.0,1993-12-21,USA,,,,L,27,"[22, 16, 28, 43, 42]","[21, 1, 2, 2, 39]","[63, 58, 75, 89, 97]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2021-2022,8473986,Alex Killorn,TBL,F,84.2,60.4,81.6,79.8,89.3,87.1,70.4,46.4,62.2,12.4,40.2,46.9,88.2,83.6,69.8,72,179,84,60.0,22.0,59,134,242,171,391,270,240,54,75,137,450,292,197,First Line,82.0,1532.73,25.0,34.0,59.0,23.76,53.93,49.19,L,73.0,205.0,1989-09-14,CAN,2007.0,3.0,77.0,L,31,"[70, 61, 94, 82, 70]","[60, 63, 58, 69, 57]","[90, 89, 90, 88, 58]","['TBL', 'TBL', 'TBL', 'TBL', 'TBL']"
2021-2022,8481618,Alex Newhook,COL,F,43.3,18.9,46.0,8.6,,69.6,52.2,37.3,66.9,73.3,26.0,18.9,96.0,62.4,26.4,256,366,244,268.0,,138,215,283,150,121,334,366,19,170,332,450,292,197,Third Line,71.0,963.07,13.0,20.0,33.0,10.89,60.71,49.79,C,71.0,200.0,2001-01-28,CAN,2019.0,1.0,16.0,L,20,"[None, None, None, None, 46]","[None, None, None, None, 21]","[None, None, None, None, 44]","[None, None, None, None, 'COL']"
2021-2022,8471214,Alex Ovechkin,WSH,F,96.0,95.1,0.4,94.2,,99.6,99.8,98.7,76.4,72.7,83.3,98.0,88.7,66.0,71.6,19,23,449,18.0,,3,2,7,107,124,76,10,52,154,129,450,292,197,First Line,77.0,1584.03,50.0,40.0,90.0,39.48,55.08,49.19,L,75.0,238.0,1985-09-17,RUS,2004.0,1.0,1.0,R,35,"[97, 95, 98, 91, 95]","[99, 95, 96, 90, 93]","[0, 0, 0, 0, 1]","['WSH', 'WSH', 'WSH', 'WSH', 'WSH']"
2021-2022,8477949,Alex Tuch,BUF,F,73.6,80.0,89.1,75.0,76.1,9.1,63.6,90.9,76.2,71.1,34.4,80.2,29.1,54.9,60.4,120,91,50,74.0,48.0,410,164,42,108,131,296,90,320,204,179,450,292,197,First Line,50.0,920.42,12.0,26.0,38.0,16.57,50.62,51.41,R,76.0,219.0,1996-05-10,USA,2014.0,1.0,18.0,R,25,"[32, 81, 59, 83, 69]","[60, 78, 40, 88, 82]","[71, 82, 84, 92, 83]","['VGK', 'VGK', 'VGK', 'VGK', 'BUF']"
2021-2022,8482222,Alexander Barabanov,SJS,F,13.3,45.3,20.4,16.8,,19.1,10.9,29.6,72.2,68.2,33.6,33.6,80.0,65.6,88.4,391,247,359,244.0,,365,394,318,126,144,300,300,91,156,53,450,292,197,Second Line,70.0,1202.65,10.0,29.0,39.0,12.03,53.49,45.7,L,70.0,195.0,1994-06-17,RUS,,,,L,27,"[None, None, None, 28, 13]","[None, None, None, 55, 41]","[None, None, None, 39, 14]","[None, None, None, 'SJS', 'SJS']"
2021-2022,8477021,Alexander Kerfoot,TOR,F,31.1,6.0,74.9,,38.6,46.0,42.0,40.0,85.8,62.2,59.3,42.2,72.4,88.7,11.8,311,424,114,,122.0,244,260,271,65,171,184,261,125,52,398,450,292,197,Third Line,82.0,1247.6,13.0,38.0,51.0,12.74,55.75,52.06,C,71.0,185.0,1994-08-11,CAN,2012.0,5.0,150.0,L,27,"[72, 29, 16, 22, 52]","[22, 17, 32, 3, 6]","[36, 62, 57, 70, 78]","['COL', 'COL', 'TOR', 'TOR', 'TOR']"
2021-2022,8471228,Alexander Radulov,DAL,F,12.9,79.1,60.9,32.2,,0.7,12.2,65.8,47.1,8.2,26.2,90.2,45.8,62.9,45.3,393,95,177,199.0,,448,388,155,239,410,333,45,245,168,247,450,292,197,Third Line,71.0,1000.87,4.0,18.0,22.0,14.07,43.1,51.96,R,73.0,200.0,1986-07-05,RUS,2004.0,1.0,15.0,L,35,"[41, 70, 32, None, 7]","[78, 80, 80, None, 73]","[53, 61, 62, None, 54]","['DAL', 'DAL', 'DAL', None, 'DAL']"
2021-2022,8477505,Alexander Wennberg,SEA,F,67.1,35.8,83.6,14.4,30.5,77.3,39.8,5.6,51.3,64.7,20.2,45.1,35.8,69.6,51.3,149,290,75,251.0,138.0,103,270,426,220,160,360,248,290,138,220,450,292,197,Second Line,80.0,1428.15,11.0,26.0,37.0,9.14,43.96,46.54,C,74.0,190.0,1994-09-22,SWE,2013.0,1.0,14.0,L,26,"[72, 19, 68, 77, 56]","[63, 47, 55, 47, 19]","[86, 51, 79, 59, 88]","['CBJ', 'CBJ', 'CBJ', 'FLA', 'SEA']"
2021-2022,8480074,Alexandre Texier,CBJ,F,36.9,26.7,39.8,,10.7,71.6,54.9,25.3,57.8,31.8,16.9,17.6,50.9,20.4,44.7,285,331,272,,177.0,129,203,337,191,304,375,372,222,359,250,450,292,197,Third Line,36.0,525.87,11.0,9.0,20.0,8.2,43.48,43.5,L,73.0,196.0,1999-09-13,FRA,2017.0,2.0,45.0,L,21,"[None, None, 57, 16, 48]","[None, None, 30, 22, 32]","[None, None, 66, 39, 28]","[None, None, 'CBJ', 'CBJ', 'CBJ']"
2021-2022,8480281,Alexey Toropchenko,STL,F,11.8,36.0,47.8,,,3.6,11.6,66.0,0.2,82.0,95.1,3.3,0.4,10.7,6.7,398,289,236,,,435,391,154,449,82,23,436,449,403,421,450,292,197,Fourth Line,28.0,300.22,2.0,0.0,2.0,4.49,27.27,46.96,R,78.0,225.0,1999-06-25,RUS,2017.0,4.0,113.0,L,22,"[None, None, None, None, 17]","[None, None, None, None, 34]","[None, None, None, None, 47]","[None, None, None, None, 'STL']"
2021-2022,8482109,Alexis Lafrenière,NYR,F,68.7,38.4,27.6,12.0,,94.9,86.4,34.9,28.7,28.2,57.3,63.3,69.6,47.1,66.9,142,278,327,258.0,,24,62,294,322,320,193,166,138,239,150,450,292,197,Third Line,79.0,1105.3,19.0,12.0,31.0,12.15,50.65,48.6,L,74.0,191.0,2001-10-11,CAN,2020.0,1.0,1.0,L,19,"[None, None, None, 63, 69]","[None, None, None, 55, 26]","[None, None, None, 25, 32]","[None, None, None, 'NYR', 'NYR']"
2021-2022,8481656,Aliaksei Protas,WSH,F,42.0,42.9,76.0,19.2,,28.4,21.9,39.1,50.0,46.2,25.1,88.4,62.2,63.1,18.7,262,258,109,237.0,,323,346,275,226,243,338,53,171,167,367,450,292,197,Fourth Line,33.0,390.5,3.0,6.0,9.0,4.49,55.17,53.8,L,78.0,250.0,2001-01-06,BLR,2019.0,3.0,91.0,L,20,"[None, None, None, None, 45]","[None, None, None, None, 43]","[None, None, None, None, 74]","[None, None, None, None, 'WSH']"
2021-2022,8478075,Anders Bjork,BUF,F,53.3,9.8,90.9,,,65.3,31.3,9.3,16.9,38.0,27.3,30.9,12.9,24.7,25.1,211,407,42,,,157,307,409,375,280,328,312,393,340,338,450,292,197,Fourth Line,58.0,698.13,5.0,3.0,8.0,4.79,34.78,39.26,L,72.0,190.0,1996-08-05,USA,2014.0,5.0,146.0,L,25,"[37, None, 65, 57, 43]","[32, None, 23, 27, 3]","[60, None, 92, 90, 84]","['BOS', None, 'BOS', 'BUF', 'BUF']"
