Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2016-2017,Aaron Ekblad,FLA,D,44.0,165.0,48.0,12.0,157.0,58.0,6.0,24.0,136.0,24.0,154.0,112.0,,39.0,Second Pair,68,1459.2833333333,10,4,20,1996-02-07,CAN,CAN,76,215,2014,1,1,1,8477932.0,https://assets.nhle.com/mugs/nhl/20162017/FLA/8477932.png
2016-2017,Adam Clendening,NYR,D,61.0,105.0,102.0,,53.0,43.0,37.0,122.0,120.0,3.0,153.0,161.0,,123.0,Third Pair,31,490.1,2,2,23,1992-10-26,USA,USA,72,194,2011,2,6,36,8476431.0,https://assets.nhle.com/mugs/nhl/20162017/NYR/8476431.png
2016-2017,Adam Larsson,EDM,D,177.0,54.0,,55.0,131.0,87.0,185.0,144.0,192.0,221.0,205.0,26.0,,98.0,Second Pair,79,1591.85,4,3,23,1992-11-12,SWE,SWE,75,209,2011,1,4,4,8476457.0,https://assets.nhle.com/mugs/nhl/20162017/EDM/8476457.png
2016-2017,Adam McQuaid,BOS,D,192.0,27.0,,7.0,77.0,51.0,203.0,186.0,215.0,60.0,157.0,32.0,,165.0,Second Pair,77,1405.0,2,4,29,1986-10-12,CAN,CAN,76,210,2005,2,25,55,8471717.0,https://assets.nhle.com/mugs/nhl/20162017/BOS/8471717.png
2016-2017,Adam Pelech,NYI,D,212.0,171.0,,2.0,217.0,209.0,174.0,49.0,214.0,146.0,4.0,63.0,,135.0,Third Pair,44,740.7,3,1,22,1994-08-16,CAN,CAN,75,210,2012,3,4,65,8476917.0,https://assets.nhle.com/mugs/nhl/20162017/NYI/8476917.png
2016-2017,Alec Martinez,LAK,D,54.0,45.0,13.0,9.0,12.0,79.0,111.0,60.0,100.0,69.0,104.0,73.0,,31.0,Second Pair,82,1774.5833333333,9,13,29,1987-07-26,USA,USA,73,210,2007,4,4,95,8474166.0,https://assets.nhle.com/mugs/nhl/20162017/LAK/8474166.png
2016-2017,Alex Biega,VAN,D,181.0,197.0,,,187.0,195.0,59.0,216.0,204.0,82.0,193.0,8.0,,216.0,Third Pair,36,474.06666666667,0,1,28,1988-04-04,CAN,CAN,70,195,2006,5,24,147,8473415.0,https://assets.nhle.com/mugs/nhl/20162017/VAN/8473415.png
2016-2017,Alex Goligoski,ARI,D,68.0,220.0,98.0,121.0,52.0,220.0,129.0,102.0,54.0,193.0,82.0,108.0,,56.0,First Pair,82,1913.0,6,14,31,1985-07-30,USA,USA,71,173,2004,2,31,61,8471274.0,https://assets.nhle.com/mugs/nhl/20162017/ARI/8471274.png
2016-2017,Alex Petrovic,FLA,D,130.0,101.0,,72.0,134.0,110.0,162.0,179.0,46.0,218.0,199.0,22.0,,164.0,Second Pair,49,889.35,1,5,24,1992-03-03,CAN,CAN,76,220,2010,2,6,36,,
2016-2017,Alex Pietrangelo,STL,D,28.0,22.0,69.0,49.0,87.0,105.0,40.0,42.0,24.0,178.0,39.0,212.0,,10.0,First Pair,80,2022.55,14,17,26,1990-01-18,CAN,CAN,75,215,2008,1,4,4,8474565.0,https://assets.nhle.com/mugs/nhl/20162017/STL/8474565.png
2016-2017,Alexander Edler,VAN,D,140.0,159.0,80.0,83.0,164.0,183.0,53.0,124.0,171.0,209.0,179.0,111.0,,37.0,First Pair,68,1653.3333333333,6,7,30,1986-04-21,SWE,SWE,76,210,2004,3,26,91,8471303.0,https://assets.nhle.com/mugs/nhl/20162017/VAN/8471303.png
2016-2017,Alexei Emelin,MTL,D,201.0,136.0,,132.0,123.0,47.0,178.0,192.0,212.0,199.0,172.0,9.0,,155.0,Second Pair,76,1620.45,2,3,30,1986-04-25,RUS,RUS,74,218,2004,3,19,84,8471296.0,https://assets.nhle.com/mugs/nhl/20162017/MTL/8471296.png
2016-2017,Alexey Marchenko,DET,D,196.0,117.0,,77.0,152.0,103.0,186.0,154.0,198.0,111.0,48.0,186.0,,177.0,Third Pair,41,695.0,1,1,24,1992-01-02,RUS,RUS,75,210,2011,7,24,205,8476289.0,https://assets.nhle.com/mugs/nhl/20162017/DET/8476289.png
2016-2017,Alexey Marchenko,TOR,D,196.0,117.0,,77.0,152.0,103.0,186.0,154.0,198.0,111.0,48.0,186.0,,177.0,Third Pair,41,695.0,1,1,24,1992-01-02,RUS,RUS,75,210,2011,7,24,205,8476289.0,https://assets.nhle.com/mugs/nhl/20162017/TOR/8476289.png
2016-2017,Andrei Markov,MTL,D,19.0,140.0,44.0,124.0,37.0,63.0,116.0,80.0,3.0,112.0,67.0,192.0,,41.0,Second Pair,62,1353.8333333333,6,21,37,1978-12-20,RUS,RUS,72,200,1998,6,17,162,8467496.0,https://assets.nhle.com/mugs/nhl/20162017/MTL/8467496.png
2016-2017,Andrej Sekera,EDM,D,73.0,103.0,23.0,75.0,56.0,140.0,136.0,81.0,69.0,145.0,78.0,184.0,,44.0,Second Pair,80,1718.6333333333,8,13,30,1986-06-08,SVK,SVK,72,200,2004,3,6,71,8471284.0,https://assets.nhle.com/mugs/nhl/20162017/EDM/8471284.png
2016-2017,Andrej Sustr,TBL,D,152.0,157.0,,69.0,145.0,97.0,147.0,112.0,122.0,217.0,201.0,193.0,,174.0,Third Pair,80,1407.1166666667,3,5,25,1990-11-29,CZE,CZE,79,217,-,-,-,-,8477205.0,https://assets.nhle.com/mugs/nhl/20162017/TBL/8477205.png
2016-2017,Andrew MacDonald,PHI,D,167.0,30.0,,97.0,161.0,93.0,205.0,161.0,39.0,98.0,44.0,203.0,,93.0,Second Pair,73,1467.9,2,12,29,1986-09-07,CAN,CAN,73,204,2006,6,7,160,8473584.0,https://assets.nhle.com/mugs/nhl/20162017/PHI/8473584.png
2016-2017,Andy Greene,NJD,D,213.0,44.0,45.0,39.0,208.0,49.0,177.0,195.0,186.0,223.0,41.0,183.0,,105.0,Second Pair,66,1448.3,4,6,33,1982-10-30,USA,USA,71,190,-,-,-,-,8472382.0,https://assets.nhle.com/mugs/nhl/20162017/NJD/8472382.png
2016-2017,Anthony Bitetto,NSH,D,173.0,124.0,,,204.0,201.0,188.0,185.0,38.0,14.0,217.0,14.0,,200.0,Fringe,29,342.3,0,3,26,1990-07-15,USA,USA,73,222,2010,6,18,168,8475868.0,https://assets.nhle.com/mugs/nhl/20162017/NSH/8475868.png
2016-2017,Anthony DeAngelo,ARI,D,90.0,221.0,35.0,,149.0,223.0,69.0,18.0,173.0,56.0,122.0,143.0,,74.0,Third Pair,39,666.66666666667,5,4,20,1995-10-24,USA,USA,71,180,2014,1,19,19,,
2016-2017,Anton Stralman,TBL,D,57.0,51.0,87.0,107.0,42.0,28.0,50.0,50.0,117.0,80.0,46.0,119.0,,69.0,First Pair,73,1671.7333333333,5,8,30,1986-08-01,SWE,SWE,71,193,2005,7,22,216,8471873.0,https://assets.nhle.com/mugs/nhl/20162017/TBL/8471873.png
2016-2017,Ben Chiarot,WPG,D,174.0,72.0,,73.0,156.0,120.0,149.0,172.0,182.0,106.0,162.0,58.0,,159.0,Third Pair,59,903.95,2,4,25,1991-05-09,CAN,CAN,75,232,2009,4,29,120,8475279.0,https://assets.nhle.com/mugs/nhl/20162017/WPG/8475279.png
2016-2017,Ben Hutton,VAN,D,163.0,151.0,85.0,,172.0,186.0,98.0,173.0,123.0,57.0,54.0,188.0,,80.0,Second Pair,71,1455.15,5,6,23,1993-04-20,CAN,CAN,75,201,2012,5,26,147,8477018.0,https://assets.nhle.com/mugs/nhl/20162017/VAN/8477018.png
2016-2017,Ben Lovejoy,NJD,D,207.0,37.0,,34.0,180.0,70.0,134.0,157.0,220.0,222.0,148.0,83.0,,143.0,Second Pair,82,1703.4833333333,1,4,32,1984-02-20,USA,USA,73,205,-,-,-,-,8473933.0,https://assets.nhle.com/mugs/nhl/20162017/NJD/8473933.png
2016-2017,Brady Skjei,NYR,D,18.0,196.0,105.0,,93.0,117.0,48.0,38.0,13.0,12.0,129.0,43.0,,76.0,Third Pair,80,1397.0166666667,5,13,22,1994-03-26,USA,USA,75,210,2012,1,28,28,8476869.0,https://assets.nhle.com/mugs/nhl/20162017/NYR/8476869.png
2016-2017,Brandon Carlo,BOS,D,114.0,120.0,,23.0,24.0,107.0,179.0,79.0,169.0,188.0,213.0,145.0,,144.0,Second Pair,82,1706.9,6,4,19,1996-11-26,USA,USA,78,218,2015,2,7,37,8478443.0,https://assets.nhle.com/mugs/nhl/20162017/BOS/8478443.png
2016-2017,Brandon Davidson,EDM,D,162.0,26.0,,142.0,141.0,50.0,92.0,190.0,166.0,162.0,186.0,91.0,,139.0,Third Pair,38,597.35,0,2,25,1991-08-21,CAN,CAN,74,204,2010,6,12,162,8475869.0,https://assets.nhle.com/mugs/nhl/20162017/EDM/8475869.png
2016-2017,Brandon Davidson,MTL,D,162.0,26.0,,142.0,141.0,50.0,92.0,190.0,166.0,162.0,186.0,91.0,,139.0,Third Pair,38,597.35,0,2,25,1991-08-21,CAN,CAN,74,204,2010,6,12,162,8475869.0,https://assets.nhle.com/mugs/nhl/20162017/MTL/8475869.png
2016-2017,Brandon Manning,PHI,D,146.0,154.0,,37.0,135.0,124.0,79.0,180.0,108.0,86.0,40.0,54.0,,169.0,Second Pair,65,1173.65,3,4,26,1990-06-04,CAN,CAN,73,205,-,-,-,-,8475430.0,https://assets.nhle.com/mugs/nhl/20162017/PHI/8475430.png
2016-2017,Brandon Montour,ANA,D,49.0,219.0,40.0,,20.0,177.0,39.0,73.0,155.0,87.0,8.0,153.0,,117.0,Third Pair,27,469.28333333333,2,2,22,1994-04-11,CAN,CAN,72,194,2014,2,25,55,8477986.0,https://assets.nhle.com/mugs/nhl/20162017/ANA/8477986.png
2016-2017,Brayden McNabb,LAK,D,77.0,48.0,,,3.0,4.0,119.0,116.0,197.0,22.0,174.0,16.0,,195.0,Third Pair,49,738.2,2,0,25,1991-01-21,CAN,CAN,76,215,2009,3,5,66,8475188.0,https://assets.nhle.com/mugs/nhl/20162017/LAK/8475188.png
2016-2017,Braydon Coburn,TBL,D,123.0,145.0,,25.0,136.0,56.0,65.0,103.0,159.0,194.0,178.0,80.0,,182.0,Third Pair,80,1338.9166666667,5,4,31,1985-02-27,CAN,CAN,77,224,2003,1,8,8,8470601.0,https://assets.nhle.com/mugs/nhl/20162017/TBL/8470601.png
