Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2013-2014,Andrej Meszaros,BOS,D,27.0,186.0,97.0,164.0,206.0,193.0,34.0,5.0,3.0,30.0,171.0,113.0,,72.0,Third Pair,52,924.86666666667,7,7,27,1985-10-13,SVK,SVK,74,223,2004,1,23,23,8471236,https://assets.nhle.com/mugs/nhl/20132014/BOS/8471236.png
2013-2014,Andrej Meszaros,PHI,D,27.0,186.0,97.0,164.0,206.0,193.0,34.0,5.0,3.0,30.0,171.0,113.0,,72.0,Third Pair,52,924.86666666667,7,7,27,1985-10-13,SVK,SVK,74,223,2004,1,23,23,8471236,https://assets.nhle.com/mugs/nhl/20132014/PHI/8471236.png
2013-2014,Andrej Sekera,CAR,D,56.0,154.0,51.0,69.0,43.0,201.0,117.0,42.0,53.0,84.0,50.0,192.0,,37.0,First Pair,74,1752.2,11,16,27,1986-06-08,SVK,SVK,72,200,2004,3,6,71,8471284,https://assets.nhle.com/mugs/nhl/20132014/CAR/8471284.png
2013-2014,Andrej Sustr,TBL,D,205.0,192.0,,86.0,184.0,117.0,137.0,170.0,225.0,190.0,201.0,190.0,,214.0,Third Pair,43,679.11666666667,1,0,22,1990-11-29,CZE,CZE,79,217,-,-,-,-,8477205,https://assets.nhle.com/mugs/nhl/20132014/TBL/8477205.png
2013-2014,Andrew Ference,EDM,D,140.0,210.0,,119.0,155.0,188.0,119.0,113.0,122.0,129.0,134.0,86.0,,121.0,Second Pair,71,1495.3,3,4,34,1979-03-17,CAN,CAN,71,182,1997,8,18,208,8466333,https://assets.nhle.com/mugs/nhl/20132014/EDM/8466333.png
2013-2014,Andrew MacDonald,NYI,D,202.0,74.0,85.0,128.0,107.0,199.0,218.0,175.0,214.0,107.0,101.0,194.0,,44.0,First Pair,82,2019.5,4,10,26,1986-09-07,CAN,CAN,73,204,2006,6,7,160,8473584,https://assets.nhle.com/mugs/nhl/20132014/NYI/8473584.png
2013-2014,Andrew MacDonald,PHI,D,202.0,74.0,85.0,128.0,107.0,199.0,218.0,175.0,214.0,107.0,101.0,194.0,,44.0,First Pair,82,2019.5,4,10,26,1986-09-07,CAN,CAN,73,204,2006,6,7,160,8473584,https://assets.nhle.com/mugs/nhl/20132014/PHI/8473584.png
2013-2014,Andy Greene,NJD,D,159.0,4.0,90.0,20.0,132.0,2.0,123.0,144.0,176.0,175.0,51.0,164.0,,63.0,First Pair,82,2015.4166666667,8,8,30,1982-10-30,USA,USA,71,190,-,-,-,-,8472382,https://assets.nhle.com/mugs/nhl/20132014/NJD/8472382.png
2013-2014,Anton Belov,EDM,D,212.0,216.0,106.0,,157.0,202.0,207.0,189.0,217.0,158.0,170.0,63.0,,205.0,Third Pair,57,951.0,1,2,27,1986-07-29,RUS,RUS,76,218,-,-,-,-,8477289,https://assets.nhle.com/mugs/nhl/20132014/EDM/8477289.png
2013-2014,Anton Stralman,NYR,D,46.0,124.0,,14.0,4.0,36.0,93.0,112.0,144.0,46.0,86.0,130.0,,192.0,Second Pair,81,1572.2833333333,1,4,27,1986-08-01,SWE,SWE,71,193,2005,7,22,216,8471873,https://assets.nhle.com/mugs/nhl/20132014/NYR/8471873.png
2013-2014,Anton Volchenkov,NJD,D,115.0,9.0,,19.0,128.0,6.0,97.0,191.0,78.0,135.0,126.0,34.0,,182.0,Third Pair,56,939.86666666667,0,6,31,1982-02-25,RUS,RUS,73,220,2000,1,21,21,8468501,https://assets.nhle.com/mugs/nhl/20132014/NJD/8468501.png
2013-2014,Barret Jackman,STL,D,145.0,19.0,,10.0,149.0,44.0,148.0,134.0,116.0,141.0,156.0,117.0,,137.0,Third Pair,79,1416.25,3,5,32,1981-03-05,CAN,CAN,72,203,1999,1,17,17,8467890,https://assets.nhle.com/mugs/nhl/20132014/STL/8467890.png
2013-2014,Ben Lovejoy,ANA,D,59.0,41.0,,61.0,66.0,81.0,41.0,97.0,104.0,95.0,139.0,28.0,,98.0,Second Pair,78,1512.9666666667,5,8,29,1984-02-20,USA,USA,73,205,-,-,-,-,8473933,https://assets.nhle.com/mugs/nhl/20132014/ANA/8473933.png
2013-2014,Brad Stuart,SJS,D,120.0,64.0,,63.0,29.0,88.0,159.0,169.0,143.0,192.0,34.0,76.0,,142.0,Second Pair,61,1168.9,3,4,33,1979-11-06,CAN,CAN,74,215,1998,1,3,3,8467331,https://assets.nhle.com/mugs/nhl/20132014/SJS/8467331.png
2013-2014,Braydon Coburn,PHI,D,124.0,171.0,,54.0,147.0,123.0,101.0,95.0,98.0,131.0,175.0,95.0,,122.0,First Pair,82,1840.3833333333,5,5,28,1985-02-27,CAN,CAN,77,224,2003,1,8,8,8470601,https://assets.nhle.com/mugs/nhl/20132014/PHI/8470601.png
2013-2014,Brendan Smith,DET,D,141.0,102.0,,115.0,164.0,17.0,125.0,135.0,110.0,51.0,97.0,174.0,,162.0,Second Pair,71,1305.5833333333,5,7,24,1989-02-08,CAN,CAN,74,200,2007,1,27,27,8474090,https://assets.nhle.com/mugs/nhl/20132014/DET/8474090.png
2013-2014,Brenden Dillon,DAL,D,96.0,165.0,,156.0,64.0,151.0,98.0,80.0,138.0,200.0,133.0,50.0,,116.0,Second Pair,80,1687.4666666667,6,5,22,1990-11-13,CAN,CAN,76,224,-,-,-,-,8475455,https://assets.nhle.com/mugs/nhl/20132014/DAL/8475455.png
2013-2014,Brent Burns,SJS,D,1.0,175.0,7.0,,3.0,70.0,1.0,1.0,1.0,53.0,77.0,35.0,,6.0,Third Pair,69,1160.0833333333,22,11,28,1985-03-09,CAN,CAN,77,230,2003,1,20,20,8470613,https://assets.nhle.com/mugs/nhl/20132014/SJS/8470613.png
2013-2014,Brent Seabrook,CHI,D,17.0,44.0,59.0,79.0,7.0,64.0,83.0,49.0,28.0,20.0,89.0,58.0,,28.0,First Pair,82,1825.6666666667,7,16,28,1985-04-20,CAN,CAN,75,220,2003,1,14,14,8470607,https://assets.nhle.com/mugs/nhl/20132014/CHI/8470607.png
2013-2014,Brett Bellemore,CAR,D,177.0,144.0,,22.0,129.0,163.0,180.0,145.0,186.0,210.0,68.0,18.0,,201.0,Third Pair,64,1118.2166666667,2,2,25,1988-06-25,CAN,CAN,76,225,2007,6,11,162,8474135,https://assets.nhle.com/mugs/nhl/20132014/CAR/8474135.png
2013-2014,Brian Campbell,FLA,D,149.0,109.0,77.0,74.0,84.0,69.0,198.0,108.0,155.0,105.0,33.0,223.0,,45.0,First Pair,82,2210.5833333333,7,17,34,1979-05-23,CAN,CAN,70,192,1997,6,22,156,8466285,https://assets.nhle.com/mugs/nhl/20132014/FLA/8466285.png
2013-2014,Brian Lashoff,DET,D,217.0,143.0,,40.0,211.0,97.0,206.0,207.0,168.0,12.0,198.0,125.0,,218.0,Third Pair,75,1082.4666666667,1,2,23,1990-07-16,USA,USA,75,215,-,-,-,-,8474873,https://assets.nhle.com/mugs/nhl/20132014/DET/8474873.png
2013-2014,Brian Strait,NYI,D,190.0,179.0,,78.0,179.0,225.0,176.0,91.0,215.0,79.0,15.0,94.0,,152.0,Third Pair,47,843.85,3,3,25,1988-01-04,USA,USA,73,188,2006,3,2,65,8473565,https://assets.nhle.com/mugs/nhl/20132014/NYI/8473565.png
2013-2014,Brooks Orpik,PIT,D,208.0,52.0,,106.0,153.0,114.0,219.0,194.0,205.0,167.0,94.0,24.0,,140.0,Second Pair,72,1526.2166666667,2,3,32,1980-09-26,USA,USA,75,217,2000,1,18,18,8468498,https://assets.nhle.com/mugs/nhl/20132014/PIT/8468498.png
2013-2014,Bryan Allen,ANA,D,176.0,138.0,,52.0,53.0,146.0,175.0,221.0,212.0,123.0,221.0,68.0,,163.0,Third Pair,68,1193.4166666667,0,0,33,1980-08-21,CAN,CAN,77,223,1998,1,4,4,8467332,https://assets.nhle.com/mugs/nhl/20132014/ANA/8467332.png
2013-2014,Bryce Salvador,NJD,D,200.0,70.0,,41.0,171.0,22.0,213.0,198.0,157.0,91.0,137.0,148.0,,208.0,Second Pair,40,811.75,1,3,37,1976-02-11,CAN,CAN,75,215,1994,6,8,138,8460626,https://assets.nhle.com/mugs/nhl/20132014/NJD/8460626.png
2013-2014,Calvin de Haan,NYI,D,58.0,57.0,43.0,173.0,42.0,161.0,134.0,125.0,40.0,219.0,93.0,52.0,,69.0,Second Pair,51,1072.2333333333,3,7,22,1991-05-09,CAN,CAN,73,195,2009,1,12,12,8475177,https://assets.nhle.com/mugs/nhl/20132014/NYI/8475177.png
2013-2014,Cam Fowler,ANA,D,172.0,137.0,20.0,169.0,103.0,104.0,196.0,203.0,161.0,78.0,48.0,204.0,,56.0,First Pair,70,1670.4,6,12,21,1991-12-05,CAN,USA,74,215,2010,1,12,12,8475764,https://assets.nhle.com/mugs/nhl/20132014/ANA/8475764.png
2013-2014,Carl Gunnarsson,TOR,D,203.0,158.0,,94.0,193.0,194.0,223.0,137.0,149.0,225.0,158.0,56.0,,110.0,Second Pair,80,1552.7833333333,3,5,26,1986-11-09,SWE,SWE,74,198,2007,7,13,194,8474125,https://assets.nhle.com/mugs/nhl/20132014/TOR/8474125.png
2013-2014,Carlo Colaiacovo,STL,D,143.0,30.0,115.0,,143.0,30.0,203.0,93.0,76.0,11.0,172.0,122.0,,216.0,Third Pair,25,378.81666666667,1,3,30,1983-01-27,CAN,CAN,73,202,2001,1,17,17,8469470,https://assets.nhle.com/mugs/nhl/20132014/STL/8469470.png
2013-2014,Chris Butler,CGY,D,164.0,111.0,,110.0,163.0,190.0,174.0,205.0,74.0,169.0,110.0,152.0,,105.0,Second Pair,82,1661.8,2,9,26,1986-10-27,USA,USA,73,196,2005,4,5,96,8471761,https://assets.nhle.com/mugs/nhl/20132014/CGY/8471761.png
2013-2014,Chris Phillips,OTT,D,78.0,181.0,73.0,113.0,25.0,166.0,62.0,146.0,142.0,142.0,152.0,65.0,,104.0,Second Pair,70,1345.9333333333,1,6,35,1978-03-09,CAN,CAN,75,219,1996,1,1,1,8464956,https://assets.nhle.com/mugs/nhl/20132014/OTT/8464956.png
2013-2014,Chris Tanev,VAN,D,167.0,8.0,,27.0,112.0,40.0,193.0,75.0,192.0,204.0,7.0,221.0,,125.0,Second Pair,64,1327.15,6,2,23,1989-12-20,CAN,CAN,74,193,-,-,-,-,8475690,https://assets.nhle.com/mugs/nhl/20132014/VAN/8475690.png
2013-2014,Christian Ehrhoff,BUF,D,70.0,169.0,78.0,120.0,116.0,167.0,40.0,120.0,64.0,213.0,96.0,195.0,,30.0,First Pair,79,1889.05,6,9,31,1982-07-06,DEU,DEU,74,201,2001,4,10,106,8469555,https://assets.nhle.com/mugs/nhl/20132014/BUF/8469555.png
2013-2014,Clayton Stoner,MIN,D,204.0,36.0,,18.0,208.0,39.0,150.0,195.0,173.0,166.0,181.0,43.0,,212.0,Third Pair,63,839.55,1,2,28,1985-02-19,CAN,CAN,76,216,2004,3,14,79,8470886,https://assets.nhle.com/mugs/nhl/20132014/MIN/8470886.png
2013-2014,Cody Ceci,OTT,D,20.0,194.0,121.0,67.0,61.0,198.0,14.0,81.0,12.0,31.0,83.0,147.0,,156.0,Third Pair,49,843.01666666667,3,4,19,1993-12-21,CAN,CAN,74,210,2012,1,15,15,8476879,https://assets.nhle.com/mugs/nhl/20132014/OTT/8476879.png
2013-2014,Cody Franson,TOR,D,114.0,187.0,45.0,21.0,136.0,185.0,143.0,102.0,68.0,212.0,47.0,8.0,,54.0,Second Pair,79,1634.2666666667,5,15,26,1987-08-08,CAN,CAN,77,224,2005,3,18,79,8471742,https://assets.nhle.com/mugs/nhl/20132014/TOR/8471742.png
2013-2014,Connor Carrick,WSH,D,219.0,164.0,,166.0,200.0,205.0,210.0,148.0,226.0,170.0,69.0,160.0,,186.0,Third Pair,34,543.06666666667,1,0,19,1994-04-13,USA,USA,70,198,2012,5,16,137,8476941,https://assets.nhle.com/mugs/nhl/20132014/WSH/8476941.png
2013-2014,Connor Murphy,PHX,D,103.0,90.0,,154.0,78.0,134.0,168.0,151.0,36.0,62.0,41.0,104.0,,161.0,Third Pair,30,539.41666666667,1,3,20,1993-03-26,USA,USA,76,212,2011,1,20,20,8476473,https://assets.nhle.com/mugs/nhl/20132014/PHX/8476473.png
2013-2014,Cory Sarich,COL,D,211.0,79.0,,112.0,185.0,63.0,187.0,204.0,194.0,203.0,192.0,39.0,,207.0,Third Pair,54,922.78333333333,1,1,35,1978-08-16,CAN,CAN,76,207,1996,2,1,27,8464981,https://assets.nhle.com/mugs/nhl/20132014/COL/8464981.png
2013-2014,Dalton Prout,CBJ,D,213.0,40.0,,101.0,203.0,72.0,178.0,133.0,220.0,198.0,57.0,49.0,,188.0,Third Pair,49,843.03333333333,2,1,23,1990-03-13,CAN,CAN,75,215,2010,6,4,154,8474774,https://assets.nhle.com/mugs/nhl/20132014/CBJ/8474774.png
2013-2014,Dan Boyle,SJS,D,26.0,81.0,5.0,,1.0,54.0,64.0,45.0,153.0,75.0,70.0,196.0,,24.0,Second Pair,75,1596.2,12,12,37,1976-07-12,CAN,CAN,71,194,-,-,-,-,8467096,https://assets.nhle.com/mugs/nhl/20132014/SJS/8467096.png
2013-2014,Dan Girardi,NYR,D,102.0,67.0,98.0,98.0,10.0,133.0,152.0,155.0,181.0,164.0,64.0,67.0,,50.0,First Pair,81,1872.6833333333,5,7,29,1984-04-29,CAN,CAN,73,212,-,-,-,-,8471958,https://assets.nhle.com/mugs/nhl/20132014/NYR/8471958.png
2013-2014,Dan Hamhuis,VAN,D,38.0,93.0,71.0,51.0,71.0,74.0,55.0,46.0,16.0,176.0,10.0,159.0,,60.0,First Pair,79,1892.6,5,13,30,1982-12-13,CAN,CAN,73,204,2001,1,12,12,8469465,https://assets.nhle.com/mugs/nhl/20132014/VAN/8469465.png
2013-2014,Danny DeKeyser,DET,D,192.0,60.0,113.0,105.0,216.0,71.0,155.0,153.0,139.0,89.0,78.0,157.0,,84.0,Second Pair,65,1406.65,4,6,23,1990-03-07,USA,USA,75,183,-,-,-,-,8477215,https://assets.nhle.com/mugs/nhl/20132014/DET/8477215.png
2013-2014,David Savard,CBJ,D,214.0,73.0,,56.0,221.0,92.0,181.0,76.0,213.0,127.0,154.0,44.0,,193.0,Third Pair,70,1248.0166666667,5,4,22,1990-10-22,CAN,CAN,73,235,2009,4,3,94,8475233,https://assets.nhle.com/mugs/nhl/20132014/CBJ/8475233.png
2013-2014,David Schlemko,PHX,D,57.0,72.0,104.0,36.0,19.0,142.0,52.0,141.0,81.0,102.0,155.0,90.0,,120.0,Third Pair,48,787.06666666667,1,4,26,1987-05-07,CAN,CAN,73,191,-,-,-,-,8473673,https://assets.nhle.com/mugs/nhl/20132014/PHX/8473673.png
2013-2014,Dennis Seidenberg,BOS,D,50.0,83.0,,4.0,58.0,116.0,58.0,118.0,57.0,101.0,87.0,93.0,,47.0,Second Pair,34,742.48333333333,1,5,32,1981-07-18,DEU,DEU,72,199,2001,6,7,172,8469619,https://assets.nhle.com/mugs/nhl/20132014/BOS/8469619.png
2013-2014,Dennis Wideman,CGY,D,95.0,183.0,57.0,136.0,134.0,186.0,47.0,98.0,108.0,16.0,32.0,149.0,,17.0,First Pair,46,1043.9,4,5,30,1983-03-20,CAN,CAN,72,202,2002,8,12,241,8469770,https://assets.nhle.com/mugs/nhl/20132014/CGY/8469770.png
2013-2014,Derek Morris,PHX,D,82.0,104.0,,147.0,113.0,159.0,75.0,77.0,51.0,43.0,199.0,84.0,,90.0,Second Pair,63,1225.2666666667,5,6,35,1978-08-24,CAN,CAN,72,210,1996,1,13,13,8464966,https://assets.nhle.com/mugs/nhl/20132014/PHX/8464966.png
2013-2014,Deryk Engelland,PIT,D,131.0,97.0,,75.0,198.0,106.0,70.0,13.0,191.0,118.0,149.0,14.0,,189.0,Third Pair,56,730.48333333333,6,0,31,1982-04-03,CAN,CAN,74,212,2000,6,27,194,8468674,https://assets.nhle.com/mugs/nhl/20132014/PIT/8468674.png
2013-2014,Dion Phaneuf,TOR,D,99.0,207.0,61.0,135.0,174.0,216.0,56.0,33.0,109.0,227.0,202.0,19.0,,23.0,First Pair,80,1885.15,8,11,28,1985-04-10,CAN,CAN,75,222,2003,1,9,9,8470602,https://assets.nhle.com/mugs/nhl/20132014/TOR/8470602.png
2013-2014,Dmitry Kulikov,FLA,D,151.0,172.0,88.0,146.0,126.0,140.0,131.0,136.0,185.0,157.0,128.0,71.0,,92.0,Second Pair,81,1757.2,8,5,22,1990-10-29,RUS,RUS,73,201,2009,1,14,14,8475179,https://assets.nhle.com/mugs/nhl/20132014/FLA/8475179.png
2013-2014,Dmitry Orlov,WSH,D,170.0,118.0,,,159.0,108.0,179.0,92.0,178.0,185.0,4.0,124.0,,183.0,Second Pair,54,1058.2833333333,3,3,22,1991-07-23,RUS,RUS,71,214,2009,2,25,55,8475200,https://assets.nhle.com/mugs/nhl/20132014/WSH/8475200.png
2013-2014,Dougie Hamilton,BOS,D,19.0,128.0,36.0,,54.0,38.0,17.0,31.0,44.0,52.0,211.0,111.0,,85.0,Second Pair,64,1222.5833333333,7,6,20,1993-06-17,CAN,CAN,78,230,2011,1,9,9,8476462,https://assets.nhle.com/mugs/nhl/20132014/BOS/8476462.png
2013-2014,Douglas Murray,MTL,D,216.0,31.0,,24.0,176.0,189.0,191.0,210.0,216.0,146.0,120.0,5.0,,169.0,Third Pair,53,760.63333333333,0,0,33,1980-03-12,SWE,SWE,75,240,1999,8,26,241,8468114,https://assets.nhle.com/mugs/nhl/20132014/MTL/8468114.png
2013-2014,Drew Doughty,LAK,D,31.0,126.0,38.0,111.0,26.0,13.0,37.0,64.0,61.0,69.0,131.0,53.0,,34.0,First Pair,78,2005.9,10,19,23,1989-12-08,CAN,CAN,73,210,2008,1,2,2,8474563,https://assets.nhle.com/mugs/nhl/20132014/LAK/8474563.png
2013-2014,Duncan Keith,CHI,D,7.0,125.0,32.0,77.0,6.0,62.0,29.0,130.0,10.0,21.0,119.0,219.0,,13.0,First Pair,79,1947.3333333333,6,20,30,1983-07-16,CAN,CAN,73,192,2002,2,24,54,8470281,https://assets.nhle.com/mugs/nhl/20132014/CHI/8470281.png
2013-2014,Dustin Byfuglien,WPG,D,3.0,215.0,6.0,82.0,46.0,181.0,2.0,4.0,20.0,82.0,200.0,40.0,,4.0,First Pair,78,1800.7,20,17,28,1985-03-27,USA,USA,77,260,2003,8,16,245,8470834,https://assets.nhle.com/mugs/nhl/20132014/WPG/8470834.png
2013-2014,Dylan Olsen,FLA,D,30.0,80.0,,171.0,104.0,147.0,22.0,29.0,37.0,34.0,63.0,16.0,,138.0,Third Pair,44,679.21666666667,3,4,22,1991-01-03,USA,CAN,74,223,2009,1,28,28,8475153,https://assets.nhle.com/mugs/nhl/20132014/FLA/8475153.png
2013-2014,Ed Jovanovski,FLA,D,158.0,205.0,123.0,175.0,151.0,221.0,99.0,138.0,195.0,33.0,223.0,134.0,,200.0,Third Pair,37,598.28333333333,1,1,37,1976-06-26,CAN,CAN,75,220,1994,1,1,1,8460492,https://assets.nhle.com/mugs/nhl/20132014/FLA/8460492.png
2013-2014,Eric Brewer,TBL,D,88.0,113.0,,97.0,124.0,102.0,102.0,55.0,79.0,184.0,205.0,55.0,,131.0,Third Pair,77,1351.5833333333,4,7,34,1979-04-17,CAN,CAN,76,216,1997,1,5,5,8466142,https://assets.nhle.com/mugs/nhl/20132014/TBL/8466142.png
2013-2014,Eric Gelinas,NJD,D,122.0,159.0,10.0,,215.0,45.0,42.0,106.0,39.0,4.0,132.0,64.0,,74.0,Third Pair,60,1015.4333333333,7,13,22,1991-05-08,CAN,CAN,76,215,2009,2,24,54,8475199,https://assets.nhle.com/mugs/nhl/20132014/NJD/8475199.png
2013-2014,Eric Gryba,OTT,D,128.0,209.0,,55.0,140.0,144.0,80.0,89.0,159.0,196.0,188.0,17.0,,176.0,Third Pair,57,998.7,2,2,25,1988-04-14,CAN,CAN,76,222,2006,3,5,68,8473468,https://assets.nhle.com/mugs/nhl/20132014/OTT/8473468.png
2013-2014,Erik Gudbranson,FLA,D,109.0,148.0,122.0,167.0,117.0,138.0,21.0,121.0,189.0,63.0,100.0,20.0,,158.0,Third Pair,65,1168.7666666667,3,3,21,1992-01-07,CAN,CAN,77,222,2010,1,3,3,8475790,https://assets.nhle.com/mugs/nhl/20132014/FLA/8475790.png
2013-2014,Erik Gustafsson,PHI,D,112.0,120.0,,3.0,79.0,127.0,153.0,58.0,103.0,54.0,35.0,218.0,,112.0,Third Pair,31,543.15,2,2,24,1988-12-15,SWE,SWE,70,180,-,-,-,-,8475640,https://assets.nhle.com/mugs/nhl/20132014/PHI/8475640.png
2013-2014,Erik Johnson,COL,D,68.0,108.0,44.0,38.0,76.0,157.0,44.0,109.0,92.0,183.0,140.0,91.0,,41.0,First Pair,80,1840.55,9,15,25,1988-03-21,USA,USA,76,225,2006,1,1,1,8473446,https://assets.nhle.com/mugs/nhl/20132014/COL/8473446.png
2013-2014,Erik Karlsson,OTT,D,2.0,218.0,52.0,104.0,40.0,197.0,3.0,2.0,11.0,55.0,24.0,136.0,,1.0,First Pair,82,2217.9,20,26,23,1990-05-31,SWE,SWE,72,190,2008,1,15,15,8474578,https://assets.nhle.com/mugs/nhl/20132014/OTT/8474578.png
2013-2014,Fedor Tyutin,CBJ,D,155.0,94.0,63.0,76.0,182.0,50.0,185.0,88.0,95.0,181.0,162.0,135.0,,82.0,Second Pair,69,1477.35,4,6,30,1983-07-19,RUS,RUS,74,221,2001,2,10,40,8469492,https://assets.nhle.com/mugs/nhl/20132014/CBJ/8469492.png
2013-2014,Francis Bouillon,MTL,D,195.0,193.0,119.0,,133.0,172.0,216.0,178.0,198.0,132.0,144.0,75.0,,206.0,Third Pair,52,919.71666666667,2,2,37,1975-10-17,USA,USA,68,194,-,-,-,-,8465914,https://assets.nhle.com/mugs/nhl/20132014/MTL/8465914.png
2013-2014,Francois Beauchemin,ANA,D,80.0,135.0,60.0,102.0,31.0,179.0,138.0,63.0,154.0,111.0,99.0,99.0,,39.0,First Pair,70,1616.95,4,6,33,1980-06-04,CAN,CAN,71,208,1998,3,17,75,8467400,https://assets.nhle.com/mugs/nhl/20132014/ANA/8467400.png
2013-2014,Grant Clitsome,WPG,D,48.0,198.0,72.0,90.0,37.0,171.0,165.0,56.0,15.0,58.0,183.0,80.0,,94.0,Second Pair,32,633.18333333333,2,3,28,1985-04-14,CAN,CAN,71,211,2004,9,13,271,8471482,https://assets.nhle.com/mugs/nhl/20132014/WPG/8471482.png
2013-2014,Hampus Lindholm,ANA,D,13.0,219.0,92.0,,9.0,192.0,126.0,40.0,4.0,133.0,148.0,183.0,,128.0,Second Pair,78,1515.6666666667,6,14,19,1994-01-20,SWE,SWE,76,215,2012,1,6,6,8476854,https://assets.nhle.com/mugs/nhl/20132014/ANA/8476854.png
2013-2014,Henrik Tallinder,BUF,D,207.0,114.0,,123.0,181.0,73.0,204.0,152.0,206.0,159.0,185.0,182.0,,215.0,Second Pair,64,1215.9833333333,2,2,34,1979-01-10,SWE,SWE,76,209,1997,2,22,48,8466182,https://assets.nhle.com/mugs/nhl/20132014/BUF/8466182.png
