Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2019-2020,Aaron Ekblad,FLA,D,25.0,194.0,38.0,152.0,86.0,123.0,57.0,52.0,10.0,179.0,50.0,190.0,,37.0,First Pair,67,1537.9166666667,5,36,41,7.2,56.56,51.42,23,1996-02-07,CAN,CAN,76,215,2014,1,1,8477932.0
2019-2020,Aaron Ness,ARI,D,220.0,131.0,,,127.0,117.0,227.0,228.0,217.0,2.0,1.0,150.0,,229.0,Fringe,24,300.83333333333,0,1,1,0.4,52.00,51.41,29,1990-05-18,USA,USA,70,184,2008,2,40,8474604.0
2019-2020,Adam Boqvist,CHI,D,42.0,219.0,70.0,,37.0,226.0,179.0,12.0,66.0,50.0,3.0,146.0,,132.0,Third Pair,41,665.11666666667,4,9,13,3.02,53.57,46.9,19,2000-08-15,SWE,SWE,72,182,2018,1,8,8480871.0
2019-2020,Adam Fox,NYR,D,18.0,21.0,10.0,,36.0,76.0,72.0,23.0,16.0,164.0,150.0,208.0,,38.0,Second Pair,70,1323.3,8,34,42,8.65,60.00,52.85,21,1998-02-17,USA,USA,71,182,2016,3,66,8479323.0
2019-2020,Adam Larsson,EDM,D,189.0,105.0,,58.0,159.0,141.0,154.0,183.0,192.0,211.0,192.0,28.0,,133.0,Second Pair,49,971.73333333333,1,5,6,2.6,43.94,47.58,26,1992-11-12,SWE,SWE,75,209,2011,1,4,8476457.0
2019-2020,Adam Pelech,NYI,D,172.0,49.0,,74.0,170.0,120.0,141.0,146.0,163.0,227.0,169.0,56.0,,95.0,Second Pair,38,803.01666666667,1,8,9,2.13,50.00,49.47,25,1994-08-16,CAN,CAN,75,210,2012,3,65,8476917.0
2019-2020,Alec Martinez,LAK,D,156.0,62.0,42.0,104.0,72.0,159.0,197.0,89.0,189.0,118.0,54.0,152.0,,60.0,Second Pair,51,1096.9,3,13,16,3.31,47.56,51.74,32,1987-07-26,USA,USA,73,210,2007,4,95,8474166.0
2019-2020,Alec Martinez,VGK,D,156.0,62.0,42.0,104.0,72.0,159.0,197.0,89.0,189.0,118.0,54.0,152.0,,60.0,Second Pair,51,1096.9,3,13,16,3.31,47.56,51.74,32,1987-07-26,USA,USA,73,210,2007,4,95,8474166.0
2019-2020,Alex Biega,DET,D,131.0,188.0,,33.0,206.0,134.0,40.0,192.0,76.0,76.0,177.0,19.0,,174.0,Third Pair,49,804.63333333333,0,3,3,2.28,39.02,42.87,31,1988-04-04,CAN,CAN,70,195,2006,5,147,8473415.0
2019-2020,Alex Goligoski,ARI,D,151.0,138.0,82.0,39.0,96.0,172.0,163.0,180.0,113.0,189.0,126.0,133.0,,53.0,First Pair,70,1613.9833333333,4,28,32,4.66,53.47,48.19,34,1985-07-30,USA,USA,71,173,2004,2,61,8471274.0
2019-2020,Alex Pietrangelo,STL,D,22.0,37.0,20.0,48.0,62.0,63.0,12.0,20.0,93.0,92.0,19.0,206.0,,7.0,First Pair,70,1691.4833333333,16,36,52,13.96,55.46,52.46,29,1990-01-18,CAN,CAN,75,215,2008,1,4,8474565.0
2019-2020,Alexander Edler,VAN,D,68.0,63.0,40.0,59.0,111.0,199.0,51.0,114.0,65.0,213.0,222.0,51.0,,9.0,First Pair,59,1334.4166666667,5,28,33,2.6,53.19,48.21,33,1986-04-21,SWE,SWE,76,210,2004,3,91,8471303.0
