Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2012-2013,Christian Ehrhoff,BUF,D,37.0,122.0,34.0,66.0,68.0,134.0,42.0,65.0,41.0,134.0,112.0,159.0,,22.0,First Pair,47,1184.0,5,12,30,1982-07-06,DEU,DEU,74,201,2001,4,10,106,8469555
2012-2013,Clayton Stoner,MIN,D,181.0,66.0,,27.0,167.0,56.0,147.0,169.0,160.0,179.0,159.0,47.0,,167.0,Second Pair,48,874.3,0,2,27,1985-02-19,CAN,CAN,76,216,2004,3,14,79,8470886
2012-2013,Cody Franson,TOR,D,44.0,163.0,44.0,1.0,87.0,130.0,81.0,88.0,14.0,98.0,31.0,18.0,,47.0,Second Pair,45,845.48333333333,4,8,25,1987-08-08,CAN,CAN,77,224,2005,3,18,79,8471742
2012-2013,Corey Potter,EDM,D,123.0,170.0,50.0,88.0,157.0,157.0,73.0,14.0,185.0,133.0,17.0,75.0,,125.0,Third Pair,33,575.98333333333,3,1,28,1984-01-05,USA,USA,75,204,2003,4,21,122,8470714
2012-2013,Cory Sarich,CGY,D,178.0,69.0,,76.0,128.0,42.0,179.0,170.0,153.0,164.0,125.0,28.0,,191.0,Third Pair,28,416.11666666667,0,1,34,1978-08-16,CAN,CAN,76,207,1996,2,1,27,8464981
2012-2013,Dalton Prout,CBJ,D,190.0,70.0,,111.0,189.0,51.0,192.0,116.0,190.0,192.0,88.0,43.0,,157.0,Second Pair,28,518.8,1,0,22,1990-03-13,CAN,CAN,75,215,2010,6,4,154,8474774
2012-2013,Dan Boyle,SJS,D,26.0,50.0,4.0,60.0,8.0,30.0,43.0,83.0,94.0,94.0,83.0,168.0,,9.0,First Pair,46,1048.7,7,6,36,1976-07-12,CAN,CAN,71,194,-,-,-,-,8467096
2012-2013,Dan Girardi,NYR,D,78.0,60.0,79.0,127.0,25.0,126.0,102.0,131.0,155.0,152.0,45.0,59.0,,29.0,First Pair,46,1169.2,2,2,28,1984-04-29,CAN,CAN,73,212,-,-,-,-,8471958
2012-2013,Dan Hamhuis,VAN,D,49.0,78.0,62.0,71.0,77.0,45.0,82.0,67.0,22.0,126.0,43.0,134.0,,50.0,First Pair,47,1099.3333333333,4,8,29,1982-12-13,CAN,CAN,73,204,2001,1,12,12,8469465
2012-2013,David Schlemko,PHX,D,80.0,112.0,104.0,32.0,62.0,182.0,65.0,80.0,124.0,52.0,111.0,79.0,,102.0,Third Pair,30,516.51666666667,1,0,25,1987-05-07,CAN,CAN,73,191,-,-,-,-,8473673
2012-2013,Davis Drewiske,LAK,D,10.0,23.0,,77.0,4.0,5.0,44.0,75.0,6.0,13.0,171.0,121.0,,142.0,Third Pair,29,440.73333333333,2,2,27,1984-11-22,USA,USA,74,222,-,-,-,-,8474518
2012-2013,Davis Drewiske,MTL,D,10.0,23.0,,77.0,4.0,5.0,44.0,75.0,6.0,13.0,171.0,121.0,,142.0,Third Pair,29,440.73333333333,2,2,27,1984-11-22,USA,USA,74,222,-,-,-,-,8474518
2012-2013,Dennis Seidenberg,BOS,D,43.0,38.0,81.0,29.0,30.0,75.0,28.0,59.0,148.0,128.0,85.0,54.0,,26.0,First Pair,46,1094.5833333333,4,4,31,1981-07-18,DEU,DEU,72,199,2001,6,7,172,8469619
2012-2013,Dennis Wideman,CGY,D,64.0,141.0,42.0,57.0,76.0,169.0,47.0,89.0,71.0,107.0,22.0,142.0,,10.0,First Pair,46,1150.9666666667,6,6,29,1983-03-20,CAN,CAN,72,202,2002,8,12,241,8469770
2012-2013,Derek Morris,PHX,D,82.0,151.0,73.0,101.0,84.0,168.0,62.0,149.0,70.0,4.0,182.0,46.0,,85.0,Second Pair,39,834.45,0,4,34,1978-08-24,CAN,CAN,72,210,1996,1,13,13,8464966
2012-2013,Deryk Engelland,PIT,D,110.0,85.0,,23.0,90.0,100.0,103.0,133.0,78.0,39.0,148.0,15.0,,170.0,Third Pair,42,584.63333333333,0,2,30,1982-04-03,CAN,CAN,74,212,2000,6,27,194,8468674
2012-2013,Dion Phaneuf,TOR,D,70.0,188.0,29.0,85.0,127.0,188.0,50.0,22.0,105.0,174.0,130.0,24.0,,7.0,First Pair,48,1208.55,9,10,27,1985-04-10,CAN,CAN,75,222,2003,1,9,9,8470602
2012-2013,Dmitry Kulikov,FLA,D,136.0,150.0,43.0,115.0,131.0,136.0,109.0,150.0,102.0,78.0,107.0,31.0,,60.0,Second Pair,34,713.2,3,3,21,1990-10-29,RUS,RUS,73,201,2009,1,14,14,8475179
2012-2013,Dougie Hamilton,BOS,D,3.0,164.0,24.0,,15.0,65.0,4.0,54.0,5.0,28.0,158.0,65.0,,64.0,Third Pair,42,719.38333333333,5,8,19,1993-06-17,CAN,CAN,78,230,2011,1,9,9,8476462
2012-2013,Douglas Murray,PIT,D,158.0,39.0,,43.0,143.0,147.0,131.0,148.0,172.0,160.0,92.0,21.0,,119.0,Third Pair,43,756.21666666667,1,1,32,1980-03-12,SWE,SWE,75,240,1999,8,26,241,8468114
2012-2013,Douglas Murray,SJS,D,158.0,39.0,,43.0,143.0,147.0,131.0,148.0,172.0,160.0,92.0,21.0,,119.0,Third Pair,43,756.21666666667,1,1,32,1980-03-12,SWE,SWE,75,240,1999,8,26,241,8468114
2012-2013,Drew Doughty,LAK,D,42.0,119.0,36.0,102.0,61.0,14.0,32.0,63.0,84.0,44.0,87.0,48.0,,33.0,First Pair,48,1266.9333333333,6,8,22,1989-12-08,CAN,CAN,73,210,2008,1,2,2,8474563
2012-2013,Duncan Keith,CHI,D,31.0,105.0,35.0,79.0,28.0,82.0,60.0,125.0,26.0,47.0,117.0,184.0,,20.0,First Pair,47,1133.1,3,10,29,1983-07-16,CAN,CAN,73,192,2002,2,24,54,8470281
2012-2013,Dustin Byfuglien,WPG,D,4.0,190.0,12.0,,29.0,170.0,2.0,26.0,9.0,75.0,179.0,81.0,,2.0,First Pair,43,1049.3333333333,8,10,27,1985-03-27,USA,USA,77,260,2003,8,16,245,8470834
2012-2013,Eric Brewer,TBL,D,105.0,109.0,,132.0,108.0,152.0,105.0,77.0,106.0,182.0,177.0,50.0,,82.0,Second Pair,48,984.63333333333,4,5,33,1979-04-17,CAN,CAN,76,216,1997,1,5,5,8466142
2012-2013,Eric Gryba,OTT,D,74.0,187.0,,19.0,138.0,117.0,31.0,45.0,112.0,42.0,185.0,17.0,,127.0,Second Pair,33,669.15,2,2,24,1988-04-14,CAN,CAN,76,222,2006,3,5,68,8473468
2012-2013,Erik Gudbranson,FLA,D,150.0,178.0,,153.0,172.0,149.0,39.0,159.0,158.0,59.0,149.0,14.0,,168.0,Second Pair,32,599.95,0,0,20,1992-01-07,CAN,CAN,77,222,2010,1,3,3,8475790
2012-2013,Erik Gustafsson,PHI,D,66.0,147.0,110.0,2.0,86.0,123.0,132.0,17.0,60.0,77.0,8.0,185.0,,124.0,Second Pair,27,543.98333333333,3,4,23,1988-12-15,SWE,SWE,70,180,-,-,-,-,8475640
2012-2013,Erik Johnson,COL,D,54.0,103.0,46.0,131.0,53.0,128.0,17.0,138.0,101.0,51.0,82.0,87.0,,58.0,Second Pair,31,643.36666666667,0,2,24,1988-03-21,USA,USA,76,225,2006,1,1,1,8473446
2012-2013,Fedor Tyutin,CBJ,D,121.0,86.0,91.0,54.0,175.0,49.0,145.0,73.0,48.0,177.0,142.0,114.0,,61.0,First Pair,48,1156.5833333333,4,13,29,1983-07-19,RUS,RUS,74,221,2001,2,10,40,8469492
2012-2013,Filip Kuba,FLA,D,145.0,125.0,85.0,120.0,97.0,166.0,148.0,137.0,141.0,124.0,147.0,153.0,,87.0,Second Pair,44,933.83333333333,1,4,35,1976-12-29,CZE,CZE,76,225,1995,8,10,192,8462225
2012-2013,Francis Bouillon,MTL,D,116.0,144.0,108.0,154.0,74.0,87.0,157.0,122.0,95.0,121.0,60.0,52.0,,177.0,Second Pair,48,867.65,1,4,36,1975-10-17,USA,USA,68,194,-,-,-,-,8465914
2012-2013,Francois Beauchemin,ANA,D,103.0,88.0,27.0,62.0,73.0,131.0,110.0,39.0,169.0,106.0,106.0,83.0,,28.0,First Pair,48,1125.9833333333,6,5,32,1980-06-04,CAN,CAN,71,208,1998,3,17,75,8467400
2012-2013,Grant Clitsome,WPG,D,69.0,181.0,38.0,28.0,119.0,133.0,112.0,71.0,27.0,81.0,136.0,45.0,,92.0,Second Pair,44,828.76666666667,4,7,27,1985-04-14,CAN,CAN,71,211,2004,9,13,271,8471482
2012-2013,Greg Zanon,COL,D,184.0,9.0,,33.0,166.0,144.0,142.0,158.0,189.0,156.0,157.0,62.0,,96.0,Second Pair,44,850.53333333333,0,3,32,1980-06-05,CAN,CAN,71,201,2000,5,26,156,8468636
2012-2013,Hal Gill,NSH,D,192.0,52.0,,38.0,182.0,44.0,190.0,188.0,188.0,187.0,156.0,106.0,,188.0,Third Pair,32,428.31666666667,0,0,37,1975-04-06,USA,USA,79,243,1993,8,25,207,8459628
2012-2013,Henrik Tallinder,NJD,D,137.0,18.0,,106.0,89.0,3.0,130.0,118.0,161.0,67.0,86.0,156.0,,184.0,Third Pair,25,439.26666666667,1,1,33,1979-01-10,SWE,SWE,76,209,1997,2,22,48,8466182
2012-2013,Ian White,DET,D,67.0,51.0,78.0,,39.0,27.0,95.0,74.0,107.0,25.0,48.0,173.0,,93.0,Second Pair,25,489.58333333333,2,1,28,1984-06-04,CAN,CAN,70,191,2002,6,25,191,8470273
2012-2013,Jack Johnson,CBJ,D,119.0,96.0,72.0,37.0,187.0,118.0,56.0,70.0,81.0,165.0,63.0,113.0,,18.0,First Pair,44,1142.85,5,5,25,1987-01-13,USA,USA,73,227,2005,1,3,3,8471677
2012-2013,Jake Muzzin,LAK,D,11.0,13.0,10.0,,24.0,1.0,35.0,8.0,42.0,8.0,91.0,55.0,,83.0,Third Pair,45,805.28333333333,7,7,23,1989-02-21,CAN,CAN,75,227,2007,5,20,141,8474162
2012-2013,Jakub Kindl,DET,D,28.0,115.0,66.0,,41.0,31.0,23.0,47.0,80.0,10.0,139.0,100.0,,121.0,Second Pair,41,760.8,4,3,25,1987-02-10,CZE,CZE,75,199,2005,1,19,19,8471693
2012-2013,James Wisniewski,CBJ,D,73.0,91.0,31.0,40.0,135.0,137.0,99.0,105.0,20.0,100.0,58.0,86.0,,17.0,First Pair,30,684.91666666667,5,5,28,1984-02-21,USA,USA,71,203,2002,5,25,156,8470222
2012-2013,Jamie McBain,CAR,D,24.0,156.0,93.0,147.0,2.0,189.0,100.0,115.0,43.0,35.0,11.0,182.0,,99.0,Second Pair,40,736.96666666667,1,3,24,1988-02-25,USA,USA,73,195,2006,2,33,63,8473571
2012-2013,Jan Hejda,COL,D,124.0,76.0,,50.0,146.0,120.0,104.0,117.0,83.0,181.0,78.0,57.0,,98.0,Second Pair,46,906.16666666667,1,3,34,1978-06-18,CZE,CZE,76,230,2003,4,5,106,8470699
2012-2013,Jared Spurgeon,MIN,D,144.0,40.0,14.0,44.0,109.0,40.0,134.0,136.0,147.0,57.0,5.0,135.0,,67.0,Second Pair,39,840.2,5,6,22,1989-11-29,CAN,CAN,69,166,2008,6,5,156,8474716
2012-2013,Jason Garrison,VAN,D,50.0,48.0,45.0,93.0,104.0,22.0,34.0,9.0,79.0,73.0,152.0,128.0,,43.0,Second Pair,47,1019.4333333333,8,4,27,1984-11-13,CAN,CAN,73,218,-,-,-,-,8474520
2012-2013,Jay Bouwmeester,CGY,D,86.0,149.0,41.0,130.0,161.0,90.0,93.0,16.0,77.0,167.0,89.0,155.0,,51.0,First Pair,47,1157.8,7,11,28,1983-09-27,CAN,CAN,76,206,2002,1,3,3,8470151
2012-2013,Jay Bouwmeester,STL,D,86.0,149.0,41.0,130.0,161.0,90.0,93.0,16.0,77.0,167.0,89.0,155.0,,51.0,First Pair,47,1157.8,7,11,28,1983-09-27,CAN,CAN,76,206,2002,1,3,3,8470151
2012-2013,Jay Harrison,CAR,D,32.0,139.0,,126.0,20.0,187.0,78.0,57.0,67.0,36.0,172.0,53.0,,66.0,Second Pair,47,935.66666666667,3,4,29,1982-11-03,CAN,CAN,76,188,2001,3,19,82,8469531
2012-2013,Jeff Petry,EDM,D,79.0,185.0,,89.0,126.0,180.0,57.0,101.0,68.0,113.0,38.0,60.0,,78.0,Second Pair,48,1051.6333333333,3,4,24,1987-12-09,USA,USA,75,209,2006,2,15,45,8473507
2012-2013,Jeff Schultz,WSH,D,169.0,121.0,,129.0,129.0,101.0,189.0,179.0,69.0,143.0,154.0,139.0,,192.0,Third Pair,26,370.66666666667,0,2,26,1986-02-25,CAN,CAN,78,225,2004,1,27,27,8471240
2012-2013,Joe Corvo,CAR,D,13.0,186.0,11.0,,6.0,186.0,24.0,28.0,86.0,16.0,34.0,171.0,,53.0,Second Pair,40,750.38333333333,6,4,35,1977-06-20,USA,USA,72,204,1997,4,3,83,8466215
2012-2013,John Carlson,WSH,D,39.0,80.0,51.0,128.0,153.0,94.0,20.0,7.0,74.0,151.0,32.0,129.0,,15.0,First Pair,48,1105.0,6,6,22,1990-01-10,USA,USA,75,215,2008,1,27,27,8474590
2012-2013,John Erskine,WSH,D,115.0,117.0,,150.0,136.0,122.0,91.0,41.0,150.0,135.0,190.0,9.0,,137.0,Second Pair,30,553.86666666667,3,1,32,1980-06-26,CAN,CAN,76,220,1998,2,12,39,8467365
2012-2013,John Moore,CBJ,D,101.0,53.0,,,188.0,64.0,70.0,86.0,21.0,60.0,41.0,97.0,,171.0,Third Pair,30,399.81666666667,1,4,21,1990-11-19,USA,USA,75,207,2009,1,21,21,8475186
2012-2013,John Moore,NYR,D,101.0,53.0,,,188.0,64.0,70.0,86.0,21.0,60.0,41.0,97.0,,171.0,Third Pair,30,399.81666666667,1,4,21,1990-11-19,USA,USA,75,207,2009,1,21,21,8475186
2012-2013,John-Michael Liles,TOR,D,94.0,130.0,80.0,,132.0,158.0,76.0,94.0,65.0,91.0,6.0,105.0,,48.0,Second Pair,32,600.56666666667,2,5,31,1980-11-25,USA,USA,70,185,2000,5,29,159,8468639
2012-2013,Johnny Boychuk,BOS,D,14.0,32.0,,45.0,18.0,62.0,6.0,90.0,50.0,114.0,42.0,69.0,,72.0,Second Pair,44,898.0,1,3,28,1984-01-19,CAN,CAN,74,227,2002,2,31,61,8470187
2012-2013,Johnny Oduya,CHI,D,129.0,26.0,,20.0,96.0,34.0,129.0,82.0,166.0,90.0,56.0,166.0,,112.0,Second Pair,48,985.0,3,3,30,1981-10-01,SWE,SWE,72,191,2001,7,25,221,8469665
2012-2013,Jonas Brodin,MIN,D,177.0,11.0,100.0,121.0,148.0,9.0,162.0,191.0,159.0,120.0,37.0,191.0,,122.0,First Pair,45,1044.5833333333,2,3,19,1993-07-12,SWE,SWE,74,196,2011,1,10,10,8476463
2012-2013,Jonathan Ericsson,DET,D,96.0,160.0,,98.0,48.0,35.0,152.0,114.0,72.0,19.0,144.0,88.0,,180.0,Second Pair,45,959.6,3,5,28,1984-03-02,SWE,SWE,76,218,2002,9,31,291,8470318
2012-2013,Jonathon Blum,NSH,D,154.0,20.0,109.0,,190.0,68.0,170.0,42.0,59.0,161.0,49.0,131.0,,143.0,Third Pair,35,500.48333333333,1,3,23,1989-01-30,USA,USA,73,188,2007,1,23,23,8474164
2012-2013,Jordan Leopold,BUF,D,122.0,129.0,87.0,140.0,151.0,119.0,98.0,25.0,157.0,37.0,99.0,144.0,,73.0,Second Pair,39,781.98333333333,2,4,32,1980-08-03,USA,USA,73,206,1999,2,16,44,8467917
2012-2013,Jordan Leopold,STL,D,122.0,129.0,87.0,140.0,151.0,119.0,98.0,25.0,157.0,37.0,99.0,144.0,,73.0,Second Pair,39,781.98333333333,2,4,32,1980-08-03,USA,USA,73,206,1999,2,16,44,8467917
2012-2013,Jordie Benn,DAL,D,72.0,168.0,70.0,133.0,150.0,99.0,61.0,182.0,3.0,122.0,70.0,115.0,,135.0,Third Pair,26,450.21666666667,1,3,25,1987-07-26,CAN,CAN,74,201,-,-,-,-,8474818
2012-2013,Josh Gorges,MTL,D,159.0,7.0,,13.0,100.0,43.0,183.0,163.0,104.0,97.0,68.0,98.0,,89.0,Second Pair,48,1026.6166666667,2,3,28,1984-08-14,CAN,CAN,73,204,-,-,-,-,8470324
2012-2013,Justin Braun,SJS,D,85.0,68.0,33.0,114.0,75.0,33.0,52.0,164.0,63.0,157.0,25.0,108.0,,141.0,Second Pair,41,770.85,0,3,25,1987-02-10,USA,USA,74,205,2007,7,20,201,8474027
2012-2013,Justin Falk,MIN,D,164.0,84.0,,7.0,160.0,129.0,121.0,187.0,108.0,105.0,113.0,39.0,,179.0,Third Pair,36,475.71666666667,0,1,23,1988-10-11,CAN,CAN,77,223,2007,4,19,110,8473992
2012-2013,Justin Faulk,CAR,D,93.0,180.0,53.0,142.0,43.0,184.0,113.0,64.0,168.0,86.0,27.0,80.0,,52.0,First Pair,38,910.61666666667,5,2,20,1992-03-20,USA,USA,72,214,2010,2,7,37,8475753
2012-2013,Justin Schultz,EDM,D,91.0,192.0,65.0,,113.0,192.0,108.0,10.0,120.0,65.0,65.0,192.0,,41.0,Second Pair,48,1029.5833333333,8,4,22,1990-07-06,CAN,CAN,74,190,2008,2,13,43,8474602
2012-2013,Karl Alzner,WSH,D,174.0,108.0,,97.0,134.0,93.0,165.0,157.0,173.0,154.0,72.0,143.0,,158.0,Second Pair,48,1005.8666666667,1,1,23,1988-09-24,CAN,CAN,75,213,2007,1,5,5,8473991
2012-2013,Keaton Ellerby,FLA,D,176.0,49.0,,51.0,169.0,37.0,126.0,184.0,167.0,12.0,135.0,29.0,,185.0,Third Pair,44,636.9,0,1,23,1988-11-05,CAN,CAN,77,220,2007,1,10,10,8474184
