Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2017-2018,Aaron Ekblad,FLA,D,74.0,214.0,45.0,124.0,138.0,182.0,25.0,15.0,203.0,86.0,186.0,157.0,,39.0,First Pair,82,1917.9,16,22,38,12.36,51.09,46.57,21,1996-02-07,CAN,CAN,76,215,2014,1,1,8477932.0
2017-2018,Adam Larsson,EDM,D,153.0,69.0,,59.0,55.0,140.0,174.0,141.0,204.0,215.0,200.0,9.0,,97.0,Second Pair,63,1381.7333333333,4,9,13,4.51,50.00,51.89,24,1992-11-12,SWE,SWE,75,209,2011,1,4,8476457.0
2017-2018,Adam McQuaid,BOS,D,195.0,38.0,,3.0,108.0,61.0,172.0,189.0,228.0,13.0,226.0,21.0,,191.0,Third Pair,38,596.71666666667,1,3,4,1.23,47.06,48.45,30,1986-10-12,CAN,CAN,76,210,2005,2,55,8471717.0
2017-2018,Adam Pelech,NYI,D,161.0,112.0,,146.0,135.0,197.0,125.0,111.0,194.0,227.0,100.0,93.0,,122.0,Second Pair,78,1503.3833333333,3,16,19,4.9,52.88,48.95,23,1994-08-16,CAN,CAN,75,210,2012,3,65,8476917.0
2017-2018,Alec Martinez,LAK,D,169.0,72.0,19.0,13.0,125.0,138.0,187.0,54.0,193.0,83.0,172.0,110.0,,43.0,First Pair,77,1760.4166666667,9,16,25,4.87,53.13,44.19,30,1987-07-26,USA,USA,73,210,2007,4,95,8474166.0
2017-2018,Alex Biega,VAN,D,84.0,130.0,,1.0,143.0,139.0,16.0,186.0,111.0,90.0,222.0,4.0,,183.0,Third Pair,44,660.9,1,8,9,3.82,51.43,51.09,29,1988-04-04,CAN,CAN,70,195,2006,5,147,8473415.0
2017-2018,Alex Goligoski,ARI,D,116.0,215.0,77.0,115.0,148.0,223.0,159.0,50.0,59.0,194.0,85.0,115.0,,49.0,First Pair,78,1813.85,12,23,35,6.1,38.46,44.57,32,1985-07-30,USA,USA,71,173,2004,2,61,8471274.0
2017-2018,Alex Petrovic,FLA,D,147.0,55.0,,,141.0,48.0,169.0,181.0,69.0,91.0,225.0,19.0,,195.0,Third Pair,67,982.0,2,11,13,2.33,48.53,51.83,25,1992-03-03,CAN,CAN,76,220,2010,2,36,
2017-2018,Alex Pietrangelo,STL,D,42.0,22.0,70.0,41.0,100.0,87.0,56.0,33.0,31.0,180.0,15.0,213.0,,8.0,First Pair,78,2007.45,15,39,54,11.03,55.45,50.84,27,1990-01-18,CAN,CAN,75,215,2008,1,4,8474565.0
2017-2018,Alexander Edler,VAN,D,156.0,66.0,49.0,63.0,197.0,199.0,55.0,140.0,178.0,181.0,216.0,68.0,,20.0,First Pair,70,1699.4166666667,6,28,34,6.96,43.33,45.81,31,1986-04-21,SWE,SWE,76,210,2004,3,91,8471303.0
2017-2018,Alexei Emelin,NSH,D,210.0,71.0,,108.0,193.0,69.0,202.0,214.0,184.0,147.0,192.0,18.0,,199.0,Third Pair,76,1282.9833333333,1,8,9,2.3,55.07,46.27,31,1986-04-25,RUS,RUS,74,218,2004,3,84,8471296.0
2017-2018,Andreas Borgman,TOR,D,76.0,211.0,,,58.0,135.0,132.0,46.0,116.0,28.0,219.0,6.0,,210.0,Third Pair,48,657.0,3,8,11,1.8,53.23,50.67,22,1995-06-18,SWE,SWE,72,200,-,-,-,8480158.0
2017-2018,Andrej Sekera,EDM,D,140.0,183.0,71.0,11.0,140.0,189.0,151.0,194.0,55.0,105.0,103.0,177.0,,107.0,Third Pair,36,587.9,0,8,8,1.5,25.00,43.13,31,1986-06-08,SVK,SVK,72,200,2004,3,71,8471284.0
2017-2018,Andrej Sustr,TBL,D,100.0,157.0,,,134.0,98.0,86.0,88.0,65.0,226.0,215.0,215.0,,209.0,Fringe,44,564.91666666667,2,5,7,1.86,44.68,50.82,26,1990-11-29,CZE,CZE,79,217,-,-,-,8477205.0
2017-2018,Andrew MacDonald,PHI,D,175.0,63.0,,23.0,195.0,115.0,181.0,73.0,125.0,161.0,92.0,208.0,,91.0,Second Pair,66,1310.1833333333,6,15,21,3.37,50.62,46.33,30,1986-09-07,CAN,CAN,73,204,2006,6,160,8473584.0
2017-2018,Andy Greene,NJD,D,197.0,50.0,,24.0,190.0,126.0,179.0,187.0,173.0,230.0,42.0,175.0,,118.0,Second Pair,81,1711.0333333333,3,10,13,3.59,45.05,49.05,34,1982-10-30,USA,USA,71,190,-,-,-,8472382.0
2017-2018,Anthony Bitetto,NSH,D,221.0,145.0,,,215.0,170.0,192.0,190.0,206.0,31.0,229.0,46.0,,224.0,Third Pair,32,430.06666666667,1,2,3,0.97,48.15,45.1,27,1990-07-15,USA,USA,73,222,2010,6,168,8475868.0
2017-2018,Anton Lindholm,COL,D,227.0,153.0,,10.0,226.0,179.0,230.0,231.0,143.0,209.0,161.0,11.0,,230.0,Third Pair,48,632.11666666667,0,4,4,0.69,54.05,39.2,22,1994-11-29,SWE,SWE,71,191,2014,5,144,8478073.0
2017-2018,Anton Stralman,TBL,D,73.0,64.0,,97.0,29.0,43.0,72.0,151.0,141.0,64.0,24.0,142.0,,105.0,Second Pair,80,1718.95,4,14,18,5.16,59.69,55.15,31,1986-08-01,SWE,SWE,71,193,2005,7,216,8471873.0
2017-2018,Ben Chiarot,WPG,D,148.0,87.0,,61.0,183.0,76.0,144.0,168.0,57.0,65.0,210.0,42.0,,172.0,Third Pair,57,870.55,2,12,14,2.03,57.63,49.13,26,1991-05-09,CAN,CAN,75,232,2009,4,120,8475279.0
2017-2018,Ben Harpur,OTT,D,225.0,227.0,,153.0,189.0,229.0,216.0,230.0,212.0,205.0,102.0,35.0,,231.0,Third Pair,41,610.33333333333,0,1,1,0.82,25.58,42.33,22,1995-01-12,CAN,CAN,78,231,2013,4,108,8477433.0
2017-2018,Ben Hutton,VAN,D,196.0,136.0,87.0,35.0,192.0,125.0,76.0,215.0,214.0,92.0,67.0,187.0,,140.0,Second Pair,61,1123.2833333333,0,6,6,4.05,44.44,47.68,24,1993-04-20,CAN,CAN,75,201,2012,5,147,8477018.0
2017-2018,Ben Lovejoy,NJD,D,174.0,14.0,,15.0,155.0,9.0,90.0,159.0,211.0,229.0,162.0,90.0,,167.0,Third Pair,57,945.63333333333,2,6,8,2.46,54.90,55.64,33,1984-02-20,USA,USA,73,205,-,-,-,8473933.0
2017-2018,Brad Hunt,VGK,D,164.0,16.0,9.0,,179.0,23.0,59.0,175.0,205.0,16.0,130.0,206.0,,86.0,Third Pair,45,749.11666666667,3,15,18,3.7,45.83,49.99,29,1988-08-24,CAN,CAN,69,177,-,-,-,8476779.0
2017-2018,Brady Skjei,NYR,D,75.0,206.0,90.0,138.0,80.0,194.0,74.0,106.0,99.0,23.0,74.0,74.0,,76.0,Second Pair,82,1724.05,4,21,25,9.32,38.53,49.79,23,1994-03-26,USA,USA,75,210,2012,1,28,8476869.0
2017-2018,Brandon Carlo,BOS,D,192.0,120.0,,40.0,68.0,54.0,191.0,209.0,218.0,116.0,220.0,136.0,,211.0,Second Pair,76,1462.0166666667,0,6,6,3.28,52.08,53.13,20,1996-11-26,USA,USA,78,218,2015,2,37,8478443.0
2017-2018,Brandon Davidson,EDM,D,149.0,33.0,,133.0,128.0,53.0,115.0,95.0,183.0,156.0,159.0,51.0,,158.0,Third Pair,51,857.73333333333,4,3,7,2.01,40.00,53.65,26,1991-08-21,CAN,CAN,74,204,2010,6,162,8475869.0
2017-2018,Brandon Davidson,MTL,D,149.0,33.0,,133.0,128.0,53.0,115.0,95.0,183.0,156.0,159.0,51.0,,158.0,Third Pair,51,857.73333333333,4,3,7,2.01,40.00,53.65,26,1991-08-21,CAN,CAN,74,204,2010,6,162,8475869.0
2017-2018,Brandon Davidson,NYI,D,149.0,33.0,,133.0,128.0,53.0,115.0,95.0,183.0,156.0,159.0,51.0,,158.0,Third Pair,51,857.73333333333,4,3,7,2.01,40.00,53.65,26,1991-08-21,CAN,CAN,74,204,2010,6,162,8475869.0
2017-2018,Brandon Manning,PHI,D,60.0,131.0,,34.0,172.0,105.0,51.0,40.0,51.0,167.0,150.0,56.0,,136.0,Third Pair,65,1166.8833333333,7,12,19,5.02,51.35,48.17,27,1990-06-04,CAN,CAN,73,205,-,-,-,8475430.0
2017-2018,Brandon Montour,ANA,D,95.0,213.0,39.0,94.0,76.0,172.0,54.0,152.0,155.0,95.0,59.0,139.0,,77.0,Second Pair,80,1637.5833333333,9,23,32,9.04,54.64,48.25,23,1994-04-11,CAN,CAN,72,194,2014,2,55,8477986.0
2017-2018,Brayden McNabb,VGK,D,141.0,19.0,,19.0,28.0,20.0,165.0,98.0,217.0,59.0,185.0,17.0,,146.0,Second Pair,76,1531.4333333333,5,10,15,3.19,57.41,52.13,26,1991-01-21,CAN,CAN,76,215,2009,3,66,8475188.0
2017-2018,Braydon Coburn,TBL,D,122.0,125.0,,44.0,150.0,71.0,105.0,170.0,53.0,222.0,209.0,94.0,,201.0,Third Pair,72,1153.7166666667,1,14,15,3.18,51.32,48.86,32,1985-02-27,CAN,CAN,77,224,2003,1,8,8470601.0
2017-2018,Brendan Smith,NYR,D,119.0,220.0,,156.0,121.0,204.0,91.0,147.0,105.0,56.0,171.0,99.0,,182.0,Third Pair,44,755.36666666667,1,7,8,3.84,51.67,46.17,28,1989-02-08,CAN,CAN,74,200,2007,1,27,8474090.0
2017-2018,Brenden Dillon,SJS,D,118.0,111.0,,52.0,62.0,109.0,145.0,113.0,146.0,35.0,135.0,23.0,,177.0,Third Pair,81,1402.9,5,17,22,3.63,45.22,50.95,26,1990-11-13,CAN,CAN,76,224,-,-,-,8475455.0
2017-2018,Brent Burns,SJS,D,1.0,180.0,5.0,78.0,7.0,152.0,1.0,4.0,4.0,10.0,140.0,178.0,,1.0,First Pair,82,2069.9,12,55,67,14.69,45.38,51.46,32,1985-03-09,CAN,CAN,77,230,2003,1,20,8470613.0
2017-2018,Brent Seabrook,CHI,D,69.0,188.0,76.0,87.0,22.0,210.0,119.0,119.0,101.0,51.0,138.0,132.0,,48.0,Second Pair,81,1635.9833333333,7,19,26,8.14,49.49,50.06,32,1985-04-20,CAN,CAN,75,220,2003,1,14,8470607.0
2017-2018,Brett Kulak,CGY,D,114.0,138.0,,,38.0,101.0,71.0,154.0,201.0,45.0,73.0,162.0,,226.0,Fringe,71,921.98333333333,2,6,8,2.91,47.22,52.8,23,1994-01-06,CAN,CAN,73,197,2012,4,105,8476967.0
2017-2018,Brett Pesce,CAR,D,93.0,11.0,,27.0,71.0,25.0,131.0,155.0,60.0,170.0,21.0,191.0,,113.0,Second Pair,65,1358.7666666667,3,16,19,4.24,43.96,53.56,22,1994-11-15,USA,USA,75,206,2013,3,66,8477488.0
2017-2018,Brian Dumoulin,PIT,D,85.0,91.0,,46.0,5.0,104.0,173.0,160.0,128.0,78.0,40.0,124.0,,145.0,Second Pair,80,1649.4,5,13,18,4.31,44.63,56.19,25,1991-09-06,USA,USA,76,207,2009,2,51,8475208.0
2017-2018,Brooks Orpik,WSH,D,214.0,83.0,,80.0,149.0,176.0,212.0,222.0,208.0,96.0,207.0,20.0,,164.0,Second Pair,81,1568.55,0,10,10,1.53,41.38,40.98,36,1980-09-26,USA,USA,75,217,2000,1,18,8468498.0
2017-2018,Calvin de Haan,NYI,D,53.0,53.0,,101.0,65.0,177.0,113.0,169.0,12.0,173.0,28.0,96.0,,66.0,Second Pair,33,618.73333333333,1,11,12,1.5,54.00,50.26,26,1991-05-09,CAN,CAN,73,195,2009,1,12,8475177.0
2017-2018,Cam Fowler,ANA,D,88.0,143.0,51.0,150.0,79.0,145.0,168.0,68.0,66.0,176.0,131.0,225.0,,44.0,First Pair,67,1665.1833333333,8,24,32,6.79,51.81,50.47,25,1991-12-05,CAN,USA,74,215,2010,1,12,8475764.0
2017-2018,Carl Gunnarsson,STL,D,218.0,1.0,,9.0,214.0,4.0,208.0,102.0,215.0,143.0,31.0,176.0,,200.0,Third Pair,63,1018.45,5,4,9,2.54,61.40,51.97,30,1986-11-09,SWE,SWE,74,198,2007,7,194,8474125.0
2017-2018,Casey Nelson,BUF,D,219.0,164.0,,50.0,230.0,84.0,156.0,107.0,202.0,201.0,35.0,169.0,,169.0,Second Pair,37,694.86666666667,3,5,8,2.05,34.62,44.32,25,1992-07-18,USA,USA,73,185,-,-,-,8479268.0
2017-2018,Chad Ruhwedel,PIT,D,67.0,113.0,,,66.0,131.0,50.0,87.0,151.0,114.0,65.0,77.0,,186.0,Third Pair,44,691.93333333333,2,3,5,2.31,43.90,51.45,27,1990-05-07,USA,USA,71,191,-,-,-,8477244.0
2017-2018,Charlie McAvoy,BOS,D,61.0,54.0,97.0,22.0,33.0,13.0,199.0,91.0,25.0,53.0,180.0,49.0,,72.0,First Pair,63,1395.2833333333,7,25,32,4.59,60.00,54.95,19,1997-12-21,USA,USA,73,209,2016,1,14,8479325.0
2017-2018,Chris Tanev,VAN,D,228.0,32.0,,77.0,225.0,65.0,229.0,178.0,219.0,218.0,63.0,216.0,,155.0,Second Pair,42,830.58333333333,2,9,11,0.95,50.82,46.37,27,1989-12-20,CAN,CAN,74,193,-,-,-,8475690.0
2017-2018,Christian Djoos,WSH,D,23.0,189.0,,,13.0,162.0,149.0,70.0,9.0,11.0,20.0,212.0,,207.0,Third Pair,63,884.16666666667,3,11,14,3.36,58.67,51.96,23,1994-08-06,SWE,SWE,72,180,2012,7,195,8477043.0
2017-2018,Christian Folin,LAK,D,158.0,35.0,,106.0,156.0,70.0,193.0,153.0,71.0,119.0,142.0,22.0,,193.0,Third Pair,65,1017.7166666667,3,10,13,1.53,49.28,50.27,26,1991-02-09,SWE,SWE,75,204,-,-,-,8477850.0
2017-2018,Cody Ceci,OTT,D,160.0,166.0,,134.0,204.0,216.0,77.0,125.0,153.0,155.0,61.0,104.0,,68.0,First Pair,82,1913.8333333333,5,14,19,7.63,41.30,43.57,23,1993-12-21,CAN,CAN,74,210,2012,1,15,8476879.0
2017-2018,Colin Miller,VGK,D,46.0,59.0,52.0,58.0,74.0,3.0,48.0,66.0,50.0,6.0,110.0,54.0,,85.0,Second Pair,82,1586.1833333333,10,31,41,9.38,49.06,55.02,24,1992-10-29,CAN,CAN,73,200,2012,5,151,8476525.0
2017-2018,Colton Parayko,STL,D,39.0,10.0,56.0,33.0,97.0,24.0,17.0,184.0,18.0,162.0,9.0,126.0,,38.0,First Pair,82,1854.3833333333,6,29,35,9.44,45.28,54.53,24,1993-05-12,CAN,CAN,78,228,2012,3,86,8476892.0
2017-2018,Connor Carrick,TOR,D,109.0,49.0,,,67.0,36.0,104.0,90.0,174.0,12.0,197.0,137.0,,170.0,Third Pair,47,711.33333333333,4,8,12,2.58,55.56,52.99,23,1994-04-13,USA,USA,70,198,2012,5,137,8476941.0
2017-2018,Connor Murphy,CHI,D,107.0,90.0,,139.0,93.0,142.0,80.0,192.0,95.0,199.0,86.0,34.0,,149.0,Third Pair,76,1244.3833333333,2,12,14,4.28,45.98,52.19,24,1993-03-26,USA,USA,76,212,2011,1,20,8476473.0
2017-2018,Damon Severson,NJD,D,72.0,208.0,89.0,,124.0,150.0,112.0,31.0,58.0,66.0,101.0,123.0,,129.0,Second Pair,76,1495.55,9,15,24,5.84,47.11,48.58,23,1994-08-07,CAN,CAN,74,205,2012,2,60,8476923.0
2017-2018,Dan Girardi,TBL,D,155.0,48.0,,67.0,106.0,188.0,166.0,116.0,182.0,135.0,57.0,55.0,,92.0,Third Pair,77,1338.6666666667,6,12,18,3.3,56.84,51.2,33,1984-04-29,CAN,CAN,73,212,-,-,-,8471958.0
2017-2018,Dan Hamhuis,DAL,D,188.0,82.0,,98.0,112.0,75.0,215.0,200.0,152.0,223.0,83.0,152.0,,165.0,Second Pair,80,1615.05,3,21,24,2.97,42.99,51.19,34,1982-12-13,CAN,CAN,73,204,2001,1,12,8469465.0
2017-2018,Danny DeKeyser,DET,D,211.0,56.0,,68.0,211.0,83.0,204.0,65.0,222.0,144.0,181.0,147.0,,138.0,Second Pair,65,1320.9333333333,6,6,12,3.23,50.00,49.14,27,1990-03-07,USA,USA,75,183,-,-,-,8477215.0
2017-2018,Darnell Nurse,EDM,D,28.0,177.0,,113.0,63.0,151.0,13.0,28.0,118.0,148.0,173.0,43.0,,64.0,First Pair,82,1824.35,6,20,26,10.15,55.20,52.35,22,1995-02-04,CAN,CAN,76,221,2013,1,7,8477498.0
2017-2018,David Savard,CBJ,D,34.0,94.0,,104.0,48.0,163.0,41.0,80.0,45.0,216.0,182.0,76.0,,74.0,Second Pair,81,1569.7833333333,4,12,16,5.45,49.57,50.56,26,1990-10-22,CAN,CAN,73,235,2009,4,94,8475233.0
2017-2018,David Schlemko,MTL,D,137.0,15.0,64.0,151.0,82.0,49.0,126.0,193.0,136.0,68.0,52.0,171.0,,117.0,Second Pair,37,668.4,1,4,5,1.55,52.38,52.02,30,1987-05-07,CAN,CAN,73,191,-,-,-,8473673.0
2017-2018,Dennis Seidenberg,NYI,D,130.0,229.0,,51.0,133.0,231.0,163.0,198.0,47.0,192.0,178.0,36.0,,141.0,Third Pair,28,500.71666666667,0,5,5,1.35,40.91,39.93,36,1981-07-18,DEU,DEU,72,199,2001,6,172,8469619.0
2017-2018,Derek Forbort,LAK,D,185.0,108.0,,53.0,178.0,42.0,185.0,217.0,84.0,184.0,152.0,63.0,,127.0,Second Pair,78,1621.4666666667,1,17,18,2.47,55.10,47.44,25,1992-03-04,USA,USA,76,208,2010,1,15,8475762.0
2017-2018,Derrick Pouliot,VAN,D,179.0,110.0,68.0,,104.0,171.0,186.0,171.0,187.0,27.0,149.0,116.0,,103.0,Third Pair,71,1267.4666666667,3,19,22,4.51,40.00,48.75,23,1994-01-16,CAN,CAN,72,196,2012,1,8,8476884.0
2017-2018,Deryk Engelland,VGK,D,96.0,103.0,,73.0,174.0,164.0,98.0,85.0,34.0,127.0,88.0,64.0,,102.0,Second Pair,79,1601.4666666667,5,18,23,3.99,49.57,47.74,35,1982-04-03,CAN,CAN,74,212,2000,6,194,8468674.0
2017-2018,Dion Phaneuf,LAK,D,159.0,162.0,55.0,90.0,209.0,205.0,94.0,177.0,92.0,103.0,113.0,45.0,,53.0,Second Pair,79,1579.7666666667,6,20,26,4.66,42.71,42.47,32,1985-04-10,CAN,CAN,75,222,2003,1,9,8470602.0
2017-2018,Dion Phaneuf,OTT,D,159.0,162.0,55.0,90.0,209.0,205.0,94.0,177.0,92.0,103.0,113.0,45.0,,53.0,Second Pair,79,1579.7666666667,6,20,26,4.66,42.71,42.47,32,1985-04-10,CAN,CAN,75,222,2003,1,9,8470602.0
2017-2018,Dmitry Kulikov,WPG,D,206.0,165.0,,163.0,202.0,82.0,217.0,158.0,169.0,137.0,132.0,113.0,,197.0,Third Pair,62,1058.4666666667,3,8,11,2.14,50.00,49.83,26,1990-10-29,RUS,RUS,73,201,2009,1,14,8475179.0
2017-2018,Dmitry Orlov,WSH,D,86.0,79.0,91.0,92.0,87.0,102.0,143.0,18.0,104.0,159.0,16.0,105.0,,87.0,First Pair,82,1896.5666666667,10,21,31,6.15,52.76,49.31,26,1991-07-23,RUS,RUS,71,214,2009,2,55,8475200.0
