Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2010-2011,Adam Burish,DAL,F,348.0,32.0,,80.0,369.0,76.0,224.0,251.0,375.0,402.0,344.0,138.0,39.0,292.0,Third Line,63,904.03333333333,8,6,14,7.8,50.00,46.14,27,1983-01-06,USA,USA,73,195,2002,9,282,8470063.0
2010-2011,Adam Hall,TBL,F,240.0,24.0,,110.0,260.0,18.0,56.0,300.0,319.0,394.0,77.0,91.0,22.0,285.0,Third Line,82,1217.65,7,11,18,14.65,39.66,56.99,30,1980-08-14,USA,USA,74,212,1999,2,52,8467925.0
2010-2011,Adam Mair,NJD,F,379.0,103.0,,,380.0,49.0,306.0,377.0,364.0,220.0,338.0,97.0,,391.0,Fourth Line,65,591.11666666667,1,3,4,5.34,21.43,47.41,31,1979-02-15,CAN,CAN,73,208,1997,4,84,8466216.0
2010-2011,Ales Hemsky,EDM,F,87.0,385.0,153.0,208.0,194.0,334.0,195.0,105.0,11.0,342.0,92.0,374.0,,48.0,First Line,47,859.26666666667,14,28,42,11.66,49.18,44.34,27,1983-08-13,CZE,CZE,72,177,2001,1,13,8469466.0
2010-2011,Ales Kotalik,CGY,F,220.0,247.0,230.0,,240.0,138.0,16.0,228.0,398.0,102.0,305.0,131.0,,218.0,Fourth Line,26,321.7,4,2,6,4.03,35.00,50.61,31,1978-12-23,CZE,CZE,73,225,1998,6,164,8467502.0
2010-2011,Alex Frolov,NYR,F,142.0,265.0,241.0,,30.0,183.0,217.0,170.0,184.0,163.0,217.0,277.0,,193.0,Third Line,43,620.33333333333,7,9,16,9.09,60.00,55.43,28,1982-06-19,RUS,RUS,74,210,2000,1,20,8468500.0
2010-2011,Alex Kovalev,OTT,F,215.0,393.0,195.0,,202.0,255.0,255.0,234.0,133.0,120.0,286.0,391.0,,167.0,Second Line,74,1222.0166666667,16,18,34,16.1,45.59,47.06,37,1973-02-24,RUS,RUS,74,222,1991,1,15,8458529.0
2010-2011,Alex Kovalev,PIT,F,215.0,393.0,195.0,,202.0,255.0,255.0,234.0,133.0,120.0,286.0,391.0,,167.0,Second Line,74,1222.0166666667,16,18,34,16.1,45.59,47.06,37,1973-02-24,RUS,RUS,74,222,1991,1,15,8458529.0
2010-2011,Alex Ovechkin,WSH,F,3.0,341.0,18.0,,12.0,188.0,2.0,17.0,3.0,166.0,61.0,81.0,,2.0,First Line,79,1679.0666666667,32,53,85,36.7,57.73,56.41,24,1985-09-17,RUS,RUS,75,238,2004,1,1,8471214.0
2010-2011,Alex Tanguay,CGY,F,235.0,260.0,237.0,180.0,198.0,192.0,388.0,160.0,62.0,155.0,189.0,361.0,,143.0,First Line,79,1561.1666666667,22,47,69,14.93,55.66,54.88,30,1979-11-21,CAN,CAN,73,194,1998,1,12,8467338.0
2010-2011,Alexander Burmistrov,ATL,F,369.0,292.0,,178.0,368.0,318.0,326.0,347.0,366.0,84.0,11.0,242.0,168.0,343.0,Fourth Line,74,978.06666666667,6,14,20,7.7,42.62,43.26,18,1991-10-21,RUS,RUS,73,180,2010,1,8,8475788.0
