Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2009-2010,Aaron Voros,NYR,F,257.0,368.0,,,236.0,390.0,375.0,300.0,73.0,191.0,402.0,28.0,,381.0,Fringe,41,251.83333333333,3,4,7,1.7,44.44,42.49,28,1981-07-02,CAN,CAN,74,210,2001,8,229,8469672.0
2009-2010,Adam Mair,BUF,F,313.0,226.0,,,311.0,113.0,319.0,271.0,278.0,245.0,405.0,96.0,,371.0,Fourth Line,69,637.28333333333,6,8,14,5.44,47.73,49.28,30,1979-02-15,CAN,CAN,73,208,1997,4,84,8466216.0
2009-2010,Ales Kotalik,CGY,F,271.0,230.0,132.0,,255.0,203.0,39.0,286.0,389.0,182.0,384.0,122.0,,161.0,Third Line,71,1006.9666666667,11,16,27,14.34,41.07,49.24,30,1978-12-23,CZE,CZE,73,225,1998,6,164,8467502.0
2009-2010,Ales Kotalik,NYR,F,271.0,230.0,132.0,,255.0,203.0,39.0,286.0,389.0,182.0,384.0,122.0,,161.0,Third Line,71,1006.9666666667,11,16,27,14.34,41.07,49.24,30,1978-12-23,CZE,CZE,73,225,1998,6,164,8467502.0
2009-2010,Alex Frolov,LAK,F,182.0,284.0,157.0,111.0,144.0,135.0,282.0,168.0,145.0,236.0,237.0,352.0,,103.0,First Line,81,1493.3166666667,19,32,51,19.64,47.78,52.55,27,1982-06-19,RUS,RUS,74,210,2000,1,20,8468500.0
2009-2010,Alex Kovalev,OTT,F,133.0,409.0,156.0,,146.0,323.0,223.0,137.0,91.0,146.0,135.0,362.0,,85.0,First Line,77,1398.3666666667,18,31,49,19.35,45.45,49.72,36,1973-02-24,RUS,RUS,74,222,1991,1,15,8458529.0
2009-2010,Alex Ovechkin,WSH,F,1.0,370.0,2.0,,3.0,227.0,1.0,2.0,4.0,141.0,118.0,102.0,,1.0,First Line,72,1569.4166666667,50,59,109,37.33,70.27,55.94,23,1985-09-17,RUS,RUS,75,238,2004,1,1,8471214.0
2009-2010,Alex Tanguay,TBL,F,256.0,380.0,239.0,,118.0,363.0,389.0,253.0,132.0,194.0,252.0,327.0,,206.0,Second Line,80,1263.0833333333,10,27,37,10.8,48.86,47.98,29,1979-11-21,CAN,CAN,73,194,1998,1,12,8467338.0
2009-2010,Alexander Semin,WSH,F,2.0,360.0,9.0,25.0,5.0,317.0,4.0,1.0,18.0,90.0,284.0,398.0,,6.0,First Line,73,1396.0,40,44,84,26.59,65.45,53.3,25,1984-03-03,RUS,RUS,74,211,2002,1,13,8470120.0
2009-2010,Alexander Steen,STL,F,178.0,133.0,45.0,174.0,286.0,197.0,100.0,159.0,180.0,352.0,100.0,322.0,,105.0,Second Line,68,1106.7833333333,24,23,47,15.03,57.81,48.46,25,1984-03-01,CAN,SWE,72,211,2002,1,24,8470257.0
