Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2025-2026,A.J. Greer,FLA,F,162.0,125.0,,,207.0,39.0,151.0,171.0,131.0,109.0,430.0,29.0,,338.0,Fourth Line,57,671.6,11,10,21,11.07,55.00,53.89,28,1996-12-14,CAN,CAN,75,208,2015,2,39,8478421.0
2025-2026,Aatu Raty,VAN,F,276.0,284.0,,186.0,255.0,150.0,319.0,254.0,263.0,357.0,417.0,55.0,4.0,388.0,Fourth Line,45,546.45,3,9,12,6.68,51.52,47.38,22,2002-11-14,FIN,FIN,74,190,2021,2,52,8482691.0
2025-2026,Adam Edstrom,NYR,F,341.0,31.0,,,391.0,103.0,338.0,272.0,288.0,414.0,332.0,57.0,,411.0,Fourth Line,24,229.6,2,2,4,2.64,64.29,47.27,24,2000-10-12,SWE,SWE,79,220,2019,6,161,8481726.0
2025-2026,Adam Erne,DAL,F,391.0,72.0,,,431.0,91.0,317.0,133.0,435.0,349.0,377.0,12.0,,420.0,Fourth Line,24,226.75,3,1,4,3.09,50.00,47.88,30,1995-04-20,USA,USA,73,212,2013,2,33,8477454.0
2025-2026,Adam Fantilli,CBJ,F,126.0,332.0,223.0,,156.0,334.0,105.0,182.0,103.0,29.0,76.0,178.0,137.0,102.0,First Line,56,1048.6666666667,13,23,36,19.3,45.95,52.08,20,2004-10-12,CAN,,74,194,2023,1,3,8484166.0
2025-2026,Adam Gaudette,SJS,F,176.0,225.0,202.0,,340.0,336.0,132.0,12.0,373.0,210.0,393.0,201.0,123.0,250.0,Fourth Line,45,530.55,13,7,20,8.77,42.22,46.91,28,1996-10-03,USA,USA,73,194,2015,5,149,8478874.0
2025-2026,Adam Henrique,EDM,F,340.0,14.0,113.0,153.0,371.0,161.0,234.0,389.0,242.0,388.0,358.0,289.0,32.0,245.0,Third Line,43,594.81666666667,2,8,10,8.9,32.26,48.19,35,1990-02-06,CAN,CAN,72,195,2008,3,82,8474641.0
2025-2026,Adam Klapka,CGY,F,298.0,42.0,,,335.0,226.0,209.0,281.0,281.0,278.0,444.0,6.0,,380.0,Fourth Line,55,583.75,5,7,12,7.26,52.94,46.45,24,2000-09-14,CZE,CZE,80,235,-,-,-,8483609.0
2025-2026,Adam Lowry,WPG,F,323.0,89.0,,89.0,318.0,84.0,340.0,291.0,276.0,435.0,160.0,79.0,28.0,284.0,Third Line,44,635.3,4,10,14,8.41,54.05,48.1,32,1993-03-29,USA,USA,78,208,2011,3,67,8476392.0
2025-2026,Adrian Kempe,LAK,F,80.0,209.0,124.0,,245.0,152.0,37.0,73.0,82.0,214.0,394.0,173.0,,46.0,First Line,56,1073.5,20,26,46,16.65,57.14,45.19,28,1996-09-13,SWE,SWE,74,200,2014,1,29,8477960.0
2025-2026,Alex DeBrincat,DET,F,49.0,278.0,24.0,,184.0,289.0,9.0,57.0,132.0,252.0,109.0,356.0,,24.0,First Line,58,1049.7166666667,30,27,57,27.99,52.94,53.18,27,1997-12-18,USA,USA,68,178,2016,2,39,8479337.0
2025-2026,Alex Iafallo,WPG,F,369.0,9.0,130.0,138.0,337.0,72.0,388.0,305.0,370.0,245.0,215.0,190.0,,264.0,Third Line,56,849.9,9,11,20,12.78,46.43,42.28,31,1993-12-21,USA,USA,72,200,-,-,-,8480113.0
2025-2026,Alex Killorn,ANA,F,224.0,344.0,277.0,137.0,111.0,279.0,171.0,315.0,268.0,235.0,352.0,250.0,,244.0,Second Line,56,903.88333333333,7,11,18,11.86,50.00,53.03,35,1989-09-14,CAN,CAN,73,194,2007,3,77,8473986.0
2025-2026,Alex Laferriere,LAK,F,75.0,149.0,271.0,88.0,163.0,46.0,21.0,91.0,139.0,224.0,172.0,99.0,151.0,161.0,Second Line,56,972.68333333333,13,13,26,14.99,56.00,52.18,23,2001-10-28,USA,USA,72,173,2020,3,83,8482155.0
2025-2026,Alex Newhook,MTL,F,203.0,285.0,,195.0,353.0,332.0,408.0,68.0,80.0,86.0,192.0,171.0,168.0,189.0,Third Line,17,248.9,6,6,12,2.83,60.87,42.88,24,2001-01-28,CAN,CAN,70,190,2019,1,16,8481618.0
2025-2026,Alex Ovechkin,WSH,F,14.0,416.0,125.0,,72.0,363.0,33.0,29.0,16.0,1.0,392.0,136.0,,37.0,Second Line,59,1053.9166666667,22,26,48,22.93,57.58,50.96,39,1985-09-17,RUS,RUS,75,238,2004,1,1,8471214.0
2025-2026,Alex Steeves,BOS,F,253.0,43.0,160.0,,290.0,159.0,206.0,96.0,398.0,330.0,281.0,20.0,,239.0,Fourth Line,38,458.65,9,7,16,6.45,56.25,50.21,25,1999-12-10,USA,USA,72,196,-,-,-,8482634.0
2025-2026,Alex Tuch,BUF,F,58.0,119.0,213.0,135.0,132.0,318.0,77.0,35.0,128.0,123.0,404.0,257.0,,44.0,First Line,56,1052.2833333333,22,26,48,17.26,59.49,51.98,29,1996-05-10,USA,USA,76,219,2014,1,18,8477949.0
2025-2026,Alex Turcotte,LAK,F,105.0,21.0,,,25.0,35.0,193.0,297.0,58.0,126.0,248.0,269.0,34.0,353.0,Fourth Line,49,536.16666666667,3,9,12,10.01,45.00,59.73,24,2001-02-26,USA,USA,71,185,2019,1,5,8481532.0
2025-2026,Alexander Holtz,VGK,F,313.0,318.0,,,372.0,210.0,215.0,255.0,317.0,118.0,343.0,217.0,,355.0,Fourth Line,26,299.23333333333,3,5,8,4.68,50.00,47.98,23,2002-01-23,SWE,SWE,72,195,2020,1,7,8482125.0
2025-2026,Alexander Wennberg,SJS,F,393.0,47.0,222.0,177.0,308.0,287.0,444.0,439.0,192.0,370.0,33.0,402.0,148.0,170.0,First Line,55,1144.25,10,27,37,13.18,45.00,47.61,30,1994-09-22,SWE,SWE,74,190,2013,1,14,8477505.0
2025-2026,Alexandre Texier,MTL,F,236.0,264.0,200.0,,295.0,309.0,128.0,139.0,322.0,236.0,285.0,233.0,,254.0,Third Line,38,525.7,7,11,18,5.75,62.16,49.24,25,1999-09-13,FRA,FRA,73,186,2017,2,45,8480074.0
