Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2022-2023,A.J. Greer,BOS,F,289.0,22.0,,,337.0,22.0,194.0,344.0,221.0,429.0,444.0,50.0,,412.0,Fourth Line,61,555.65,5,7,12,7.91,61.76,52.95,25,1996-12-14,CAN,CAN,75,208,2015,2,39,8478421.0
2022-2023,Adam Erne,DET,F,426.0,215.0,,152.0,436.0,311.0,397.0,368.0,398.0,247.0,300.0,56.0,,342.0,Fourth Line,61,816.23333333333,8,10,18,6.84,36.36,40.53,27,1995-04-20,USA,USA,73,212,2013,2,33,8477454.0
2022-2023,Adam Henrique,ANA,F,161.0,378.0,63.0,183.0,186.0,399.0,167.0,56.0,267.0,210.0,288.0,389.0,69.0,113.0,First Line,62,1127.1666666667,22,16,38,18.99,48.61,45.38,32,1990-02-06,CAN,CAN,72,195,2008,3,82,8474641.0
2022-2023,Adam Lowry,WPG,F,257.0,114.0,250.0,168.0,177.0,143.0,326.0,256.0,307.0,412.0,258.0,62.0,37.0,259.0,Second Line,82,1283.0833333333,13,23,36,20.0,47.83,55.09,29,1993-03-29,USA,USA,78,208,2011,3,67,8476392.0
2022-2023,Adam Ruzicka,CGY,F,133.0,80.0,207.0,,165.0,15.0,170.0,205.0,51.0,145.0,263.0,257.0,134.0,287.0,Fourth Line,44,509.33333333333,6,14,20,6.83,48.65,55.87,23,1999-05-11,SVK,SVK,76,215,2017,4,109,8480008.0
2022-2023,Adrian Kempe,LAK,F,116.0,356.0,67.0,143.0,145.0,212.0,60.0,48.0,318.0,281.0,306.0,186.0,,75.0,First Line,82,1538.15,41,26,67,23.92,58.14,51.2,25,1996-09-13,SWE,SWE,74,200,2014,1,29,8477960.0
2022-2023,Aleksander Barkov,FLA,F,32.0,85.0,25.0,48.0,19.0,122.0,93.0,88.0,31.0,250.0,76.0,345.0,31.0,13.0,First Line,68,1443.25,23,55,78,21.71,56.99,55.51,26,1995-09-02,FIN,FIN,75,215,2013,1,2,8477493.0
2022-2023,Alex Belzile,MTL,F,291.0,397.0,,187.0,425.0,398.0,269.0,82.0,278.0,329.0,57.0,212.0,127.0,257.0,Fourth Line,31,376.15,6,8,14,2.76,50.00,42.15,31,1991-08-31,CAN,CAN,72,196,-,-,-,8475968.0
2022-2023,Alex DeBrincat,OTT,F,128.0,283.0,42.0,,189.0,331.0,79.0,159.0,138.0,63.0,45.0,208.0,,34.0,First Line,82,1558.5166666667,27,39,66,28.2,42.00,49.67,24,1997-12-18,USA,USA,68,178,2016,2,39,8479337.0
2022-2023,Alex Iafallo,LAK,F,149.0,163.0,83.0,170.0,106.0,140.0,107.0,297.0,132.0,280.0,233.0,378.0,,146.0,Second Line,59,961.7,14,22,36,13.59,58.18,53.97,28,1993-12-21,USA,USA,72,200,-,-,-,8480113.0
