Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2016-2017,Adam Cracknell,DAL,F,223.0,81.0,,,208.0,229.0,177.0,143.0,317.0,211.0,52.0,83.0,141.0,327.0,Fourth Line,69,721.75,10,6,16,8.38,56.52,50.98,31,1985-07-15,CAN,CAN,74,209,2004,9,279,8471490.0
2016-2017,Adam Erne,TBL,F,297.0,79.0,247.0,,257.0,45.0,123.0,178.0,419.0,120.0,99.0,22.0,,352.0,Fourth Line,26,306.98333333333,3,0,3,3.43,25.00,53.0,21,1995-04-20,USA,USA,73,212,2013,2,33,8477454.0
2016-2017,Adam Henrique,NJD,F,315.0,91.0,189.0,58.0,349.0,202.0,325.0,149.0,335.0,295.0,226.0,253.0,128.0,125.0,First Line,82,1490.1166666667,20,20,40,16.09,44.30,47.61,26,1990-02-06,CAN,CAN,72,195,2008,3,82,8474641.0
2016-2017,Adam Lowry,WPG,F,314.0,111.0,79.0,130.0,260.0,154.0,359.0,259.0,288.0,360.0,286.0,38.0,85.0,265.0,Second Line,82,1316.0333333333,15,14,29,17.39,49.25,50.37,23,1993-03-29,USA,USA,78,208,2011,3,67,8476392.0
2016-2017,Adrian Kempe,LAK,F,352.0,109.0,9.0,,144.0,3.0,267.0,338.0,417.0,97.0,95.0,205.0,138.0,350.0,Fourth Line,25,305.76666666667,2,4,6,2.46,44.44,52.35,19,1996-09-13,SWE,SWE,74,200,2014,1,29,8477960.0
2016-2017,Alan Quine,NYI,F,306.0,416.0,234.0,,244.0,421.0,262.0,388.0,209.0,241.0,260.0,143.0,101.0,303.0,Fourth Line,61,763.76666666667,5,13,18,7.25,50.77,43.69,23,1993-02-25,CAN,CAN,72,203,2013,6,166,8476409.0
2016-2017,Aleksander Barkov,FLA,F,59.0,67.0,112.0,33.0,128.0,81.0,201.0,32.0,50.0,261.0,27.0,372.0,149.0,37.0,First Line,61,1184.1,21,31,52,14.11,57.75,53.74,20,1995-09-02,FIN,FIN,75,215,2013,1,2,8477493.0
2016-2017,Alex Chiasson,CGY,F,344.0,159.0,,84.0,304.0,127.0,327.0,256.0,365.0,164.0,399.0,181.0,,336.0,Fourth Line,81,1084.4833333333,12,12,24,9.84,45.59,50.9,25,1990-10-01,CAN,CAN,76,208,2009,2,38,8475163.0
2016-2017,Alex Galchenyuk,MTL,F,98.0,396.0,108.0,,66.0,384.0,230.0,131.0,72.0,5.0,207.0,307.0,155.0,93.0,Second Line,61,971.71666666667,17,27,44,11.38,47.89,48.97,22,1994-02-12,USA,USA,73,194,2012,1,3,8476851.0
2016-2017,Alex Killorn,TBL,F,187.0,337.0,198.0,28.0,189.0,177.0,194.0,205.0,148.0,104.0,231.0,217.0,,169.0,First Line,81,1458.2333333333,19,17,36,16.41,45.57,48.66,26,1989-09-14,CAN,CAN,73,194,2007,3,77,8473986.0
